timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,38.9500,39.2000,38.9500,39.0000,39.0000,3131,0.0000,1.0000
2018-07-02,37.8500,38.6500,37.7000,38.5500,38.5500,11813,0.0000,1.0000
2018-06-29,38.3500,38.7000,37.8000,37.9500,37.9500,21135,0.0000,1.0000
2018-06-28,38.7000,39.3500,38.0500,38.2000,38.2000,17857,0.0000,1.0000
2018-06-27,39.7000,39.8000,38.8000,38.9000,38.9000,9390,0.0000,1.0000
2018-06-26,41.1500,41.8940,39.4500,39.7500,39.7500,20134,0.0000,1.0000
2018-06-25,40.1000,42.2500,38.9500,41.0000,41.0000,52768,0.0000,1.0000
2018-06-22,38.7500,40.9000,38.7500,40.9000,40.9000,92851,0.0000,1.0000
2018-06-21,38.0500,38.7000,37.8500,38.7000,38.7000,20815,0.0000,1.0000
2018-06-20,38.5500,38.8500,37.8000,38.0000,38.0000,26288,0.0000,1.0000
2018-06-19,38.5000,38.7000,38.1000,38.6000,38.6000,20842,0.0000,1.0000
2018-06-18,38.5000,39.5000,38.3000,38.5500,38.5500,24257,0.0000,1.0000
2018-06-15,38.6500,39.0500,38.6500,38.9000,38.9000,22704,0.1000,1.0000
2018-06-14,38.6500,39.2000,38.2500,38.9500,38.8501,22577,0.0000,1.0000
2018-06-13,38.0000,38.7500,38.0000,38.6000,38.5010,22042,0.0000,1.0000
2018-06-12,38.2000,38.4500,37.8000,38.0000,37.9026,37706,0.0000,1.0000
2018-06-11,38.3000,38.5750,37.8500,38.1000,38.0023,19828,0.0000,1.0000
2018-06-08,38.3000,38.6000,38.0500,38.2500,38.1519,12293,0.0000,1.0000
2018-06-07,38.6000,38.7500,38.1500,38.3000,38.2018,15015,0.0000,1.0000
2018-06-06,38.5000,38.6000,38.0500,38.4500,38.3514,17029,0.0000,1.0000
2018-06-05,38.4000,38.8250,38.1500,38.3500,38.2517,17035,0.0000,1.0000
2018-06-04,38.5000,38.8500,38.1000,38.4500,38.3514,60029,0.0000,1.0000
2018-06-01,39.0500,39.1000,38.3000,38.5000,38.4013,8523,0.0000,1.0000
2018-05-31,38.7500,39.0500,38.7500,38.8000,38.7005,8271,0.0000,1.0000
2018-05-30,38.5500,39.0000,38.4000,38.7000,38.6008,16724,0.0000,1.0000
2018-05-29,39.0500,39.6000,38.2000,38.3500,38.2517,10937,0.0000,1.0000
2018-05-25,39.4500,39.8000,39.0500,39.4500,39.3488,17973,0.0000,1.0000
2018-05-24,38.7000,39.4500,38.2500,39.2000,39.0995,13529,0.0000,1.0000
2018-05-23,38.2000,39.0500,37.9000,38.7500,38.6506,11332,0.0000,1.0000
2018-05-22,38.4500,38.7000,37.2500,38.1000,38.0023,31836,0.0000,1.0000
2018-05-21,38.7500,39.1000,38.3500,38.5500,38.4512,11751,0.0000,1.0000
2018-05-18,38.4500,38.6500,38.1500,38.4000,38.3015,13061,0.0000,1.0000
2018-05-17,38.0000,38.4500,37.7000,38.2000,38.1021,26766,0.0000,1.0000
2018-05-16,37.0000,38.1000,37.0000,38.0500,37.9524,46087,0.0000,1.0000
2018-05-15,36.9500,37.1250,36.8500,36.9000,36.8054,16788,0.0000,1.0000
2018-05-14,36.9500,37.9000,36.8413,36.9500,36.8553,17661,0.0000,1.0000
2018-05-11,37.3500,37.5300,36.5000,37.0000,36.9051,27756,0.0000,1.0000
2018-05-10,37.3000,38.5000,36.9500,37.1500,37.0547,49036,0.0000,1.0000
2018-05-09,37.3000,37.4000,36.8088,37.0500,36.9550,34668,0.0000,1.0000
2018-05-08,37.4000,37.8500,37.1000,37.8000,37.7031,14311,0.0000,1.0000
2018-05-07,37.0000,37.8500,37.0000,37.6000,37.5036,4499,0.0000,1.0000
2018-05-04,36.3000,38.8450,36.3000,37.5000,37.4038,20189,0.0000,1.0000
2018-05-03,36.5000,36.6500,36.1000,36.3500,36.2568,9384,0.0000,1.0000
2018-05-02,36.7500,37.2500,36.4500,36.5000,36.4064,7931,0.0000,1.0000
2018-05-01,36.2000,37.0000,35.5550,36.7500,36.6558,8135,0.0000,1.0000
2018-04-30,36.4000,37.1500,36.0500,36.1500,36.0573,15075,0.0000,1.0000
