timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,10.6800,10.6800,10.4900,10.5200,10.5200,15986,0.0000,1.0000
2018-07-02,10.7400,10.9300,10.6100,10.6900,10.6900,33098,0.0000,1.0000
2018-06-29,11.0900,11.0900,10.8700,10.9100,10.9100,51779,0.0000,1.0000
2018-06-28,10.5100,10.5700,10.4200,10.4900,10.4900,53123,0.0000,1.0000
2018-06-27,10.8600,10.9400,10.6500,10.6500,10.6500,57740,0.0000,1.0000
2018-06-26,10.9900,11.1800,10.9900,11.0200,11.0200,125861,0.0000,1.0000
2018-06-25,11.0100,11.0100,10.6400,10.7800,10.7800,94824,0.0000,1.0000
2018-06-22,11.4400,11.4400,11.2900,11.3500,11.3500,50462,0.0000,1.0000
2018-06-21,11.5200,11.5200,11.3000,11.3100,11.3100,83723,0.0000,1.0000
2018-06-20,11.5700,11.6500,11.4400,11.4400,11.4400,67243,0.0000,1.0000
2018-06-19,11.7700,11.7900,11.6200,11.7200,11.7200,152659,0.0000,1.0000
2018-06-18,12.2500,12.2500,12.0700,12.1400,12.1400,38015,0.0000,1.0000
2018-06-15,12.5000,12.5300,12.1700,12.2700,12.2700,375802,0.0000,1.0000
2018-06-14,12.7700,12.8700,12.7000,12.7100,12.7100,65711,0.0000,1.0000
2018-06-13,12.9400,12.9500,12.7500,12.7800,12.7800,84639,0.0000,1.0000
2018-06-12,13.0800,13.1300,12.9500,13.0700,13.0700,79309,0.0000,1.0000
2018-06-11,13.3100,13.3700,13.3000,13.3600,13.3600,105068,0.0000,1.0000
2018-06-08,13.4100,13.5285,13.4100,13.4600,13.4600,50141,0.0000,1.0000
2018-06-07,13.4900,13.4900,13.2400,13.2700,13.2700,76822,0.0000,1.0000
2018-06-06,13.3900,13.5900,13.3900,13.5900,13.5900,52245,0.0000,1.0000
2018-06-05,13.3400,13.3400,13.1540,13.2900,13.2900,28069,0.0000,1.0000
2018-06-04,13.3200,13.3700,13.2900,13.3100,13.3100,41071,0.0000,1.0000
2018-06-01,13.1500,13.1800,13.0800,13.0800,13.0800,40293,0.0000,1.0000
2018-05-31,13.0900,13.1600,12.9900,13.0300,13.0300,57478,0.0000,1.0000
2018-05-30,12.6700,12.7900,12.6600,12.7700,12.7700,52496,0.0000,1.0000
2018-05-29,13.0700,13.0900,12.8600,12.9500,12.9500,49008,0.0000,1.0000
2018-05-25,13.0800,13.0800,12.9100,12.9800,12.9800,43806,0.0000,1.0000
2018-05-24,13.1700,13.2000,12.9900,13.2000,13.2000,70703,0.0000,1.0000
2018-05-23,13.3200,13.3900,13.2700,13.3700,13.3700,77443,0.0000,1.0000
2018-05-22,13.7000,13.7300,13.6000,13.6200,13.6200,46372,0.0000,1.0000
2018-05-21,13.7800,13.7800,13.5900,13.6400,13.6400,41266,0.0000,1.0000
2018-05-18,13.8300,13.8500,13.7800,13.8500,13.8500,31674,0.0000,1.0000
2018-05-17,13.7600,13.8700,13.6400,13.7600,13.7600,43070,0.0000,1.0000
2018-05-16,13.8900,13.9400,13.8100,13.9000,13.9000,48934,0.0000,1.0000
2018-05-15,13.7600,13.8700,13.6700,13.7700,13.7700,53605,0.0000,1.0000
2018-05-14,13.9100,14.0600,13.9000,13.9200,13.9200,69297,0.0000,1.0000
2018-05-11,14.1000,14.1200,13.9700,14.0300,14.0300,72597,0.0000,1.0000
2018-05-10,13.9500,14.1700,13.9300,14.0600,14.0600,52680,0.0000,1.0000
2018-05-09,13.9800,14.0000,13.9100,13.9400,13.9400,36051,0.0000,1.0000
2018-05-08,13.9800,13.9800,13.8000,13.9000,13.9000,63509,0.0000,1.0000
2018-05-07,13.7200,13.9100,13.7200,13.8700,13.8700,84515,0.0000,1.0000
2018-05-04,13.6000,13.8500,13.6000,13.8100,13.8100,52844,0.0000,1.0000
2018-05-03,13.8400,13.8400,13.5400,13.7500,13.7500,56521,0.0000,1.0000
2018-05-02,13.9400,14.0900,13.8900,13.9700,13.9700,77664,0.0000,1.0000
2018-05-01,14.0000,14.0100,13.8100,13.9900,13.9900,84691,0.0000,1.0000
2018-04-30,14.2400,14.2400,14.0100,14.0200,14.0200,44167,0.0000,1.0000
2018-04-27,14.1300,14.2800,14.1100,14.1600,14.1600,90646,0.0000,1.0000
2018-04-26,13.6900,14.7400,13.6900,14.1300,14.1300,312568,0.0000,1.0000
2018-04-25,13.9500,14.0000,13.8000,13.9600,13.9600,106187,0.0000,1.0000
2018-04-24,14.1900,14.2300,13.8500,13.9800,13.9800,128451,0.0000,1.0000
