timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,13.8300,14.0310,13.8300,13.9900,13.9900,99141,0.0000,1.0000
2018-07-02,13.7500,13.8900,13.7200,13.8900,13.8900,80515,0.0000,1.0000
2018-06-29,13.8200,13.8900,13.7000,13.8100,13.8100,121405,0.0000,1.0000
2018-06-28,13.5700,13.8300,13.5700,13.8300,13.8300,104444,0.2800,1.0000
2018-06-27,13.9600,14.0020,13.8600,13.8600,13.5850,170741,0.0000,1.0000
2018-06-26,14.0800,14.1100,13.9700,13.9900,13.7124,166616,0.0000,1.0000
2018-06-25,14.0700,14.1250,13.9900,14.0900,13.8104,144405,0.0000,1.0000
2018-06-22,14.0500,14.1000,13.9700,14.0700,13.7908,234096,0.0000,1.0000
2018-06-21,14.0100,14.0500,13.9500,14.0400,13.7614,87370,0.0000,1.0000
2018-06-20,13.9400,14.0200,13.8800,14.0100,13.7320,82467,0.0000,1.0000
2018-06-19,13.9000,13.9700,13.8800,13.9200,13.6438,69319,0.0000,1.0000
2018-06-18,13.7700,13.9500,13.7700,13.9200,13.6438,98411,0.0000,1.0000
2018-06-15,13.8300,13.9000,13.7400,13.7400,13.4673,130173,0.0000,1.0000
2018-06-14,13.6900,13.8810,13.6800,13.8600,13.5850,66854,0.0000,1.0000
2018-06-13,13.7700,13.8300,13.6400,13.6900,13.4183,67903,0.0000,1.0000
2018-06-12,13.9800,13.9800,13.8000,13.8100,13.5360,58475,0.0000,1.0000
2018-06-11,13.8900,14.0100,13.8900,13.9500,13.6732,101046,0.0000,1.0000
2018-06-08,13.9000,13.9600,13.8800,13.8900,13.6144,65742,0.0000,1.0000
2018-06-07,13.9300,13.9400,13.8600,13.9000,13.6242,47362,0.0000,1.0000
2018-06-06,13.8100,13.9200,13.8100,13.8900,13.6144,73888,0.0000,1.0000
2018-06-05,13.8900,13.9100,13.8000,13.8900,13.6144,65206,0.0000,1.0000
2018-06-04,13.8600,13.8900,13.8000,13.8800,13.6046,70527,0.0000,1.0000
2018-06-01,13.8100,13.8200,13.7100,13.8200,13.5458,74890,0.0000,1.0000
2018-05-31,13.8100,13.8400,13.7468,13.8200,13.5458,161323,0.0000,1.0000
