timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,49.5800,49.5800,48.4300,48.5400,48.5400,330811,0.0000,1.0000
2018-07-02,48.5200,49.5100,47.3000,49.4900,49.4900,657322,0.0000,1.0000
2018-06-29,49.1700,50.3700,48.9800,49.1900,49.1900,1045444,0.0000,1.0000
2018-06-28,49.4400,49.4400,48.2700,48.9200,48.9200,787188,0.0000,1.0000
2018-06-27,50.0500,50.5300,49.3200,49.4500,49.4500,953773,0.0000,1.0000
2018-06-26,49.9300,50.2800,48.7000,49.8500,49.8500,860532,0.0000,1.0000
2018-06-25,49.8400,50.3600,49.1700,49.9900,49.9900,1172213,0.0000,1.0000
2018-06-22,49.9000,50.3100,49.3500,50.0700,50.0700,852955,0.0000,1.0000
2018-06-21,49.6300,49.6600,48.8000,49.5700,49.5700,955204,0.0000,1.0000
2018-06-20,49.1500,50.0900,48.7000,49.7200,49.7200,574849,0.0000,1.0000
2018-06-19,48.2400,49.1600,48.0300,48.9900,48.9900,964520,0.0000,1.0000
2018-06-18,47.7500,48.4300,47.5110,48.4200,48.4200,599525,0.0000,1.0000
2018-06-15,47.6500,48.1800,47.2700,48.1100,48.1100,1191874,0.0000,1.0000
2018-06-14,47.5400,48.1800,47.2800,48.0700,48.0700,1253011,0.0000,1.0000
2018-06-13,50.0100,50.0999,47.4900,47.5400,47.5400,1817961,0.0000,1.0000
2018-06-12,48.8200,51.4800,48.8200,50.1100,50.1100,3817923,0.0000,1.0000
2018-06-11,51.0000,51.7000,47.0301,48.1000,48.1000,8373208,0.0000,1.0000
2018-06-08,56.2200,57.2000,55.8600,56.9800,56.9800,690567,0.0000,1.0000
2018-06-07,55.9100,58.1700,55.6550,56.5600,56.5600,2642895,0.0000,1.0000
2018-06-06,54.9400,56.1200,54.6500,56.0400,56.0400,593876,0.0000,1.0000
2018-06-05,54.2400,54.7600,53.7950,54.6600,54.6600,430932,0.0000,1.0000
2018-06-04,53.8900,54.4300,53.2500,54.3800,54.3800,468380,0.0000,1.0000
2018-06-01,53.8200,54.5000,53.0300,53.8200,53.8200,435043,0.0000,1.0000
2018-05-31,53.2300,53.5200,52.5500,53.2400,53.2400,561107,0.0000,1.0000
2018-05-30,53.0200,53.5900,52.9100,53.0700,53.0700,321110,0.0000,1.0000
2018-05-29,53.5400,53.8800,52.5200,52.9400,52.9400,584633,0.0000,1.0000
2018-05-25,54.6000,54.7600,53.8800,54.0100,54.0100,535927,0.0000,1.0000
2018-05-24,54.8700,54.9700,54.2900,54.4700,54.4700,396370,0.0000,1.0000
2018-05-23,56.1300,56.1300,54.4800,54.8600,54.8600,494216,0.0000,1.0000
2018-05-22,56.4200,56.7400,56.0100,56.2400,56.2400,561983,0.0000,1.0000
2018-05-21,56.6000,56.6000,55.9700,56.0900,56.0900,394718,0.0000,1.0000
2018-05-18,57.2000,57.2000,55.6600,56.0100,56.0100,431313,0.0000,1.0000
