timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,8.1800,8.2900,8.0400,8.0500,8.0500,1478858,0.0000,1.0000
2018-07-02,8.5500,8.6500,8.0300,8.1500,8.1500,2936356,0.0000,1.0000
2018-06-29,8.5100,8.9200,8.4200,8.6500,8.6500,3132152,0.0000,1.0000
2018-06-28,8.8800,8.9000,8.3900,8.4200,8.4200,3688771,0.0000,1.0000
2018-06-27,8.8000,9.0300,8.7700,8.8700,8.8700,2056657,0.0000,1.0000
2018-06-26,8.7000,8.8350,8.7000,8.7700,8.7700,1710268,0.0000,1.0000
2018-06-25,8.7300,8.8000,8.5300,8.6900,8.6900,4656839,0.0000,1.0000
2018-06-22,8.7200,8.8000,8.5200,8.7300,8.7300,3302088,0.0350,1.0000
2018-06-21,8.7400,8.9400,8.5300,8.6700,8.6354,3147659,0.0000,1.0000
2018-06-20,8.2700,8.8200,8.2400,8.7000,8.6653,4370053,0.0000,1.0000
2018-06-19,8.2000,8.3410,8.1800,8.2600,8.2270,2222674,0.0000,1.0000
2018-06-18,8.0000,8.3100,7.9000,8.2900,8.2569,3409799,0.0000,1.0000
2018-06-15,8.0700,8.1000,7.9300,7.9800,7.9481,2759982,0.0000,1.0000
2018-06-14,8.0800,8.1750,7.9319,8.0900,8.0577,2884173,0.0000,1.0000
2018-06-13,8.2700,8.3400,7.9800,8.0500,8.0179,3093258,0.0000,1.0000
2018-06-12,7.9700,8.3150,7.8900,8.2900,8.2569,3254878,0.0000,1.0000
2018-06-11,8.2200,8.2900,7.8600,7.9700,7.9382,3721357,0.0000,1.0000
2018-06-08,8.0000,8.2550,7.9200,8.2200,8.1872,2004691,0.0000,1.0000
2018-06-07,8.0100,8.0700,7.8400,8.0000,7.9681,1368594,0.0000,1.0000
2018-06-06,7.9900,8.1700,7.8700,7.9600,7.9282,2587321,0.0000,1.0000
2018-06-05,7.8400,7.9900,7.7500,7.9600,7.9282,1447828,0.0000,1.0000
2018-06-04,7.6300,7.8200,7.6200,7.8000,7.7689,1267434,0.0000,1.0000
2018-06-01,7.5600,7.6900,7.4500,7.6400,7.6095,3240474,0.0000,1.0000
2018-05-31,7.7000,7.7200,7.4400,7.5200,7.4900,3670603,0.0000,1.0000
2018-05-30,7.5200,7.6900,7.4700,7.6700,7.6394,2222391,0.0000,1.0000
2018-05-29,7.4200,7.5900,7.3500,7.4600,7.4302,3414149,0.0000,1.0000
2018-05-25,7.7100,7.7200,7.4600,7.4700,7.4402,2114541,0.0000,1.0000
2018-05-24,7.6800,7.7500,7.5800,7.7000,7.6693,1736045,0.0000,1.0000
2018-05-23,7.5700,7.7200,7.5100,7.6700,7.6394,1666254,0.0000,1.0000
2018-05-22,7.8000,7.9500,7.6200,7.6400,7.6095,3737212,0.0000,1.0000
2018-05-21,7.3500,7.8000,7.3200,7.7500,7.7191,4144785,0.0000,1.0000
2018-05-18,7.2000,7.5100,7.2000,7.2700,7.2410,3752581,0.0000,1.0000
2018-05-17,7.0200,7.4100,7.0200,7.1700,7.1414,5713195,0.0000,1.0000
2018-05-16,7.1500,7.2100,6.9900,7.0000,6.9720,3924015,0.0000,1.0000
2018-05-15,7.2500,7.2700,6.9300,7.1300,7.1015,7754614,0.0000,1.0000
2018-05-14,7.4500,7.5700,7.2700,7.3000,7.2708,6584823,0.0000,1.0000
2018-05-11,7.9400,7.9700,7.3200,7.4000,7.3705,6672827,0.0000,1.0000
2018-05-10,7.8400,8.0900,7.8400,7.9200,7.8884,4317381,0.0000,1.0000
2018-05-09,8.9900,9.1200,7.6400,7.8200,7.7888,11564852,0.0000,1.0000
