timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.6800,8.1000,7.6600,8.0000,8.0000,3127581,0.0000,1.0000
2018-07-02,7.5000,7.6500,7.4500,7.6000,7.6000,1774980,0.0000,1.0000
2018-06-29,7.4600,7.6800,7.4200,7.6300,7.6300,1595438,0.0000,1.0000
2018-06-28,7.4200,7.5161,7.3800,7.3900,7.3900,1642241,0.0000,1.0000
2018-06-27,7.4500,7.6500,7.4400,7.4600,7.4600,1775275,0.0000,1.0000
2018-06-26,7.3900,7.5900,7.3200,7.5500,7.5500,1309801,0.0000,1.0000
2018-06-25,7.5900,7.7000,7.4200,7.4700,7.4700,1993641,0.0000,1.0000
2018-06-22,7.4400,7.6700,7.3701,7.6500,7.6500,2382769,0.0000,1.0000
2018-06-21,7.3200,7.4300,7.2900,7.3600,7.3600,1484539,0.0000,1.0000
2018-06-20,7.3500,7.4090,7.3100,7.3600,7.3600,1204077,0.0000,1.0000
2018-06-19,7.2300,7.4600,7.1600,7.3400,7.3400,2239872,0.0000,1.0000
2018-06-18,7.4400,7.5000,7.3800,7.4300,7.4300,1958495,0.0000,1.0000
2018-06-15,7.8500,7.8600,7.3800,7.4600,7.4600,8457317,0.0000,1.0000
2018-06-14,7.8700,7.9700,7.8400,7.9700,7.9700,2776372,0.0000,1.0000
2018-06-13,7.7000,7.8400,7.5800,7.7700,7.7700,3158219,0.0000,1.0000
2018-06-12,7.5700,7.6800,7.5301,7.6700,7.6700,2016812,0.0000,1.0000
2018-06-11,7.3700,7.6200,7.3500,7.5800,7.5800,3089597,0.0000,1.0000
2018-06-08,7.4700,7.5000,7.2900,7.3000,7.3000,1916939,0.0000,1.0000
2018-06-07,7.3200,7.4800,7.3100,7.4700,7.4700,3201749,0.0000,1.0000
2018-06-06,7.2100,7.3050,7.1900,7.2800,7.2800,1851765,0.0000,1.0000
2018-06-05,7.0500,7.1799,7.0500,7.1500,7.1500,1243839,0.0000,1.0000
2018-06-04,7.1800,7.2000,7.0500,7.0500,7.0500,1265799,0.0000,1.0000
2018-06-01,7.0800,7.1900,6.9700,7.1300,7.1300,1690355,0.0000,1.0000
2018-05-31,7.1700,7.2000,7.0500,7.0900,7.0900,1248561,0.0000,1.0000
2018-05-30,7.1400,7.2000,7.0900,7.1500,7.1500,1584212,0.0000,1.0000
2018-05-29,6.9400,7.1500,6.9000,7.0800,7.0800,2856245,0.0000,1.0000
2018-05-25,7.3300,7.3950,7.1700,7.2000,7.2000,1977713,0.0000,1.0000
2018-05-24,7.3300,7.4800,7.2900,7.3600,7.3600,2961591,0.0000,1.0000
2018-05-23,7.2600,7.3300,7.1700,7.2800,7.2800,2569882,0.0000,1.0000
2018-05-22,7.3400,7.3900,7.2400,7.3100,7.3100,3009326,0.0000,1.0000
2018-05-21,7.1000,7.3200,7.0700,7.2900,7.2900,1810834,0.0000,1.0000
2018-05-18,7.1200,7.2600,7.0900,7.0900,7.0900,2355109,0.0000,1.0000
2018-05-17,7.1400,7.2000,7.0800,7.1400,7.1400,1675800,0.0000,1.0000
2018-05-16,7.0300,7.3200,7.0300,7.1500,7.1500,2828743,0.0000,1.0000
2018-05-15,6.9700,7.0300,6.8300,7.0000,7.0000,3231984,0.0000,1.0000
2018-05-14,7.2500,7.3800,7.0900,7.0900,7.0900,3584163,0.0000,1.0000
2018-05-11,7.2700,7.3100,7.0400,7.1700,7.1700,3243307,0.0000,1.0000
2018-05-10,6.7200,7.3000,6.7000,7.2300,7.2300,5982005,0.0000,1.0000
2018-05-09,6.8800,6.9400,6.8200,6.8400,6.8400,2405053,0.0000,1.0000
2018-05-08,6.7500,6.8900,6.6300,6.8500,6.8500,1908404,0.0000,1.0000
2018-05-07,6.8000,6.8668,6.7450,6.7900,6.7900,1396463,0.0000,1.0000
2018-05-04,6.7700,6.8720,6.7200,6.8500,6.8500,1785082,0.0000,1.0000
2018-05-03,6.8700,6.8820,6.7500,6.8000,6.8000,2067050,0.0000,1.0000
2018-05-02,6.6200,6.9100,6.5950,6.7400,6.7400,3898460,0.0000,1.0000
2018-05-01,6.4500,6.5599,6.3600,6.5500,6.5500,1777204,0.0000,1.0000
2018-04-30,6.5800,6.6200,6.4700,6.4800,6.4800,2510603,0.0000,1.0000
2018-04-27,6.7400,6.8949,6.7000,6.7700,6.7700,1767561,0.0000,1.0000
2018-04-26,6.6900,6.7900,6.6600,6.7400,6.7400,1694139,0.0000,1.0000
2018-04-25,6.5000,6.7200,6.4400,6.6400,6.6400,2465644,0.0000,1.0000
2018-04-24,6.5400,6.5700,6.4300,6.5600,6.5600,1823780,0.0000,1.0000
2018-04-23,6.6300,6.6600,6.4300,6.4700,6.4700,3081257,0.0000,1.0000
2018-04-20,6.7700,6.8500,6.6900,6.7600,6.7600,2197772,0.0000,1.0000
2018-04-19,6.9000,6.9500,6.7300,6.8600,6.8600,2579063,0.0000,1.0000
2018-04-18,6.8700,6.9950,6.8300,6.8500,6.8500,4107126,0.0000,1.0000
2018-04-17,6.5700,6.7300,6.5200,6.7100,6.7100,1578079,0.0000,1.0000
2018-04-16,6.7000,6.7410,6.5200,6.5800,6.5800,2124618,0.0000,1.0000
2018-04-13,6.6590,6.7500,6.5500,6.6600,6.6600,2300961,0.0000,1.0000
2018-04-12,6.5300,6.5900,6.3801,6.5200,6.5200,2356364,0.0000,1.0000
2018-04-11,6.4800,6.8000,6.4500,6.6100,6.6100,5488886,0.0000,1.0000
2018-04-10,6.3100,6.3900,6.2200,6.3400,6.3400,2184597,0.0000,1.0000
2018-04-09,6.1000,6.3000,6.0200,6.2300,6.2300,2257065,0.0000,1.0000
2018-04-06,6.2100,6.2900,6.1200,6.1200,6.1200,1812282,0.0000,1.0000
2018-04-05,6.0600,6.2000,6.0400,6.1700,6.1700,1431897,0.0000,1.0000
2018-04-04,6.1700,6.2700,6.0900,6.1200,6.1200,1811305,0.0000,1.0000
2018-04-03,6.2200,6.2400,6.0600,6.1400,6.1400,1882325,0.0000,1.0000
2018-04-02,6.2000,6.3599,6.1700,6.2300,6.2300,2785293,0.0000,1.0000
2018-03-29,6.0600,6.1300,5.9700,6.1100,6.1100,2567680,0.0000,1.0000
2018-03-28,6.1100,6.2200,6.0100,6.0200,6.0200,2460452,0.0000,1.0000
2018-03-27,6.1500,6.2500,6.0302,6.1700,6.1700,2531201,0.0000,1.0000
2018-03-26,6.4900,6.4900,6.2000,6.2200,6.2200,3371505,0.0000,1.0000
2018-03-23,6.3600,6.5100,6.3416,6.3600,6.3600,4655891,0.0000,1.0000
2018-03-22,6.0800,6.2900,6.0200,6.1600,6.1600,3109006,0.0000,1.0000
2018-03-21,5.8300,6.1900,5.8298,6.1300,6.1300,3785369,0.0000,1.0000
2018-03-20,5.9300,5.9300,5.6900,5.7600,5.7600,2398599,0.0000,1.0000
2018-03-19,5.9000,5.9900,5.8300,5.9700,5.9700,1898055,0.0000,1.0000
2018-03-16,5.8900,6.0000,5.7700,5.9400,5.9400,3481311,0.0000,1.0000
2018-03-15,5.9300,5.9600,5.8000,5.8800,5.8800,2017467,0.0000,1.0000
2018-03-14,6.0900,6.1200,5.9600,5.9800,5.9800,1844029,0.0000,1.0000
2018-03-13,5.9900,6.0800,5.9150,6.0600,6.0600,2375130,0.0000,1.0000
2018-03-12,5.7900,6.0100,5.7700,5.9700,5.9700,2161550,0.0000,1.0000
2018-03-09,5.7500,5.8900,5.6900,5.8300,5.8300,2663132,0.0000,1.0000
2018-03-08,5.7200,5.7800,5.6038,5.7500,5.7500,2104359,0.0000,1.0000
2018-03-07,5.9500,6.0200,5.6600,5.7100,5.7100,3148424,0.0000,1.0000
2018-03-06,5.7600,6.0490,5.7600,5.9600,5.9600,3737705,0.0000,1.0000
2018-03-05,5.5300,5.6700,5.5000,5.6300,5.6300,2713853,0.0000,1.0000
2018-03-02,5.5400,5.7000,5.5100,5.5400,5.5400,3564589,0.0000,1.0000
2018-03-01,5.2000,5.5300,5.0900,5.5100,5.5100,4573930,0.0000,1.0000
2018-02-28,5.3600,5.4275,5.2900,5.3100,5.3100,2123622,0.0000,1.0000
2018-02-27,5.5300,5.5852,5.3225,5.3800,5.3800,2860558,0.0000,1.0000
2018-02-26,5.7200,5.7400,5.5000,5.6000,5.6000,2588307,0.0000,1.0000
2018-02-23,5.5200,5.6294,5.4700,5.5700,5.5700,1684825,0.0000,1.0000
2018-02-22,5.5400,5.6700,5.5100,5.5400,5.5400,2021789,0.0000,1.0000
2018-02-21,5.6300,5.7150,5.4700,5.4900,5.4900,3003345,0.0000,1.0000
2018-02-20,5.6900,5.8099,5.5236,5.5500,5.5500,3004868,0.0000,1.0000
2018-02-16,5.9400,6.0700,5.6900,5.7800,5.7800,3901048,0.0000,1.0000
2018-02-15,6.0400,6.1400,5.8600,6.0000,6.0000,3077878,0.0000,1.0000
2018-02-14,5.6500,6.0600,5.6500,5.9900,5.9900,4885270,0.0000,1.0000
2018-02-13,5.6500,5.8300,5.5800,5.6800,5.6800,3185941,0.0000,1.0000
2018-02-12,5.1700,5.7150,5.1400,5.6000,5.6000,6667338,0.0000,1.0000
2018-02-09,5.4400,5.4500,4.9300,5.1400,5.1400,6906978,0.0000,1.0000
2018-02-08,5.5200,5.5800,5.4200,5.4300,5.4300,3769399,0.0000,1.0000
2018-02-07,5.6000,5.7300,5.4500,5.5000,5.5000,4629616,0.0000,1.0000
2018-02-06,5.6600,5.8000,5.6300,5.6600,5.6600,3989772,0.0000,1.0000
2018-02-05,5.6500,5.8700,5.6100,5.7400,5.7400,5039184,0.0000,1.0000
2018-02-02,5.9400,5.9400,5.6200,5.6600,5.6600,6833150,0.0000,1.0000
2018-02-01,6.0500,6.2200,5.9800,6.0400,6.0400,3450934,0.0000,1.0000
2018-01-31,6.1700,6.1800,5.8000,6.1200,6.1200,7730343,0.0000,1.0000
2018-01-30,6.3700,6.4400,6.0000,6.0600,6.0600,7313783,0.0000,1.0000
2018-01-29,6.5400,6.5400,6.2900,6.3100,6.3100,5653459,0.0000,1.0000
2018-01-26,6.5600,6.7200,6.4100,6.5000,6.5000,7206940,0.0000,1.0000
2018-01-25,7.0500,7.1000,6.5000,6.5100,6.5100,14428698,0.0000,1.0000
2018-01-24,7.1400,7.3000,7.0500,7.1000,7.1000,8271662,0.0000,1.0000
2018-01-23,6.9200,7.1100,6.8700,7.0200,7.0200,4207369,0.0000,1.0000
2018-01-22,6.9000,7.0100,6.8200,6.9900,6.9900,2829766,0.0000,1.0000
2018-01-19,6.9900,7.0300,6.8600,6.8800,6.8800,2716423,0.0000,1.0000
2018-01-18,7.2600,7.3000,6.9000,6.9200,6.9200,3588275,0.0000,1.0000
2018-01-17,7.2700,7.5000,7.2300,7.2400,7.2400,3856820,0.0000,1.0000
2018-01-16,6.9900,7.3900,6.9100,7.3500,7.3500,8354163,0.0000,1.0000
2018-01-12,6.9300,6.9595,6.6000,6.7900,6.7900,8569441,0.0000,1.0000
2018-01-11,6.9100,7.0500,6.8800,6.9700,6.9700,1957483,0.0000,1.0000
2018-01-10,6.8800,6.9700,6.7900,6.8900,6.8900,2248331,0.0000,1.0000
2018-01-09,6.8400,6.8600,6.6500,6.7600,6.7600,2342976,0.0000,1.0000
2018-01-08,6.9400,7.0800,6.8600,6.9200,6.9200,2333356,0.0000,1.0000
2018-01-05,7.0000,7.0300,6.8600,6.9600,6.9600,2419881,0.0000,1.0000
2018-01-04,7.0500,7.0800,6.8900,7.0500,7.0500,2555393,0.0000,1.0000
2018-01-03,7.2400,7.2500,6.8900,7.0400,7.0400,3287805,0.0000,1.0000
2018-01-02,6.8400,7.2200,6.7700,7.2200,7.2200,4063026,0.0000,1.0000
2017-12-29,6.9000,6.9000,6.6200,6.7400,6.7400,3245182,0.0000,1.0000
2017-12-28,7.0400,7.0500,6.7500,6.8700,6.8700,3316882,0.0000,1.0000
2017-12-27,7.0500,7.1500,6.9200,6.9700,6.9700,2598475,0.0000,1.0000
2017-12-26,6.9600,7.0300,6.9000,7.0300,7.0300,1884799,0.0000,1.0000
2017-12-22,7.4600,7.5150,6.7900,6.9300,6.9300,8249000,0.0000,1.0000
2017-12-21,7.6500,7.8090,7.5700,7.6400,7.6400,2586971,0.0000,1.0000
2017-12-20,7.7000,7.8350,7.6012,7.8100,7.8100,2210287,0.0000,1.0000
2017-12-19,7.5400,7.7575,7.5000,7.6500,7.6500,2568673,0.0000,1.0000
2017-12-18,7.3900,7.5955,7.3600,7.5600,7.5600,3189819,0.0000,1.0000
2017-12-15,7.3300,7.4000,7.1700,7.2600,7.2600,3596467,0.0000,1.0000
2017-12-14,7.2700,7.3450,6.9701,7.2600,7.2600,3448178,0.0000,1.0000
2017-12-13,6.6200,7.3800,6.6000,7.3500,7.3500,5633680,0.0000,1.0000
