timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,40.2000,40.4400,39.8500,39.9500,39.9500,85250,0.0000,1.0000
2018-07-02,40.7000,40.7000,39.7000,39.9500,39.9500,130397,0.0000,1.0000
2018-06-29,40.3000,41.1500,40.3000,40.9500,40.9500,178745,0.0000,1.0000
2018-06-28,41.1000,41.3500,40.1500,40.2500,40.2500,232379,0.0000,1.0000
2018-06-27,40.5000,41.3000,40.1500,41.1000,41.1000,280788,0.0000,1.0000
2018-06-26,40.8000,42.1000,39.2850,40.3000,40.3000,670790,0.0000,1.0000
2018-06-25,35.6000,36.7500,35.6000,35.8000,35.8000,157621,0.0000,1.0000
2018-06-22,35.5000,36.0000,35.1500,35.7500,35.7500,510642,0.0000,1.0000
2018-06-21,35.2500,35.8000,35.0000,35.4000,35.4000,185353,0.0000,1.0000
2018-06-20,35.4000,35.5500,35.0500,35.3000,35.3000,176103,0.0000,1.0000
2018-06-19,35.3000,35.6250,35.0000,35.4000,35.4000,144525,0.0000,1.0000
2018-06-18,35.2000,35.8500,35.0000,35.6500,35.6500,228797,0.0000,1.0000
2018-06-15,35.8000,35.8500,34.9000,35.3500,35.3500,289797,0.0000,1.0000
2018-06-14,36.2500,36.4500,35.3000,35.9000,35.9000,248700,0.0000,1.0000
2018-06-13,37.0000,37.7000,35.5000,36.2000,36.2000,635824,0.0000,1.0000
2018-06-12,38.0000,38.5000,36.2000,37.2500,37.2500,631043,0.0000,1.0000
2018-06-11,38.7000,39.3029,38.2000,38.4500,38.4500,147891,0.0000,1.0000
2018-06-08,39.4500,39.7000,38.5000,38.6500,38.6500,142656,0.0000,1.0000
2018-06-07,39.8000,40.0750,39.1000,39.4000,39.4000,93379,0.0000,1.0000
2018-06-06,39.6500,39.9000,39.2500,39.8000,39.8000,75928,0.0000,1.0000
2018-06-05,39.2500,39.8500,39.1000,39.6500,39.6500,140189,0.0000,1.0000
2018-06-04,38.8500,39.4000,38.2000,39.3000,39.3000,106947,0.0000,1.0000
2018-06-01,38.9000,39.0500,38.4500,38.7000,38.7000,121650,0.0000,1.0000
2018-05-31,38.7500,39.1000,38.5500,38.7000,38.7000,209867,0.0000,1.0000
2018-05-30,38.8000,39.4000,38.6000,38.7500,38.7500,140992,0.0000,1.0000
2018-05-29,38.6000,39.1500,38.2000,38.6000,38.6000,113456,0.0000,1.0000
2018-05-25,37.7500,39.9000,37.7400,39.1500,39.1500,239935,0.0000,1.0000
2018-05-24,38.3000,38.6489,37.0000,37.9000,37.9000,469629,0.0000,1.0000
2018-05-23,39.0000,39.3000,38.4000,38.5000,38.5000,126555,0.0000,1.0000
2018-05-22,40.1000,40.1500,38.8750,39.2000,39.2000,175912,0.0000,1.0000
2018-05-21,39.2500,40.3250,39.1600,40.1500,40.1500,115947,0.0000,1.0000
2018-05-18,39.9500,39.9500,39.0500,39.1000,39.1000,174466,0.0000,1.0000
2018-05-17,39.5500,40.6000,39.4000,39.9000,39.9000,254088,0.0000,1.0000
2018-05-16,38.8500,39.6000,38.6657,39.5000,39.5000,245095,0.0000,1.0000
2018-05-15,38.7500,39.3500,38.6000,38.8500,38.8500,109743,0.0000,1.0000
2018-05-14,38.1000,39.0000,38.0980,38.9500,38.9500,144827,0.0000,1.0000
2018-05-11,38.6000,38.8500,37.8500,38.1500,38.1500,178229,0.0000,1.0000
2018-05-10,38.6000,38.9499,38.3000,38.6000,38.6000,141380,0.0000,1.0000
2018-05-09,38.9500,39.1000,38.0500,38.5500,38.5500,225269,0.0000,1.0000
2018-05-08,38.7500,39.5580,38.5000,38.9000,38.9000,375139,0.0000,1.0000
2018-05-07,38.5000,38.7500,37.8500,38.4500,38.4500,279789,0.0000,1.0000
2018-05-04,40.4500,40.8500,38.1500,38.4000,38.4000,305596,0.0000,1.0000
2018-05-03,41.1000,41.6000,40.1000,40.8000,40.8000,161067,0.0000,1.0000
2018-05-02,40.4500,42.2000,40.3000,41.4000,41.4000,288786,0.0000,1.0000
2018-05-01,40.2000,40.7000,39.0500,40.4000,40.4000,207323,0.0000,1.0000
2018-04-30,40.9000,41.1500,39.9000,40.0000,40.0000,259175,0.0000,1.0000
2018-04-27,40.0000,40.9950,39.6500,40.7500,40.7500,250609,0.0000,1.0000
2018-04-26,38.2500,40.1500,38.1500,39.9500,39.9500,337593,0.0000,1.0000
2018-04-25,37.2500,38.3000,37.0500,38.1000,38.1000,159202,0.0000,1.0000
2018-04-24,37.8500,38.2500,37.0986,37.2000,37.2000,161678,0.0000,1.0000
2018-04-23,37.2500,37.7000,37.1000,37.5000,37.5000,195413,0.0000,1.0000
2018-04-20,38.0500,38.0500,36.8250,37.1000,37.1000,271915,0.2500,1.0000
2018-04-19,39.1000,39.1500,38.1500,38.4500,38.1926,229596,0.0000,1.0000
2018-04-18,38.8500,40.1000,38.6750,39.3500,39.0866,284124,0.0000,1.0000
2018-04-17,38.0500,38.9000,37.7000,38.8500,38.5900,283710,0.0000,1.0000
2018-04-16,37.8500,38.8000,37.4500,37.8000,37.5470,312181,0.0000,1.0000
2018-04-13,37.0500,38.0000,36.3000,37.6000,37.3483,619635,0.0000,1.0000
2018-04-12,38.2500,39.2000,36.6750,36.8000,36.5537,1183510,0.0000,1.0000
2018-04-11,42.0000,43.0000,41.6500,42.9000,42.6129,188125,0.0000,1.0000
2018-04-10,42.4500,42.9000,41.7500,42.4000,42.1162,166751,0.0000,1.0000
2018-04-09,43.3500,43.6500,41.7000,41.8000,41.5202,265125,0.0000,1.0000
