timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,8.1600,8.5000,8.0800,8.4700,8.4700,672735,0.0000,1.0000
2018-07-02,8.0700,8.2200,7.9400,8.1300,8.1300,910727,0.0000,1.0000
2018-06-29,7.9100,8.1200,7.8700,8.1000,8.1000,1136310,0.0000,1.0000
2018-06-28,7.7000,7.9900,7.6700,7.9000,7.9000,1141186,0.1200,1.0000
2018-06-27,7.3200,7.8700,7.2900,7.8400,7.7227,1247712,0.0000,1.0000
2018-06-26,7.2500,7.3900,7.1950,7.2100,7.1021,633833,0.0000,1.0000
2018-06-25,7.2200,7.2900,7.1400,7.2500,7.1415,540105,0.0000,1.0000
2018-06-22,7.0800,7.2800,7.0700,7.2600,7.1514,1568677,0.0000,1.0000
2018-06-21,7.0100,7.1000,6.9350,7.0800,6.9741,461589,0.0000,1.0000
2018-06-20,7.0100,7.0600,6.9600,7.0200,6.9150,437891,0.0000,1.0000
2018-06-19,6.9600,7.0700,6.9300,6.9700,6.8657,466425,0.0000,1.0000
2018-06-18,6.9200,7.1750,6.9200,7.0100,6.9051,485579,0.0000,1.0000
2018-06-15,7.1000,7.1500,6.9200,6.9200,6.8165,1939931,0.0000,1.0000
2018-06-14,7.0200,7.1100,6.9850,7.1000,6.9938,389546,0.0000,1.0000
2018-06-13,7.1700,7.1800,6.9450,6.9800,6.8756,460779,0.0000,1.0000
2018-06-12,7.1500,7.2400,7.1300,7.1500,7.0430,496708,0.0000,1.0000
2018-06-11,7.2300,7.2700,7.1300,7.1800,7.0726,437098,0.0000,1.0000
2018-06-08,7.3900,7.4300,7.2500,7.2500,7.1415,429528,0.0000,1.0000
2018-06-07,7.3800,7.4800,7.3700,7.3800,7.2696,411940,0.0000,1.0000
2018-06-06,7.3900,7.4650,7.3600,7.4000,7.2893,308352,0.0000,1.0000
2018-06-05,7.4800,7.5150,7.3800,7.3900,7.2794,573497,0.0000,1.0000
2018-06-04,7.4100,7.5700,7.4050,7.4700,7.3582,474975,0.0000,1.0000
2018-06-01,7.4300,7.4600,7.3252,7.4000,7.2893,455870,0.0000,1.0000
2018-05-31,7.4200,7.4900,7.3350,7.3700,7.2597,761933,0.0000,1.0000
2018-05-30,7.2900,7.4900,7.2200,7.4300,7.3188,478254,0.0000,1.0000
2018-05-29,7.2200,7.3200,7.2150,7.2800,7.1711,410459,0.0000,1.0000
2018-05-25,7.3100,7.3400,7.2000,7.2800,7.1711,333760,0.0000,1.0000
2018-05-24,7.2100,7.3200,7.1800,7.3000,7.1908,354940,0.0000,1.0000
2018-05-23,7.0000,7.2250,6.9600,7.2000,7.0923,434047,0.0000,1.0000
2018-05-22,6.9800,7.0800,6.9400,7.0000,6.8953,414510,0.0000,1.0000
2018-05-21,6.9400,7.0300,6.9000,6.9900,6.8854,353781,0.0000,1.0000
2018-05-18,6.8700,6.9200,6.8000,6.8700,6.7672,329209,0.0000,1.0000
2018-05-17,6.8400,6.9400,6.8100,6.8200,6.7180,352696,0.0000,1.0000
2018-05-16,6.8400,6.9000,6.8000,6.8200,6.7180,380932,0.0000,1.0000
2018-05-15,7.0200,7.0200,6.8200,6.8400,6.7377,584804,0.0000,1.0000
2018-05-14,7.1700,7.2200,6.9300,6.9400,6.8362,675734,0.0000,1.0000
2018-05-11,7.1700,7.2300,7.1200,7.1400,7.0332,324678,0.0000,1.0000
2018-05-10,7.1800,7.2800,7.1600,7.1900,7.0824,431699,0.0000,1.0000
2018-05-09,7.0400,7.1800,7.0070,7.1400,7.0332,361307,0.0000,1.0000
2018-05-08,7.0800,7.1800,7.0100,7.0400,6.9347,734271,0.0000,1.0000
2018-05-07,7.0500,7.2000,7.0000,7.1700,7.0627,469850,0.0000,1.0000
2018-05-04,7.0000,7.1300,6.9300,7.0200,6.9150,412857,0.0000,1.0000
2018-05-03,7.0000,7.0800,6.9800,7.0400,6.9347,339203,0.0000,1.0000
2018-05-02,6.9000,7.0500,6.8300,7.0000,6.8953,458132,0.0000,1.0000
2018-05-01,6.8800,6.9500,6.7950,6.9100,6.8066,339888,0.0000,1.0000
2018-04-30,6.9500,7.0300,6.8800,6.8800,6.7771,348890,0.0000,1.0000
2018-04-27,6.8800,7.0000,6.8800,6.9300,6.8263,583015,0.0000,1.0000
2018-04-26,7.0200,7.0300,6.8900,6.8900,6.7869,277628,0.0000,1.0000
2018-04-25,7.0900,7.1400,6.9550,6.9800,6.8756,565745,0.0000,1.0000
2018-04-24,7.0900,7.1400,7.0400,7.1100,7.0036,366655,0.0000,1.0000
2018-04-23,6.9600,7.0600,6.9500,7.0500,6.9445,341531,0.0000,1.0000
2018-04-20,6.9200,7.0100,6.9100,6.9200,6.8165,297174,0.0000,1.0000
2018-04-19,7.0900,7.1200,6.9000,6.9500,6.8460,361104,0.0000,1.0000
2018-04-18,7.0200,7.1400,7.0200,7.0900,6.9839,476909,0.0000,1.0000
2018-04-17,6.9500,7.0400,6.8500,7.0100,6.9051,621979,0.0000,1.0000
2018-04-16,6.7500,6.9500,6.7201,6.9100,6.8066,511598,0.0000,1.0000
2018-04-13,6.7000,6.7500,6.6300,6.7400,6.6392,509933,0.0000,1.0000
2018-04-12,6.6500,6.7000,6.4750,6.6800,6.5800,406066,0.0000,1.0000
2018-04-11,6.4600,6.5900,6.4600,6.5900,6.4914,282560,0.0000,1.0000
2018-04-10,6.5800,6.5900,6.4800,6.4900,6.3929,326741,0.0000,1.0000
2018-04-09,6.7000,6.7000,6.4800,6.5100,6.4126,365272,0.0000,1.0000
2018-04-06,6.7000,6.7700,6.6100,6.6400,6.5406,396923,0.0000,1.0000
2018-04-05,6.7200,6.7400,6.6500,6.7300,6.6293,344615,0.0000,1.0000
2018-04-04,6.4900,6.7400,6.4800,6.7100,6.6096,591614,0.0000,1.0000
2018-04-03,6.4000,6.5700,6.3800,6.5400,6.4421,611151,0.0000,1.0000
2018-04-02,6.4500,6.4850,6.3099,6.3900,6.2944,541401,0.0000,1.0000
2018-03-29,6.4500,6.5800,6.4300,6.4600,6.3633,434567,0.0000,1.0000
2018-03-28,6.1800,6.5400,6.1600,6.4500,6.3535,1033550,0.1200,1.0000
2018-03-27,6.2800,6.3750,6.2100,6.2800,6.0730,459625,0.0000,1.0000
2018-03-26,6.3800,6.3900,6.2400,6.3100,6.1021,408570,0.0000,1.0000
2018-03-23,6.5700,6.6200,6.2600,6.2700,6.0634,490558,0.0000,1.0000
2018-03-22,6.6000,6.7200,6.5600,6.5600,6.3438,456940,0.0000,1.0000
2018-03-21,6.6800,6.7200,6.6000,6.6800,6.4599,378188,0.0000,1.0000
2018-03-20,6.6500,6.7200,6.5900,6.6900,6.4695,662079,0.0000,1.0000
2018-03-19,6.6600,6.6850,6.5500,6.6700,6.4502,466847,0.0000,1.0000
2018-03-16,6.5800,6.6900,6.5250,6.6900,6.4695,736726,0.0000,1.0000
2018-03-15,6.6200,6.6400,6.4600,6.5700,6.3535,483105,0.0000,1.0000
2018-03-14,6.5700,6.6400,6.5400,6.6400,6.4212,438446,0.0000,1.0000
2018-03-13,6.5700,6.6300,6.5200,6.5400,6.3245,380862,0.0000,1.0000
2018-03-12,6.5300,6.5700,6.4400,6.5600,6.3438,331003,0.0000,1.0000
2018-03-09,6.4600,6.5200,6.3700,6.5100,6.2955,370108,0.0000,1.0000
2018-03-08,6.4900,6.5100,6.3700,6.4100,6.1988,433659,0.0000,1.0000
2018-03-07,6.2600,6.4900,6.2100,6.4900,6.2761,576006,0.0000,1.0000
2018-03-06,6.2500,6.3700,6.2000,6.3600,6.1504,518433,0.0000,1.0000
2018-03-05,6.0400,6.2400,6.0000,6.2400,6.0344,781888,0.0000,1.0000
