timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,10.4100,10.4750,10.3700,10.3700,10.3700,434838,0.0000,1.0000
2018-07-02,10.2600,10.4000,10.2000,10.3900,10.3900,728429,0.0000,1.0000
2018-06-29,10.4200,10.4267,10.2899,10.3100,10.3100,537587,0.0000,1.0000
2018-06-28,10.3000,10.4550,10.2100,10.4200,10.4200,1021948,0.3750,1.0000
2018-06-27,10.9500,10.9600,10.6150,10.6600,10.2897,832501,0.0000,1.0000
2018-06-26,11.0000,11.0000,10.8010,10.9500,10.5696,639885,0.0000,1.0000
2018-06-25,10.9400,10.9700,10.7900,10.9000,10.5214,734700,0.0000,1.0000
2018-06-22,10.9800,10.9800,10.7700,10.9400,10.5600,1173455,0.0000,1.0000
2018-06-21,10.8800,10.9700,10.8144,10.9500,10.5696,602838,0.0000,1.0000
2018-06-20,10.7400,10.9050,10.6200,10.8800,10.5020,657499,0.0000,1.0000
2018-06-19,10.5800,10.7400,10.5000,10.7100,10.3380,926148,0.0000,1.0000
2018-06-18,10.7700,10.8800,10.6300,10.6400,10.2704,1543787,0.0000,1.0000
2018-06-15,10.9400,11.1600,10.7600,10.9000,10.5214,2345941,0.0000,1.0000
2018-06-14,11.3000,11.4500,11.2700,11.3200,10.9268,699536,0.0000,1.0000
2018-06-13,11.2000,11.3000,11.1400,11.2800,10.8882,717014,0.0000,1.0000
2018-06-12,11.1700,11.2600,11.1300,11.1700,10.7820,549725,0.0000,1.0000
2018-06-11,11.2300,11.2300,11.0300,11.1600,10.7723,1020101,0.0000,1.0000
2018-06-08,11.4700,11.5300,11.2200,11.2300,10.8399,941785,0.0000,1.0000
2018-06-07,11.5100,11.6600,11.4800,11.5000,11.1005,696491,0.0000,1.0000
2018-06-06,11.5000,11.5350,11.3600,11.5100,11.1102,575311,0.0000,1.0000
2018-06-05,11.7500,11.7500,11.4600,11.5000,11.1005,645885,0.0000,1.0000
2018-06-04,11.5500,11.7900,11.5500,11.7700,11.3611,938883,0.0000,1.0000
2018-06-01,11.5000,11.5500,11.4100,11.5500,11.1488,424422,0.0000,1.0000
2018-05-31,11.5200,11.5400,11.4100,11.4400,11.0426,488779,0.0000,1.0000
2018-05-30,11.3200,11.5300,11.2850,11.5100,11.1102,601554,0.0000,1.0000
2018-05-29,11.2100,11.3501,11.1800,11.2700,10.8785,487128,0.0000,1.0000
2018-05-25,11.2500,11.2800,11.1800,11.2500,10.8592,312791,0.0000,1.0000
2018-05-24,11.3000,11.3400,11.2201,11.2600,10.8688,348468,0.0000,1.0000
2018-05-23,11.2600,11.3250,11.2101,11.3000,10.9075,287011,0.0000,1.0000
2018-05-22,11.2500,11.3400,11.2200,11.2800,10.8882,439163,0.0000,1.0000
2018-05-21,11.1200,11.2600,11.0500,11.2600,10.8688,526896,0.0000,1.0000
2018-05-18,10.9700,11.1100,10.8850,11.1000,10.7144,580931,0.0000,1.0000
2018-05-17,10.9500,11.0400,10.8950,10.9400,10.5600,545927,0.0000,1.0000
2018-05-16,10.9400,11.0300,10.9200,10.9400,10.5600,492545,0.0000,1.0000
2018-05-15,10.9200,11.0300,10.9100,10.9700,10.5889,485976,0.0000,1.0000
2018-05-14,10.9800,11.0100,10.9000,10.9400,10.5600,396826,0.0000,1.0000
2018-05-11,10.9800,11.0550,10.9400,10.9500,10.5696,499454,0.0000,1.0000
2018-05-10,10.9100,11.0700,10.9100,10.9900,10.6082,804713,0.0000,1.0000
2018-05-09,11.0800,11.1000,10.9000,10.9000,10.5214,891580,0.0000,1.0000
2018-05-08,11.2500,11.3300,11.0600,11.0900,10.7048,823398,0.0000,1.0000
2018-05-07,11.2300,11.4350,11.2150,11.2700,10.8785,781860,0.0000,1.0000
2018-05-04,11.0700,11.3100,11.0700,11.2700,10.8785,895551,0.0000,1.0000
2018-05-03,11.2700,11.3300,11.0000,11.2300,10.8399,1035502,0.0000,1.0000
2018-05-02,11.3200,11.3866,11.2100,11.2800,10.8882,454960,0.0000,1.0000
2018-05-01,11.4300,11.4500,11.1600,11.3100,10.9171,532616,0.0000,1.0000
2018-04-30,11.5000,11.5200,11.4300,11.4400,11.0426,582184,0.0000,1.0000
2018-04-27,11.3400,11.5300,11.3400,11.4800,11.0812,603001,0.0000,1.0000
2018-04-26,11.1500,11.3900,11.1300,11.3400,10.9461,611158,0.0000,1.0000
2018-04-25,11.1500,11.1650,11.0750,11.1500,10.7627,343134,0.0000,1.0000
2018-04-24,11.1200,11.1850,11.0450,11.1600,10.7723,449209,0.0000,1.0000
2018-04-23,11.1600,11.2790,11.0700,11.1300,10.7434,432919,0.0000,1.0000
2018-04-20,11.1800,11.2300,11.1300,11.1600,10.7723,497474,0.0000,1.0000
2018-04-19,11.2700,11.2900,11.1400,11.1800,10.7916,286673,0.0000,1.0000
2018-04-18,11.2800,11.3800,11.2400,11.2700,10.8785,289405,0.0000,1.0000
2018-04-17,11.2000,11.3100,11.1800,11.2800,10.8882,339235,0.0000,1.0000
2018-04-16,11.1700,11.2000,11.1100,11.1800,10.7916,308491,0.0000,1.0000
2018-04-13,11.2600,11.2600,11.1400,11.1500,10.7627,517299,0.0000,1.0000
2018-04-12,11.3500,11.3650,11.1400,11.2100,10.8206,482836,0.0000,1.0000
2018-04-11,11.2500,11.3450,11.2050,11.3000,10.9075,550123,0.0000,1.0000
2018-04-10,11.3500,11.4062,11.2800,11.2900,10.8978,551950,0.0000,1.0000
2018-04-09,11.4000,11.4300,11.3000,11.3000,10.9075,418650,0.0000,1.0000
2018-04-06,11.2900,11.5000,11.2900,11.3500,10.9557,643913,0.0000,1.0000
2018-04-05,11.2300,11.3300,11.2050,11.3300,10.9364,404844,0.0000,1.0000
2018-04-04,10.9500,11.2600,10.9400,11.2100,10.8206,466506,0.0000,1.0000
