timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,15.5600,15.5650,15.4900,15.5100,15.5100,36195,0.0000,1.0000
2018-07-02,15.6400,15.7208,15.4500,15.5050,15.5050,69782,0.0000,1.0000
2018-06-29,15.6100,15.6100,15.5500,15.6000,15.6000,57011,0.0000,1.0000
2018-06-28,15.6000,15.6150,15.4600,15.5600,15.5600,102825,0.0000,1.0000
2018-06-27,15.6700,15.6700,15.6000,15.6000,15.6000,50366,0.0000,1.0000
2018-06-26,15.6800,15.6900,15.6400,15.6400,15.6400,35305,0.0000,1.0000
2018-06-25,15.7100,15.7534,15.6200,15.6200,15.6200,45474,0.0000,1.0000
2018-06-22,15.7700,15.8000,15.6800,15.6800,15.6800,51426,0.0000,1.0000
2018-06-21,15.6900,15.7700,15.6600,15.7400,15.7400,67613,0.0000,1.0000
2018-06-20,15.7000,15.7300,15.6500,15.6500,15.6500,78982,0.0000,1.0000
2018-06-19,15.6500,15.6800,15.6300,15.6400,15.6400,65016,0.0000,1.0000
2018-06-18,15.6700,15.7100,15.6300,15.6700,15.6700,42846,0.0000,1.0000
2018-06-15,15.7100,15.7565,15.6800,15.6900,15.6900,29838,0.1040,1.0000
2018-06-14,15.9300,15.9499,15.7900,15.8300,15.7258,50643,0.0000,1.0000
2018-06-13,15.8200,15.8600,15.7800,15.8300,15.7258,89487,0.0000,1.0000
2018-06-12,15.8000,15.8300,15.7300,15.8100,15.7059,52715,0.0000,1.0000
2018-06-11,15.8500,15.8600,15.7400,15.7900,15.6860,40961,0.0000,1.0000
2018-06-08,15.8500,15.9000,15.7700,15.7900,15.6860,46339,0.0000,1.0000
2018-06-07,15.8300,15.8500,15.8000,15.8400,15.7357,42722,0.0000,1.0000
2018-06-06,15.8700,15.8700,15.7900,15.8300,15.7258,51744,0.0000,1.0000
2018-06-05,15.9000,15.9000,15.8257,15.8400,15.7357,39932,0.0000,1.0000
2018-06-04,15.9500,15.9629,15.8656,15.9000,15.7953,57165,0.0000,1.0000
2018-06-01,15.9300,15.9300,15.8800,15.9200,15.8152,44488,0.0000,1.0000
2018-05-31,15.9000,15.9000,15.8300,15.8500,15.7456,51321,0.0000,1.0000
2018-05-30,15.7200,15.8600,15.7114,15.8600,15.7556,51548,0.0000,1.0000
2018-05-29,15.6600,15.7600,15.6300,15.6600,15.5569,64693,0.0000,1.0000
2018-05-25,15.7800,15.8000,15.6900,15.7100,15.6066,54911,0.0000,1.0000
2018-05-24,15.6700,15.8200,15.6500,15.8000,15.6960,81884,0.0000,1.0000
2018-05-23,15.7300,15.7601,15.6200,15.6400,15.5370,50811,0.0000,1.0000
2018-05-22,15.8300,15.8400,15.7500,15.7500,15.6463,34170,0.0000,1.0000
2018-05-21,15.7500,15.8100,15.7400,15.8100,15.7059,31969,0.0000,1.0000
2018-05-18,15.8300,15.8300,15.7000,15.7300,15.6264,59755,0.0000,1.0000
2018-05-17,15.7000,15.7700,15.6600,15.7300,15.6264,100868,0.0000,1.0000
2018-05-16,15.7500,15.7500,15.6300,15.6500,15.5469,79139,0.1000,1.0000
2018-05-15,15.8000,15.8500,15.7800,15.8000,15.5963,66948,0.0000,1.0000
2018-05-14,15.8300,15.8700,15.8000,15.8200,15.6160,40862,0.0000,1.0000
2018-05-11,15.8300,15.8300,15.7700,15.8000,15.5963,50598,0.0000,1.0000
2018-05-10,15.8500,15.8500,15.7300,15.7800,15.5766,21709,0.0000,1.0000
2018-05-09,15.8200,15.8600,15.7615,15.8300,15.6259,46532,0.0000,1.0000
2018-05-08,15.7300,15.7900,15.7000,15.7900,15.5864,27086,0.0000,1.0000
2018-05-07,15.6600,15.6900,15.6500,15.6900,15.4877,19269,0.0000,1.0000
