timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,29.4100,29.7600,29.4050,29.4900,29.4900,188413,0.0000,1.0000
2018-07-02,29.2700,29.4000,28.9243,29.2700,29.2700,445038,0.0000,1.0000
2018-06-29,29.6900,30.1800,29.4800,29.4900,29.4900,492845,0.0000,1.0000
2018-06-28,29.2600,29.5700,29.0100,29.5200,29.5200,299744,0.0000,1.0000
2018-06-27,29.4500,30.0800,29.2600,29.2600,29.2600,509353,0.0000,1.0000
2018-06-26,28.9000,29.4850,28.6900,29.4600,29.4600,470507,0.0000,1.0000
2018-06-25,29.1000,29.1200,28.5800,28.9600,28.9600,663572,0.0000,1.0000
2018-06-22,29.6700,29.6700,28.9400,29.2000,29.2000,630881,0.0000,1.0000
2018-06-21,29.2900,29.5600,28.8800,29.5100,29.5100,782460,0.0000,1.0000
2018-06-20,28.6900,29.3500,28.4300,29.2600,29.2600,360046,0.0000,1.0000
2018-06-19,29.4700,29.5600,28.4000,28.6200,28.6200,842229,0.0000,1.0000
2018-06-18,29.3600,29.7300,29.2400,29.7000,29.7000,334465,0.0000,1.0000
2018-06-15,29.6700,29.6800,29.3400,29.4900,29.4900,863530,0.0000,1.0000
2018-06-14,30.0500,30.2900,29.7200,29.8300,29.8300,349088,0.0000,1.0000
2018-06-13,29.8800,30.0900,29.5733,30.0000,30.0000,523070,0.0000,1.0000
2018-06-12,30.1800,30.2350,29.5648,29.9300,29.9300,494066,0.0000,1.0000
2018-06-11,29.8700,30.4800,29.6200,30.1800,30.1800,2561086,0.0000,1.0000
2018-06-08,29.6500,29.9200,29.4950,29.8700,29.8700,497350,0.0000,1.0000
2018-06-07,30.1000,30.3500,29.3900,29.6500,29.6500,364881,0.0000,1.0000
2018-06-06,29.8900,30.2900,29.8100,30.1800,30.1800,550159,0.0000,1.0000
2018-06-05,29.7300,30.0200,29.6500,29.8400,29.8400,480406,0.0000,1.0000
2018-06-04,29.3600,29.8000,29.2400,29.7900,29.7900,360435,0.0000,1.0000
2018-06-01,29.1200,29.3000,28.9000,29.1500,29.1500,589201,0.0000,1.0000
2018-05-31,29.6600,29.7900,28.8100,28.9400,28.9400,611632,0.0000,1.0000
2018-05-30,29.0000,29.7999,28.8600,29.6600,29.6600,330035,0.0000,1.0000
2018-05-29,28.8600,29.2700,28.6500,28.9100,28.9100,528259,0.0000,1.0000
2018-05-25,29.1000,29.2400,28.9600,29.0100,29.0100,263429,0.0000,1.0000
2018-05-24,28.6600,29.4000,28.6600,29.1000,29.1000,734840,0.0000,1.0000
2018-05-23,28.1300,28.6400,28.1300,28.6400,28.6400,463150,0.0000,1.0000
2018-05-22,29.1900,29.1900,28.3200,28.3500,28.3500,409603,0.0000,1.0000
2018-05-21,28.9100,29.3600,28.7650,29.1900,29.1900,547328,0.0000,1.0000
2018-05-18,28.1000,28.8500,27.9700,28.7200,28.7200,813939,0.0000,1.0000
2018-05-17,27.8500,28.5400,27.8400,28.0700,28.0700,671711,0.0000,1.0000
2018-05-16,27.9300,28.1800,27.6650,27.8900,27.8900,619716,0.0000,1.0000
2018-05-15,27.4300,27.9100,27.4300,27.8700,27.8700,440194,0.0000,1.0000
2018-05-14,27.4100,27.7600,27.2000,27.5000,27.5000,584470,0.0000,1.0000
2018-05-11,27.3800,27.5900,26.9400,27.3600,27.3600,512649,0.0000,1.0000
2018-05-10,27.8300,28.0800,27.4200,27.4700,27.4700,1099015,0.0000,1.0000
2018-05-09,27.5600,27.8100,27.4200,27.7200,27.7200,693625,0.0000,1.0000
2018-05-08,25.8000,27.4500,25.8000,27.4100,27.4100,700752,0.0000,1.0000
2018-05-07,25.6900,25.8400,25.5375,25.8300,25.8300,870759,0.0000,1.0000
2018-05-04,25.4800,25.8400,25.0600,25.6500,25.6500,1321423,0.0000,1.0000
2018-05-03,25.8400,25.8400,25.1400,25.6200,25.6200,1321858,0.0000,1.0000
2018-05-02,27.8800,28.4700,25.7200,26.0900,26.0900,2266614,0.0000,1.0000
2018-05-01,27.7200,28.2000,27.5200,27.9400,27.9400,832433,0.0000,1.0000
2018-04-30,28.5500,28.5800,27.9400,27.9400,27.9400,518876,0.0000,1.0000
2018-04-27,29.1000,29.1000,28.1100,28.5100,28.5100,744474,0.0000,1.0000
2018-04-26,29.4000,29.4000,28.9500,28.9700,28.9700,331891,0.0000,1.0000
2018-04-25,29.7000,29.7800,29.1500,29.3500,29.3500,550669,0.0000,1.0000
2018-04-24,30.5700,30.6600,29.1700,29.7800,29.7800,628079,0.0000,1.0000
2018-04-23,30.4200,30.5600,30.2400,30.3600,30.3600,357899,0.0000,1.0000
2018-04-20,30.7600,30.8200,30.1900,30.2900,30.2900,704252,0.0000,1.0000
2018-04-19,31.1000,31.5200,30.8700,30.8900,30.8900,455069,0.0000,1.0000
2018-04-18,31.1200,31.3600,30.8600,31.2400,31.2400,662477,0.0000,1.0000
2018-04-17,30.5600,31.1400,30.5300,31.0100,31.0100,520350,0.0000,1.0000
2018-04-16,30.1200,30.7000,30.0000,30.4500,30.4500,487275,0.0000,1.0000
2018-04-13,29.8300,30.0600,29.6650,29.9000,29.9000,609154,0.0000,1.0000
2018-04-12,29.0400,30.0800,29.0400,29.7000,29.7000,832480,0.0000,1.0000
2018-04-11,27.9700,29.0000,27.8705,28.9800,28.9800,505184,0.0000,1.0000
2018-04-10,28.3500,28.4500,27.9200,28.1200,28.1200,323084,0.0000,1.0000
2018-04-09,28.3500,28.5300,28.0400,28.0400,28.0400,529000,0.0000,1.0000
2018-04-06,28.4600,28.6200,27.9500,28.0900,28.0900,533964,0.0000,1.0000
2018-04-05,28.2800,28.6700,28.1200,28.6500,28.6500,418269,0.0000,1.0000
2018-04-04,27.6700,28.1500,27.5200,28.0600,28.0600,573653,0.0000,1.0000
2018-04-03,27.9900,28.3200,27.7800,28.0600,28.0600,788880,0.0000,1.0000
2018-04-02,27.9100,28.2500,27.5800,28.0200,28.0200,929485,0.0000,1.0000
2018-03-29,27.3300,28.2400,27.2100,27.9700,27.9700,562038,0.0000,1.0000
2018-03-28,27.3600,27.3700,26.7500,27.1600,27.1600,522641,0.0000,1.0000
2018-03-27,28.1600,28.3200,27.2000,27.2800,27.2800,536960,0.0000,1.0000
2018-03-26,27.8700,28.0900,27.5000,28.0800,28.0800,559459,0.0000,1.0000
2018-03-23,27.0700,27.8100,26.7300,27.4000,27.4000,847060,0.0000,1.0000
2018-03-22,27.5000,27.7300,27.0400,27.0700,27.0700,593403,0.0000,1.0000
2018-03-21,27.5500,28.3200,27.2500,27.8200,27.8200,411718,0.0000,1.0000
2018-03-20,27.2400,27.8150,27.1800,27.5200,27.5200,364240,0.0000,1.0000
2018-03-19,27.0700,27.2618,26.6300,27.2300,27.2300,438307,0.0000,1.0000
2018-03-16,27.9200,27.9200,27.0700,27.2600,27.2600,1373217,0.0000,1.0000
2018-03-15,28.2100,28.3900,27.8000,27.9500,27.9500,482996,0.0000,1.0000
2018-03-14,28.4200,28.4400,27.8200,28.1900,28.1900,743064,0.0000,1.0000
2018-03-13,28.3400,28.7500,28.0900,28.3000,28.3000,768589,0.0000,1.0000
2018-03-12,28.2500,28.6300,28.0200,28.2200,28.2200,1116084,0.0000,1.0000
2018-03-09,27.7400,28.4500,27.6000,28.1100,28.1100,601784,0.0000,1.0000
2018-03-08,27.8400,27.8700,27.2700,27.6500,27.6500,531142,0.0000,1.0000
2018-03-07,27.1500,27.8400,27.0900,27.7600,27.7600,747378,0.0000,1.0000
2018-03-06,27.2700,27.5950,26.7600,27.4900,27.4900,1072505,0.0000,1.0000
2018-03-05,27.3300,27.3300,26.6000,27.1300,27.1300,1006000,0.0000,1.0000
2018-03-02,26.5200,27.7800,26.0010,27.4400,27.4400,902182,0.0000,1.0000
2018-03-01,27.0200,27.1500,26.3600,26.6000,26.6000,563666,0.0000,1.0000
2018-02-28,27.3400,27.7200,27.0000,27.0000,27.0000,585599,0.0000,1.0000
2018-02-27,28.1500,28.3800,27.2500,27.2500,27.2500,810977,0.0000,1.0000
2018-02-26,27.5900,28.2650,27.4100,28.2200,28.2200,1339307,0.0000,1.0000
2018-02-23,26.7500,27.4800,26.2200,27.4600,27.4600,1156423,0.0000,1.0000
2018-02-22,26.1200,27.3388,25.1850,26.5500,26.5500,2464362,0.0000,1.0000
2018-02-21,26.9300,27.5200,26.8200,26.9800,26.9800,922372,0.0000,1.0000
