timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,91.9700,92.7000,90.6100,90.6500,90.6500,33696,0.0000,1.0000
2018-07-02,89.8400,91.6600,88.9000,91.5700,91.5700,41130,0.0000,1.0000
2018-06-29,89.3600,91.1350,89.3600,90.3600,90.3600,69947,0.0000,1.0000
2018-06-28,90.2600,90.2600,88.5400,88.9700,88.9700,64693,0.0000,1.0000
2018-06-27,91.5900,93.0800,90.0700,90.1000,90.1000,53725,0.0000,1.0000
2018-06-26,90.6700,92.6800,89.8500,91.5900,91.5900,55335,0.0000,1.0000
2018-06-25,91.0800,91.9600,89.6800,90.4900,90.4900,95855,0.0000,1.0000
2018-06-22,92.3200,92.7100,91.3800,92.0800,92.0800,92537,0.0000,1.0000
2018-06-21,92.5300,93.5199,91.2300,91.5200,91.5200,94063,0.0000,1.0000
2018-06-20,92.3900,94.1500,91.6400,93.0000,93.0000,47277,0.0000,1.0000
2018-06-19,92.6700,92.9100,89.9700,92.4300,92.4300,57692,0.0000,1.0000
2018-06-18,92.7600,94.4900,92.5600,93.5700,93.5700,48551,0.0000,1.0000
2018-06-15,92.9100,95.4100,92.3500,93.8400,93.8400,124576,0.0000,1.0000
2018-06-14,94.6900,95.0350,92.4900,93.5900,93.5900,69236,0.0000,1.0000
2018-06-13,94.4200,94.8500,92.7900,94.2900,94.2900,57912,0.0000,1.0000
2018-06-12,94.7800,95.1500,93.8750,94.5500,94.5500,36261,0.0000,1.0000
2018-06-11,94.3700,95.9800,93.8400,94.5100,94.5100,54678,0.0000,1.0000
2018-06-08,95.5400,97.0500,94.5800,94.6300,94.6300,46539,0.0000,1.0000
2018-06-07,96.3500,97.6150,94.9501,95.8200,95.8200,77761,0.0000,1.0000
2018-06-06,95.2000,96.7300,94.6100,96.4400,96.4400,75710,0.0000,1.0000
2018-06-05,95.3700,96.2600,94.1100,95.2400,95.2400,53691,0.0000,1.0000
2018-06-04,94.4600,95.8600,94.2500,95.1600,95.1600,60068,0.0000,1.0000
2018-06-01,92.6900,94.8700,92.6250,94.5700,94.5700,92458,0.0000,1.0000
2018-05-31,94.7600,94.7600,92.1200,92.2100,92.2100,76142,0.0000,1.0000
