timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,16.4900,16.8200,16.0600,16.4000,16.4000,314830,0.0000,1.0000
2018-07-02,16.2000,16.5300,16.0200,16.5100,16.5100,384196,0.0000,1.0000
2018-06-29,16.4000,16.9100,16.3000,16.4100,16.4100,906733,0.0000,1.0000
2018-06-28,15.9800,16.4400,15.7700,16.3700,16.3700,1120313,0.0000,1.0000
2018-06-27,16.9500,17.0500,16.0700,16.0800,16.0800,756573,0.0000,1.0000
2018-06-26,17.1900,17.1900,16.6400,16.8900,16.8900,638409,0.0000,1.0000
2018-06-25,16.9200,17.1500,16.5700,17.0600,17.0600,1176676,0.0000,1.0000
2018-06-22,17.6100,17.9000,16.5100,17.2900,17.2900,4213188,0.0000,1.0000
2018-06-21,18.2200,18.2200,16.8700,17.0500,17.0500,1070516,0.0000,1.0000
2018-06-20,18.8500,19.2950,18.1700,18.2200,18.2200,844915,0.0000,1.0000
2018-06-19,19.4300,19.5900,18.7100,18.8400,18.8400,1259073,0.0000,1.0000
2018-06-18,19.4200,19.9100,19.2501,19.5300,19.5300,1760930,0.0000,1.0000
2018-06-15,19.7200,19.9800,19.3650,19.5800,19.5800,1976303,0.0000,1.0000
2018-06-14,19.5400,19.7400,19.2300,19.7300,19.7300,1324106,0.0000,1.0000
2018-06-13,19.6100,20.1800,19.4100,19.5300,19.5300,1524747,0.0000,1.0000
2018-06-12,19.2200,19.6400,19.0300,19.6100,19.6100,787734,0.0000,1.0000
2018-06-11,19.0600,19.3700,18.8086,19.1600,19.1600,541110,0.0000,1.0000
2018-06-08,19.0600,19.4500,18.7300,18.9900,18.9900,500131,0.0000,1.0000
2018-06-07,19.1100,19.5000,18.7500,18.9600,18.9600,423517,0.0000,1.0000
2018-06-06,18.6500,19.0500,18.3200,18.9800,18.9800,781658,0.0000,1.0000
2018-06-05,18.9700,19.3100,18.4500,18.6200,18.6200,1509810,0.0000,1.0000
2018-06-04,20.0100,20.0100,18.4500,18.9400,18.9400,1341044,0.0000,1.0000
2018-06-01,19.7800,20.1700,19.4700,19.8600,19.8600,1292681,0.0000,1.0000
2018-05-31,19.8500,19.8600,19.3500,19.7400,19.7400,850687,0.0000,1.0000
2018-05-30,18.9500,19.8700,18.8700,19.8200,19.8200,1146190,0.0000,1.0000
2018-05-29,18.1300,18.9400,17.8900,18.8400,18.8400,715051,0.0000,1.0000
