timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,137.5400,138.4400,136.9300,137.0800,137.0800,411034,0.0000,1.0000
2018-07-02,136.6400,137.6350,136.5600,137.2500,137.2500,777625,0.0000,1.0000
2018-06-29,136.5600,138.2500,136.2900,137.1700,137.1700,1150293,0.0000,1.0000
2018-06-28,134.9100,136.7100,134.8200,136.1800,136.1800,716594,0.0000,1.0000
2018-06-27,137.5200,138.0500,134.9400,134.9900,134.9900,954479,0.0000,1.0000
2018-06-26,137.7000,138.4900,137.3500,137.7500,137.7500,999616,0.0000,1.0000
2018-06-25,137.1200,138.2100,136.4750,137.7000,137.7000,980278,0.0000,1.0000
2018-06-22,137.0000,137.6800,135.3200,137.1400,137.1400,1084176,0.0000,1.0000
2018-06-21,136.9300,137.5600,136.2500,136.5500,136.5500,926769,0.0000,1.0000
2018-06-20,139.6900,140.0000,137.4900,137.6000,137.6000,1044796,0.0000,1.0000
2018-06-19,139.5200,140.0700,139.1100,139.7000,139.7000,1066856,0.0000,1.0000
2018-06-18,138.8200,140.3000,138.4900,140.2600,140.2600,771072,0.0000,1.0000
2018-06-15,139.9400,139.9900,137.8000,139.5300,139.5300,2139176,0.0000,1.0000
2018-06-14,141.7600,141.8500,140.0200,140.2100,140.2100,819687,0.0000,1.0000
2018-06-13,142.2600,142.7600,141.2200,141.2700,141.2700,759929,0.0000,1.0000
2018-06-12,143.0000,143.0000,141.6600,141.8700,141.8700,642608,0.0000,1.0000
2018-06-11,143.1000,143.3400,142.2900,142.6400,142.6400,838552,0.0000,1.0000
2018-06-08,142.3100,143.0200,141.7600,142.9700,142.9700,777681,0.0000,1.0000
2018-06-07,141.9100,142.2500,141.2800,142.0400,142.0400,700508,0.0000,1.0000
2018-06-06,141.3900,142.3700,140.9300,141.6300,141.6300,796618,0.0000,1.0000
2018-06-05,140.7700,141.5800,140.0000,140.7200,140.7200,977255,0.0000,1.0000
2018-06-04,140.7400,141.8850,140.5700,141.3800,141.3800,577944,0.0000,1.0000
2018-06-01,141.2700,141.2700,139.7500,140.0800,140.0800,689437,0.0000,1.0000
2018-05-31,140.0800,141.5350,139.2400,139.8700,139.8700,1393403,0.0000,1.0000
2018-05-30,139.3200,141.0300,139.1100,140.2300,140.2300,749750,0.0000,1.0000
2018-05-29,140.8500,140.9400,137.6600,138.3600,138.3600,1176922,0.0000,1.0000
