timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,3.3000,3.3400,3.2600,3.2800,3.2800,576636,0.0000,1.0000
2018-07-02,3.3000,3.3200,3.2600,3.3100,3.3100,1171332,0.0000,1.0000
2018-06-29,3.2300,3.4100,3.2200,3.3500,3.3500,3768696,0.0000,1.0000
2018-06-28,3.2500,3.2500,3.1200,3.2200,3.2200,1470327,0.0000,1.0000
2018-06-27,3.1800,3.3100,3.1000,3.2500,3.2500,2098200,0.0000,1.0000
2018-06-26,3.2300,3.2800,3.1600,3.1800,3.1800,2570286,0.0000,1.0000
2018-06-25,3.2400,3.4641,3.1800,3.2600,3.2600,3206646,0.0000,1.0000
2018-06-22,3.2900,3.3300,3.2250,3.3300,3.3300,1676003,0.0000,1.0000
2018-06-21,3.3800,3.3950,3.2000,3.3000,3.3000,2812108,0.0000,1.0000
2018-06-20,3.3000,3.4000,3.2600,3.3800,3.3800,3324850,0.0000,1.0000
2018-06-19,3.1900,3.2800,3.0500,3.2800,3.2800,3931362,0.0000,1.0000
2018-06-18,3.0000,3.2100,2.9800,3.2100,3.2100,3935527,0.0000,1.0000
2018-06-15,3.0600,3.0600,2.9600,3.0300,3.0300,2866022,0.0000,1.0000
2018-06-14,3.0100,3.1100,2.9200,3.1000,3.1000,5026110,0.0000,1.0000
2018-06-13,3.0600,3.1250,3.0000,3.0500,3.0500,2476625,0.0000,1.0000
2018-06-12,3.1800,3.2100,3.0500,3.0600,3.0600,2382900,0.0000,1.0000
2018-06-11,3.1800,3.2350,3.1537,3.2000,3.2000,1883319,0.0000,1.0000
2018-06-08,3.1400,3.2300,3.0200,3.2000,3.2000,2120280,0.0000,1.0000
2018-06-07,3.2200,3.2550,2.9100,3.1900,3.1900,5610860,0.0000,1.0000
2018-06-06,3.3400,3.3485,3.2000,3.2500,3.2500,4986121,0.0000,1.0000
2018-06-05,3.4000,3.4600,3.1300,3.3800,3.3800,6244934,0.0000,1.0000
2018-06-04,3.2500,3.4300,3.2300,3.3800,3.3800,7190023,0.0000,1.0000
2018-06-01,3.1000,3.2000,3.0800,3.1900,3.1900,4909493,0.0000,1.0000
2018-05-31,3.0300,3.1000,3.0050,3.0700,3.0700,3207677,0.0000,1.0000
2018-05-30,3.0100,3.0400,2.9150,3.0300,3.0300,2971640,0.0000,1.0000
2018-05-29,3.0100,3.0300,2.8700,2.9400,2.9400,4516188,0.0000,1.0000
2018-05-25,3.1300,3.1900,3.0300,3.0500,3.0500,4117970,0.0000,1.0000
2018-05-24,3.0200,3.2400,2.8500,3.0800,3.0800,8388769,0.0000,1.0000
2018-05-23,3.2500,3.2600,2.8700,2.9700,2.9700,6909691,0.0000,1.0000
2018-05-22,3.0600,3.2300,3.0400,3.1900,3.1900,9052003,0.0000,1.0000
2018-05-21,2.8500,3.0400,2.8400,3.0000,3.0000,7332530,0.0000,1.0000
2018-05-18,2.8200,2.8800,2.7600,2.8100,2.8100,4736910,0.0000,1.0000
2018-05-17,2.6800,2.9000,2.6110,2.7700,2.7700,8986977,0.0000,1.0000
2018-05-16,2.5600,2.6300,2.5257,2.6200,2.6200,1847347,0.0000,1.0000
2018-05-15,2.5100,2.6151,2.4200,2.5500,2.5500,5224125,0.0000,1.0000
2018-05-14,2.4400,2.5900,2.4400,2.5100,2.5100,3240393,0.0000,1.0000
2018-05-11,2.4000,2.4900,2.4000,2.4400,2.4400,2720212,0.0000,1.0000
2018-05-10,2.6800,2.7000,2.4000,2.4600,2.4600,5684772,0.0000,1.0000
2018-05-09,2.9000,2.9100,2.4300,2.6700,2.6700,7838671,0.0000,1.0000
2018-05-08,2.6200,2.9000,2.5900,2.8400,2.8400,10347959,0.0000,1.0000
2018-05-07,2.6000,2.6250,2.4500,2.5500,2.5500,6694205,0.0000,1.0000
2018-05-04,2.3500,2.5300,2.3100,2.4400,2.4400,9181104,0.0000,1.0000
2018-05-03,2.2300,2.3000,2.0700,2.3000,2.3000,12255195,0.0000,1.0000
2018-05-02,2.1300,2.1300,2.0700,2.1000,2.1000,1945376,0.0000,1.0000
2018-05-01,2.1100,2.1200,2.0800,2.1000,2.1000,1466527,0.0000,1.0000
2018-04-30,2.1300,2.1300,2.0800,2.0900,2.0900,1650351,0.0000,1.0000
2018-04-27,2.2400,2.2500,2.0800,2.0900,2.0900,7550593,0.0000,1.0000
2018-04-26,1.9700,2.2800,1.9200,2.2600,2.2600,10592704,0.0000,1.0000
2018-04-25,1.9300,1.9800,1.9000,1.9700,1.9700,1077330,0.0000,1.0000
2018-04-24,2.0000,2.0000,1.8900,1.9300,1.9300,1462256,0.0000,1.0000
2018-04-23,2.0200,2.0346,1.9300,1.9800,1.9800,1372335,0.0000,1.0000
2018-04-20,1.9700,2.0700,1.9700,2.0000,2.0000,1111597,0.0000,1.0000
2018-04-19,2.0600,2.0699,1.9290,2.0000,2.0000,968098,0.0000,1.0000
2018-04-18,1.9800,2.1500,1.9800,2.0600,2.0600,2685709,0.0000,1.0000
2018-04-17,2.1000,2.1090,1.9000,1.9800,1.9800,2649292,0.0000,1.0000
2018-04-16,1.9700,2.1500,1.9250,2.0400,2.0400,4755789,0.0000,1.0000
2018-04-13,1.8600,1.9800,1.8300,1.9300,1.9300,2080631,0.0000,1.0000
2018-04-12,1.8200,1.8600,1.8100,1.8200,1.8200,763241,0.0000,1.0000
2018-04-11,1.8300,1.8700,1.8000,1.8100,1.8100,907657,0.0000,1.0000
2018-04-10,1.8800,1.9000,1.8000,1.8400,1.8400,1003304,0.0000,1.0000
2018-04-09,1.8000,1.8750,1.7800,1.8500,1.8500,904978,0.0000,1.0000
2018-04-06,1.8300,1.8400,1.7600,1.7700,1.7700,1404299,0.0000,1.0000
2018-04-05,1.8400,1.8700,1.8000,1.8600,1.8600,1082422,0.0000,1.0000
2018-04-04,1.8000,1.8500,1.7200,1.8500,1.8500,1793061,0.0000,1.0000
2018-04-03,1.9300,1.9300,1.8000,1.8000,1.8000,2054497,0.0000,1.0000
2018-04-02,2.0500,2.0500,1.8500,1.8700,1.8700,2184865,0.0000,1.0000
2018-03-29,1.9000,2.0000,1.8600,2.0000,2.0000,2636234,0.0000,1.0000
2018-03-28,1.9000,1.9000,1.8300,1.8800,1.8800,3080567,0.0000,1.0000
2018-03-27,1.9500,2.0400,1.9400,1.9900,1.9900,2109881,0.0000,1.0000
2018-03-26,2.0400,2.1300,1.8500,1.9600,1.9600,5071793,0.0000,1.0000
2018-03-23,2.0600,2.0900,2.0100,2.0400,2.0400,1581576,0.0000,1.0000
2018-03-22,2.1100,2.1800,2.0300,2.0500,2.0500,2148844,0.0000,1.0000
2018-03-21,2.1100,2.2350,2.0600,2.1500,2.1500,2195396,0.0000,1.0000
2018-03-20,2.1500,2.1600,2.0600,2.0700,2.0700,2712942,0.0000,1.0000
2018-03-19,2.3400,2.3400,2.1300,2.1700,2.1700,4026264,0.0000,1.0000
2018-03-16,2.1800,2.3000,2.0800,2.1500,2.1500,3539814,0.0000,1.0000
2018-03-15,2.2300,2.3700,2.1600,2.1900,2.1900,4735908,0.0000,1.0000
2018-03-14,2.1200,2.2500,2.0200,2.1600,2.1600,3358319,0.0000,1.0000
2018-03-13,2.1000,2.2200,2.0800,2.1500,2.1500,2978592,0.0000,1.0000
2018-03-12,2.3200,2.3400,1.9946,2.0700,2.0700,10802351,0.0000,1.0000
2018-03-09,2.1100,2.3500,2.1000,2.2900,2.2900,6595261,0.0000,1.0000
2018-03-08,2.4900,2.5200,2.0000,2.0700,2.0700,9646981,0.0000,1.0000
2018-03-07,2.5300,2.5700,2.4800,2.4900,2.4900,1987557,0.0000,1.0000
2018-03-06,2.6100,2.6500,2.5200,2.5500,2.5500,3315851,0.0000,1.0000
2018-03-05,2.6600,2.7200,2.5800,2.6000,2.6000,4386149,0.0000,1.0000
2018-03-02,2.7000,2.7500,2.5800,2.7400,2.7400,2392745,0.0000,1.0000
2018-03-01,2.8100,2.8100,2.6600,2.7100,2.7100,3280382,0.0000,1.0000
2018-02-28,2.7800,2.8800,2.7700,2.7900,2.7900,2734557,0.0000,1.0000
2018-02-27,2.9800,2.9890,2.7700,2.7800,2.7800,6803891,0.0000,1.0000
2018-02-26,3.1000,3.1296,2.9500,2.9700,2.9700,4338935,0.0000,1.0000
2018-02-23,3.2900,3.2999,3.0500,3.1000,3.1000,9723574,0.0000,1.0000
2018-02-22,3.2700,3.3800,3.2000,3.3100,3.3100,1551768,0.0000,1.0000
2018-02-21,3.4900,3.4900,3.2250,3.2700,3.2700,2779458,0.0000,1.0000
2018-02-20,3.6000,3.6200,3.3900,3.3900,3.3900,3274736,0.0000,1.0000
2018-02-16,3.3600,3.7000,3.3600,3.5600,3.5600,8010353,0.0000,1.0000
2018-02-15,3.5300,3.5376,3.2500,3.3100,3.3100,2854049,0.0000,1.0000
2018-02-14,3.4500,3.5500,3.3500,3.4700,3.4700,3202235,0.0000,1.0000
2018-02-13,3.6600,4.2000,3.2701,3.3500,3.3500,15213816,0.0000,1.0000
2018-02-12,3.4100,3.4500,3.3000,3.3500,3.3500,3493725,0.0000,1.0000
2018-02-09,3.6200,3.6400,3.1100,3.2600,3.2600,5158443,0.0000,1.0000
