timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,1.8000,1.8200,1.7400,1.7600,1.7600,77192,0.0000,1.0000
2018-07-02,1.7600,1.7738,1.7200,1.7600,1.7600,192977,0.0000,1.0000
2018-06-29,1.8000,1.8300,1.7600,1.7700,1.7700,90307,0.0000,1.0000
2018-06-28,1.8200,1.8600,1.7600,1.7800,1.7800,165509,0.0000,1.0000
2018-06-27,1.8500,1.9000,1.8000,1.8100,1.8100,434827,0.0000,1.0000
2018-06-26,1.8500,1.9000,1.8200,1.8300,1.8300,261728,0.0000,1.0000
2018-06-25,1.8300,1.9000,1.8300,1.8500,1.8500,322526,0.0000,1.0000
2018-06-22,1.9400,2.0000,1.8100,1.8200,1.8200,4897878,0.0000,1.0000
2018-06-21,1.9800,2.0100,1.9200,1.9200,1.9200,277641,0.0000,1.0000
2018-06-20,2.0200,2.0500,1.9800,1.9800,1.9800,271592,0.0000,1.0000
2018-06-19,2.0100,2.0500,1.9600,2.0200,2.0200,247333,0.0000,1.0000
2018-06-18,2.0400,2.0700,1.9900,2.0100,2.0100,184914,0.0000,1.0000
2018-06-15,2.0400,2.0998,2.0200,2.0500,2.0500,214596,0.0000,1.0000
2018-06-14,2.1200,2.1200,2.0000,2.0500,2.0500,144427,0.0000,1.0000
2018-06-13,2.1400,2.1457,2.0800,2.1100,2.1100,161850,0.0000,1.0000
2018-06-12,2.1000,2.1300,2.0600,2.0900,2.0900,200217,0.0000,1.0000
2018-06-11,2.0200,2.1200,2.0200,2.1000,2.1000,190280,0.0000,1.0000
2018-06-08,2.0700,2.1179,2.0400,2.0500,2.0500,172997,0.0000,1.0000
2018-06-07,1.9900,2.0700,1.9700,2.0600,2.0600,137270,0.0000,1.0000
2018-06-06,2.0000,2.0600,1.9900,2.0000,2.0000,295156,0.0000,1.0000
2018-06-05,1.8700,2.0300,1.8700,1.9900,1.9900,241458,0.0000,1.0000
