timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,12.2000,12.6000,12.2000,12.5000,12.5000,725439,0.0000,1.0000
2018-07-02,12.0000,12.1500,11.6750,12.1500,12.1500,3758640,0.0000,1.0000
2018-06-29,12.0000,12.0500,11.8500,12.0000,12.0000,821729,0.0000,1.0000
2018-06-28,12.1000,12.1000,11.7750,11.9500,11.9500,900549,0.0000,1.0000
2018-06-27,12.4500,12.6500,12.1000,12.1000,12.1000,1501642,0.0000,1.0000
2018-06-26,11.9000,12.4000,11.7750,12.3500,12.3500,1442005,0.0000,1.0000
2018-06-25,12.0500,12.0500,11.7000,11.9000,11.9000,1024120,0.0000,1.0000
2018-06-22,12.1500,12.3500,12.0000,12.1000,12.1000,1968630,0.0000,1.0000
2018-06-21,11.9000,11.9500,11.6500,11.7500,11.7500,1227115,0.0000,1.0000
2018-06-20,12.0500,12.0500,11.7250,11.9500,11.9500,1236135,0.0000,1.0000
2018-06-19,11.7000,12.0500,11.5750,11.9500,11.9500,2557885,0.0000,1.0000
2018-06-18,11.3000,11.8500,11.1500,11.8500,11.8500,2858490,0.0000,1.0000
2018-06-15,11.2500,11.3000,10.9000,11.2500,11.2500,3505735,0.0000,1.0000
2018-06-14,11.6000,11.6500,11.2500,11.3500,11.3500,2019920,0.0000,1.0000
2018-06-13,11.7500,11.7500,11.4000,11.5500,11.5500,3660125,0.0000,1.0000
2018-06-12,11.7500,11.9000,11.6000,11.7500,11.7500,1915293,0.0000,1.0000
2018-06-11,11.4500,11.8000,11.4500,11.7500,11.7500,1914124,0.0000,1.0000
2018-06-08,11.8500,12.2500,11.3500,11.4500,11.4500,1805527,0.0000,1.0000
2018-06-07,11.8500,11.9250,11.6000,11.8000,11.8000,1965557,0.0000,1.0000
2018-06-06,11.7000,11.7500,11.4750,11.7500,11.7500,2724989,0.0000,1.0000
2018-06-05,11.7500,11.8500,11.5000,11.7000,11.7000,3086817,0.0000,1.0000
2018-06-04,11.8500,11.8500,11.4000,11.7500,11.7500,3165485,0.0000,1.0000
2018-06-01,11.6000,11.9000,11.5500,11.7500,11.7500,1808956,0.0000,1.0000
2018-05-31,11.8000,11.9000,11.5000,11.5500,11.5500,2575351,0.0000,1.0000
2018-05-30,11.4000,12.1000,11.3000,11.9000,11.9000,1718294,0.0000,1.0000
2018-05-29,11.2000,11.4250,11.1500,11.3000,11.3000,1509754,0.0000,1.0000
2018-05-25,11.3000,11.3500,11.1500,11.3500,11.3500,1153835,0.0000,1.0000
