timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,4.8312,4.8900,4.8300,4.8400,4.8400,7131,0.0000,1.0000
2018-07-02,4.8600,4.9200,4.8250,4.8300,4.8300,12450,0.0000,1.0000
2018-06-29,4.9100,4.9300,4.8600,4.9000,4.9000,49949,0.0000,1.0000
2018-06-28,4.8700,4.9000,4.8500,4.8700,4.8700,44480,0.0000,1.0000
2018-06-27,4.8800,4.9700,4.8300,4.8700,4.8700,33773,0.0000,1.0000
2018-06-26,5.0100,5.0400,4.8800,4.8800,4.8800,66464,0.0000,1.0000
2018-06-25,5.2200,5.2200,5.0000,5.0500,5.0500,23007,0.0000,1.0000
2018-06-22,5.1400,5.3150,5.1200,5.1900,5.1900,33623,0.0000,1.0000
2018-06-21,5.2900,5.2900,5.1000,5.1700,5.1700,18734,0.0000,1.0000
2018-06-20,5.2700,5.3000,5.2000,5.2700,5.2700,9322,0.0000,1.0000
2018-06-19,5.1000,5.2900,5.0500,5.2400,5.2400,20861,0.0000,1.0000
2018-06-18,5.1200,5.2400,5.0800,5.2000,5.2000,7058,0.0000,1.0000
2018-06-15,5.1300,5.1400,5.0700,5.0800,5.0800,10501,0.0000,1.0000
2018-06-14,5.1900,5.1900,5.0600,5.1200,5.1200,18180,0.0000,1.0000
2018-06-13,5.1500,5.1800,5.0700,5.1400,5.1400,13951,0.0000,1.0000
2018-06-12,5.1100,5.1500,5.0300,5.1300,5.1300,113408,0.0000,1.0000
2018-06-11,5.0800,5.1500,5.0500,5.1300,5.1300,27978,0.0000,1.0000
2018-06-08,5.0600,5.1300,5.0200,5.0500,5.0500,17297,0.0000,1.0000
2018-06-07,5.0600,5.1100,5.0300,5.0600,5.0600,34978,0.0000,1.0000
2018-06-06,5.0900,5.1200,5.0200,5.0500,5.0500,37313,0.0000,1.0000
2018-06-05,5.0800,5.1200,5.0800,5.0900,5.0900,10798,0.0000,1.0000
2018-06-04,5.0700,5.1499,5.0500,5.1000,5.1000,24898,0.0000,1.0000
2018-06-01,5.0000,5.0900,4.9101,5.0500,5.0500,19317,0.0000,1.0000
2018-05-31,5.0300,5.0600,5.0200,5.0200,5.0200,21625,0.0000,1.0000
2018-05-30,5.0000,5.0400,5.0000,5.0200,5.0200,57653,0.0000,1.0000
2018-05-29,4.8600,4.9900,4.8600,4.9700,4.9700,9198,0.0000,1.0000
2018-05-25,4.8500,4.9300,4.8500,4.9100,4.9100,4015,0.0000,1.0000
2018-05-24,4.8100,4.9900,4.3600,4.8500,4.8500,7301,0.0000,1.0000
2018-05-23,4.9700,4.9700,4.7000,4.8600,4.8600,16081,0.0000,1.0000
2018-05-22,4.9358,5.0000,4.9000,4.9500,4.9500,6400,0.0000,1.0000
2018-05-21,4.9700,5.0600,4.9601,4.9900,4.9900,22369,0.0000,1.0000
2018-05-18,4.9500,4.9900,4.8600,4.9900,4.9900,9504,0.0000,1.0000
2018-05-17,5.0000,5.1400,4.9200,4.9600,4.9600,15279,0.0000,1.0000
2018-05-16,5.0000,5.1300,4.9756,5.0000,5.0000,17220,0.0000,1.0000
2018-05-15,4.9600,5.0000,4.9600,4.9900,4.9900,9617,0.0000,1.0000
2018-05-14,4.9700,5.1500,4.9500,5.0000,5.0000,63031,0.0000,1.0000
2018-05-11,4.9600,5.0800,4.9500,4.9700,4.9700,22689,0.0000,1.0000
2018-05-10,4.7500,5.0900,4.6900,5.0000,5.0000,185034,0.0000,1.0000
2018-05-09,4.7300,4.8000,4.7000,4.7500,4.7500,34748,0.0000,1.0000
2018-05-08,4.6400,4.7600,4.5800,4.7100,4.7100,30719,0.0000,1.0000
2018-05-07,4.5700,4.6350,4.4861,4.6100,4.6100,39646,0.0000,1.0000
2018-05-04,4.1600,4.5800,4.1600,4.5500,4.5500,66624,0.0000,1.0000
2018-05-03,4.5000,4.5500,4.4500,4.4500,4.4500,981,0.0000,1.0000
2018-05-02,4.5500,4.5600,4.4442,4.4700,4.4700,23282,0.0000,1.0000
2018-05-01,4.4600,4.5100,4.3800,4.4900,4.4900,10417,0.0000,1.0000
2018-04-30,4.4500,4.5900,4.4400,4.5000,4.5000,12169,0.0000,1.0000
2018-04-27,4.3700,4.4500,4.3100,4.4500,4.4500,11628,0.0000,1.0000
2018-04-26,4.4800,4.4800,4.2986,4.4100,4.4100,5259,0.0000,1.0000
2018-04-25,4.5200,4.5200,4.4000,4.4500,4.4500,2995,0.0000,1.0000
2018-04-24,4.4800,4.5100,4.4101,4.5100,4.5100,4464,0.0000,1.0000
2018-04-23,4.5500,4.5500,4.3900,4.4500,4.4500,7390,0.0000,1.0000
2018-04-20,4.4200,4.5400,4.3700,4.5400,4.5400,12390,0.0000,1.0000
2018-04-19,4.3800,4.4500,4.2900,4.4400,4.4400,474229,0.0000,1.0000
2018-04-18,4.3500,4.4000,4.3500,4.3800,4.3800,18531,0.0000,1.0000
2018-04-17,4.4500,4.4500,4.3000,4.3400,4.3400,41836,0.0000,1.0000
2018-04-16,4.4900,4.4900,4.3600,4.4700,4.4700,35195,0.0000,1.0000
2018-04-13,4.2800,4.4400,4.2610,4.4100,4.4100,14797,0.0000,1.0000
2018-04-12,4.1700,4.3400,4.0800,4.2900,4.2900,285225,0.0000,1.0000
2018-04-11,4.1000,4.1100,4.0600,4.1000,4.1000,34479,0.0000,1.0000
2018-04-10,4.0900,4.2000,4.0400,4.1400,4.1400,13417,0.0000,1.0000
2018-04-09,4.2000,4.2000,4.0300,4.0300,4.0300,18291,0.0000,1.0000
2018-04-06,4.1300,4.2800,4.1200,4.1800,4.1800,21921,0.0000,1.0000
2018-04-05,4.1500,4.1900,4.1169,4.1400,4.1400,35041,0.0000,1.0000
2018-04-04,4.1300,4.1600,4.1300,4.1500,4.1500,16822,0.0000,1.0000
2018-04-03,4.1606,4.2300,4.1400,4.1400,4.1400,19288,0.0000,1.0000
2018-04-02,4.2300,4.2500,4.1400,4.1800,4.1800,21730,0.0000,1.0000
2018-03-29,4.2900,4.3000,4.2400,4.2700,4.2700,43000,0.0000,1.0000
2018-03-28,4.2000,4.3000,4.2000,4.2500,4.2500,16122,0.0000,1.0000
2018-03-27,4.2500,4.2800,4.2300,4.2400,4.2400,24047,0.0000,1.0000
2018-03-26,4.3100,4.3700,4.1800,4.2500,4.2500,224562,0.0000,1.0000
2018-03-23,4.2900,4.3550,4.2300,4.2600,4.2600,15348,0.0000,1.0000
2018-03-22,4.3000,4.4300,4.2400,4.2400,4.2400,19251,0.0000,1.0000
2018-03-21,4.2900,4.3600,4.2250,4.2900,4.2900,46712,0.0000,1.0000
2018-03-20,4.2900,4.2900,4.2400,4.2500,4.2500,93275,0.0000,1.0000
2018-03-19,4.4700,4.5000,4.2600,4.2700,4.2700,55373,0.0000,1.0000
2018-03-16,4.5100,4.5500,4.3850,4.4800,4.4800,29813,0.0000,1.0000
2018-03-15,4.5000,4.5900,4.3900,4.4800,4.4800,19269,0.0000,1.0000
2018-03-14,4.5500,4.5900,4.3100,4.4700,4.4700,175157,0.0000,1.0000
2018-03-13,4.5500,4.6000,4.4900,4.5400,4.5400,13808,0.0000,1.0000
