timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,44.5000,44.6600,43.9400,44.0100,44.0100,479692,0.0000,1.0000
2018-07-02,43.8500,44.4700,43.7600,44.4700,44.4700,841551,0.0000,1.0000
2018-06-29,43.7100,44.9300,43.7100,43.8400,43.8400,1461770,0.0000,1.0000
2018-06-28,43.3000,43.7550,43.0900,43.5900,43.5900,1006064,0.0000,1.0000
2018-06-27,44.3500,44.5500,43.2250,43.3000,43.3000,1163855,0.0000,1.0000
2018-06-26,44.3400,44.5600,43.6400,44.4100,44.4100,1354925,0.0000,1.0000
2018-06-25,44.3900,44.5400,43.8900,44.3000,44.3000,1155004,0.0000,1.0000
2018-06-22,44.7500,45.0500,44.4700,44.5100,44.5100,3406101,0.0000,1.0000
2018-06-21,45.0400,45.3700,44.3600,44.5200,44.5200,1455534,0.0000,1.0000
2018-06-20,45.9700,45.9700,45.1100,45.1900,45.1900,1391843,0.0000,1.0000
2018-06-19,45.6500,45.9400,45.4000,45.5200,45.5200,1388415,0.0000,1.0000
2018-06-18,46.5000,46.6700,46.0100,46.0200,46.0200,1248278,0.0000,1.0000
2018-06-15,46.2400,46.7000,46.0000,46.6600,46.6600,1818110,0.0000,1.0000
2018-06-14,46.3500,46.7100,45.7800,46.5900,46.5900,1231667,0.0000,1.0000
2018-06-13,46.0000,47.4900,45.5700,46.4700,46.4700,3386360,0.0000,1.0000
2018-06-12,46.4000,46.4400,44.4600,45.3200,45.3200,3565627,0.0000,1.0000
2018-06-11,46.0000,46.5800,46.0000,46.2200,46.2200,1085920,0.0000,1.0000
2018-06-08,45.6700,46.1200,45.5800,45.8100,45.8100,888416,0.0000,1.0000
2018-06-07,45.9800,46.1200,45.6000,46.0000,46.0000,2768119,0.0000,1.0000
2018-06-06,45.4900,46.0450,45.2200,45.7100,45.7100,1006446,0.0000,1.0000
2018-06-05,45.5400,45.5700,44.5400,45.2800,45.2800,2105786,0.0000,1.0000
2018-06-04,45.6100,45.8500,45.1800,45.7200,45.7200,842044,0.0000,1.0000
2018-06-01,45.2200,45.9300,45.2200,45.5400,45.5400,1246154,0.0000,1.0000
2018-05-31,45.4300,45.4300,43.9600,44.6700,44.6700,3865772,0.0000,1.0000
2018-05-30,45.0800,45.7200,44.6200,45.4200,45.4200,1585592,0.0000,1.0000
2018-05-29,46.6100,46.6400,44.7900,44.8400,44.8400,1173937,0.0000,1.0000
2018-05-25,47.0600,47.3900,46.8200,47.0500,47.0500,1047353,0.0000,1.0000
2018-05-24,47.1100,47.6400,46.8400,47.3300,47.3300,1271622,0.0000,1.0000
2018-05-23,46.9600,47.7700,46.7000,47.2000,47.2000,1298386,0.0000,1.0000
2018-05-22,46.2400,47.1000,45.8700,47.0600,47.0600,1071232,0.0000,1.0000
2018-05-21,46.4200,46.6300,46.0000,46.0800,46.0800,775945,0.0000,1.0000
2018-05-18,46.8300,46.9750,46.1900,46.3400,46.3400,1202347,0.0000,1.0000
2018-05-17,46.3400,46.9100,46.0300,46.7100,46.7100,1225013,0.0000,1.0000
2018-05-16,46.7700,46.8500,46.0600,46.2900,46.2900,1361399,0.0000,1.0000
2018-05-15,46.9300,47.2700,46.6000,46.7100,46.7100,998404,0.0000,1.0000
2018-05-14,46.5000,47.4100,46.5000,47.1000,47.1000,1127782,0.0000,1.0000
2018-05-11,46.8500,47.1900,46.3200,46.5100,46.5100,1140623,0.0000,1.0000
2018-05-10,46.6200,46.9600,46.3300,46.6200,46.6200,2009796,0.0000,1.0000
2018-05-09,46.5600,46.7300,45.8400,46.6300,46.6300,1626599,0.0000,1.0000
2018-05-08,46.5900,47.1100,46.0500,46.3200,46.3200,1005750,0.0000,1.0000
2018-05-07,46.9600,47.1600,46.3800,46.6700,46.6700,1359155,0.0000,1.0000
2018-05-04,46.7000,48.1700,46.2700,46.7000,46.7000,2042728,0.0000,1.0000
2018-05-03,48.3100,48.3500,46.6000,47.5600,47.5600,1598228,0.0000,1.0000
2018-05-02,49.0600,49.2800,48.2700,48.4900,48.4900,1134617,0.0000,1.0000
2018-05-01,48.8700,49.4200,48.6250,49.2900,49.2900,851050,0.0000,1.0000
2018-04-30,49.4500,49.6700,49.0000,49.0000,49.0000,588498,0.0000,1.0000
2018-04-27,49.0800,49.6600,49.0077,49.5400,49.5400,436558,0.0000,1.0000
2018-04-26,49.2900,49.5100,48.8500,49.2300,49.2300,664674,0.0000,1.0000
2018-04-25,49.4300,49.5600,48.8300,49.2000,49.2000,815329,0.0000,1.0000
2018-04-24,49.6300,49.8100,48.8800,49.2600,49.2600,735604,0.0000,1.0000
2018-04-23,49.6300,49.7000,49.3150,49.6500,49.6500,703537,0.0000,1.0000
2018-04-20,49.5500,49.8250,49.0250,49.3400,49.3400,1086338,0.0000,1.0000
2018-04-19,49.1300,49.9200,48.9200,49.3500,49.3500,1027137,0.0000,1.0000
2018-04-18,48.7300,49.1500,48.3800,49.1000,49.1000,1006525,0.0000,1.0000
2018-04-17,49.0500,49.0500,48.2500,48.4300,48.4300,963511,0.0000,1.0000
2018-04-16,48.5000,49.0300,48.3100,48.8400,48.8400,919597,0.0000,1.0000
2018-04-13,48.4900,48.7100,47.7100,48.1000,48.1000,752352,0.0000,1.0000
2018-04-12,47.9900,49.0600,47.8300,48.3100,48.3100,1132668,0.0000,1.0000
2018-04-11,47.5600,48.3700,47.5100,47.9900,47.9900,1291367,0.0000,1.0000
2018-04-10,47.9600,48.4950,47.3300,47.9900,47.9900,2220240,0.0000,1.0000
