timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,4.2000,4.2050,4.1900,4.1900,4.1900,506530,0.0000,1.0000
2018-07-02,4.2400,4.2500,4.1650,4.1900,4.1900,880048,0.0000,1.0000
2018-06-29,4.2700,4.3000,4.2200,4.2300,4.2300,819266,0.0000,1.0000
2018-06-28,4.0700,4.2500,4.0700,4.2100,4.2100,2110133,0.0000,1.0000
2018-06-27,4.1600,4.2000,4.1100,4.1200,4.1200,338147,0.0000,1.0000
2018-06-26,4.1700,4.1700,4.1200,4.1600,4.1600,657911,0.0000,1.0000
2018-06-25,4.2300,4.2300,4.1400,4.2000,4.2000,570873,0.0000,1.0000
2018-06-22,4.2600,4.2800,4.2050,4.2700,4.2700,524104,0.0000,1.0000
2018-06-21,4.3100,4.3100,4.2200,4.2300,4.2300,432546,0.0000,1.0000
2018-06-20,4.4000,4.4500,4.3700,4.4100,4.4100,686711,0.0000,1.0000
2018-06-19,4.3500,4.3500,4.2700,4.3100,4.3100,644850,0.0000,1.0000
2018-06-18,4.4600,4.4700,4.2600,4.3600,4.3600,1639093,0.0000,1.0000
2018-06-15,4.5500,4.5500,4.4400,4.4800,4.4800,1099099,0.0000,1.0000
2018-06-14,4.4600,4.5950,4.4500,4.5500,4.5500,1740643,0.0000,1.0000
2018-06-13,4.4500,4.5000,4.4100,4.4900,4.4900,476975,0.0000,1.0000
2018-06-12,4.4400,4.4700,4.4200,4.4600,4.4600,387629,0.0000,1.0000
2018-06-11,4.4100,4.4500,4.4000,4.4500,4.4500,470597,0.0000,1.0000
2018-06-08,4.3800,4.4000,4.3500,4.3900,4.3900,515118,0.0000,1.0000
2018-06-07,4.4100,4.4100,4.3600,4.4000,4.4000,1205220,0.0000,1.0000
2018-06-06,4.3700,4.4000,4.3200,4.3800,4.3800,1263532,0.0000,1.0000
2018-06-05,4.4300,4.4300,4.3000,4.3200,4.3200,722299,0.0000,1.0000
2018-06-04,4.4200,4.4400,4.4100,4.4400,4.4400,534513,0.0000,1.0000
2018-06-01,4.3700,4.4100,4.3600,4.4100,4.4100,606872,0.0000,1.0000
2018-05-31,4.3100,4.3400,4.3100,4.3400,4.3400,719444,0.0000,1.0000
2018-05-30,4.2500,4.2500,4.2100,4.2400,4.2400,580258,0.0000,1.0000
2018-05-29,4.2300,4.2500,4.2100,4.2400,4.2400,414246,0.0000,1.0000
2018-05-25,4.2400,4.2400,4.1900,4.2200,4.2200,352470,0.0000,1.0000
2018-05-24,4.2500,4.2700,4.1800,4.2500,4.2500,669002,0.0000,1.0000
2018-05-23,4.2100,4.2700,4.1900,4.2600,4.2600,670158,0.0000,1.0000
2018-05-22,4.2300,4.2300,4.1500,4.2300,4.2300,1008457,0.0000,1.0000
2018-05-21,4.2100,4.2100,4.1600,4.2000,4.2000,676108,0.0000,1.0000
2018-05-18,4.2000,4.2000,4.1400,4.1700,4.1700,650738,0.0000,1.0000
2018-05-17,4.2100,4.2200,4.1600,4.2000,4.2000,1170364,0.0000,1.0000
2018-05-16,4.3300,4.3300,4.1700,4.2100,4.2100,1826301,0.0000,1.0000
2018-05-15,4.3300,4.3300,4.2800,4.3300,4.3300,645359,0.0000,1.0000
