timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,20.8300,20.8300,20.0400,20.1100,20.1100,621105,0.0000,1.0000
2018-07-02,19.9400,20.8900,19.7000,20.8400,20.8400,1881112,0.0000,1.0000
2018-06-29,19.5200,20.2600,19.2600,20.0800,20.0800,1301138,0.0000,1.0000
2018-06-28,19.8400,20.0100,19.4000,19.5200,19.5200,986030,0.0000,1.0000
2018-06-27,20.0800,20.0800,19.7100,19.7500,19.7500,1198140,0.0000,1.0000
2018-06-26,20.0800,20.1800,19.4500,20.1100,20.1100,1325223,0.0000,1.0000
2018-06-25,20.9000,21.0700,19.9800,20.1000,20.1000,1698301,0.0000,1.0000
2018-06-22,20.7500,21.3100,20.2800,21.0700,21.0700,12854857,0.0000,1.0000
2018-06-21,20.8500,21.2225,20.4000,20.7000,20.7000,1496425,0.0000,1.0000
2018-06-20,20.9600,21.2100,20.7800,20.8900,20.8900,931958,0.0000,1.0000
2018-06-19,21.2300,21.3300,20.8350,20.9500,20.9500,988421,0.0000,1.0000
2018-06-18,21.5900,21.7400,21.2400,21.4100,21.4100,1073054,0.0000,1.0000
2018-06-15,21.4400,21.9400,21.3600,21.7200,21.7200,1633527,0.0000,1.0000
2018-06-14,21.6500,22.0600,21.2800,21.4500,21.4500,1257143,0.0000,1.0000
2018-06-13,21.7500,22.0000,21.5500,21.7200,21.7200,785510,0.0000,1.0000
2018-06-12,21.7900,21.9500,21.4600,21.7500,21.7500,1380096,0.0000,1.0000
2018-06-11,21.2300,22.0100,21.0700,21.7700,21.7700,1242279,0.0000,1.0000
2018-06-08,20.8300,21.4700,20.6600,21.2300,21.2300,3060905,0.0000,1.0000
2018-06-07,21.7700,21.8100,20.7300,20.7500,20.7500,3192431,0.0000,1.0000
2018-06-06,22.7600,22.8450,21.3500,21.3500,21.3500,2636539,0.0000,1.0000
2018-06-05,22.8800,23.2200,22.5900,23.0400,23.0400,609370,0.0000,1.0000
2018-06-04,22.9600,23.1900,22.7300,22.8500,22.8500,538779,0.0000,1.0000
2018-06-01,22.1400,23.1100,22.0100,22.9500,22.9500,972336,0.0000,1.0000
2018-05-31,21.6400,22.3850,21.5500,22.0700,22.0700,1763052,0.0000,1.0000
2018-05-30,22.2700,22.4400,21.5100,21.5700,21.5700,1002403,0.0000,1.0000
2018-05-29,22.2000,22.3500,21.9800,22.1100,22.1100,649242,0.0000,1.0000
2018-05-25,22.4800,22.6200,22.1500,22.4000,22.4000,538782,0.0000,1.0000
2018-05-24,22.2900,22.7300,22.1100,22.4200,22.4200,793608,0.0000,1.0000
2018-05-23,22.2800,22.3050,22.0600,22.1800,22.1800,480986,0.0000,1.0000
2018-05-22,22.0000,22.4125,21.7700,22.2800,22.2800,637213,0.0000,1.0000
2018-05-21,22.0600,22.4200,21.9400,22.0300,22.0300,590296,0.0000,1.0000
2018-05-18,22.4700,22.5400,21.7900,22.1500,22.1500,1320217,0.0000,1.0000
2018-05-17,22.5400,22.8100,22.3800,22.4300,22.4300,1336843,0.0000,1.0000
2018-05-16,21.6400,22.8400,21.6400,22.6000,22.6000,1945728,0.0000,1.0000
2018-05-15,20.9800,21.9600,20.8500,21.7900,21.7900,1224560,0.0000,1.0000
