timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.1300,7.1300,7.1300,7.1300,7.1300,0,0.0000,1.0000
2018-07-02,7.1300,7.1300,7.1300,7.1300,7.1300,11,0.0000,1.0000
2018-06-29,7.1300,7.1300,7.1300,7.1300,7.1300,144,0.0000,1.0000
2018-06-28,7.1201,7.1300,7.1201,7.1300,7.1300,661,0.0000,1.0000
2018-06-27,7.1600,7.1600,7.1600,7.1600,7.1600,1115,0.0000,1.0000
2018-06-26,7.1200,7.1200,7.1200,7.1200,7.1200,9,0.0000,1.0000
2018-06-25,7.1200,7.1200,7.1200,7.1200,7.1200,83,0.0000,1.0000
2018-06-22,7.1199,7.1200,7.1199,7.1200,7.1200,3578,0.0000,1.0000
2018-06-21,7.0300,7.0800,7.0300,7.0800,7.0800,876,0.0000,1.0000
2018-06-20,7.1000,7.1000,7.0500,7.1000,7.1000,625,0.0000,1.0000
2018-06-19,7.1600,7.1600,7.0000,7.0000,7.0000,627,0.0000,1.0000
2018-06-18,7.1200,7.1200,7.1200,7.1200,7.1200,697,0.0000,1.0000
2018-06-15,7.0800,7.1600,7.0800,7.1600,7.1600,1112,0.0000,1.0000
2018-06-14,7.0800,7.0800,7.0800,7.0800,7.0800,119,0.0000,1.0000
2018-06-13,7.0400,7.0400,7.0400,7.0400,7.0400,120,0.0000,1.0000
2018-06-12,6.9973,7.0000,6.9973,7.0000,7.0000,1501,0.0000,1.0000
2018-06-11,6.9100,7.0000,6.9100,6.9973,6.9973,2304,0.0000,1.0000
2018-06-08,7.0000,7.0300,6.8700,6.8700,6.8700,1592,0.0000,1.0000
2018-06-07,6.9800,7.0065,6.9800,7.0000,7.0000,3323,0.0000,1.0000
2018-06-06,7.1200,7.1200,6.8900,6.8900,6.8900,2700,0.0000,1.0000
2018-06-05,7.1390,7.1390,7.1390,7.1390,7.1390,6,0.0000,1.0000
2018-06-04,7.1500,7.1500,7.1390,7.1390,7.1390,768,0.0000,1.0000
2018-06-01,7.0400,7.0800,7.0400,7.0800,7.0800,3386,0.0000,1.0000
2018-05-31,6.9500,7.0100,6.8900,7.0100,7.0100,9885,0.0000,1.0000
2018-05-30,7.0500,7.0500,6.9400,6.9400,6.9400,524,0.0000,1.0000
2018-05-29,7.0400,7.1100,7.0400,7.1100,7.1100,1133,0.0000,1.0000
2018-05-25,7.1500,7.1600,7.0000,7.1600,7.1600,8000,0.0000,1.0000
2018-05-24,7.1900,7.1900,7.1900,7.1900,7.1900,0,0.0000,1.0000
2018-05-23,7.1900,7.1900,7.1900,7.1900,7.1900,0,0.0000,1.0000
2018-05-22,7.1993,7.2000,7.1900,7.1900,7.1900,1500,0.0000,1.0000
2018-05-21,7.2400,7.2400,7.2400,7.2400,7.2400,629,0.0000,1.0000
2018-05-18,7.2100,7.2100,7.2093,7.2100,7.2100,2296,0.0000,1.0000
2018-05-17,7.1993,7.2000,7.1993,7.2000,7.2000,1963,0.0000,1.0000
2018-05-16,7.2100,7.2500,7.1600,7.1600,7.1600,2137,0.0000,1.0000
2018-05-15,7.2100,7.2100,7.1905,7.1905,7.1905,462,0.0000,1.0000
2018-05-14,7.2119,7.2119,7.2119,7.2119,7.2119,0,0.0000,1.0000
2018-05-11,7.2193,7.2200,7.2119,7.2119,7.2119,1437,0.0000,1.0000
2018-05-10,7.2060,7.2060,7.2060,7.2060,7.2060,15,0.0000,1.0000
2018-05-09,7.2300,7.2300,7.2060,7.2060,7.2060,1206,0.0000,1.0000
2018-05-08,7.2400,7.2400,7.2400,7.2400,7.2400,20,0.0000,1.0000
2018-05-07,7.2492,7.2492,7.2300,7.2400,7.2400,1600,0.0000,1.0000
2018-05-04,7.0541,7.2100,7.0541,7.2100,7.2100,2102,0.0000,1.0000
2018-05-03,7.1900,7.2000,7.1900,7.2000,7.2000,437,0.0000,1.0000
2018-05-02,7.2170,7.2361,7.0762,7.1800,7.1800,8724,0.0000,1.0000
2018-05-01,7.2144,7.2144,7.2144,7.2144,7.2144,364,0.0000,1.0000
2018-04-30,7.2492,7.2500,7.2492,7.2500,7.2500,2870,0.0000,1.0000
2018-04-27,7.1800,7.1800,7.1800,7.1800,7.1800,103,0.0000,1.0000
2018-04-26,7.1501,7.1800,7.1501,7.1800,7.1800,785,0.0000,1.0000
2018-04-25,7.3500,7.3500,7.3500,7.3500,7.3500,4641,0.0000,1.0000
2018-04-24,7.3900,7.3900,7.3900,7.3900,7.3900,0,0.0000,1.0000
2018-04-23,7.3900,7.3900,7.3900,7.3900,7.3900,0,0.0000,1.0000
2018-04-20,7.3900,7.3900,7.3900,7.3900,7.3900,0,0.0000,1.0000
2018-04-19,7.2600,7.3900,7.2600,7.3900,7.3900,3347,0.0000,1.0000
2018-04-18,7.3500,7.3500,7.3500,7.3500,7.3500,92,0.0000,1.0000
2018-04-17,7.3500,7.3500,7.3500,7.3500,7.3500,70,0.0000,1.0000
2018-04-16,7.3500,7.3500,7.3500,7.3500,7.3500,4,0.0000,1.0000
2018-04-13,7.2514,7.3500,7.2514,7.3500,7.3500,1019,0.0000,1.0000
2018-04-12,7.3000,7.3000,7.3000,7.3000,7.3000,0,0.0000,1.0000
2018-04-11,7.3000,7.3000,7.3000,7.3000,7.3000,400,0.0000,1.0000
2018-04-10,7.4500,7.4600,7.4186,7.4500,7.4500,987,0.0000,1.0000
2018-04-09,7.3400,7.4700,7.3400,7.4500,7.4500,2601,0.0000,1.0000
2018-04-06,7.3900,7.3900,7.2700,7.2700,7.2700,2277,0.0000,1.0000
2018-04-05,7.0500,7.5500,7.0500,7.3700,7.3700,3960,0.0000,1.0000
2018-04-04,7.0500,7.0800,7.0499,7.0499,7.0499,666,0.0000,1.0000
2018-04-03,7.1300,7.2600,6.9700,6.9700,6.9700,4838,0.0000,1.0000
2018-04-02,7.1201,7.1201,7.0999,7.1200,7.1200,7232,0.0000,1.0000
2018-03-29,7.1500,7.2000,7.1500,7.1900,7.1900,7594,0.0000,1.0000
2018-03-28,7.1500,7.1900,7.1479,7.1900,7.1900,5451,0.0000,1.0000
2018-03-27,7.2500,7.2500,7.2000,7.2000,7.2000,5359,0.0000,1.0000
2018-03-26,7.3999,7.4000,7.2320,7.2800,7.2800,6647,0.0000,1.0000
2018-03-23,7.2946,7.3800,7.2946,7.3800,7.3800,755,0.0000,1.0000
2018-03-22,7.3500,7.3500,7.2800,7.2800,7.2800,11241,0.0000,1.0000
2018-03-21,7.3900,7.4000,7.3800,7.3800,7.3800,629,0.0000,1.0000
2018-03-20,7.3500,7.3500,7.3500,7.3500,7.3500,305,0.0000,1.0000
2018-03-19,7.2900,7.3600,7.2740,7.3100,7.3100,6915,0.0000,1.0000
2018-03-16,7.2999,7.2999,7.2600,7.2600,7.2600,1187,0.0000,1.0000
2018-03-15,7.2471,7.2500,7.2000,7.2500,7.2500,4474,0.0000,1.0000
2018-03-14,7.2182,7.2900,7.2178,7.2900,7.2900,1432,0.0000,1.0000
2018-03-13,7.2599,7.2900,7.2599,7.2900,7.2900,600,0.0000,1.0000
2018-03-12,7.1944,7.1944,7.1944,7.1944,7.1944,57,0.0000,1.0000
2018-03-09,7.2200,7.2200,7.1944,7.1944,7.1944,6817,0.0000,1.0000
2018-03-08,7.4200,7.4200,7.3400,7.3400,7.3400,2775,0.0000,1.0000
2018-03-07,7.5600,7.5675,7.4100,7.4200,7.4200,5311,0.0000,1.0000
2018-03-06,7.5900,7.6000,7.5700,7.5700,7.5700,4002,0.0000,1.0000
2018-03-05,7.5852,7.5852,7.5852,7.5852,7.5852,174,0.0000,1.0000
2018-03-02,7.5852,7.5852,7.5852,7.5852,7.5852,38,0.0000,1.0000
2018-03-01,7.5900,7.5900,7.5900,7.5900,7.5900,400,0.0000,1.0000
2018-02-28,7.6200,7.6200,7.6200,7.6200,7.6200,87,0.0000,1.0000
2018-02-27,7.6200,7.6200,7.6200,7.6200,7.6200,51,0.0000,1.0000
2018-02-26,7.5700,7.6500,7.5700,7.6200,7.6200,1829,0.0000,1.0000
2018-02-23,7.7100,7.7100,7.5800,7.5800,7.5800,374,0.0000,1.0000
2018-02-22,7.5500,7.5500,7.5500,7.5500,7.5500,186,0.0000,1.0000
2018-02-21,7.4700,7.5500,7.4700,7.5500,7.5500,1151,0.0000,1.0000
2018-02-20,7.4700,7.4700,7.4700,7.4700,7.4700,150,0.0000,1.0000
2018-02-16,7.5200,7.5200,7.5200,7.5200,7.5200,0,0.0000,1.0000
2018-02-15,7.4898,7.5200,7.4898,7.5200,7.5200,1111,0.0000,1.0000
2018-02-14,7.5000,7.5296,7.5000,7.5005,7.5005,3115,0.0000,1.0000
2018-02-13,7.5500,7.5500,7.5500,7.5500,7.5500,714,0.0000,1.0000
2018-02-12,7.5899,7.5899,7.5400,7.5400,7.5400,960,0.0000,1.0000
2018-02-09,7.5094,7.5094,7.5094,7.5094,7.5094,318,0.0000,1.0000
2018-02-08,7.4960,7.5256,7.4960,7.5256,7.5256,672,0.0000,1.0000
2018-02-07,7.5600,7.6000,7.5600,7.5900,7.5900,513,0.0000,1.0000
2018-02-06,7.4500,7.5500,7.3500,7.5500,7.5500,930,0.0000,1.0000
2018-02-05,7.6500,7.6500,7.6500,7.6500,7.6500,257,0.0000,1.0000
2018-02-02,7.6500,7.6500,7.5700,7.6500,7.6500,2416,0.0000,1.0000
2018-02-01,7.6290,7.6400,7.5900,7.6000,7.6000,2631,0.0000,1.0000
2018-01-31,7.5500,7.6200,7.4710,7.6200,7.6200,1408,0.0000,1.0000
2018-01-30,7.2000,7.6300,7.2000,7.4500,7.4500,23709,0.0000,1.0000
2018-01-29,7.1993,7.5200,7.1993,7.3000,7.3000,10592,0.0000,1.0000
2018-01-26,7.1900,7.2900,7.1000,7.1500,7.1500,9544,0.0000,1.0000
2018-01-25,7.0899,7.1599,7.0300,7.1599,7.1599,6172,0.0000,1.0000
2018-01-24,7.0799,7.0900,7.0600,7.0600,7.0600,2296,0.0000,1.0000
2018-01-23,7.0700,7.0700,6.9900,7.0300,7.0300,1540,0.0000,1.0000
2018-01-22,7.1310,7.1500,7.0330,7.0330,7.0330,5975,0.0000,1.0000
2018-01-19,7.1000,7.1499,7.0906,7.1499,7.1499,3075,0.0000,1.0000
2018-01-18,7.0541,7.0541,7.0541,7.0541,7.0541,134,0.0000,1.0000
2018-01-17,7.2000,7.2000,7.1101,7.1101,7.1101,5817,0.0000,1.0000
2018-01-16,7.1000,7.1500,7.0999,7.1500,7.1500,6388,0.0000,1.0000
2018-01-12,7.0900,7.0900,7.0900,7.0900,7.0900,25,0.0000,1.0000
2018-01-11,7.0500,7.1000,7.0200,7.0900,7.0900,8523,0.0000,1.0000
2018-01-10,7.0499,7.0500,7.0499,7.0500,7.0500,1590,0.0000,1.0000
2018-01-09,7.0450,7.0450,7.0450,7.0450,7.0450,155,0.0000,1.0000
2018-01-08,7.0500,7.0500,7.0500,7.0500,7.0500,140,0.0000,1.0000
2018-01-05,6.9600,7.0500,6.9330,7.0200,7.0200,1875,0.0000,1.0000
2018-01-04,6.9000,7.0200,6.9000,7.0200,7.0200,1889,0.0000,1.0000
2018-01-03,6.9899,7.0000,6.9899,7.0000,7.0000,706,0.0000,1.0000
2018-01-02,6.9100,6.9100,6.9100,6.9100,6.9100,178,0.0000,1.0000
2017-12-29,6.9950,7.0200,6.9950,7.0200,7.0200,3679,0.0000,1.0000
2017-12-28,6.9465,7.0200,6.9465,7.0200,7.0200,3691,0.0000,1.0000
2017-12-27,6.9799,6.9800,6.9772,6.9800,6.9800,3900,0.0000,1.0000
2017-12-26,6.9727,7.0000,6.9200,6.9200,6.9200,14246,0.0000,1.0000
2017-12-22,7.0200,7.0200,6.9504,6.9900,6.9900,1980,0.0000,1.0000
2017-12-21,7.0000,7.0000,6.9762,6.9900,6.9900,2346,0.0000,1.0000
2017-12-20,6.9899,6.9900,6.9700,6.9838,6.9838,3712,0.0000,1.0000
2017-12-19,6.9500,6.9500,6.9500,6.9500,6.9500,15,0.0000,1.0000
2017-12-18,6.9500,6.9500,6.9500,6.9500,6.9500,1422,0.0000,1.0000
2017-12-15,7.0280,7.0280,6.9200,6.9200,6.9200,7728,0.0000,1.0000
2017-12-14,7.0100,7.0100,7.0001,7.0001,7.0001,1613,0.0000,1.0000
2017-12-13,7.0500,7.0500,6.9982,6.9982,6.9982,2895,0.0000,1.0000
2017-12-12,7.0260,7.0260,6.9400,6.9900,6.9900,3761,0.0000,1.0000
2017-12-11,7.0390,7.0390,7.0390,7.0390,7.0390,242,0.0000,1.0000
2017-12-08,6.9900,7.0100,6.9601,7.0100,7.0100,1184,0.0000,1.0000
2017-12-07,7.1200,7.1200,7.0100,7.0800,7.0800,8350,0.0000,1.0000
2017-12-06,6.9200,6.9900,6.8500,6.9900,6.9900,3910,0.0000,1.0000
2017-12-05,6.8489,6.9100,6.8470,6.9100,6.9100,2530,0.0000,1.0000
2017-12-04,6.8470,6.8500,6.8200,6.8200,6.8200,1115,0.0000,1.0000
2017-12-01,6.8970,6.9000,6.8970,6.9000,6.9000,8758,0.0000,1.0000
2017-11-30,6.9500,6.9600,6.9500,6.9600,6.9600,204,0.0000,1.0000
2017-11-29,6.8950,6.9000,6.8210,6.8800,6.8800,5417,0.0000,1.0000
2017-11-28,6.9000,6.9000,6.9000,6.9000,6.9000,11,0.0000,1.0000
2017-11-27,6.8900,6.9000,6.8900,6.9000,6.9000,5311,0.0000,1.0000
2017-11-24,6.8400,6.9700,6.8400,6.9700,6.9700,336,0.0000,1.0000
2017-11-22,6.9400,6.9400,6.9400,6.9400,6.9400,74,0.0000,1.0000
2017-11-21,6.9000,6.9500,6.8600,6.9400,6.9400,6482,0.0000,1.0000
2017-11-20,6.9300,6.9300,6.9300,6.9300,6.9300,167,0.0000,1.0000
2017-11-17,6.8600,6.9000,6.8200,6.8500,6.8500,7086,0.0000,1.0000
2017-11-16,6.9101,6.9200,6.9100,6.9108,6.9108,1436,0.0000,1.0000
2017-11-15,7.0000,7.0000,7.0000,7.0000,7.0000,35,0.0000,1.0000
2017-11-14,7.0000,7.0000,7.0000,7.0000,7.0000,10,0.0000,1.0000
2017-11-13,7.0000,7.0000,7.0000,7.0000,7.0000,226,0.0000,1.0000
