timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,25.9400,26.3200,25.9400,25.9900,25.9900,227417,0.0000,1.0000
2018-07-02,25.8100,26.0800,25.6650,25.9600,25.9600,179205,0.0000,1.0000
2018-06-29,26.2000,26.4636,25.8600,26.0000,26.0000,218531,0.0000,1.0000
2018-06-28,25.8100,26.2100,25.5600,25.9900,25.9900,272157,0.0000,1.0000
2018-06-27,26.1400,26.3100,25.3000,25.3200,25.3200,421405,0.0000,1.0000
2018-06-26,27.1600,27.2500,26.4700,26.5600,26.5600,306092,0.0000,1.0000
2018-06-25,27.0100,27.6000,26.9500,27.0100,27.0100,632049,0.0000,1.0000
2018-06-22,27.1600,27.2600,26.6400,26.6800,26.6800,544689,0.0000,1.0000
2018-06-21,25.8200,27.5300,25.6300,27.2100,27.2100,1174045,0.0000,1.0000
2018-06-20,26.4100,26.4500,25.9400,25.9900,25.9900,560747,0.0000,1.0000
2018-06-19,25.9600,26.3900,25.5200,26.3300,26.3300,874019,0.0000,1.0000
2018-06-18,26.2300,26.6900,26.0800,26.4800,26.4800,560122,0.0000,1.0000
2018-06-15,25.5200,26.7100,25.3500,26.6900,26.6900,2963332,0.0000,1.0000
2018-06-14,22.5400,22.5400,21.5200,21.7600,21.7600,285626,0.0000,1.0000
2018-06-13,22.8000,22.8200,22.2900,22.4800,22.4800,300071,0.0000,1.0000
2018-06-12,23.0000,23.2000,22.6400,22.7500,22.7500,256340,0.0000,1.0000
2018-06-11,23.3500,23.6700,22.9000,22.9800,22.9800,270496,0.0000,1.0000
2018-06-08,22.8500,23.3600,22.3300,23.1700,23.1700,565674,0.0000,1.0000
2018-06-07,23.0700,23.0700,21.3200,22.4700,22.4700,878113,0.0000,1.0000
2018-06-06,23.1900,23.6200,23.0900,23.5400,23.5400,553259,0.0000,1.0000
2018-06-05,23.6100,23.9300,23.1200,23.4000,23.4000,929439,0.0000,1.0000
2018-06-04,24.0900,24.1700,23.6700,23.8700,23.8700,467353,0.0000,1.0000
2018-06-01,23.8300,24.4100,22.6000,23.8600,23.8600,855171,0.0000,1.0000
2018-05-31,24.4100,24.4200,23.8600,23.9500,23.9500,370199,0.0000,1.0000
2018-05-30,23.9200,24.5400,23.7300,24.2900,24.2900,471408,0.0000,1.0000
2018-05-29,24.8300,25.1100,23.8100,24.2000,24.2000,596832,0.0000,1.0000
2018-05-25,26.5000,26.5800,25.7500,25.9600,25.9600,408733,0.0000,1.0000
2018-05-24,26.5100,27.7000,26.2900,26.7100,26.7100,1183523,0.0000,1.0000
2018-05-23,25.1800,25.3800,24.8200,25.1800,25.1800,212413,0.0000,1.0000
2018-05-22,25.6900,25.9100,25.1200,25.2500,25.2500,301507,0.0000,1.0000
2018-05-21,26.4000,26.4900,24.9600,25.2500,25.2500,442257,0.0000,1.0000
2018-05-18,25.9100,25.9900,25.4000,25.7100,25.7100,282620,0.0000,1.0000
2018-05-17,27.1700,27.1700,26.0700,26.3200,26.3200,245015,0.0000,1.0000
2018-05-16,26.6300,27.3800,26.5800,27.1200,27.1200,311635,0.0000,1.0000
2018-05-15,24.7800,25.9200,24.5500,25.7900,25.7900,211658,0.0000,1.0000
2018-05-14,25.4700,25.5600,25.0400,25.2100,25.2100,249443,0.0000,1.0000
2018-05-11,25.8400,26.0700,25.1000,25.2400,25.2400,597619,0.0000,1.0000
2018-05-10,24.6900,26.3600,24.6900,25.8000,25.8000,529646,0.0000,1.0000
2018-05-09,24.2200,24.8090,24.0700,24.4800,24.4800,337461,0.0000,1.0000
2018-05-08,24.3600,24.6200,23.9800,24.4000,24.4000,220293,0.0000,1.0000
2018-05-07,24.4500,24.7600,24.3300,24.3500,24.3500,239421,0.0000,1.0000
2018-05-04,23.9500,24.8400,23.8100,24.7300,24.7300,336444,0.0000,1.0000
2018-05-03,24.3300,24.3900,23.8400,24.1200,24.1200,212919,0.0000,1.0000
2018-05-02,24.4200,24.8200,24.1100,24.5900,24.5900,239668,1.1088,1.0000
2018-05-01,25.9000,25.9100,25.1600,25.5500,24.4476,231735,0.0000,1.0000
2018-04-30,26.2500,26.5700,25.8200,25.9000,24.7825,399563,0.0000,1.0000
2018-04-27,26.4600,26.5200,26.0800,26.3900,25.2513,174387,0.0000,1.0000
2018-04-26,25.8400,26.2800,25.5700,26.1600,25.0313,377509,0.0000,1.0000
2018-04-25,26.6000,26.6700,25.8100,25.8600,24.7442,335453,0.0000,1.0000
2018-04-24,27.1900,27.6400,26.6100,27.0700,25.9020,339832,0.0000,1.0000
2018-04-23,27.4800,27.5600,27.2500,27.3500,26.1699,248748,0.0000,1.0000
2018-04-20,27.7100,27.7700,27.2900,27.6900,26.4953,298724,0.0000,1.0000
2018-04-19,28.3100,28.4000,27.9600,28.3000,27.0789,207092,0.0000,1.0000
2018-04-18,28.2000,28.6200,28.1700,28.5300,27.2990,377759,0.0000,1.0000
2018-04-17,27.7800,28.1500,27.7800,27.9800,26.7727,153275,0.0000,1.0000
2018-04-16,27.9100,27.9100,27.3100,27.6600,26.4665,196425,0.0000,1.0000
2018-04-13,28.0000,28.0400,27.4500,27.7100,26.5144,235093,0.0000,1.0000
2018-04-12,28.3200,28.5050,28.1000,28.1500,26.9354,229727,0.0000,1.0000
2018-04-11,27.9800,28.3400,27.9800,28.2100,26.9928,471365,0.0000,1.0000
2018-04-10,27.4600,28.3500,27.2750,28.1800,26.9641,286625,0.0000,1.0000
2018-04-09,27.7100,27.8800,27.3200,27.3300,26.1508,272794,0.0000,1.0000
2018-04-06,27.7600,27.8900,27.3600,27.5600,26.3709,311169,0.0000,1.0000
2018-04-05,28.4400,28.6100,27.9200,28.0700,26.8589,404087,0.0000,1.0000
2018-04-04,26.9000,27.8800,26.8000,27.7100,26.5144,339498,0.0000,1.0000
2018-04-03,28.2200,28.2300,27.5200,27.5600,26.3709,318111,0.0000,1.0000
2018-04-02,28.4700,28.7100,27.7600,27.8800,26.6771,330613,0.0000,1.0000
2018-03-29,27.9600,29.2500,27.8900,28.9900,27.7392,519197,0.0000,1.0000
2018-03-28,27.1000,27.1900,26.6600,26.8600,25.7011,237584,0.0000,1.0000
2018-03-27,28.1600,28.3100,27.3000,27.4200,26.2369,249782,0.0000,1.0000
2018-03-26,28.2600,28.6500,28.1200,28.5300,27.2990,206823,0.0000,1.0000
2018-03-23,28.4400,28.5400,27.8900,27.9100,26.7058,373152,0.0000,1.0000
2018-03-22,28.8200,29.2100,28.4100,28.4200,27.1938,587592,0.0000,1.0000
2018-03-21,28.5200,29.3000,28.4500,29.2600,27.9975,267084,0.0000,1.0000
2018-03-20,28.9800,29.2100,28.4000,28.6500,27.4138,278284,0.0000,1.0000
2018-03-19,29.2200,29.3700,28.6700,28.9100,27.6626,210107,0.0000,1.0000
2018-03-16,28.7300,29.4650,28.6200,29.3100,28.0454,276289,0.0000,1.0000
2018-03-15,28.7600,29.0000,28.2600,28.7000,27.4617,274954,0.0000,1.0000
2018-03-14,29.4200,29.4200,28.8700,28.9800,27.7296,102004,0.0000,1.0000
2018-03-13,29.8000,29.9500,29.2200,29.3000,28.0358,160736,0.0000,1.0000
2018-03-12,29.5500,29.7100,29.4800,29.5500,28.2750,158409,0.0000,1.0000
2018-03-09,29.0900,29.5000,28.9700,29.3500,28.0836,269365,0.0000,1.0000
2018-03-08,28.5800,28.7100,28.0200,28.5500,27.3181,198307,0.0000,1.0000
2018-03-07,29.0900,29.2750,28.4100,28.7700,27.5287,310336,0.0000,1.0000
2018-03-06,28.6600,29.2800,28.5400,29.1000,27.8444,239295,0.0000,1.0000
2018-03-05,28.2900,28.7100,28.2700,28.4100,27.1842,167879,0.0000,1.0000
2018-03-02,28.0200,28.3400,27.8300,28.3100,27.0885,214851,0.0000,1.0000
2018-03-01,28.5500,28.7400,27.8100,28.2300,27.0120,565591,0.0000,1.0000
2018-02-28,29.0400,29.2100,28.4700,28.4800,27.2512,347454,0.0000,1.0000
2018-02-27,29.2500,29.3900,28.6500,28.6900,27.4521,211426,0.0000,1.0000
2018-02-26,29.2900,29.5700,28.7200,29.2100,27.9497,330242,0.0000,1.0000
2018-02-23,29.0900,29.4600,28.9200,29.3400,28.0741,368578,0.0000,1.0000
2018-02-22,28.6700,28.8200,28.4600,28.6700,27.4330,237384,0.0000,1.0000
2018-02-21,28.5000,28.9800,28.1800,28.5000,27.2703,252756,0.0000,1.0000
2018-02-20,27.4900,28.4100,27.4300,28.2800,27.0598,490758,0.0000,1.0000
2018-02-16,27.6200,27.8700,27.2400,27.2400,26.0647,504357,0.0000,1.0000
2018-02-15,28.7600,29.0600,28.1600,28.3800,27.1555,313569,0.0000,1.0000
2018-02-14,28.1500,28.8200,27.8900,28.6200,27.3851,294386,0.0000,1.0000
2018-02-13,27.9600,28.4400,27.9600,28.3000,27.0789,165461,0.0000,1.0000
2018-02-12,27.7500,28.4500,27.7100,28.2500,27.0311,338695,0.0000,1.0000
2018-02-09,28.5500,28.5800,27.1300,27.7600,26.5622,850995,0.0000,1.0000
2018-02-08,29.7300,29.7300,27.7000,27.7500,26.5527,471327,0.0000,1.0000
2018-02-07,29.9700,30.4000,29.1000,29.1000,27.8444,319395,0.0000,1.0000
2018-02-06,29.4700,30.5900,29.3700,30.0000,28.7056,783962,0.0000,1.0000
2018-02-05,30.4800,30.9000,29.2200,29.3800,28.1123,528338,0.0000,1.0000
2018-02-02,30.5500,30.6500,30.2500,30.3700,29.0596,720170,0.0000,1.0000
2018-02-01,30.8800,31.3100,30.7600,30.8000,29.4711,367542,0.0000,1.0000
2018-01-31,31.8900,31.9100,31.0000,31.1200,29.7773,272400,0.0000,1.0000
2018-01-30,31.7400,31.7800,30.8700,31.5000,30.1409,492707,0.0000,1.0000
