timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.9700,10.0800,9.9000,10.0000,10.0000,3160686,0.0000,1.0000
2018-07-02,9.5800,10.0400,9.5100,9.9600,9.9600,4318513,0.0000,1.0000
2018-06-29,9.8500,9.8500,9.6200,9.6500,9.6500,5423844,0.0000,1.0000
2018-06-28,9.7600,9.8300,9.5200,9.7600,9.7600,6499651,0.0000,1.0000
2018-06-27,10.1900,10.2900,9.7000,9.7000,9.7000,7780114,0.0000,1.0000
2018-06-26,10.0800,10.1750,9.7200,10.1200,10.1200,10170498,0.0000,1.0000
2018-06-25,10.5500,10.6000,9.9700,10.0100,10.0100,11728012,0.0000,1.0000
2018-06-22,12.0200,12.1000,10.4900,10.6800,10.6800,17926826,0.0000,1.0000
2018-06-21,11.8600,11.9000,11.6400,11.7000,11.7000,4294568,0.0000,1.0000
2018-06-20,11.8800,12.0650,11.8000,11.9000,11.9000,3417343,0.0000,1.0000
2018-06-19,12.0200,12.0850,11.6800,11.8900,11.8900,3277952,0.0000,1.0000
2018-06-18,12.1900,12.2750,12.0700,12.2000,12.2000,2169818,0.0000,1.0000
2018-06-15,12.1700,12.3300,12.0200,12.3100,12.3100,3681314,0.0000,1.0000
2018-06-14,12.3700,12.3901,12.1900,12.2200,12.2200,1725607,0.0000,1.0000
2018-06-13,12.4000,12.4500,12.2600,12.3300,12.3300,2223160,0.0000,1.0000
2018-06-12,12.1000,12.4700,12.0400,12.3300,12.3300,4247188,0.0000,1.0000
2018-06-11,12.0500,12.1700,12.0400,12.0700,12.0700,2690615,0.0000,1.0000
2018-06-08,12.2000,12.2000,12.0400,12.1000,12.1000,2609028,0.0000,1.0000
2018-06-07,12.5400,12.5500,12.1600,12.2500,12.2500,3593191,0.0000,1.0000
2018-06-06,12.2700,12.5400,12.2100,12.5400,12.5400,4545226,0.0000,1.0000
2018-06-05,11.8900,12.2200,11.8700,12.1600,12.1600,4193756,0.0000,1.0000
2018-06-04,11.6600,11.9200,11.6500,11.9100,11.9100,3896956,0.0000,1.0000
2018-06-01,11.9400,11.9400,11.5900,11.6400,11.6400,4041443,0.0000,1.0000
2018-05-31,11.8800,12.0300,11.8300,11.8300,11.8300,3998767,0.0000,1.0000
2018-05-30,11.7200,11.9200,11.6850,11.9000,11.9000,3009150,0.0000,1.0000
2018-05-29,11.6600,11.8983,11.6100,11.7300,11.7300,3180114,0.0000,1.0000
2018-05-25,11.5200,11.7500,11.4700,11.7500,11.7500,2418534,0.0000,1.0000
2018-05-24,11.5300,11.6000,11.4536,11.5700,11.5700,1543720,0.0000,1.0000
2018-05-23,11.4300,11.6100,11.3900,11.6000,11.6000,2268651,0.0000,1.0000
2018-05-22,11.6000,11.6500,11.5600,11.5900,11.5900,1655803,0.0000,1.0000
2018-05-21,11.6100,11.6700,11.4800,11.5200,11.5200,1225276,0.0000,1.0000
2018-05-18,11.5200,11.6000,11.5050,11.5400,11.5400,1785934,0.0000,1.0000
2018-05-17,11.6000,11.6850,11.4900,11.5800,11.5800,1870474,0.0000,1.0000
2018-05-16,11.7400,11.7600,11.6000,11.6100,11.6100,1860649,0.0000,1.0000
2018-05-15,11.5100,11.7100,11.3850,11.7000,11.7000,3133036,0.0000,1.0000
2018-05-14,11.6400,11.7900,11.6000,11.6200,11.6200,3202931,0.0000,1.0000
2018-05-11,11.8500,11.8800,11.5300,11.6000,11.6000,3899553,0.0000,1.0000
2018-05-10,11.6800,11.8800,11.5400,11.8800,11.8800,4274707,0.0000,1.0000
2018-05-09,11.2000,11.5800,11.1200,11.5800,11.5800,4903450,0.0000,1.0000
2018-05-08,11.0000,11.1500,10.8600,11.1200,11.1200,2821284,0.0000,1.0000
2018-05-07,10.8700,11.0750,10.8600,10.9900,10.9900,2627591,0.0000,1.0000
2018-05-04,10.6400,10.8900,10.6108,10.8400,10.8400,2476277,0.0000,1.0000
2018-05-03,10.8100,10.8500,10.6400,10.7100,10.7100,3371748,0.0000,1.0000
2018-05-02,10.5100,11.0100,10.4900,10.8500,10.8500,6254634,0.0000,1.0000
2018-05-01,10.4700,10.5400,10.3150,10.5300,10.5300,2112266,0.0000,1.0000
2018-04-30,10.4600,10.5900,10.4300,10.4700,10.4700,2655812,0.0000,1.0000
2018-04-27,10.6100,10.6900,10.4400,10.4500,10.4500,2149814,0.0000,1.0000
2018-04-26,10.4000,10.5500,10.3800,10.5500,10.5500,2334041,0.0000,1.0000
2018-04-25,10.3800,10.4300,10.2000,10.3700,10.3700,3441091,0.0000,1.0000
2018-04-24,10.6500,10.7800,10.2800,10.4000,10.4000,4408207,0.0000,1.0000
2018-04-23,10.6400,10.7650,10.5500,10.6400,10.6400,3068417,0.0000,1.0000
2018-04-20,10.5600,10.7100,10.5400,10.6300,10.6300,2856978,0.0000,1.0000
2018-04-19,10.7800,10.8100,10.5300,10.6000,10.6000,2656169,0.0000,1.0000
2018-04-18,10.8100,10.8400,10.6300,10.7900,10.7900,2681601,0.0000,1.0000
2018-04-17,10.5300,10.8000,10.5200,10.7700,10.7700,3519715,0.0000,1.0000
2018-04-16,10.5600,10.5800,10.4050,10.5100,10.5100,2451315,0.0000,1.0000
2018-04-13,10.6300,10.6699,10.4325,10.5000,10.5000,3735756,0.0000,1.0000
2018-04-12,10.4000,10.6150,10.3600,10.5400,10.5400,3478378,0.0000,1.0000
2018-04-11,10.5900,10.5900,10.3300,10.3500,10.3500,3647907,0.0000,1.0000
2018-04-10,10.3700,10.6800,10.2700,10.6300,10.6300,7338354,0.0000,1.0000
2018-04-09,10.2700,10.4000,10.1800,10.1800,10.1800,3948099,0.0000,1.0000
2018-04-06,10.3100,10.4900,10.0500,10.1900,10.1900,5470643,0.0000,1.0000
2018-04-05,10.5700,10.7500,10.2600,10.4700,10.4700,5768477,0.0000,1.0000
2018-04-04,10.2000,10.5600,10.0600,10.5300,10.5300,7275326,0.0000,1.0000
2018-04-03,10.7800,10.8600,10.3100,10.4400,10.4400,8092706,0.0000,1.0000
2018-04-02,11.3600,11.4150,10.6650,10.7200,10.7200,12376236,0.0000,1.0000
2018-03-29,12.1000,12.2300,11.4800,11.5000,11.5000,12367519,0.0000,1.0000
2018-03-28,12.9600,12.9900,12.1200,12.2000,12.2000,13223049,0.0000,1.0000
2018-03-27,13.1800,13.1800,12.3700,12.4000,12.4000,8945522,0.0000,1.0000
2018-03-26,12.6600,13.0900,12.5628,13.0900,13.0900,5479301,0.0000,1.0000
2018-03-23,12.8800,12.9800,12.4400,12.4400,12.4400,5244919,0.0000,1.0000
2018-03-22,13.0600,13.1992,12.7850,12.8200,12.8200,7395177,0.0000,1.0000
2018-03-21,13.1500,13.2800,13.0316,13.1600,13.1600,4859832,0.0000,1.0000
2018-03-20,13.3000,13.3800,12.9900,13.0800,13.0800,8731975,0.0000,1.0000
2018-03-19,12.9100,12.9200,12.5100,12.7200,12.7200,5098952,0.0000,1.0000
2018-03-16,13.2600,13.3000,12.9200,12.9500,12.9500,4856660,0.0000,1.0000
2018-03-15,12.8500,13.2700,12.8500,13.2500,13.2500,5907150,0.0000,1.0000
2018-03-14,12.7200,12.8600,12.6500,12.8000,12.8000,3193353,0.0000,1.0000
2018-03-13,12.9000,12.9300,12.5900,12.6100,12.6100,3248475,0.0000,1.0000
2018-03-12,12.9300,13.0350,12.7900,12.8200,12.8200,3219946,0.0000,1.0000
2018-03-09,13.0100,13.0300,12.7100,12.8700,12.8700,4633326,0.0000,1.0000
2018-03-08,12.5300,13.1850,12.4700,12.8900,12.8900,9666001,0.0000,1.0000
2018-03-07,12.3000,12.5000,12.2500,12.5000,12.5000,2918395,0.0000,1.0000
2018-03-06,12.5200,12.5600,12.3300,12.4400,12.4400,3549812,0.0000,1.0000
2018-03-05,12.2400,12.4450,12.2000,12.3900,12.3900,3350731,0.0000,1.0000
2018-03-02,11.9200,12.3900,11.7600,12.3600,12.3600,3909644,0.0000,1.0000
2018-03-01,12.1500,12.2900,11.9300,12.1100,12.1100,3975863,0.0000,1.0000
2018-02-28,12.4400,12.4500,12.1300,12.1400,12.1400,3067689,0.0000,1.0000
2018-02-27,12.5600,12.6400,12.3050,12.3500,12.3500,3582106,0.0000,1.0000
2018-02-26,12.6200,12.6701,12.3750,12.5800,12.5800,4227060,0.0000,1.0000
2018-02-23,12.0000,12.6400,11.9600,12.5500,12.5500,12075108,0.0000,1.0000
2018-02-22,12.2200,12.2780,11.8700,11.9100,11.9100,3347783,0.0000,1.0000
2018-02-21,12.1600,12.4200,12.1200,12.2000,12.2000,3699490,0.0000,1.0000
2018-02-20,11.9600,12.2100,11.9107,12.1100,12.1100,2512270,0.0000,1.0000
2018-02-16,12.0300,12.1300,11.9100,12.0600,12.0600,3374317,0.0000,1.0000
2018-02-15,12.1800,12.3300,11.8900,12.1200,12.1200,3709773,0.0000,1.0000
2018-02-14,11.6300,12.1700,11.5700,12.1000,12.1000,5068497,0.0000,1.0000
2018-02-13,11.6700,11.8100,11.6200,11.7700,11.7700,2227871,0.0000,1.0000
2018-02-12,11.7400,11.9300,11.6900,11.7300,11.7300,3913223,0.0000,1.0000
2018-02-09,11.5100,11.7400,11.1100,11.6100,11.6100,6270848,0.0000,1.0000
2018-02-08,11.7800,11.9598,11.4000,11.4100,11.4100,4987474,0.0000,1.0000
2018-02-07,11.9100,12.0400,11.6600,11.7500,11.7500,4393995,0.0000,1.0000
2018-02-06,11.5400,12.0600,11.2800,12.0000,12.0000,7600429,0.0000,1.0000
2018-02-05,12.2000,12.4100,11.8200,11.8600,11.8600,7869788,0.0000,1.0000
2018-02-02,12.7200,12.9900,12.3200,12.4100,12.4100,8448877,0.0000,1.0000
2018-02-01,12.6200,12.9800,12.6200,12.9000,12.9000,6212720,0.0000,1.0000
2018-01-31,12.6600,12.8700,12.5200,12.6600,12.6600,4796320,0.0000,1.0000
2018-01-30,12.8500,12.9400,12.5600,12.5800,12.5800,9359234,0.0000,1.0000
2018-01-29,13.4300,13.4300,12.9700,13.0000,13.0000,6721982,0.0000,1.0000
2018-01-26,13.1000,13.5300,13.0500,13.4300,13.4300,4544459,0.0000,1.0000
2018-01-25,13.3000,13.3800,13.0100,13.0500,13.0500,4384031,0.0000,1.0000
2018-01-24,13.6000,13.6400,13.1300,13.2500,13.2500,4412086,0.0000,1.0000
2018-01-23,13.2100,13.5500,13.2000,13.5300,13.5300,5436872,0.0000,1.0000
2018-01-22,13.2600,13.3700,13.1400,13.2800,13.2800,4450120,0.0000,1.0000
2018-01-19,13.3500,13.4000,13.1500,13.3100,13.3100,5073856,0.0000,1.0000
2018-01-18,13.5900,13.6100,13.2500,13.2500,13.2500,7371726,0.0000,1.0000
2018-01-17,13.9100,13.9800,13.5700,13.6700,13.6700,6052395,0.0000,1.0000
2018-01-16,14.3700,14.5500,13.5500,13.8100,13.8100,16808432,0.0000,1.0000
2018-01-12,13.4700,13.7300,13.4500,13.6500,13.6500,6310875,0.0000,1.0000
2018-01-11,13.7000,13.7000,13.3300,13.4500,13.4500,11397790,0.0000,1.0000
2018-01-10,14.3100,14.3100,13.6200,13.6700,13.6700,12157068,0.0000,1.0000
2018-01-09,14.2200,14.5500,14.1300,14.4000,14.4000,10719815,0.0000,1.0000
2018-01-08,14.0000,14.1300,13.5800,14.1200,14.1200,10456696,0.0000,1.0000
2018-01-05,13.6000,14.1000,13.4500,13.8300,13.8300,15985808,0.0000,1.0000
2018-01-04,13.8000,13.9650,13.1300,13.3700,13.3700,13856263,0.0000,1.0000
2018-01-03,12.7600,13.5550,12.5100,13.5300,13.5300,23127419,0.0000,1.0000
2018-01-02,11.2500,12.0200,11.2500,12.0200,12.0200,10455542,0.0000,1.0000
2017-12-29,11.4100,11.4290,11.1600,11.1700,11.1700,2667266,0.0000,1.0000
2017-12-28,11.3400,11.3900,11.2500,11.3500,11.3500,2608842,0.0000,1.0000
2017-12-27,11.3100,11.4000,11.2000,11.2200,11.2200,3787822,0.0000,1.0000
2017-12-26,11.4800,11.6300,11.2700,11.2800,11.2800,4165938,0.0000,1.0000
2017-12-22,11.7050,11.8100,11.5600,11.6000,11.6000,4822623,0.0000,1.0000
2017-12-21,12.2250,12.3000,11.7900,11.8000,11.8000,13246363,0.0000,1.0000
2017-12-20,11.6000,12.3600,11.5800,12.1700,12.1700,29639601,0.0000,1.0000
2017-12-19,10.9900,11.0700,10.8100,10.8700,10.8700,10480091,0.0000,1.0000
2017-12-18,10.8900,11.2000,10.8400,10.9400,10.9400,6173708,0.0000,1.0000
2017-12-15,10.7250,10.9300,10.7000,10.8400,10.8400,5425417,0.0000,1.0000
2017-12-14,10.7000,10.8300,10.6150,10.6700,10.6700,2959504,0.0000,1.0000
2017-12-13,10.6900,10.7890,10.6500,10.6500,10.6500,2967449,0.0000,1.0000
2017-12-12,10.5900,10.6800,10.4600,10.6600,10.6600,3868141,0.0000,1.0000
2017-12-11,10.3300,10.5800,10.2800,10.5600,10.5600,3513373,0.0000,1.0000
