timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,6.3300,6.3300,6.3300,6.3300,6.3300,100,0.0048,1.0000
2018-07-02,6.3000,6.3000,6.0200,6.0800,6.0754,783,0.0456,1.0000
2018-06-29,6.2001,6.4076,6.1800,6.2200,6.1691,6597,0.0000,1.0000
2018-06-28,5.9100,6.1350,5.4900,6.1350,6.0848,7457,0.0000,1.0000
2018-06-27,6.0300,6.0500,5.9000,5.9100,5.8616,4185,0.0000,1.0000
2018-06-26,6.1400,6.2250,5.8900,6.1300,6.0798,10938,0.0000,1.0000
2018-06-25,6.0900,6.1400,5.9700,6.1200,6.0699,3139,0.0000,1.0000
2018-06-22,6.1900,6.2700,6.1300,6.2700,6.2187,4282,0.0000,1.0000
2018-06-21,6.2000,6.2013,6.1300,6.2000,6.1492,1895,0.0000,1.0000
2018-06-20,6.4500,6.5500,6.3400,6.3800,6.3278,5023,0.0000,1.0000
2018-06-19,6.2000,6.4200,6.1527,6.4099,6.3574,12244,0.0000,1.0000
2018-06-18,6.5500,6.5500,6.0912,6.1300,6.0798,26024,0.0000,1.0000
2018-06-15,6.0100,6.8800,5.9500,6.8800,6.8237,25561,0.0000,1.0000
2018-06-14,6.5600,6.7000,6.0900,6.4200,6.3674,19314,0.0000,1.0000
2018-06-13,6.5500,6.5500,6.3700,6.4100,6.3575,962,0.0000,1.0000
2018-06-12,6.7200,6.8000,6.5800,6.5900,6.5360,10188,0.0000,1.0000
2018-06-11,6.7300,6.7665,6.5978,6.5978,6.5438,6523,0.0000,1.0000
2018-06-08,6.4600,6.8000,6.2400,6.7200,6.6650,14209,0.0000,1.0000
2018-06-07,6.4700,6.6010,6.0200,6.3100,6.2583,41577,0.0000,1.0000
2018-06-06,6.8100,6.8100,6.6100,6.6100,6.5559,2009,0.0000,1.0000
2018-06-05,7.2900,7.2900,6.8100,6.8100,6.7542,3086,0.0000,1.0000
2018-06-04,7.3399,7.3399,7.2100,7.2100,7.1510,488,0.0048,1.0000
2018-06-01,7.0500,7.2600,7.0500,7.2600,7.1958,2465,0.0000,1.0000
2018-05-31,7.0859,7.0859,7.0200,7.0500,6.9876,1872,0.0000,1.0000
2018-05-30,7.0700,7.0700,6.9300,6.9500,6.8885,4551,0.0000,1.0000
2018-05-29,7.3000,7.3000,6.8900,6.8900,6.8291,4377,0.0000,1.0000
2018-05-25,7.6199,7.6199,7.4400,7.4400,7.3742,2233,0.0000,1.0000
2018-05-24,7.6600,7.6600,7.6600,7.6600,7.5922,134,0.0000,1.0000
2018-05-23,8.0400,8.0400,7.6300,7.7200,7.6517,1970,0.0000,1.0000
2018-05-22,7.8000,8.0800,7.8000,8.0600,7.9887,9722,0.0000,1.0000
2018-05-21,7.7700,7.7700,7.6400,7.6928,7.6247,5165,0.0000,1.0000
2018-05-18,7.6300,7.7100,7.6300,7.7100,7.6418,214,0.0000,1.0000
2018-05-17,8.0600,8.0600,7.9799,7.9799,7.9093,1250,0.0000,1.0000
2018-05-16,8.1500,8.1500,8.1500,8.1500,8.0779,21,0.0000,1.0000
2018-05-15,8.0800,8.1600,7.9700,8.1500,8.0779,1860,0.0000,1.0000
2018-05-14,8.5000,8.5000,8.2500,8.3000,8.2266,2967,0.0000,1.0000
2018-05-11,8.5600,8.5600,8.4600,8.5300,8.4545,2980,0.0000,1.0000
2018-05-10,8.6100,8.7199,8.6100,8.7100,8.6330,2801,0.0000,1.0000
2018-05-09,8.4100,8.4100,8.4100,8.4100,8.3356,223,0.0000,1.0000
2018-05-08,8.5100,8.5100,8.5100,8.5100,8.4347,115,0.0000,1.0000
2018-05-07,8.6000,8.6000,8.5100,8.5100,8.4347,429,0.0000,1.0000
2018-05-04,8.6100,8.6900,8.6100,8.6900,8.6131,627,0.0000,1.0000
2018-05-03,8.7100,8.7100,8.6000,8.6000,8.5239,575,0.0051,1.0000
2018-05-02,8.9600,8.9600,8.7800,8.7800,8.6972,7083,0.0000,1.0000
2018-05-01,9.0500,9.0500,8.9000,9.0000,8.9151,2103,0.0000,1.0000
2018-04-30,9.4200,9.4200,9.1500,9.1500,9.0637,3435,0.0000,1.0000
2018-04-27,9.5100,9.5100,9.3100,9.3300,9.2420,1296,0.0000,1.0000
2018-04-26,9.7500,9.7500,9.1000,9.1600,9.0736,2110,0.0000,1.0000
2018-04-25,9.1000,9.2799,9.0701,9.1800,9.0934,6022,0.0000,1.0000
2018-04-24,9.2000,9.2316,9.1000,9.1000,9.0141,1157,0.0000,1.0000
2018-04-23,9.5900,9.5900,9.1400,9.2500,9.1627,5138,0.0000,1.0000
2018-04-20,9.3600,9.3600,9.3600,9.3600,9.2717,2032,0.0000,1.0000
2018-04-19,9.5200,9.5200,9.5200,9.5200,9.4302,137,0.0000,1.0000
2018-04-18,9.3300,9.5200,9.2900,9.5200,9.4302,7927,0.0000,1.0000
2018-04-17,9.0900,9.2100,9.0899,9.1500,9.0637,8362,0.0000,1.0000
2018-04-16,9.4800,9.4800,8.9500,9.0100,8.9250,9467,0.0000,1.0000
2018-04-13,9.2600,9.2600,9.1500,9.1500,9.0637,213,0.0000,1.0000
2018-04-12,9.5700,9.5700,9.4000,9.4500,9.3608,4382,0.0000,1.0000
2018-04-11,9.4100,9.6400,9.3700,9.6300,9.5391,1440,0.0000,1.0000
2018-04-10,9.2400,9.4100,9.2400,9.4100,9.3212,2602,0.0000,1.0000
2018-04-09,9.8000,9.8000,9.2100,9.2100,9.1231,7253,0.0000,1.1000
2018-04-06,9.9800,10.0000,9.8200,9.8200,8.8430,563,0.0000,1.0000
2018-04-05,10.0600,10.3293,9.6600,10.2000,9.1852,18330,0.0000,1.0000
2018-04-04,10.0400,10.1700,9.7200,10.0500,9.0502,3142,0.0000,1.0000
2018-04-03,10.3500,10.4500,10.1800,10.4500,9.4104,1316,0.0050,1.0000
2018-04-02,10.6400,10.8300,10.1600,10.1600,9.1448,7314,0.0000,1.0000
2018-03-29,11.2300,11.6648,11.2300,11.6648,10.4993,3910,0.0000,1.0000
2018-03-28,11.0700,11.0700,11.0700,11.0700,9.9639,43,0.0000,1.0000
2018-03-27,10.9100,11.3500,10.9100,11.0700,9.9639,2771,0.0000,1.0000
2018-03-26,11.5000,11.5000,10.5900,10.5900,9.5319,533,0.0000,1.0000
2018-03-23,11.2100,11.2100,11.0400,11.0400,9.9369,422,0.0000,1.0000
2018-03-22,11.2400,11.2400,11.0100,11.0300,9.9279,2848,0.0000,1.0000
2018-03-21,10.9300,11.1300,10.9300,11.1300,10.0179,606,0.0000,1.0000
2018-03-20,10.8628,10.9020,10.8628,10.8900,9.8019,740,0.0000,1.0000
2018-03-19,11.0200,11.0300,10.9000,10.9000,9.8109,523,0.0000,1.0000
2018-03-16,11.1100,11.1100,10.7600,11.0300,9.9279,4242,0.0000,1.0000
2018-03-15,11.1600,11.1600,10.9000,10.9099,9.8198,1228,0.0000,1.0000
2018-03-14,11.2600,11.2600,11.2600,11.2600,10.1349,101,0.0000,1.0000
2018-03-13,11.3600,11.3600,11.3600,11.3600,10.2249,107,0.0000,1.0000
2018-03-12,11.5300,11.5900,11.4400,11.5600,10.4050,983,0.0000,1.0000
2018-03-09,11.3000,11.3000,11.3000,11.3000,10.1709,127,0.0000,1.0000
2018-03-08,11.2700,11.3000,11.1400,11.1700,10.0539,3920,0.0000,1.0000
2018-03-07,11.7300,11.7300,11.3500,11.5900,10.4320,4066,0.0000,1.0000
2018-03-06,11.7200,12.0100,11.7000,11.8300,10.6480,3035,0.0000,1.0000
2018-03-05,11.4800,11.5600,11.4800,11.5300,10.3780,5413,0.0000,1.0000
2018-03-02,11.2900,11.5300,11.2900,11.4700,10.3240,2014,0.0054,1.0000
2018-03-01,11.3501,11.4500,11.0400,11.2600,10.1302,23401,0.0000,1.0000
2018-02-28,11.4800,11.4800,10.6800,11.4100,10.2651,8730,0.0000,1.0000
2018-02-27,11.7600,11.8700,11.4800,11.5200,10.3641,18523,0.0000,1.0000
2018-02-26,11.9000,11.9000,11.7500,11.8000,10.6160,1134,0.0000,1.0000
2018-02-23,11.7790,11.7790,11.6700,11.6700,10.4991,523,0.0000,1.0000
2018-02-22,11.6000,11.8200,11.6000,11.8200,10.6340,1105,0.0000,1.0000
2018-02-21,11.6300,11.8636,11.6300,11.8636,10.6732,842,0.0000,1.0000
2018-02-20,11.3401,11.3800,11.3401,11.3800,10.2382,242,0.0000,1.0000
2018-02-16,11.3100,11.3400,11.3100,11.3400,10.2022,30951,0.0000,1.0000
2018-02-15,11.3300,11.3300,11.2800,11.2900,10.1572,33962,0.0000,1.0000
2018-02-14,11.0200,11.0200,10.3300,11.0100,9.9053,43540,0.0000,1.0000
2018-02-13,11.0000,11.1000,11.0000,11.0499,9.9412,2497,0.0000,1.0000
2018-02-12,10.7400,10.7400,10.7400,10.7400,9.6624,180,0.0000,1.0000
2018-02-09,10.7500,10.8000,10.4200,10.8000,9.7163,2144,0.0000,1.0000
