timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,45.4000,45.6500,44.7000,44.8500,44.8500,171065,0.0000,1.0000
2018-07-02,44.3500,45.2500,43.8500,45.2000,45.2000,313085,0.0000,1.0000
2018-06-29,44.3500,44.8000,44.2000,44.7000,44.7000,271872,0.0000,1.0000
2018-06-28,44.0500,44.3500,43.3250,44.2000,44.2000,331508,0.0000,1.0000
2018-06-27,45.1500,45.3000,44.1500,44.1500,44.1500,335303,0.0000,1.0000
2018-06-26,43.8500,45.1000,43.4500,44.8500,44.8500,402588,0.0000,1.0000
2018-06-25,43.7500,43.7600,42.8000,43.6500,43.6500,604670,0.0000,1.0000
2018-06-22,44.3000,44.3000,43.5000,44.0000,44.0000,988847,0.0000,1.0000
2018-06-21,45.4000,45.4000,43.8500,43.9500,43.9500,439758,0.0000,1.0000
2018-06-20,45.9000,46.1900,45.2500,45.4500,45.4500,368262,0.0000,1.0000
2018-06-19,45.6500,46.0000,45.0000,45.6500,45.6500,384133,0.0000,1.0000
2018-06-18,45.5500,46.2500,45.1000,46.1500,46.1500,426169,0.0000,1.0000
2018-06-15,45.2500,45.9500,44.8750,45.9000,45.9000,494837,0.0000,1.0000
2018-06-14,45.6000,46.0000,44.7500,45.4000,45.4000,381223,0.0000,1.0000
2018-06-13,47.3000,47.5000,45.3500,45.6000,45.6000,680774,0.0000,1.0000
2018-06-12,48.1000,48.3000,46.7500,47.2500,47.2500,568316,0.0000,1.0000
2018-06-11,48.6000,49.1500,48.0000,48.1000,48.1000,365353,0.0000,1.0000
2018-06-08,49.0000,49.3000,48.5000,48.6000,48.6000,349067,0.0000,1.0000
2018-06-07,49.0000,49.3000,48.5500,49.0000,49.0000,244085,0.0000,1.0000
2018-06-06,49.1500,49.3000,48.7000,49.1000,49.1000,228710,0.0000,1.0000
2018-06-05,48.6000,49.0000,48.0500,49.0000,49.0000,432555,0.0000,1.0000
2018-06-04,48.6500,49.0900,48.4000,48.6000,48.6000,318922,0.0000,1.0000
2018-06-01,48.1500,48.6000,47.7500,48.3500,48.3500,265195,0.0000,1.0000
2018-05-31,47.8000,48.2750,47.2000,47.7000,47.7000,302876,0.0700,1.0000
2018-05-30,48.1500,48.5250,47.4000,47.7500,47.6800,429664,0.0000,1.0000
2018-05-29,46.6500,47.9000,46.5500,47.7000,47.6301,274132,0.0000,1.0000
2018-05-25,46.3000,47.4250,46.2500,46.9000,46.8313,256186,0.0000,1.0000
2018-05-24,46.1000,46.6000,45.4000,46.5500,46.4818,294931,0.0000,1.0000
2018-05-23,45.9500,46.8000,45.6100,45.9000,45.8327,314404,0.0000,1.0000
2018-05-22,46.7500,46.8000,46.1000,46.1000,46.0324,303749,0.0000,1.0000
2018-05-21,45.4000,46.7500,45.4000,46.6500,46.5816,472206,0.0000,1.0000
2018-05-18,44.5500,45.4500,44.4000,45.0500,44.9840,345395,0.0000,1.0000
2018-05-17,44.3000,44.6000,43.8000,44.4500,44.3849,276384,0.0000,1.0000
2018-05-16,43.0500,44.5000,42.9500,44.4500,44.3849,434138,0.0000,1.0000
2018-05-15,42.5000,43.1750,42.4250,43.0000,42.9370,329418,0.0000,1.0000
2018-05-14,43.8500,43.9500,42.4500,42.9000,42.8371,309880,0.0000,1.0000
2018-05-11,43.6000,44.0500,43.1000,43.5500,43.4862,280524,0.0000,1.0000
2018-05-10,43.6500,44.4500,43.5500,43.7500,43.6859,323313,0.0000,1.0000
2018-05-09,43.0000,43.5500,42.7000,43.4000,43.3364,373922,0.0000,1.0000
2018-05-08,42.8000,43.5500,42.7500,43.0000,42.9370,362217,0.0000,1.0000
2018-05-07,42.1000,43.5000,42.1000,42.6500,42.5875,465375,0.0000,1.0000
2018-05-04,43.5000,45.1000,40.9000,41.9500,41.8885,1184782,0.0000,1.0000
2018-05-03,41.5500,41.8500,40.4500,41.4500,41.3893,561945,0.0000,1.0000
2018-05-02,41.6500,42.1000,41.4500,41.5500,41.4891,293959,0.0000,1.0000
2018-05-01,41.6000,41.6000,40.0000,41.5000,41.4392,451212,0.0000,1.0000
2018-04-30,43.1500,43.4000,41.5500,41.6000,41.5390,401275,0.0000,1.0000
2018-04-27,42.6000,43.4500,42.6000,43.1500,43.0868,399451,0.0000,1.0000
2018-04-26,42.2500,42.5000,41.8500,42.3500,42.2879,195518,0.0000,1.0000
2018-04-25,42.2000,42.4500,41.6500,42.0000,41.9385,242535,0.0000,1.0000
2018-04-24,42.4000,42.6000,41.4600,42.0500,41.9884,233826,0.0000,1.0000
2018-04-23,41.9000,42.1500,41.6250,42.0500,41.9884,267673,0.0000,1.0000
2018-04-20,41.9500,42.2000,41.6500,41.8500,41.7887,302555,0.0000,1.0000
2018-04-19,42.5500,42.5500,41.9000,42.1000,42.0383,210210,0.0000,1.0000
2018-04-18,42.8500,42.9000,42.0000,42.5500,42.4876,349730,0.0000,1.0000
2018-04-17,42.0000,42.8000,41.8000,42.7000,42.6374,334626,0.0000,1.0000
2018-04-16,40.6500,41.8000,40.3500,41.6000,41.5390,333267,0.0000,1.0000
2018-04-13,41.0000,41.0000,39.9600,40.2500,40.1910,210370,0.0000,1.0000
2018-04-12,40.3500,40.9500,40.0500,40.7500,40.6903,208254,0.0000,1.0000
2018-04-11,40.1500,40.6000,39.9500,40.3000,40.2409,382807,0.0000,1.0000
2018-04-10,39.9500,40.7000,39.8000,40.2500,40.1910,335008,0.0000,1.0000
2018-04-09,39.8500,40.2000,39.5000,39.6000,39.5420,231824,0.0000,1.0000
2018-04-06,40.5500,40.9650,39.4000,39.8000,39.7417,274041,0.0000,1.0000
2018-04-05,39.3000,40.9250,39.3000,40.7500,40.6903,402497,0.0000,1.0000
2018-04-04,38.3000,39.0500,37.9500,39.0000,38.9429,475113,0.0000,1.0000
2018-04-03,38.1000,39.1000,37.4000,38.9500,38.8929,539990,0.0000,1.0000
2018-04-02,38.7500,38.7500,37.3500,37.8000,37.7446,428461,0.0000,1.0000
2018-03-29,38.2500,39.2500,38.0000,38.6000,38.5434,509833,0.0000,1.0000
2018-03-28,38.6500,38.7500,37.9000,37.9500,37.8944,419324,0.0000,1.0000
2018-03-27,39.7500,39.7500,38.3500,38.6000,38.5434,426781,0.0000,1.0000
2018-03-26,39.5500,39.8500,38.3600,39.6500,39.5919,879239,0.0000,1.0000
2018-03-23,39.7500,40.3500,38.3000,39.0500,38.9928,598223,0.0000,1.0000
2018-03-22,40.7500,41.0500,39.6000,39.7000,39.6418,363327,0.0000,1.0000
2018-03-21,40.9500,41.5000,40.4500,41.2000,41.1396,284172,0.0000,1.0000
2018-03-20,40.8500,41.2500,40.8000,40.9500,40.8900,151212,0.0000,1.0000
2018-03-19,41.5000,41.5000,40.2500,40.8000,40.7402,270992,0.0000,1.0000
2018-03-16,41.0000,41.8000,40.5500,41.6000,41.5390,692127,0.0000,1.0000
2018-03-15,41.1500,41.5000,40.6500,40.8000,40.7402,416488,0.0000,1.0000
2018-03-14,40.9500,41.1500,40.3500,41.0500,40.9898,349375,0.0000,1.0000
2018-03-13,40.7000,41.1750,40.3000,40.8000,40.7402,412029,0.0000,1.0000
2018-03-12,39.4500,40.5750,39.4000,40.2500,40.1910,615937,0.0000,1.0000
2018-03-09,39.0000,39.4500,38.6500,39.3000,39.2424,332309,0.0000,1.0000
2018-03-08,39.3000,39.5000,38.3000,38.9500,38.8929,572157,0.0000,1.0000
2018-03-07,38.6000,39.3000,38.4500,39.2000,39.1426,406005,0.0000,1.0000
2018-03-06,38.6500,39.5000,38.2500,39.0500,38.9928,692687,0.0000,1.0000
2018-03-05,39.3000,39.8500,38.6000,38.6500,38.5934,1140668,0.0000,1.0000
2018-03-02,39.1000,39.7000,38.4000,39.7000,39.6418,692788,0.0000,1.0000
2018-03-01,40.2750,41.0000,39.3250,39.5000,39.4421,869965,0.0000,1.0000
2018-02-28,41.1500,41.8000,40.2000,40.3000,40.2409,916205,0.0700,1.0000
2018-02-27,42.0500,42.7502,40.5000,41.2500,41.1181,1026357,0.0000,1.0000
2018-02-26,41.7500,42.4500,40.2050,42.1000,41.9654,1670470,0.0000,1.0000
2018-02-23,43.5500,44.1500,43.3500,44.0000,43.8593,666183,0.0000,1.0000
2018-02-22,43.6000,44.1000,42.9000,43.0500,42.9124,956646,0.0000,1.0000
2018-02-21,43.7500,44.3000,43.4000,43.4500,43.3111,488421,0.0000,1.0000
2018-02-20,43.7500,44.4000,43.4000,43.7000,43.5603,527601,0.0000,1.0000
