timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,11.0500,11.2000,10.9000,11.2000,11.2000,9539,0.0000,1.0000
2018-07-02,11.0500,11.1000,10.9500,11.0000,11.0000,8354,0.0000,1.0000
2018-06-29,11.1500,11.1500,10.8500,11.0500,11.0500,20275,0.0000,1.0000
2018-06-28,11.2500,11.2500,10.8501,11.1000,11.1000,46987,0.3000,1.0000
2018-06-27,11.4000,11.6000,11.3500,11.5000,11.1974,38458,0.0000,1.0000
2018-06-26,11.2000,11.4000,11.0500,11.3500,11.0513,28881,0.0000,1.0000
2018-06-25,10.9000,11.3500,10.9000,11.2000,10.9053,51515,0.0000,1.0000
2018-06-22,11.2000,11.2500,10.7000,10.9000,10.6132,636488,0.0000,1.0000
2018-06-21,11.0000,11.3000,10.9500,11.1000,10.8079,58302,0.0000,1.0000
2018-06-20,11.0000,11.0002,10.7500,10.9500,10.6618,43662,0.0000,1.0000
2018-06-19,11.3000,11.6000,10.8000,10.8500,10.5645,72916,0.0000,1.0000
2018-06-18,10.4500,11.1000,10.4000,11.1000,10.8079,63697,0.0000,1.0000
2018-06-15,10.3000,10.5000,10.3000,10.4500,10.1750,38016,0.0000,1.0000
2018-06-14,10.2500,10.4000,10.0500,10.1000,9.8342,18429,0.0000,1.0000
2018-06-13,9.5000,10.2500,9.5000,10.1500,9.8829,36948,0.0000,1.0000
2018-06-12,10.1000,10.1500,9.5500,9.7000,9.4447,63246,0.0000,1.0000
2018-06-11,10.3000,10.4000,10.1000,10.1500,9.8829,56159,0.0000,1.0000
2018-06-08,10.3500,10.5000,10.2000,10.2000,9.9316,38202,0.0000,1.0000
2018-06-07,10.3500,10.5500,10.3000,10.3500,10.0776,40771,0.0000,1.0000
2018-06-06,10.5500,10.7000,10.3000,10.3000,10.0289,49792,0.0000,1.0000
2018-06-05,10.9500,10.9500,10.5000,10.6000,10.3211,54370,0.0000,1.0000
2018-06-04,11.1500,11.2500,10.9000,10.9500,10.6618,20121,0.0000,1.0000
2018-06-01,11.1000,11.2835,11.1000,11.2000,10.9053,11537,0.0000,1.0000
2018-05-31,11.0000,11.2000,10.9500,11.1000,10.8079,18298,0.0000,1.0000
2018-05-30,10.9500,11.1791,10.9000,11.0500,10.7592,27494,0.0000,1.0000
2018-05-29,10.9500,11.0000,10.8500,10.9500,10.6618,16703,0.0000,1.0000
2018-05-25,11.0000,11.1000,10.9000,11.0000,10.7105,10469,0.0000,1.0000
2018-05-24,11.2000,11.2000,11.0000,11.1000,10.8079,12125,0.0000,1.0000
2018-05-23,11.1500,11.2500,11.0500,11.2000,10.9053,13981,0.0000,1.0000
2018-05-22,11.1000,11.1500,10.9000,11.1500,10.8566,35717,0.0000,1.0000
2018-05-21,11.3000,11.3000,10.9500,11.1000,10.8079,23007,0.0000,1.0000
2018-05-18,11.3000,11.3500,11.2000,11.2500,10.9539,15611,0.0000,1.0000
2018-05-17,11.2000,11.3000,11.1000,11.2500,10.9539,8096,0.0000,1.0000
2018-05-16,11.0500,11.3000,11.0500,11.2000,10.9053,19974,0.0000,1.0000
2018-05-15,11.2000,11.2000,10.9000,11.0000,10.7105,33177,0.0000,1.0000
2018-05-14,11.1500,11.4000,11.1000,11.3000,11.0026,38220,0.0000,1.0000
2018-05-11,10.9000,11.1000,10.9000,11.1000,10.8079,11487,0.0000,1.0000
2018-05-10,10.9500,11.1000,10.8000,10.8000,10.5158,30797,0.0000,1.0000
2018-05-09,10.9000,11.0000,10.8500,10.9000,10.6132,16400,0.0000,1.0000
2018-05-08,10.9500,10.9500,10.7500,10.8000,10.5158,44356,0.0000,1.0000
2018-05-07,11.0000,11.1000,10.8000,11.0500,10.7592,10527,0.0000,1.0000
2018-05-04,11.0500,11.1000,10.9000,11.0000,10.7105,13961,0.0000,1.0000
2018-05-03,11.1500,11.1500,10.8500,11.0500,10.7592,24778,0.0000,1.0000
2018-05-02,11.2500,11.2500,11.0498,11.2000,10.9053,32103,0.0000,1.0000
2018-05-01,11.4000,11.4500,11.1500,11.2000,10.9053,25300,0.0000,1.0000
2018-04-30,11.6000,11.6500,11.4000,11.6000,11.2947,20853,0.0000,1.0000
2018-04-27,11.6500,11.6500,11.5000,11.6000,11.2947,12132,0.0000,1.0000
2018-04-26,11.7000,11.7000,11.6000,11.6000,11.2947,10167,0.0000,1.0000
2018-04-25,12.0000,12.0000,11.6000,11.6000,11.2947,19330,0.0000,1.0000
2018-04-24,11.7000,12.2750,11.6525,12.0000,11.6842,18411,0.0000,1.0000
2018-04-23,12.1000,12.2500,11.8000,11.8000,11.4895,21442,0.0000,1.0000
2018-04-20,11.8500,12.0500,11.8500,12.0000,11.6842,10440,0.0000,1.0000
2018-04-19,11.7234,12.0000,11.7234,11.9000,11.5868,11130,0.0000,1.0000
