timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.1400,9.1700,9.1300,9.1400,9.1400,150899,0.0000,1.0000
2018-07-02,9.0800,9.1500,9.0700,9.1400,9.1400,255607,0.0000,1.0000
2018-06-29,9.1700,9.2100,9.1600,9.1800,9.1800,483762,0.0000,1.0000
2018-06-28,9.0200,9.1390,9.0100,9.1200,9.1200,664698,0.0000,1.0000
2018-06-27,9.0700,9.1400,9.0200,9.0200,9.0200,307606,0.0000,1.0000
2018-06-26,9.0500,9.1100,9.0400,9.0600,9.0600,234020,0.0000,1.0000
2018-06-25,9.1300,9.1300,9.0300,9.0500,9.0500,416186,0.0000,1.0000
2018-06-22,9.0900,9.1800,9.0900,9.1200,9.1200,318663,0.0000,1.0000
2018-06-21,9.1400,9.1500,9.0600,9.0700,9.0700,314910,0.0000,1.0000
2018-06-20,9.1600,9.1800,9.1300,9.1600,9.1600,185976,0.0000,1.0000
2018-06-19,9.0900,9.1290,9.0700,9.1200,9.1200,326212,0.0000,1.0000
2018-06-18,9.1600,9.1800,9.1100,9.1200,9.1200,396071,0.0000,1.0000
2018-06-15,9.2100,9.2350,9.1600,9.2200,9.2200,312610,0.0000,1.0000
2018-06-14,9.2800,9.2899,9.2100,9.2200,9.2200,292924,0.0467,1.0000
2018-06-13,9.3100,9.3399,9.2900,9.3000,9.2531,428725,0.0000,1.0000
2018-06-12,9.3000,9.3200,9.2800,9.2900,9.2432,405838,0.0000,1.0000
2018-06-11,9.2600,9.3000,9.2500,9.2900,9.2432,409280,0.0000,1.0000
2018-06-08,9.2300,9.2500,9.2200,9.2500,9.2034,266805,0.0000,1.0000
2018-06-07,9.2400,9.2650,9.2200,9.2500,9.2034,367236,0.0000,1.0000
2018-06-06,9.2000,9.2300,9.1500,9.2300,9.1835,346521,0.0000,1.0000
2018-06-05,9.1700,9.1800,9.1300,9.1800,9.1337,274946,0.0000,1.0000
2018-06-04,9.2000,9.2000,9.1400,9.1500,9.1039,271529,0.0000,1.0000
2018-06-01,9.2000,9.2100,9.1300,9.1700,9.1238,556762,0.0000,1.0000
2018-05-31,9.1500,9.1800,9.1300,9.1600,9.1138,462306,0.0000,1.0000
2018-05-30,9.1300,9.2200,9.1100,9.1500,9.1039,684539,0.0000,1.0000
2018-05-29,9.1500,9.1586,9.0500,9.0900,9.0442,373293,0.0000,1.0000
2018-05-25,9.2000,9.2200,9.1500,9.1700,9.1238,321744,0.0000,1.0000
2018-05-24,9.2100,9.2300,9.1800,9.2000,9.1536,329570,0.0000,1.0000
2018-05-23,9.2200,9.2590,9.2000,9.2100,9.1636,367096,0.0000,1.0000
2018-05-22,9.2400,9.2658,9.2300,9.2400,9.1934,347817,0.0000,1.0000
2018-05-21,9.1500,9.2100,9.1500,9.2000,9.1536,413238,0.0000,1.0000
2018-05-18,9.1400,9.1600,9.0800,9.0900,9.0442,745510,0.0000,1.0000
2018-05-17,9.2400,9.2550,9.1200,9.1400,9.0939,508547,0.0000,1.0000
2018-05-16,9.2200,9.2500,9.2200,9.2400,9.1934,278140,0.0000,1.0000
2018-05-15,9.1600,9.2200,9.1400,9.2200,9.1735,851371,0.0000,1.0000
2018-05-14,9.1300,9.2350,9.1300,9.2100,9.1636,476828,0.0467,1.0000
2018-05-11,9.1800,9.2200,9.1000,9.1300,9.0382,563228,0.0000,1.0000
2018-05-10,9.0500,9.1700,9.0500,9.1500,9.0580,523821,0.0000,1.0000
2018-05-09,8.9900,9.0500,8.9700,9.0400,8.9491,368841,0.0000,1.0000
2018-05-08,8.9800,9.0000,8.9230,8.9800,8.8897,407638,0.0000,1.0000
2018-05-07,8.9700,8.9900,8.9400,8.9600,8.8699,575998,0.0000,1.0000
2018-05-04,8.8500,8.9800,8.7900,8.9600,8.8699,1040813,0.0000,1.0000
