timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,69.3400,69.3400,67.6800,68.0000,68.0000,1912796,0.0000,1.0000
2018-07-02,69.6400,69.7100,69.0900,69.3300,69.3300,1032277,0.0000,1.0000
2018-06-29,69.6400,70.4150,69.2400,69.7100,69.7100,1097595,0.0000,1.0000
2018-06-28,69.8700,70.0600,68.9100,69.6000,69.6000,1194548,0.0000,1.0000
2018-06-27,70.9200,71.0000,69.9500,70.0700,70.0700,1374562,0.0000,1.0000
2018-06-26,71.1600,72.1900,70.8600,70.9200,70.9200,1385122,0.0000,1.0000
2018-06-25,71.4000,72.2800,71.1300,71.2500,71.2500,1858870,0.0000,1.0000
2018-06-22,71.3700,71.6600,71.0900,71.5200,71.5200,1301258,0.0000,1.0000
2018-06-21,71.0000,71.5800,70.5100,71.0500,71.0500,1631003,0.0000,1.0000
2018-06-20,71.7600,71.9000,70.1300,70.2700,70.2700,1868901,0.0000,1.0000
2018-06-19,70.8900,73.1300,70.8006,71.8600,71.8600,2334654,0.0000,1.0000
2018-06-18,69.5400,71.4400,69.5400,71.0800,71.0800,1392128,0.0000,1.0000
2018-06-15,70.0400,70.2300,68.4300,70.0800,70.0800,2487629,0.0000,1.0000
2018-06-14,71.2500,71.6000,70.2500,70.5500,70.5500,1773163,0.0000,1.0000
2018-06-13,69.8000,71.2900,69.3300,70.9900,70.9900,3965135,0.0000,1.0000
2018-06-12,69.6900,70.0000,69.4400,69.6900,69.6900,736556,0.0000,1.0000
2018-06-11,69.2400,70.1000,69.1800,69.6900,69.6900,981753,0.0000,1.0000
2018-06-08,69.0900,69.6000,69.0900,69.1700,69.1700,1064174,0.0000,1.0000
2018-06-07,69.8700,70.2300,68.9550,69.1000,69.1000,2790270,0.0000,1.0000
2018-06-06,70.6000,70.6750,69.3400,70.0700,70.0700,1348874,0.0000,1.0000
2018-06-05,69.9800,70.7400,69.5900,70.4400,70.4400,1387491,0.0000,1.0000
2018-06-04,70.1600,70.4100,69.6100,69.9900,69.9900,976024,0.0000,1.0000
2018-06-01,69.6000,70.3500,69.4250,69.8900,69.8900,915654,0.0000,1.0000
2018-05-31,70.0900,70.2800,68.9700,69.5500,69.5500,1612083,0.0000,1.0000
2018-05-30,70.1300,70.4900,69.5100,70.3500,70.3500,1019240,0.0000,1.0000
2018-05-29,69.8500,69.9600,69.2350,69.6600,69.6600,1068397,0.0000,1.0000
2018-05-25,69.8400,70.6900,69.8000,69.9400,69.9400,976506,0.0000,1.0000
2018-05-24,70.1400,70.5100,69.4150,70.1000,70.1000,749376,0.0000,1.0000
2018-05-23,69.6700,70.0900,69.4300,69.8400,69.8400,924167,0.0000,1.0000
2018-05-22,70.0400,70.6400,69.8600,69.9700,69.9700,827693,0.0000,1.0000
2018-05-21,69.8100,70.0400,69.0400,69.9300,69.9300,1291598,0.0000,1.0000
2018-05-18,70.2300,70.4800,69.4200,69.6600,69.6600,1378458,0.4600,1.0000
2018-05-17,70.7700,71.0800,70.2800,70.6900,70.2263,1016821,0.0000,1.0000
2018-05-16,71.0100,71.2350,70.3100,70.5900,70.1269,1130750,0.0000,1.0000
2018-05-15,70.6600,71.4400,70.4000,71.0400,70.5740,1162016,0.0000,1.0000
2018-05-14,71.3000,71.4800,70.2950,71.0400,70.5740,1002388,0.0000,1.0000
2018-05-11,70.7700,71.6500,70.7600,71.1700,70.7031,767525,0.0000,1.0000
2018-05-10,70.0200,71.2300,69.8000,70.7500,70.2859,1179999,0.0000,1.0000
2018-05-09,69.5400,70.2100,69.4300,69.9200,69.4613,1039613,0.0000,1.0000
2018-05-08,69.4500,69.9700,69.1100,69.5200,69.0639,1470229,0.0000,1.0000
2018-05-07,70.3500,70.6790,68.8900,69.3600,68.9050,1694571,0.0000,1.0000
2018-05-04,70.1600,71.1000,69.6100,70.4900,70.0276,2117447,0.0000,1.0000
2018-05-03,73.0000,73.3750,69.9700,70.2700,69.8090,4091682,0.0000,1.0000
2018-05-02,74.3000,74.6900,72.7700,73.2900,72.8092,3115330,0.0000,1.0000
2018-05-01,72.4800,72.7100,71.3000,71.6400,71.1700,1629896,0.0000,1.0000
2018-04-30,73.1400,73.1400,72.0700,72.2300,71.7562,966224,0.0000,1.0000
2018-04-27,72.0500,73.0100,71.9550,72.6900,72.2131,962113,0.0000,1.0000
2018-04-26,72.5300,73.0500,71.9200,71.9700,71.4979,1501296,0.0000,1.0000
2018-04-25,73.2000,73.2000,72.1100,72.5500,72.0741,1279020,0.0000,1.0000
2018-04-24,73.7100,73.8700,72.3700,72.7200,72.2429,1241253,0.0000,1.0000
2018-04-23,73.7500,73.8300,72.7000,73.4400,72.9582,1397027,0.0000,1.0000
2018-04-20,75.7600,75.9900,72.5900,73.7300,73.2463,2525365,0.0000,1.0000
2018-04-19,75.3500,76.9500,74.8550,75.7000,75.2034,1812272,0.0000,1.0000
2018-04-18,74.7800,74.9500,74.0100,74.8600,74.3689,1276439,0.0000,1.0000
2018-04-17,75.3700,75.3700,74.6900,74.8000,74.3093,739009,0.0000,1.0000
2018-04-16,75.4100,75.4800,74.5600,75.0600,74.5676,901217,0.0000,1.0000
2018-04-13,75.2600,75.9700,74.7400,75.1400,74.6471,751702,0.0000,1.0000
2018-04-12,74.5400,75.2900,74.1100,75.0500,74.5577,577410,0.0000,1.0000
2018-04-11,73.9300,74.8600,73.7010,74.4900,74.0013,823178,0.0000,1.0000
2018-04-10,75.2100,75.4700,73.9500,74.1000,73.6139,1380069,0.0000,1.0000
2018-04-09,75.5900,76.3700,74.9000,74.9100,74.4186,1196276,0.0000,1.0000
2018-04-06,75.0700,75.8800,74.9000,75.5900,75.0941,1423186,0.0000,1.0000
2018-04-05,76.0700,76.6450,74.7500,75.1400,74.6471,1212589,0.0000,1.0000
2018-04-04,73.1200,75.8600,73.0000,75.6400,75.1438,2452820,0.0000,1.0000
2018-04-03,73.1700,74.7100,73.1700,74.1200,73.6338,1688923,0.0000,1.0000
2018-04-02,73.5900,73.7500,71.6000,72.5800,72.1039,1179063,0.0000,1.0000
2018-03-29,73.3700,74.7800,73.3100,73.9400,73.4549,940878,0.0000,1.0000
2018-03-28,72.9700,73.5400,72.4000,73.0600,72.5807,821524,0.0000,1.0000
2018-03-27,73.6600,73.6600,72.3800,72.6100,72.1337,836289,0.0000,1.0000
2018-03-26,73.0100,73.2400,71.6200,73.1900,72.7099,1019563,0.0000,1.0000
2018-03-23,72.6300,74.5700,72.4000,72.5200,72.0443,1386913,0.0000,1.0000
2018-03-22,72.4400,73.6900,71.9400,72.0500,71.5773,1470355,0.0000,1.0000
2018-03-21,73.6300,73.8900,72.6050,73.0200,72.5410,1142069,0.0000,1.0000
2018-03-20,72.9600,74.0000,72.6600,73.9900,73.5046,961006,0.0000,1.0000
2018-03-19,73.5900,73.7284,72.3400,72.6500,72.1734,1089969,0.0000,1.0000
2018-03-16,74.0300,74.4600,72.2100,73.4300,72.9483,2231443,0.0000,1.0000
2018-03-15,74.5600,75.2800,73.3100,73.7400,73.2563,1284069,0.0000,1.0000
2018-03-14,76.0000,76.2100,74.0500,74.2400,73.7530,1030841,0.0000,1.0000
2018-03-13,76.0000,76.3100,75.5200,75.8700,75.3723,1003110,0.0000,1.0000
2018-03-12,75.5800,76.3800,75.4700,75.9300,75.4319,1597180,0.0000,1.0000
2018-03-09,77.1300,77.2300,72.3200,74.9600,74.4682,4762727,0.0000,1.0000
2018-03-08,77.4100,77.7500,76.6000,77.0100,76.5048,1223676,0.0000,1.0000
2018-03-07,77.7200,79.1000,77.1700,77.4300,76.9220,2360359,0.0000,1.0000
2018-03-06,79.0900,79.0900,76.6900,77.1100,76.6041,2965416,0.0000,1.0000
2018-03-05,75.2500,78.9700,75.1200,77.9900,77.4784,3432388,0.0000,1.0000
2018-03-02,75.2200,75.7800,74.3400,75.1700,74.6769,1710070,0.0000,1.0000
2018-03-01,75.2400,76.8100,75.0400,75.9800,75.4816,976929,0.0000,1.0000
2018-02-28,75.2900,76.6950,75.2900,75.4300,74.9352,1507059,0.0000,1.0000
2018-02-27,76.4700,76.4700,74.8300,74.8300,74.3391,1446434,0.0000,1.0000
2018-02-26,76.6000,76.6000,75.6900,75.9700,75.4716,856592,0.0000,1.0000
2018-02-23,75.7000,77.0000,75.4800,76.6200,76.1174,843845,0.0000,1.0000
2018-02-22,75.3900,76.6800,75.1500,75.5900,75.0941,1368288,0.0000,1.0000
2018-02-21,76.3500,76.5800,75.0900,75.1000,74.6073,2099851,0.0000,1.0000
2018-02-20,78.6200,78.7300,75.0100,76.0700,75.5710,2333890,0.0000,1.0000
2018-02-16,77.0000,79.9400,76.8500,79.1000,78.5811,2344097,0.0000,1.0000
2018-02-15,76.2400,77.5350,75.1800,77.1900,76.6836,2679631,0.4600,1.0000
2018-02-14,76.1900,77.7700,74.0000,75.0600,74.1259,5581052,0.0000,1.0000
2018-02-13,79.5700,79.9900,78.5800,79.5100,78.5205,1534740,0.0000,1.0000
2018-02-12,81.0000,81.0000,78.0700,79.6600,78.6686,1954401,0.0000,1.0000
2018-02-09,80.4600,81.4500,77.7000,80.7500,79.7450,2224737,0.0000,1.0000
2018-02-08,81.4600,82.5600,79.9600,79.9600,78.9649,1928905,0.0000,1.0000
2018-02-07,82.5000,83.0000,81.3400,81.3400,80.3277,1661591,0.0000,1.0000
2018-02-06,80.4900,82.8600,80.3300,82.5500,81.5226,3029112,0.0000,1.0000
2018-02-05,82.5000,83.2000,80.8900,80.8900,79.8833,5295791,0.0000,1.0000
2018-02-02,78.8500,79.4300,78.4300,78.6000,77.6218,1122916,0.0000,1.0000
2018-02-01,79.2100,82.0000,78.9100,79.6600,78.6686,1499699,0.0000,1.0000
2018-01-31,80.0000,80.5000,78.8350,79.4300,78.4415,1596263,0.0000,1.0000
2018-01-30,79.9800,80.5000,79.4000,79.9500,78.9550,1405122,0.0000,1.0000
2018-01-29,81.3900,81.7300,80.1850,80.8600,79.8537,1176122,0.0000,1.0000
2018-01-26,80.6100,82.2190,80.0500,81.8000,80.7820,2202605,0.0000,1.0000
2018-01-25,80.1400,80.5100,79.7691,80.0000,79.0044,1396839,0.0000,1.0000
2018-01-24,80.7000,81.6100,79.3700,80.0300,79.0340,1712004,0.0000,1.0000
2018-01-23,81.6700,81.8500,79.8200,80.5700,79.5673,3879891,0.0000,1.0000
2018-01-22,79.5900,82.4400,78.4000,82.1100,81.0881,8428382,0.0000,1.0000
2018-01-19,69.4100,77.8300,68.6510,77.5600,76.5947,4161938,0.0000,1.0000
2018-01-18,69.9500,70.2600,69.4400,69.6400,68.7733,935411,0.0000,1.0000
2018-01-17,70.3700,70.8900,69.6600,70.4500,69.5732,1040249,0.0000,1.0000
2018-01-16,69.5200,70.9800,69.4100,70.1800,69.3066,1170503,0.0000,1.0000
2018-01-12,70.4200,70.7300,69.1700,69.7400,68.8721,966473,0.0000,1.0000
2018-01-11,69.6800,70.7600,69.3550,70.4400,69.5634,1044815,0.0000,1.0000
2018-01-10,69.3900,69.5300,67.8200,69.3900,68.5264,921408,0.0000,1.0000
2018-01-09,69.2200,69.9600,68.8700,69.6300,68.7634,984403,0.0000,1.0000
2018-01-08,69.7500,69.7700,68.2400,68.9300,68.0721,1037423,0.0000,1.0000
2018-01-05,70.5000,70.9900,69.5500,69.9400,69.0696,792666,0.0000,1.0000
2018-01-04,69.7800,71.2100,69.7500,70.4700,69.5930,2026905,0.0000,1.0000
2018-01-03,68.3800,70.2100,68.0600,69.4500,68.5857,2121847,0.0000,1.0000
2018-01-02,67.2300,68.0300,66.4500,67.9900,67.1438,943394,0.0000,1.0000
2017-12-29,67.3000,67.9200,67.0800,67.0800,66.2452,808797,0.0000,1.0000
2017-12-28,67.0600,67.2150,66.6600,67.1500,66.3143,574148,0.0000,1.0000
2017-12-27,67.3200,67.3600,66.7500,66.8600,66.0279,458235,0.0000,1.0000
2017-12-26,66.5500,67.2700,66.5500,67.1700,66.3340,569668,0.0000,1.0000
2017-12-22,67.2950,67.4300,66.5500,66.7400,65.9094,486816,0.0000,1.0000
2017-12-21,67.2800,68.1900,66.9000,66.9900,66.1563,975518,0.0000,1.0000
2017-12-20,66.7400,67.6400,66.3200,67.2500,66.4131,1241345,0.0000,1.0000
2017-12-19,66.6200,67.1800,66.3700,66.9100,66.0773,1099228,0.0000,1.0000
2017-12-18,68.0100,68.9700,66.9500,67.0300,66.1958,1044638,0.0000,1.0000
2017-12-15,66.4000,67.9700,66.1300,67.6900,66.8476,1779876,0.0000,1.0000
2017-12-14,67.1900,67.3500,66.1100,66.1200,65.2971,1520377,0.0000,1.0000
2017-12-13,68.5700,69.0000,66.1100,66.2200,65.3959,2702124,0.0000,1.0000
2017-12-12,69.8700,70.6700,68.6200,68.6800,67.8253,1598138,0.0000,1.0000
2017-12-11,70.0600,70.4800,69.3947,69.6700,68.8029,1307039,0.0000,1.0000
2017-12-08,69.1200,70.4600,68.9900,69.7900,68.9214,2153426,0.0000,1.0000
2017-12-07,69.5000,70.6000,68.5500,69.2100,68.3487,2627432,0.0000,1.0000
2017-12-06,66.0700,69.0100,66.0700,68.3300,67.4796,2182477,0.0000,1.0000
2017-12-05,67.6900,67.7350,66.0400,66.0600,65.2379,1339962,0.0000,1.0000
2017-12-04,67.2500,68.0400,66.6900,67.4900,66.6501,841972,0.0000,1.0000
2017-12-01,66.8500,67.7200,66.2350,67.1400,66.3044,890839,0.0000,1.0000
2017-11-30,66.6000,68.2500,66.6000,66.9100,66.0773,1937984,0.0000,1.0000
2017-11-29,65.7200,67.3100,65.7200,66.4200,65.5934,1272980,0.0000,1.0000
2017-11-28,65.2500,65.8400,65.1100,65.4500,64.6355,1904347,0.0000,1.0000
2017-11-27,65.4900,65.5800,64.7400,65.1600,64.3491,937000,0.0000,1.0000
2017-11-24,65.7600,65.9400,65.1000,65.2500,64.4379,248447,0.0000,1.0000
2017-11-22,65.2100,65.7600,64.8900,65.4800,64.6651,1210020,0.0000,1.0000
2017-11-21,65.5600,65.9500,65.1300,65.3000,64.4873,892148,0.0000,1.0000
2017-11-20,65.2800,65.8700,64.7900,65.3000,64.4873,1232078,0.0000,1.0000
2017-11-17,64.9800,65.8700,64.4100,65.5000,64.6848,979158,0.4600,1.0000
2017-11-16,65.1100,65.8900,63.8650,65.6300,64.3612,1592444,0.0000,1.0000
2017-11-15,65.8200,65.8800,65.0300,65.1500,63.8905,1497585,0.0000,1.0000
2017-11-14,65.9700,67.1499,65.8600,66.2200,64.9398,938052,0.0000,1.0000
2017-11-13,67.0000,67.2450,65.8500,66.3100,65.0281,1573376,0.0000,1.0000
2017-11-10,67.3900,67.7800,67.0300,67.1500,65.8518,1019899,0.0000,1.0000
2017-11-09,67.7200,68.3400,67.4600,67.6000,66.2931,1275882,0.0000,1.0000
2017-11-08,67.5000,68.0631,67.0500,67.8900,66.5775,1110620,0.0000,1.0000
2017-11-07,67.6000,68.4700,67.2600,67.4300,66.1264,1260596,0.0000,1.0000
