timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.7600,5.7600,5.7300,5.7300,5.7300,107063,0.0000,1.0000
2018-07-02,5.7200,5.7400,5.7200,5.7200,5.7200,239162,0.0000,1.0000
2018-06-29,5.7800,5.7800,5.7300,5.7400,5.7400,490032,0.0000,1.0000
2018-06-28,5.6700,5.7300,5.6400,5.7300,5.7300,224898,0.0000,1.0000
2018-06-27,5.7300,5.7500,5.6800,5.6800,5.6800,370805,0.0000,1.0000
2018-06-26,5.7200,5.7600,5.7100,5.7400,5.7400,252407,0.0000,1.0000
2018-06-25,5.7900,5.7900,5.7300,5.7300,5.7300,277903,0.0000,1.0000
2018-06-22,5.7900,5.8200,5.7510,5.8000,5.8000,293704,0.0000,1.0000
2018-06-21,5.7700,5.7800,5.7200,5.7600,5.7600,289917,0.0000,1.0000
2018-06-20,5.7700,5.8000,5.7300,5.7400,5.7400,456636,0.0000,1.0000
2018-06-19,5.7700,5.7700,5.7200,5.7400,5.7400,293518,0.0000,1.0000
2018-06-18,5.8000,5.8190,5.7600,5.8000,5.8000,244784,0.0000,1.0000
2018-06-15,5.8300,5.8300,5.7800,5.8200,5.8200,368834,0.0000,1.0000
2018-06-14,5.8800,5.8900,5.8200,5.8500,5.8500,356490,0.0380,1.0000
2018-06-13,5.9200,5.9200,5.8602,5.9000,5.8619,479909,0.0000,1.0000
2018-06-12,5.9100,5.9200,5.8900,5.9000,5.8619,341813,0.0000,1.0000
2018-06-11,5.9300,5.9300,5.8900,5.9000,5.8619,383771,0.0000,1.0000
2018-06-08,5.9000,5.9100,5.8800,5.8800,5.8421,220775,0.0000,1.0000
2018-06-07,5.9300,5.9500,5.8900,5.9100,5.8719,285936,0.0000,1.0000
2018-06-06,5.9000,5.9300,5.9000,5.9000,5.8619,325461,0.0000,1.0000
2018-06-05,5.9100,5.9400,5.8850,5.9200,5.8818,247487,0.0000,1.0000
2018-06-04,5.9300,5.9500,5.9000,5.9200,5.8818,184017,0.0000,1.0000
2018-06-01,5.8900,5.9200,5.8900,5.9100,5.8719,193669,0.0000,1.0000
2018-05-31,5.8900,5.9000,5.8700,5.8800,5.8421,267481,0.0000,1.0000
2018-05-30,5.8700,5.8900,5.8700,5.8900,5.8520,264797,0.0000,1.0000
2018-05-29,5.9000,5.9000,5.8200,5.8400,5.8023,232016,0.0000,1.0000
2018-05-25,5.9000,5.9500,5.9000,5.9300,5.8917,398691,0.0000,1.0000
2018-05-24,5.9100,5.9400,5.9000,5.9400,5.9017,261186,0.0000,1.0000
2018-05-23,5.9400,5.9400,5.8900,5.8900,5.8520,265858,0.0000,1.0000
2018-05-22,5.9700,5.9900,5.9600,5.9600,5.9215,194287,0.0000,1.0000
2018-05-21,5.9600,5.9800,5.9600,5.9700,5.9315,163878,0.0000,1.0000
2018-05-18,5.9400,5.9605,5.9300,5.9300,5.8917,317096,0.0000,1.0000
2018-05-17,5.9600,5.9700,5.9400,5.9500,5.9116,250703,0.0000,1.0000
2018-05-16,5.9800,5.9900,5.9200,5.9500,5.9116,189098,0.0000,1.0000
2018-05-15,5.9600,5.9900,5.9500,5.9700,5.9315,265713,0.0000,1.0000
2018-05-14,6.0300,6.0300,5.9850,5.9900,5.9513,221747,0.0380,1.0000
2018-05-11,6.0300,6.0500,6.0200,6.0400,5.9632,146942,0.0000,1.0000
2018-05-10,6.0000,6.0500,6.0000,6.0400,5.9632,140912,0.0000,1.0000
2018-05-09,5.9600,5.9900,5.9600,5.9800,5.9040,182217,0.0000,1.0000
2018-05-08,6.0000,6.0000,5.9500,5.9600,5.8842,162309,0.0000,1.0000
2018-05-07,6.0100,6.0400,5.9400,5.9800,5.9040,297766,0.0000,1.0000
2018-05-04,5.9500,6.0400,5.9421,6.0100,5.9336,144870,0.0000,1.0000
2018-05-03,5.9900,6.0200,5.9399,5.9700,5.8941,233813,0.0000,1.0000
2018-05-02,6.0200,6.0300,5.9700,5.9900,5.9138,191104,0.0000,1.0000
2018-05-01,5.9800,6.0200,5.9800,6.0200,5.9434,188275,0.0000,1.0000
2018-04-30,6.0400,6.0800,5.9900,6.0200,5.9434,178216,0.0000,1.0000
2018-04-27,6.0300,6.0300,5.9800,6.0200,5.9434,127376,0.0000,1.0000
2018-04-26,5.9600,6.0200,5.9600,6.0200,5.9434,207985,0.0000,1.0000
2018-04-25,5.9500,5.9500,5.9200,5.9400,5.8645,206215,0.0000,1.0000
2018-04-24,6.0100,6.0100,5.9400,5.9500,5.8743,380707,0.0000,1.0000
2018-04-23,6.0000,6.0100,5.9600,5.9900,5.9138,255782,0.0000,1.0000
2018-04-20,6.0400,6.0500,5.9900,6.0000,5.9237,177060,0.0000,1.0000
2018-04-19,6.1100,6.1100,6.0350,6.0400,5.9632,245406,0.0000,1.0000
2018-04-18,6.1400,6.1400,6.1200,6.1300,6.0520,302142,0.0000,1.0000
2018-04-17,6.1500,6.1700,6.1218,6.1500,6.0718,403607,0.0000,1.0000
2018-04-16,6.1000,6.1200,6.1000,6.1100,6.0323,203304,0.0000,1.0000
