timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,291.0600,294.7000,289.2048,292.9000,292.9000,60927,0.0000,1.0000
2018-07-02,287.2600,290.9000,285.8300,289.2800,289.2800,148224,0.0000,1.0000
2018-06-29,289.3400,291.8850,287.0200,288.5400,288.5400,140531,0.0000,1.0000
2018-06-28,284.5100,288.3300,282.6600,288.2600,288.2600,131385,0.0000,1.0000
2018-06-27,289.9100,294.3000,284.3000,284.4600,284.4600,106643,0.0000,1.0000
2018-06-26,289.5000,292.8104,289.2400,290.4100,290.4100,120405,0.0000,1.0000
2018-06-25,299.4000,300.7700,285.8350,289.6200,289.6200,153201,0.0000,1.0000
2018-06-22,301.3400,301.3400,297.4100,298.3200,298.3200,130426,0.0000,1.0000
2018-06-21,298.8400,302.8200,297.6700,299.8400,299.8400,157139,0.0000,1.0000
2018-06-20,298.5000,302.3800,294.0000,296.7600,296.7600,132220,0.0000,1.0000
2018-06-19,300.3100,302.5650,296.7501,299.8700,299.8700,120427,0.0000,1.0000
2018-06-18,301.9100,303.0150,299.5403,301.4600,301.4600,178563,0.0000,1.0000
2018-06-15,302.3600,304.3100,299.6401,303.8800,303.8800,190378,0.0000,1.0000
2018-06-14,300.3200,303.8700,300.0100,303.7000,303.7000,83576,0.0000,1.0000
2018-06-13,301.2300,304.3200,300.2200,301.0600,301.0600,194632,0.0000,1.0000
2018-06-12,300.3100,304.3600,300.0400,300.7900,300.7900,84002,0.0000,1.0000
2018-06-11,299.9200,301.5800,297.5600,301.0000,301.0000,65431,0.0000,1.0000
2018-06-08,297.4300,300.4300,295.0800,299.5900,299.5900,109870,0.0000,1.0000
2018-06-07,299.3700,299.3700,293.9700,297.0000,297.0000,196826,0.0000,1.0000
2018-06-06,290.6400,297.5900,290.6400,297.4700,297.4700,171192,0.0000,1.0000
2018-06-05,293.0300,294.8000,289.1000,291.2200,291.2200,173628,0.0000,1.0000
2018-06-04,290.9700,293.3100,289.6100,292.8800,292.8800,176146,0.0000,1.0000
2018-06-01,289.2600,292.7500,287.2700,290.6400,290.6400,152533,0.0000,1.0000
2018-05-31,288.6000,292.3900,285.7600,287.1300,287.1300,111567,0.0000,1.0000
2018-05-30,288.2900,293.1460,287.7100,290.8900,290.8900,256669,0.0000,1.0000
2018-05-29,284.8000,287.8900,282.9700,286.0600,286.0600,84670,0.0000,1.0000
2018-05-25,288.6800,289.0300,285.0000,287.9300,287.9300,126142,0.0000,1.0000
2018-05-24,288.7700,291.1250,287.2500,289.0600,289.0600,118083,0.0000,1.0000
2018-05-23,287.2900,290.9300,286.0500,288.9100,288.9100,134962,0.0000,1.0000
2018-05-22,292.7400,294.4400,288.9600,289.3600,289.3600,68816,0.0000,1.0000
2018-05-21,293.5500,297.5900,290.3250,292.2800,292.2800,87491,0.0000,1.0000
2018-05-18,286.0500,292.5900,286.0500,291.6600,291.6600,125269,0.0000,1.0000
