timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,15.0900,15.1600,15.0900,15.1300,15.1300,42191,0.0000,1.0000
2018-07-02,15.0900,15.1710,15.0850,15.1600,15.1600,50531,0.0000,1.0000
2018-06-29,15.1074,15.1352,15.0800,15.0800,15.0800,39243,0.0000,1.0000
2018-06-28,15.1000,15.1000,15.0800,15.1000,15.1000,39040,0.0000,1.0000
2018-06-27,15.0800,15.1099,15.0800,15.0900,15.0900,23751,0.0000,1.0000
2018-06-26,15.0900,15.1090,15.0800,15.0800,15.0800,35784,0.0000,1.0000
2018-06-25,15.1300,15.1300,15.0900,15.0900,15.0900,26634,0.0000,1.0000
2018-06-22,15.1184,15.1300,15.0991,15.1100,15.1100,12440,0.0000,1.0000
2018-06-21,15.1050,15.1400,15.0900,15.1200,15.1200,57719,0.0000,1.0000
2018-06-20,15.1400,15.1400,15.0900,15.0900,15.0900,30025,0.0000,1.0000
2018-06-19,15.1200,15.1300,15.1100,15.1200,15.1200,9128,0.0000,1.0000
2018-06-18,15.0900,15.1199,15.0900,15.1000,15.1000,15659,0.0000,1.0000
2018-06-15,15.1000,15.1180,15.1000,15.1100,15.1100,28731,0.0000,1.0000
2018-06-14,15.1086,15.1400,15.1000,15.1000,15.1000,30391,0.0395,1.0000
2018-06-13,15.1300,15.1480,15.1000,15.1300,15.0905,21546,0.0000,1.0000
2018-06-12,15.1304,15.1600,15.1205,15.1310,15.0915,13279,0.0000,1.0000
2018-06-11,15.1666,15.1666,15.1100,15.1100,15.0706,68092,0.0000,1.0000
2018-06-08,15.1367,15.1900,15.1200,15.1800,15.1404,21900,0.0000,1.0000
2018-06-07,15.1500,15.1500,15.1100,15.1200,15.0806,18668,0.0000,1.0000
2018-06-06,15.1200,15.1400,15.1100,15.1200,15.0806,41802,0.0000,1.0000
2018-06-05,15.1600,15.1810,15.1200,15.1200,15.0806,39431,0.0000,1.0000
2018-06-04,15.1600,15.1800,15.1200,15.1800,15.1404,27657,0.0000,1.0000
2018-06-01,15.1900,15.1900,15.1500,15.1500,15.1105,13656,0.0000,1.0000
2018-05-31,15.1300,15.1900,15.1101,15.1900,15.1504,62996,0.0000,1.0000
2018-05-30,15.1800,15.1850,15.1200,15.1300,15.0905,27604,0.0000,1.0000
2018-05-29,15.1800,15.1900,15.1600,15.1900,15.1504,28057,0.0000,1.0000
2018-05-25,15.1500,15.1900,15.1400,15.1700,15.1304,33854,0.0000,1.0000
2018-05-24,15.1300,15.1900,15.1100,15.1100,15.0706,34351,0.0000,1.0000
2018-05-23,15.1700,15.1900,15.1200,15.1200,15.0806,27768,0.0000,1.0000
2018-05-22,15.1200,15.1800,15.1000,15.1700,15.1304,59069,0.0000,1.0000
2018-05-21,15.1000,15.1500,15.1000,15.1200,15.0806,16844,0.0000,1.0000
2018-05-18,15.1100,15.1350,15.1004,15.1300,15.0905,9279,0.0000,1.0000
2018-05-17,15.0800,15.1200,15.0800,15.0800,15.0407,24251,0.0000,1.0000
2018-05-16,15.0700,15.1300,15.0700,15.1000,15.0606,46763,0.0000,1.0000
2018-05-15,15.1400,15.1600,15.1000,15.1200,15.0806,46211,0.0000,1.0000
2018-05-14,15.1799,15.1799,15.1301,15.1700,15.1304,24857,0.0395,1.0000
2018-05-11,15.1500,15.1900,15.1401,15.1900,15.1110,32966,0.0000,1.0000
2018-05-10,15.1500,15.1900,15.1500,15.1700,15.0911,33591,0.0000,1.0000
2018-05-09,15.1200,15.1736,15.1200,15.1500,15.0712,21791,0.0000,1.0000
2018-05-08,15.1900,15.1900,15.1546,15.1900,15.1110,36120,0.0000,1.0000
2018-05-07,15.1500,15.1900,15.1200,15.1900,15.1110,30314,0.0000,1.0000
2018-05-04,15.1300,15.1500,15.1000,15.1300,15.0513,11793,0.0000,1.0000
2018-05-03,15.1600,15.1900,15.1000,15.1300,15.0513,37510,0.0000,1.0000
2018-05-02,15.1700,15.1900,15.1010,15.1800,15.1011,50315,0.0000,1.0000
2018-05-01,15.1400,15.1500,15.0800,15.1500,15.0712,37521,0.0000,1.0000
2018-04-30,15.1400,15.1700,15.0900,15.1600,15.0812,55968,0.0000,1.0000
2018-04-27,15.1800,15.2000,15.1100,15.1100,15.0314,18079,0.0000,1.0000
2018-04-26,15.0700,15.1699,15.0544,15.1300,15.0513,25820,0.0000,1.0000
