timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.8100,5.8400,5.8100,5.8200,5.8200,24723,0.0000,1.0000
2018-07-02,5.8000,5.8400,5.8000,5.8200,5.8200,117948,0.0000,1.0000
2018-06-29,5.8100,5.8300,5.7900,5.8300,5.8300,149601,0.0000,1.0000
2018-06-28,5.7900,5.8200,5.7800,5.8200,5.8200,83909,0.0000,1.0000
2018-06-27,5.7800,5.7900,5.7500,5.7900,5.7900,145501,0.0000,1.0000
2018-06-26,5.7700,5.7800,5.7500,5.7600,5.7600,63870,0.0000,1.0000
2018-06-25,5.7500,5.7800,5.7500,5.7800,5.7800,65595,0.0000,1.0000
2018-06-22,5.7700,5.7800,5.7500,5.7500,5.7500,20775,0.0000,1.0000
2018-06-21,5.7600,5.7800,5.7531,5.7800,5.7800,39041,0.0000,1.0000
2018-06-20,5.7500,5.7700,5.7500,5.7500,5.7500,50631,0.0000,1.0000
2018-06-19,5.7400,5.7600,5.7400,5.7500,5.7500,377112,0.0000,1.0000
2018-06-18,5.7500,5.7600,5.7400,5.7400,5.7400,117800,0.0000,1.0000
2018-06-15,5.7300,5.7600,5.7200,5.7400,5.7400,83162,0.0000,1.0000
2018-06-14,5.7000,5.7300,5.7000,5.7200,5.7200,82901,0.0265,1.0000
2018-06-13,5.7350,5.7400,5.7200,5.7300,5.7036,96300,0.0000,1.0000
2018-06-12,5.7600,5.7600,5.7100,5.7400,5.7135,85582,0.0000,1.0000
2018-06-11,5.7800,5.7800,5.7400,5.7500,5.7235,103087,0.0000,1.0000
2018-06-08,5.7700,5.7800,5.7600,5.7700,5.7434,23299,0.0000,1.0000
2018-06-07,5.7400,5.7800,5.7400,5.7600,5.7334,82410,0.0000,1.0000
2018-06-06,5.7700,5.8000,5.7431,5.7600,5.7334,89513,0.0000,1.0000
2018-06-05,5.7800,5.8100,5.7700,5.7700,5.7434,110775,0.0000,1.0000
2018-06-04,5.7900,5.8100,5.7800,5.8000,5.7733,104237,0.0000,1.0000
2018-06-01,5.7900,5.8200,5.7800,5.7900,5.7633,143847,0.0000,1.0000
2018-05-31,5.8000,5.8300,5.7700,5.8150,5.7882,195772,0.0000,1.0000
2018-05-30,5.7900,5.8000,5.7700,5.7800,5.7533,96603,0.0000,1.0000
2018-05-29,5.7600,5.8200,5.7600,5.8100,5.7832,83969,0.0000,1.0000
2018-05-25,5.7500,5.7900,5.7400,5.7600,5.7334,149758,0.0000,1.0000
2018-05-24,5.7300,5.8000,5.7300,5.7400,5.7135,110728,0.0000,1.0000
2018-05-23,5.7300,5.7700,5.7200,5.7600,5.7334,159005,0.0000,1.0000
2018-05-22,5.7000,5.7300,5.7000,5.7300,5.7036,62513,0.0000,1.0000
2018-05-21,5.7100,5.7300,5.7000,5.7100,5.6837,84245,0.0000,1.0000
2018-05-18,5.7300,5.7400,5.7200,5.7200,5.6936,52266,0.0000,1.0000
2018-05-17,5.7000,5.7400,5.7000,5.7200,5.6936,53507,0.0000,1.0000
