timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,42.3900,43.1000,41.8700,42.2500,42.2500,431159,0.0000,1.0000
2018-07-02,42.0900,42.4900,41.9100,42.3600,42.3600,675695,0.0000,1.0000
2018-06-29,41.8300,42.6500,41.7400,42.2100,42.2100,1716895,0.0000,1.0000
2018-06-28,41.6200,41.9800,41.3900,41.9200,41.9200,641262,0.0000,1.0000
2018-06-27,41.9200,42.2500,41.5650,41.7000,41.7000,400618,0.0000,1.0000
2018-06-26,41.5400,42.1300,41.3900,41.9700,41.9700,586801,0.0000,1.0000
2018-06-25,41.3200,41.8000,41.0100,41.6100,41.6100,571855,0.0000,1.0000
2018-06-22,41.2200,41.7000,41.0800,41.3000,41.3000,553371,0.0000,1.0000
2018-06-21,41.3400,41.5000,40.8600,41.1200,41.1200,468495,0.0000,1.0000
2018-06-20,41.3400,41.5500,41.2100,41.3500,41.3500,376977,0.0000,1.0000
2018-06-19,41.6000,41.8150,41.0700,41.3400,41.3400,826517,0.0000,1.0000
2018-06-18,42.3900,42.5300,41.9900,42.0200,42.0200,596914,0.0000,1.0000
2018-06-15,42.9000,42.9900,42.5400,42.5800,42.5800,1388042,0.0000,1.0000
2018-06-14,42.9100,43.0900,42.5600,42.9300,42.9300,518103,0.0000,1.0000
2018-06-13,43.0100,43.1200,42.6600,42.6900,42.6900,421938,0.0000,1.0000
2018-06-12,43.1400,43.2100,42.8450,42.9800,42.9800,274146,0.0000,1.0000
2018-06-11,42.7300,43.3200,42.7300,43.1100,43.1100,317919,0.0000,1.0000
2018-06-08,42.3800,42.8100,41.9750,42.6900,42.6900,318576,0.0000,1.0000
2018-06-07,42.2000,42.6100,42.1300,42.4300,42.4300,431918,0.0000,1.0000
2018-06-06,42.5900,42.6000,41.8050,42.2400,42.2400,649538,0.0000,1.0000
2018-06-05,42.8400,43.2600,42.5700,42.6900,42.6900,255924,0.0000,1.0000
2018-06-04,42.6500,42.9500,42.5700,42.8200,42.8200,655000,0.0000,1.0000
2018-06-01,42.5000,42.8600,42.4200,42.5800,42.5800,425553,0.0000,1.0000
2018-05-31,42.9300,43.0400,42.0400,42.3000,42.3000,569406,0.0000,1.0000
2018-05-30,43.3600,43.9800,42.7900,42.8800,42.8800,1025524,0.0000,1.0000
2018-05-29,44.0500,44.0900,43.1600,43.2900,43.2900,809318,0.0000,1.0000
2018-05-25,43.5400,44.3197,43.5400,44.1100,44.1100,362965,0.0000,1.0000
2018-05-24,43.5500,43.8200,43.2500,43.5900,43.5900,306709,0.0000,1.0000
2018-05-23,43.2800,43.4500,42.9600,43.4500,43.4500,444113,0.0000,1.0000
2018-05-22,43.2100,43.5400,42.9500,43.2100,43.2100,275190,0.0000,1.0000
2018-05-21,43.0800,43.3000,42.8800,43.1500,43.1500,310517,0.0000,1.0000
2018-05-18,42.8200,43.1500,42.7600,42.9800,42.9800,375662,0.0000,1.0000
2018-05-17,42.5700,43.1100,42.5700,43.0000,43.0000,422919,0.0000,1.0000
2018-05-16,41.9200,42.7900,41.8900,42.6500,42.6500,741891,0.3100,1.0000
2018-05-15,43.4200,43.4300,42.0600,42.1600,41.8558,1205993,0.0000,1.0000
2018-05-14,43.6500,43.9100,43.2700,43.6800,43.3648,543416,0.0000,1.0000
2018-05-11,43.3900,44.0300,43.3400,43.6100,43.2953,694107,0.0000,1.0000
2018-05-10,42.8300,43.4900,42.8300,43.2900,42.9776,446023,0.0000,1.0000
2018-05-09,42.4500,42.8600,42.0900,42.7400,42.4316,490602,0.0000,1.0000
2018-05-08,42.2200,42.5100,41.9700,42.3800,42.0742,510882,0.0000,1.0000
2018-05-07,42.7500,43.2500,42.1750,42.2700,41.9650,644635,0.0000,1.0000
2018-05-04,41.9000,42.9000,41.9000,42.7300,42.4217,558586,0.0000,1.0000
2018-05-03,42.6900,42.8400,41.4800,42.0100,41.7069,908014,0.0000,1.0000
2018-05-02,43.2600,43.3900,42.7000,42.7600,42.4514,1036216,0.0000,1.0000
2018-05-01,43.1700,43.4350,42.7400,43.2900,42.9776,469866,0.0000,1.0000
2018-04-30,43.8600,44.1150,43.1250,43.2700,42.9578,963929,0.0000,1.0000
2018-04-27,43.8800,44.1800,43.4550,43.6700,43.3549,937655,0.0000,1.0000
2018-04-26,44.3300,44.7200,42.9300,43.9500,43.6329,938114,0.0000,1.0000
2018-04-25,43.8300,44.2900,43.6300,43.7900,43.4740,725003,0.0000,1.0000
2018-04-24,44.5200,44.6450,43.5000,43.9700,43.6527,677302,0.0000,1.0000
2018-04-23,44.5600,44.8800,44.2900,44.4000,44.0796,406335,0.0000,1.0000
2018-04-20,44.7100,44.9050,44.2900,44.5200,44.1987,768357,0.0000,1.0000
2018-04-19,44.9400,45.1300,44.5700,44.8000,44.4767,624120,0.0000,1.0000
2018-04-18,44.6500,45.0600,44.4000,44.9100,44.5859,732884,0.0000,1.0000
2018-04-17,44.7900,45.0800,44.5100,44.7400,44.4172,734026,0.0000,1.0000
2018-04-16,44.6500,44.9200,44.4900,44.6800,44.3576,482437,0.0000,1.0000
2018-04-13,44.6700,44.8600,44.3800,44.5300,44.2087,381319,0.0000,1.0000
2018-04-12,44.4200,44.8500,44.3100,44.5600,44.2385,247995,0.0000,1.0000
2018-04-11,43.9800,44.6100,43.6400,44.3300,44.0101,371591,0.0000,1.0000
2018-04-10,44.2100,44.5800,44.0800,44.1800,43.8612,553905,0.0000,1.0000
2018-04-09,43.8300,44.1300,43.4700,43.8300,43.5137,270968,0.0000,1.0000
2018-04-06,44.1100,44.5450,43.4800,43.6300,43.3152,727008,0.0000,1.0000
2018-04-05,44.8100,44.8300,44.2100,44.4000,44.0796,541432,0.0000,1.0000
2018-04-04,43.8800,44.7700,43.6700,44.6500,44.3278,991708,0.0000,1.0000
2018-04-03,43.5100,44.4100,43.5100,44.2000,43.8811,759294,0.0000,1.0000
2018-04-02,44.4200,44.4800,43.0800,43.4500,43.1365,724597,0.0000,1.0000
2018-03-29,43.0500,43.6700,43.0500,43.5200,43.2060,495587,0.0000,1.0000
2018-03-28,43.1200,43.3600,42.5900,42.7700,42.4614,592796,0.0000,1.0000
2018-03-27,43.5100,43.5100,42.6050,43.1700,42.8585,747243,0.0000,1.0000
2018-03-26,43.0300,43.8000,43.0300,43.3900,43.0769,505509,0.0000,1.0000
2018-03-23,43.1600,43.4700,42.5300,42.5400,42.2330,601151,0.0000,1.0000
2018-03-22,44.1300,44.3100,43.0800,43.0800,42.7691,523680,0.0000,1.0000
2018-03-21,44.3700,44.6200,44.1400,44.2700,43.9505,658185,0.0000,1.0000
2018-03-20,44.8700,45.2000,44.3300,44.3600,44.0399,778410,0.0000,1.0000
2018-03-19,45.0000,45.8800,44.6800,44.7000,44.3774,827682,0.0000,1.0000
2018-03-16,45.2800,45.4275,44.9700,44.9800,44.6554,900747,0.0000,1.0000
2018-03-15,45.7900,46.0200,45.0700,45.1900,44.8639,409401,0.0000,1.0000
2018-03-14,46.1400,46.2300,45.4300,45.7000,45.3702,264922,0.0000,1.0000
