timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,5.6000,5.6600,5.3400,5.3700,5.3700,491752,0.0000,1.0000
2018-07-02,5.6100,5.7400,5.5300,5.6000,5.6000,363262,0.0000,1.0000
2018-06-29,5.8600,5.8700,5.5100,5.6400,5.6400,498606,0.0000,1.0000
2018-06-28,6.0500,6.0500,5.6192,5.8600,5.8600,627375,0.0000,1.0000
2018-06-27,6.1900,6.4000,6.0900,6.1000,6.1000,359070,0.0000,1.0000
2018-06-26,6.4800,6.5160,5.9840,6.1600,6.1600,843863,0.0000,1.0000
2018-06-25,7.0100,7.0355,6.4700,6.5200,6.5200,733205,0.0000,1.0000
2018-06-22,7.6800,7.6800,6.8100,7.0000,7.0000,1226239,0.0000,1.0000
2018-06-21,7.2500,8.3200,7.2400,7.6600,7.6600,1951284,0.0000,1.0000
2018-06-20,6.4800,6.8500,6.4000,6.7600,6.7600,523074,0.0000,1.0000
2018-06-19,6.4100,6.5800,6.2900,6.4900,6.4900,449956,0.0000,1.0000
2018-06-18,6.5600,6.6550,6.3700,6.4000,6.4000,321871,0.0000,1.0000
2018-06-15,6.4400,6.5200,6.3400,6.4600,6.4600,470707,0.0000,1.0000
2018-06-14,6.5100,6.5100,6.3400,6.4400,6.4400,123112,0.0000,1.0000
2018-06-13,6.6000,6.6000,6.4450,6.5200,6.5200,153248,0.0000,1.0000
2018-06-12,6.5900,6.6600,6.5200,6.5800,6.5800,153195,0.0000,1.0000
2018-06-11,6.5800,6.6600,6.4900,6.5900,6.5900,187565,0.0000,1.0000
2018-06-08,6.5700,6.6300,6.5200,6.5700,6.5700,180559,0.0000,1.0000
2018-06-07,6.5000,6.6600,6.4600,6.5700,6.5700,153503,0.0000,1.0000
2018-06-06,6.4600,6.5700,6.4600,6.5000,6.5000,179454,0.0000,1.0000
2018-06-05,6.2600,6.4850,6.2200,6.4500,6.4500,240103,0.0000,1.0000
2018-06-04,6.3900,6.4900,6.2100,6.2500,6.2500,270349,0.0000,1.0000
2018-06-01,6.3500,6.4600,6.2900,6.3800,6.3800,436407,0.0000,1.0000
2018-05-31,6.4300,6.4300,6.1700,6.3400,6.3400,363022,0.0000,1.0000
2018-05-30,6.3800,6.5250,6.3300,6.4200,6.4200,182059,0.0000,1.0000
2018-05-29,6.3700,6.4950,6.3500,6.3700,6.3700,158571,0.0000,1.0000
2018-05-25,6.4400,6.4800,6.3100,6.3900,6.3900,132808,0.0000,1.0000
2018-05-24,6.4600,6.5100,6.2300,6.4500,6.4500,232744,0.0000,1.0000
2018-05-23,6.3000,6.5099,6.3000,6.4800,6.4800,194701,0.0000,1.0000
2018-05-22,6.1500,6.4200,6.1500,6.3400,6.3400,429576,0.0000,1.0000
2018-05-21,6.1100,6.1800,6.0900,6.1700,6.1700,90494,0.0000,1.0000
2018-05-18,6.1700,6.1700,6.0500,6.1000,6.1000,143636,0.0000,1.0000
2018-05-17,6.1200,6.2200,6.1000,6.1400,6.1400,224675,0.0000,1.0000
2018-05-16,6.0400,6.2100,6.0400,6.1100,6.1100,283280,0.0000,1.0000
2018-05-15,6.1700,6.2300,6.0200,6.0300,6.0300,209215,0.0000,1.0000
2018-05-14,6.3200,6.3500,6.1150,6.1700,6.1700,410272,0.0000,1.0000
2018-05-11,6.3300,6.4100,6.2500,6.3200,6.3200,149036,0.0000,1.0000
2018-05-10,6.2700,6.4000,6.1700,6.3100,6.3100,419498,0.0000,1.0000
2018-05-09,6.5400,6.6200,6.2100,6.2500,6.2500,287490,0.0000,1.0000
2018-05-08,6.5000,6.5600,6.4500,6.5200,6.5200,187152,0.0000,1.0000
2018-05-07,6.8800,6.8900,6.4700,6.5400,6.5400,285154,0.0000,1.0000
2018-05-04,6.7900,6.9500,6.6700,6.8700,6.8700,175382,0.0000,1.0000
2018-05-03,7.0400,7.0400,6.7200,6.8300,6.8300,434080,0.0000,1.0000
2018-05-02,7.1000,7.1000,6.9150,6.9900,6.9900,225169,0.0000,1.0000
2018-05-01,7.1300,7.1600,6.9000,7.0800,7.0800,198146,0.0000,1.0000
2018-04-30,7.3900,7.5200,7.0750,7.1900,7.1900,174770,0.0000,1.0000
2018-04-27,7.4400,7.5700,7.3500,7.4200,7.4200,172032,0.0000,1.0000
2018-04-26,7.4400,7.5600,7.3600,7.4100,7.4100,580556,0.0000,1.0000
2018-04-25,7.3900,7.5100,7.3200,7.3600,7.3600,182358,0.0000,1.0000
2018-04-24,7.4200,7.4500,7.3000,7.3700,7.3700,118842,0.0000,1.0000
2018-04-23,7.3800,7.4600,7.3000,7.4000,7.4000,154405,0.0000,1.0000
2018-04-20,7.3700,7.4600,7.3401,7.3700,7.3700,139002,0.0000,1.0000
2018-04-19,7.4000,7.5000,7.3500,7.4000,7.4000,121253,0.0000,1.0000
2018-04-18,7.4200,7.6000,7.3900,7.4700,7.4700,188216,0.0000,1.0000
2018-04-17,7.2800,7.4300,7.2000,7.4200,7.4200,299825,0.0000,1.0000
2018-04-16,7.0000,7.2600,6.9100,7.1900,7.1900,284668,0.0000,1.0000
2018-04-13,7.0600,7.0800,6.9000,6.9500,6.9500,146590,0.0000,1.0000
2018-04-12,7.2500,7.2700,6.9700,7.0400,7.0400,286612,0.0000,1.0000
2018-04-11,7.1100,7.4000,7.1100,7.2100,7.2100,213333,0.0000,1.0000
2018-04-10,7.1100,7.2500,7.0201,7.1800,7.1800,214669,0.0000,1.0000
2018-04-09,7.0500,7.0800,6.9600,7.0000,7.0000,165843,0.0000,1.0000
2018-04-06,7.0200,7.1200,6.8500,7.0300,7.0300,264752,0.0000,1.0000
2018-04-05,6.9300,7.1300,6.8800,7.0500,7.0500,240957,0.0000,1.0000
2018-04-04,6.6700,6.9800,6.6600,6.9100,6.9100,254645,0.0000,1.0000
2018-04-03,6.6200,6.8200,6.6100,6.7300,6.7300,325372,0.0000,1.0000
2018-04-02,6.8500,6.8950,6.3700,6.5900,6.5900,354108,0.0000,1.0000
2018-03-29,6.7700,6.9500,6.7700,6.8900,6.8900,482433,0.0000,1.0000
2018-03-28,6.6100,6.8700,6.5900,6.7400,6.7400,157302,0.0000,1.0000
2018-03-27,6.6400,6.7900,6.6000,6.6300,6.6300,288870,0.0000,1.0000
2018-03-26,6.4900,6.6500,6.3600,6.6200,6.6200,341721,0.0000,1.0000
2018-03-23,6.6600,6.6600,6.4400,6.4400,6.4400,239692,0.0000,1.0000
2018-03-22,6.7400,6.7800,6.5900,6.6400,6.6400,227538,0.0000,1.0000
2018-03-21,6.7900,6.9900,6.7700,6.7800,6.7800,187135,0.0000,1.0000
2018-03-20,6.8500,6.8900,6.6700,6.8100,6.8100,284848,0.0000,1.0000
2018-03-19,6.8300,6.9100,6.7400,6.8400,6.8400,592813,0.0000,1.0000
2018-03-16,6.6700,6.8900,6.5600,6.8600,6.8600,1005217,0.0000,1.0000
2018-03-15,6.7300,6.8500,6.6000,6.6500,6.6500,277099,0.0000,1.0000
2018-03-14,6.9000,6.9700,6.6600,6.6900,6.6900,325269,0.0000,1.0000
2018-03-13,6.8700,7.1200,6.7600,6.8600,6.8600,395190,0.0000,1.0000
2018-03-12,6.5600,6.9200,6.5500,6.8300,6.8300,400879,0.0000,1.0000
2018-03-09,6.7700,6.7900,6.5300,6.5500,6.5500,331151,0.0000,1.0000
2018-03-08,7.2700,7.2700,6.7000,6.7000,6.7000,456050,0.0000,1.0000
2018-03-07,7.1500,7.2900,7.0400,7.2500,7.2500,395249,0.0000,1.0000
2018-03-06,7.2100,7.2700,6.9700,7.1600,7.1600,526941,0.0000,1.0000
2018-03-05,7.1200,7.4300,7.1000,7.2000,7.2000,825638,0.0000,1.0000
2018-03-02,7.3100,7.4900,7.0500,7.1100,7.1100,866420,0.0000,1.0000
2018-03-01,7.5000,8.2000,7.2400,7.3500,7.3500,838695,0.0000,1.0000
2018-02-28,7.5800,7.5800,7.1800,7.3000,7.3000,392819,0.0000,1.0000
2018-02-27,7.6400,7.9300,7.4710,7.5800,7.5800,462118,0.0000,1.0000
2018-02-26,7.4100,7.7200,7.1400,7.6000,7.6000,888647,0.0000,1.0000
2018-02-23,7.0400,7.4100,7.0000,7.3700,7.3700,409886,0.0000,1.0000
2018-02-22,6.8600,7.0800,6.7850,6.9800,6.9800,455606,0.0000,1.0000
2018-02-21,6.7000,6.8700,6.6800,6.8400,6.8400,197361,0.0000,1.0000
2018-02-20,6.9300,6.9300,6.6100,6.6800,6.6800,268512,0.0000,1.0000
2018-02-16,6.7700,7.0100,6.7500,6.9400,6.9400,282052,0.0000,1.0000
2018-02-15,6.6700,6.8100,6.4500,6.7900,6.7900,351129,0.0000,1.0000
2018-02-14,6.3900,6.6600,6.3700,6.6300,6.6300,228543,0.0000,1.0000
2018-02-13,6.4700,6.6000,6.4000,6.4300,6.4300,148695,0.0000,1.0000
2018-02-12,6.6200,6.6700,6.2900,6.5000,6.5000,246282,0.0000,1.0000
2018-02-09,6.5500,6.6700,6.3300,6.5800,6.5800,269461,0.0000,1.0000
2018-02-08,6.5500,6.5900,6.3500,6.5000,6.5000,411826,0.0000,1.0000
2018-02-07,6.3500,6.5900,6.2400,6.5200,6.5200,281559,0.0000,1.0000
2018-02-06,6.0600,6.4500,5.9700,6.3400,6.3400,305408,0.0000,1.0000
2018-02-05,6.3000,6.4050,6.1800,6.1900,6.1900,283288,0.0000,1.0000
2018-02-02,6.6500,6.6600,6.3000,6.3000,6.3000,303427,0.0000,1.0000
2018-02-01,6.5700,6.7100,6.5100,6.7100,6.7100,249078,0.0000,1.0000
2018-01-31,6.8100,6.8424,6.6300,6.6500,6.6500,183663,0.0000,1.0000
2018-01-30,6.7500,6.7900,6.6500,6.7400,6.7400,178022,0.0000,1.0000
2018-01-29,6.9000,6.9200,6.7900,6.8500,6.8500,186776,0.0000,1.0000
2018-01-26,7.2000,7.2400,6.7750,6.8900,6.8900,387737,0.0000,1.0000
2018-01-25,7.2900,7.2900,7.0900,7.1700,7.1700,319888,0.0000,1.0000
2018-01-24,7.5600,7.5600,7.2600,7.2900,7.2900,174250,0.0000,1.0000
2018-01-23,7.7100,7.7100,7.5200,7.5300,7.5300,262090,0.0000,1.0000
2018-01-22,7.7000,7.7200,7.5900,7.7100,7.7100,274552,0.0000,1.0000
2018-01-19,7.4600,7.7500,7.2900,7.7000,7.7000,393305,0.0000,1.0000
2018-01-18,7.3700,7.5000,7.2500,7.4500,7.4500,355709,0.0000,1.0000
2018-01-17,7.3600,7.3850,7.2500,7.3800,7.3800,358071,0.0000,1.0000
2018-01-16,7.6100,7.6800,7.2296,7.3300,7.3300,349652,0.0000,1.0000
