timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,13.9000,14.2900,13.6800,13.7400,13.7400,432839,0.0000,1.0000
2018-07-02,13.9800,13.9800,13.4110,13.6500,13.6500,504922,0.0000,1.0000
2018-06-29,14.2300,14.4400,14.0800,14.1100,14.1100,596171,0.0000,1.0000
2018-06-28,14.5600,14.5600,14.2100,14.2200,14.2200,604351,0.0000,1.0000
2018-06-27,14.5500,14.9150,14.5200,14.5300,14.5300,730517,0.0000,1.0000
2018-06-26,14.0500,14.5550,13.8400,14.4000,14.4000,591028,0.0000,1.0000
2018-06-25,14.0900,14.2900,13.8200,13.9900,13.9900,614673,0.0000,1.0000
2018-06-22,13.8400,14.4486,13.8400,14.1000,14.1000,1090338,0.0000,1.0000
2018-06-21,13.5500,13.6900,13.2600,13.3600,13.3600,541595,0.0000,1.0000
2018-06-20,13.7800,13.8590,13.3000,13.7400,13.7400,557812,0.0000,1.0000
2018-06-19,12.9700,13.6600,12.7800,13.6500,13.6500,472960,0.0000,1.0000
2018-06-18,12.8500,13.3450,12.6700,13.2200,13.2200,409189,0.0000,1.0000
2018-06-15,12.7800,13.1250,12.6210,12.9000,12.9000,877624,0.0000,1.0000
2018-06-14,13.0500,13.2000,12.9100,13.0000,13.0000,356465,0.0000,1.0000
2018-06-13,13.0900,13.2100,12.7600,13.0000,13.0000,608267,0.0000,1.0000
2018-06-12,13.1600,13.4400,12.9100,13.0800,13.0800,672876,0.0000,1.0000
2018-06-11,12.7500,13.3400,12.5200,13.1000,13.1000,557772,0.0000,1.0000
2018-06-08,12.9100,13.0000,12.4800,12.7800,12.7800,512057,0.0000,1.0000
2018-06-07,12.6200,13.2400,12.5400,12.9700,12.9700,818116,0.0000,1.0000
2018-06-06,12.2500,12.5900,12.1800,12.5200,12.5200,701892,0.0000,1.0000
2018-06-05,11.9500,12.2900,11.9000,12.1900,12.1900,1154038,0.0000,1.0000
2018-06-04,11.9900,12.2300,11.8600,12.0200,12.0200,1019117,0.0000,1.0000
2018-06-01,11.8100,11.9700,11.6800,11.9600,11.9600,1058872,0.0000,1.0000
2018-05-31,11.6200,12.1600,11.5500,11.8300,11.8300,1371140,0.0000,1.0000
2018-05-30,12.5700,12.7500,11.6700,11.7700,11.7700,1733885,0.0000,1.0000
2018-05-29,12.3400,13.1800,12.3300,12.5400,12.5400,2525277,0.0000,1.0000
2018-05-25,14.0100,14.0200,12.5000,12.5500,12.5500,3028613,0.0000,1.0000
2018-05-24,16.8090,16.8100,13.4500,14.3600,14.3600,3691723,0.0000,1.0000
2018-05-23,18.1300,18.2850,17.8700,17.9900,17.9900,469369,0.0000,1.0000
2018-05-22,18.5900,18.7500,18.2000,18.3400,18.3400,392787,0.0000,1.0000
2018-05-21,18.7700,18.8700,18.5100,18.6500,18.6500,259102,0.0000,1.0000
2018-05-18,18.7700,18.7900,18.3800,18.5700,18.5700,270598,0.0000,1.0000
2018-05-17,18.4000,18.9100,18.4000,18.7200,18.7200,896841,0.0000,1.0000
2018-05-16,18.2700,18.8200,18.1600,18.3000,18.3000,620837,0.0000,1.0000
2018-05-15,17.7900,18.3300,17.7500,18.1900,18.1900,780946,0.0000,1.0000
2018-05-14,17.6500,17.9500,17.6500,17.9200,17.9200,554548,0.0000,1.0000
2018-05-11,17.5800,17.6700,17.2000,17.6200,17.6200,477203,0.0000,1.0000
2018-05-10,17.6700,17.9300,17.3500,17.5000,17.5000,496351,0.0000,1.0000
2018-05-09,17.8500,18.1400,17.5500,17.6700,17.6700,789775,0.0000,1.0000
2018-05-08,16.8800,17.5700,16.6800,17.5100,17.5100,1029025,0.0000,1.0000
2018-05-07,16.8300,17.3600,16.7400,16.9100,16.9100,712110,0.0000,1.0000
2018-05-04,16.4200,16.8500,16.3500,16.6100,16.6100,222043,0.0000,1.0000
2018-05-03,16.6900,16.7300,16.1800,16.4600,16.4600,211365,0.0000,1.0000
2018-05-02,15.9700,16.8900,15.9700,16.7500,16.7500,571170,0.0000,1.0000
2018-05-01,16.0000,16.0400,15.6010,15.9800,15.9800,316069,0.0000,1.0000
2018-04-30,16.1500,16.4200,16.0300,16.0500,16.0500,248967,0.0000,1.0000
2018-04-27,16.5000,16.7300,16.1700,16.2500,16.2500,282218,0.0000,1.0000
2018-04-26,16.5300,16.7900,16.2950,16.6100,16.6100,261108,0.0000,1.0000
2018-04-25,16.0300,16.4800,15.8400,16.3200,16.3200,243940,0.0000,1.0000
2018-04-24,16.2200,16.7100,16.0400,16.1200,16.1200,456688,0.0000,1.0000
2018-04-23,15.9800,16.2400,15.5110,16.0900,16.0900,367317,0.0000,1.0000
2018-04-20,16.3700,16.3700,15.9400,16.1300,16.1300,294693,0.0000,1.0000
2018-04-19,16.2500,16.5400,16.0100,16.4600,16.4600,784199,0.0000,1.0000
2018-04-18,15.8600,16.6600,15.8100,16.2300,16.2300,724855,0.0000,1.0000
2018-04-17,15.2900,15.9200,15.1700,15.5000,15.5000,640749,0.0000,1.0000
2018-04-16,15.1700,15.3200,14.7750,15.2900,15.2900,297856,0.0000,1.0000
2018-04-13,14.8400,15.2400,14.7700,15.2000,15.2000,353501,0.0000,1.0000
2018-04-12,14.5400,14.8600,14.4000,14.8000,14.8000,428503,0.0000,1.0000
2018-04-11,13.9800,14.7200,13.9800,14.5300,14.5300,543262,0.0000,1.0000
2018-04-10,13.4200,14.3200,13.2900,14.0400,14.0400,465123,0.0000,1.0000
2018-04-09,13.2900,13.3400,13.0000,13.0200,13.0200,226004,0.0000,1.0000
2018-04-06,13.2900,13.4600,12.8710,13.1400,13.1400,294218,0.0000,1.0000
2018-04-05,13.2100,13.6000,13.1400,13.4200,13.4200,266111,0.0000,1.0000
2018-04-04,12.8200,13.3500,12.6300,13.1400,13.1400,293787,0.0000,1.0000
2018-04-03,12.5900,13.1738,12.4200,13.1200,13.1200,355141,0.0000,1.0000
2018-04-02,12.9000,12.9300,12.3100,12.5200,12.5200,476086,0.0000,1.0000
2018-03-29,13.1200,13.2200,12.6750,13.0000,13.0000,541039,0.0000,1.0000
2018-03-28,12.8800,13.0900,12.6100,13.0200,13.0200,565125,0.0000,1.0000
2018-03-27,13.3800,13.5200,12.8100,12.8900,12.8900,470052,0.0000,1.0000
2018-03-26,13.3600,13.5000,12.8600,13.3500,13.3500,368479,0.0000,1.0000
2018-03-23,13.2100,13.5500,12.8800,13.1300,13.1300,269319,0.0000,1.0000
2018-03-22,13.4000,13.4700,13.0800,13.1500,13.1500,324073,0.0000,1.0000
2018-03-21,13.0700,13.7400,13.0300,13.5500,13.5500,443868,0.0000,1.0000
2018-03-20,12.9200,13.1200,12.7900,13.0300,13.0300,283805,0.0000,1.0000
2018-03-19,12.9300,13.3000,12.4300,12.7000,12.7000,461056,0.0000,1.0000
2018-03-16,12.9900,13.3000,12.8500,13.2300,13.2300,619336,0.0000,1.0000
2018-03-15,12.9000,12.9756,12.3200,12.8000,12.8000,668351,0.0000,1.0000
2018-03-14,12.9800,13.0700,12.6800,12.8800,12.8800,761537,0.0000,1.0000
2018-03-13,13.6500,13.9000,12.7750,12.8500,12.8500,875093,0.0000,1.0000
2018-03-12,14.1600,14.4100,13.3900,13.5800,13.5800,667944,0.0000,1.0000
2018-03-09,14.7500,14.9500,14.1000,14.1200,14.1200,590288,0.0000,1.0000
2018-03-08,14.6600,14.7400,14.1200,14.6300,14.6300,599874,0.0000,1.0000
2018-03-07,15.2700,15.3900,14.5304,14.6000,14.6000,569838,0.0000,1.0000
2018-03-06,15.5800,15.8400,15.3400,15.4100,15.4100,378220,0.0000,1.0000
2018-03-05,15.2500,15.6600,15.2500,15.4900,15.4900,361283,0.0000,1.0000
2018-03-02,14.7700,15.4450,14.5100,15.4100,15.4100,337226,0.0000,1.0000
2018-03-01,14.7100,15.1600,14.5400,14.9900,14.9900,290135,0.0000,1.0000
2018-02-28,15.2400,15.3700,14.7600,14.7600,14.7600,721121,0.0000,1.0000
2018-02-27,15.9300,16.1500,15.1400,15.1700,15.1700,343996,0.0000,1.0000
2018-02-26,16.3000,16.3000,15.5800,15.8500,15.8500,502357,0.0000,1.0000
2018-02-23,15.9000,16.2000,15.7200,16.1400,16.1400,501314,0.0000,1.0000
2018-02-22,16.1000,16.4200,15.8000,15.8900,15.8900,428861,0.0000,1.0000
2018-02-21,16.0400,16.6100,15.7800,15.8800,15.8800,430900,0.0000,1.0000
