timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,12.7300,12.7600,12.7070,12.7200,12.7200,9605,0.0000,1.0000
2018-07-02,12.7300,12.7700,12.6300,12.7100,12.7100,38559,0.0000,1.0000
2018-06-29,12.6200,12.6800,12.6200,12.6200,12.6200,17665,0.0000,1.0000
2018-06-28,12.5800,12.6300,12.5500,12.6300,12.6300,11569,0.0000,1.0000
2018-06-27,12.6200,12.6300,12.5800,12.5800,12.5800,7429,0.0000,1.0000
2018-06-26,12.5800,12.6331,12.5800,12.6200,12.6200,6700,0.0000,1.0000
2018-06-25,12.5600,12.6100,12.5600,12.6100,12.6100,11827,0.0000,1.0000
2018-06-22,12.6200,12.6200,12.5567,12.5600,12.5600,11980,0.0000,1.0000
2018-06-21,12.5600,12.6400,12.5600,12.6100,12.6100,19362,0.0000,1.0000
2018-06-20,12.4700,12.5700,12.4500,12.5700,12.5700,32262,0.0000,1.0000
2018-06-19,12.5000,12.5500,12.4700,12.5300,12.5300,75523,0.0000,1.0000
2018-06-18,12.4800,12.5100,12.4800,12.5000,12.5000,6247,0.0000,1.0000
2018-06-15,12.4800,12.5000,12.4400,12.5000,12.5000,29038,0.0000,1.0000
2018-06-14,12.4700,12.5200,12.4700,12.4800,12.4800,33550,0.0570,1.0000
2018-06-13,12.6700,12.6900,12.5500,12.5700,12.5128,22218,0.0000,1.0000
2018-06-12,12.6500,12.6780,12.6100,12.6300,12.5726,7568,0.0000,1.0000
2018-06-11,12.7400,12.7400,12.6200,12.6300,12.5726,20686,0.0000,1.0000
2018-06-08,12.7000,12.7300,12.6800,12.6800,12.6223,7398,0.0000,1.0000
2018-06-07,12.6700,12.6999,12.6500,12.6800,12.6223,11342,0.0000,1.0000
2018-06-06,12.7300,12.7300,12.6456,12.6700,12.6124,10496,0.0000,1.0000
2018-06-05,12.6600,12.6800,12.6600,12.6700,12.6124,15955,0.0000,1.0000
2018-06-04,12.6900,12.6900,12.6400,12.6400,12.5825,9813,0.0000,1.0000
2018-06-01,12.6500,12.6900,12.6000,12.6300,12.5726,30334,0.0000,1.0000
2018-05-31,12.6500,12.6500,12.6110,12.6300,12.5726,17776,0.0000,1.0000
2018-05-30,12.6000,12.6040,12.5400,12.6000,12.5427,14669,0.0000,1.0000
2018-05-29,12.6100,12.6400,12.5800,12.6200,12.5626,15753,0.0000,1.0000
2018-05-25,12.5800,12.6000,12.5600,12.5800,12.5228,6950,0.0000,1.0000
2018-05-24,12.5600,12.5850,12.5300,12.5400,12.4830,3375,0.0000,1.0000
2018-05-23,12.4900,12.5300,12.4900,12.5093,12.4524,8914,0.0000,1.0000
2018-05-22,12.5300,12.5300,12.4700,12.4700,12.4133,21507,0.0000,1.0000
2018-05-21,12.5200,12.5200,12.4880,12.5000,12.4432,12533,0.0000,1.0000
2018-05-18,12.5300,12.5400,12.5100,12.5100,12.4531,7853,0.0000,1.0000
2018-05-17,12.5100,12.5200,12.4900,12.5200,12.4631,10336,0.0000,1.0000
2018-05-16,12.5100,12.5304,12.5000,12.5200,12.4631,11661,0.0000,1.0000
2018-05-15,12.5600,12.5600,12.4600,12.5100,12.4531,28183,0.0000,1.0000
2018-05-14,12.4800,12.6000,12.4800,12.5700,12.5128,12064,0.0570,1.0000
2018-05-11,12.5700,12.6000,12.5700,12.6000,12.4861,3545,0.0000,1.0000
2018-05-10,12.5800,12.6100,12.5500,12.5700,12.4564,12116,0.0000,1.0000
2018-05-09,12.5700,12.5900,12.5600,12.5800,12.4663,14314,0.0000,1.0000
