timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,6.5600,7.0000,6.5600,6.9800,6.9800,1068933,0.0000,1.0000
2018-07-02,6.6800,6.7800,6.4450,6.4900,6.4900,1428523,0.0000,1.0000
2018-06-29,6.6000,6.7600,6.5550,6.6900,6.6900,1062411,0.0000,1.0000
2018-06-28,6.3300,6.5800,6.3200,6.5400,6.5400,1616144,0.0000,1.0000
2018-06-27,6.4300,6.5200,6.3100,6.3200,6.3200,854949,0.1620,1.0000
2018-06-26,6.5500,6.6550,6.4900,6.5900,6.4253,2518250,0.0000,1.0000
2018-06-25,6.5800,6.6100,6.4700,6.5300,6.3668,3242844,0.0000,1.0000
2018-06-22,6.5200,6.6600,6.4900,6.6000,6.4351,1463649,0.0000,1.0000
2018-06-21,6.6600,6.6600,6.5200,6.5300,6.3668,994389,0.0000,1.0000
2018-06-20,6.6500,6.6900,6.5900,6.6600,6.4936,2303916,0.0000,1.0000
2018-06-19,6.6200,6.6300,6.5400,6.6000,6.4351,781006,0.0000,1.0000
2018-06-18,6.7100,6.7100,6.5650,6.6400,6.4741,1277303,0.0000,1.0000
2018-06-15,6.7300,6.9010,6.5200,6.7700,6.6008,1546196,0.0000,1.0000
2018-06-14,7.0300,7.1400,6.8600,6.8700,6.6983,503874,0.0000,1.0000
2018-06-13,6.9500,7.2500,6.9300,7.0600,6.8836,2731954,0.0000,1.0000
2018-06-12,6.9200,6.9550,6.8900,6.9400,6.7666,445418,0.0000,1.0000
2018-06-11,6.8200,6.9600,6.8000,6.9200,6.7471,1899256,0.0000,1.0000
2018-06-08,6.7800,6.8100,6.5800,6.8000,6.6301,594530,0.0000,1.0000
2018-06-07,6.6600,6.7800,6.6200,6.7500,6.5813,1036895,0.0000,1.0000
2018-06-06,6.4900,6.5400,6.4500,6.4900,6.3278,207848,0.0000,1.0000
2018-06-05,6.4800,6.5000,6.3750,6.4700,6.3083,390764,0.0000,1.0000
2018-06-04,6.7300,6.7300,6.4750,6.5100,6.3473,616192,0.0000,1.0000
2018-06-01,6.4700,6.6300,6.4700,6.5600,6.3961,595936,0.0000,1.0000
2018-05-31,6.5100,6.5100,6.4000,6.4700,6.3083,667345,0.0000,1.0000
2018-05-30,6.3100,6.5700,6.3100,6.5200,6.3571,841505,0.0000,1.0000
2018-05-29,6.4700,6.5300,6.2800,6.2800,6.1230,1249662,0.0000,1.0000
2018-05-25,6.6400,6.6400,6.5400,6.5600,6.3961,777225,0.0000,1.0000
2018-05-24,6.7800,6.7800,6.5000,6.5900,6.4253,643371,0.0000,1.0000
2018-05-23,6.6400,6.8600,6.5700,6.8000,6.6301,1689022,0.0000,1.0000
2018-05-22,6.5200,6.7500,6.5200,6.6800,6.5131,1231977,0.0000,1.0000
2018-05-21,6.5900,6.6960,6.4600,6.4900,6.3278,1121052,0.0000,1.0000
2018-05-18,6.8200,6.8600,6.6600,6.6700,6.5033,1590529,0.0000,1.0000
2018-05-17,6.8100,6.8600,6.7500,6.7700,6.6008,1865817,0.0000,1.0000
2018-05-16,6.9300,6.9500,6.8300,6.8600,6.6886,1699892,0.0000,1.0000
2018-05-15,6.9600,6.9600,6.8200,6.8900,6.7178,1505163,0.0000,1.0000
2018-05-14,7.0000,7.0400,6.9350,6.9600,6.7861,1242915,0.0000,1.0000
2018-05-11,7.1600,7.2200,6.9500,7.0200,6.8446,329008,0.0000,1.0000
2018-05-10,6.9400,7.2900,6.9000,7.1600,6.9811,1270610,0.0000,1.0000
2018-05-09,7.0000,7.0300,6.8850,6.9300,6.7568,1146749,0.0000,1.0000
2018-05-08,6.8000,7.0400,6.8000,6.9800,6.8056,743662,0.0000,1.0000
2018-05-07,7.0100,7.0400,6.7700,6.8000,6.6301,460936,0.0000,1.0000
2018-05-04,7.1000,7.1800,6.9600,6.9900,6.8153,428080,0.0000,1.0000
2018-05-03,7.3800,7.3800,7.0900,7.1600,6.9811,567893,0.0000,1.0000
2018-05-02,7.3200,7.3900,7.1750,7.3500,7.1663,1152299,0.0000,1.0000
2018-05-01,7.3300,7.3900,7.1700,7.3300,7.1468,870785,0.0000,1.0000
2018-04-30,7.3400,7.4100,7.3000,7.3300,7.1468,909804,0.0000,1.0000
2018-04-27,7.4200,7.5200,7.2200,7.3300,7.1468,1507447,0.0000,1.0000
2018-04-26,7.3600,7.5300,7.3400,7.5000,7.3126,2721108,0.0000,1.0000
2018-04-25,7.3300,7.3550,7.1800,7.3100,7.1273,2063068,0.0000,1.0000
2018-04-24,7.4800,7.5000,7.3600,7.4400,7.2541,871585,0.0000,1.0000
2018-04-23,7.3600,7.4700,7.2900,7.3500,7.1663,856911,0.0000,1.0000
2018-04-20,7.2800,7.3800,7.2750,7.3500,7.1663,397921,0.0000,1.0000
2018-04-19,7.4400,7.5600,7.3400,7.3500,7.1663,979390,0.0000,1.0000
2018-04-18,7.5800,7.6800,7.5200,7.5300,7.3418,982603,0.0000,1.0000
2018-04-17,7.5800,7.6300,7.5500,7.5800,7.3906,1112830,0.0000,1.0000
2018-04-16,7.5100,7.6500,7.4750,7.5500,7.3613,1004309,0.0000,1.0000
2018-04-13,7.4800,7.5150,7.3800,7.5100,7.3223,662313,0.0000,1.0000
2018-04-12,7.3900,7.5250,7.3100,7.4400,7.2541,921940,0.0000,1.0000
2018-04-11,7.2400,7.4100,7.2400,7.3200,7.1371,1292330,0.0000,1.0000
2018-04-10,7.3200,7.3900,7.1950,7.2900,7.1078,1579506,0.0000,1.0000
2018-04-09,7.4200,7.4900,7.2700,7.2700,7.0883,840710,0.0000,1.0000
