timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,3.3400,3.4400,3.2900,3.3300,3.3300,2318119,0.0000,1.0000
2018-07-02,3.3100,3.3300,3.2300,3.2400,3.2400,964101,0.0000,1.0000
2018-06-29,3.3400,3.4000,3.3200,3.3300,3.3300,1837024,0.0000,1.0000
2018-06-28,3.3400,3.3500,3.2600,3.3000,3.3000,2138871,0.0000,1.0000
2018-06-27,3.3700,3.4000,3.3200,3.3200,3.3200,2847301,0.0000,1.0000
2018-06-26,3.2100,3.3000,3.1800,3.2900,3.2900,2424911,0.0000,1.0000
2018-06-25,3.2800,3.3100,3.1600,3.2000,3.2000,2490754,0.0000,1.0000
2018-06-22,3.3300,3.3300,3.1900,3.2700,3.2700,3211075,0.0000,1.0000
2018-06-21,3.2600,3.2750,3.1700,3.1700,3.1700,2277424,0.0000,1.0000
2018-06-20,3.4100,3.4100,3.2800,3.2900,3.2900,3735172,0.0000,1.0000
2018-06-19,3.4000,3.4900,3.3100,3.3200,3.3200,4674629,0.0000,1.0000
2018-06-18,3.6500,3.6800,3.2700,3.4000,3.4000,7619958,0.0000,1.0000
2018-06-15,4.0600,4.0600,3.8200,3.8600,3.8600,2665068,0.0000,1.0000
2018-06-14,4.2900,4.3200,4.1000,4.1000,4.1000,1506069,0.0000,1.0000
2018-06-13,4.2500,4.3450,4.2100,4.2500,4.2500,1755841,0.0000,1.0000
2018-06-12,4.2200,4.3800,4.2000,4.2700,4.2700,1620252,0.0000,1.0000
2018-06-11,4.1600,4.2700,4.1000,4.2200,4.2200,1961810,0.0000,1.0000
2018-06-08,4.3200,4.3300,4.1800,4.2100,4.2100,2258386,0.0000,1.0000
2018-06-07,4.1200,4.3800,4.1100,4.3200,4.3200,3113030,0.0000,1.0000
2018-06-06,4.0300,4.1021,3.9750,4.0600,4.0600,1890437,0.0000,1.0000
2018-06-05,3.9100,4.1200,3.9001,4.0000,4.0000,1893671,0.0000,1.0000
2018-06-04,4.1500,4.1800,3.8700,3.9700,3.9700,3108226,0.0000,1.0000
2018-06-01,4.1800,4.1950,4.0350,4.1200,4.1200,2530647,0.0000,1.0000
2018-05-31,4.2600,4.3200,4.1300,4.1800,4.1800,2853979,0.0000,1.0000
2018-05-30,4.2000,4.4100,4.1900,4.3400,4.3400,2613132,0.0000,1.0000
2018-05-29,4.0700,4.2100,4.0600,4.1300,4.1300,2717830,0.0000,1.0000
2018-05-25,4.2100,4.2100,4.0400,4.1200,4.1200,4474200,0.0000,1.0000
2018-05-24,4.3000,4.4200,4.3000,4.3900,4.3900,2584351,0.0000,1.0000
2018-05-23,4.5900,4.5900,4.3550,4.4600,4.4600,3248629,0.0000,1.0000
2018-05-22,4.7500,4.7800,4.6100,4.6100,4.6100,2393209,0.0000,1.0000
2018-05-21,4.6700,4.7300,4.6300,4.7200,4.7200,1626316,0.0000,1.0000
2018-05-18,4.7100,4.7100,4.6000,4.6300,4.6300,1607103,0.0000,1.0000
2018-05-17,4.6300,4.7500,4.6300,4.7200,4.7200,2886473,0.0000,1.0000
2018-05-16,4.6000,4.6500,4.4900,4.6000,4.6000,2616845,0.0000,1.0000
2018-05-15,4.6500,4.7150,4.5900,4.6200,4.6200,2514613,0.0000,1.0000
2018-05-14,4.6200,4.7000,4.6200,4.6500,4.6500,2077980,0.0000,1.0000
2018-05-11,4.6500,4.7000,4.5750,4.6000,4.6000,2303810,0.0000,1.0000
2018-05-10,4.8000,4.8000,4.5900,4.6600,4.6600,3626582,0.0000,1.0000
2018-05-09,4.6900,4.8500,4.6600,4.7300,4.7300,3941689,0.0000,1.0000
2018-05-08,4.3900,4.5600,4.2100,4.5200,4.5200,4248043,0.0000,1.0000
2018-05-07,4.4900,4.6150,4.3800,4.3900,4.3900,3913859,0.0000,1.0000
2018-05-04,4.1000,4.4200,4.1000,4.3300,4.3300,5512472,0.0000,1.0000
2018-05-03,4.4600,4.5500,4.3500,4.4800,4.4800,2736848,0.0000,1.0000
2018-05-02,4.5100,4.5600,4.4600,4.5000,4.5000,2361991,0.0000,1.0000
2018-05-01,4.4400,4.5800,4.3900,4.5200,4.5200,3036475,0.0000,1.0000
2018-04-30,4.2500,4.5450,4.2100,4.4700,4.4700,4153205,0.0000,1.0000
2018-04-27,4.3400,4.4600,4.1900,4.2700,4.2700,2908245,0.0000,1.0000
2018-04-26,4.4300,4.4700,4.2950,4.4100,4.4100,4398704,0.0000,1.0000
2018-04-25,3.9900,4.3100,3.9300,4.2900,4.2900,4669695,0.0000,1.0000
2018-04-24,4.1200,4.1677,3.8800,4.0100,4.0100,4158911,0.0000,1.0000
2018-04-23,3.8000,4.0300,3.7300,4.0200,4.0200,2717538,0.0000,1.0000
2018-04-20,3.7600,3.8890,3.6300,3.8300,3.8300,2456174,0.0000,1.0000
2018-04-19,3.8000,3.9000,3.7500,3.8000,3.8000,2342229,0.0000,1.0000
2018-04-18,3.6400,3.8000,3.6100,3.7400,3.7400,2696989,0.0000,1.0000
2018-04-17,3.4000,3.5700,3.3400,3.5400,3.5400,2346105,0.0000,1.0000
2018-04-16,3.3000,3.4600,3.2300,3.3800,3.3800,2079867,0.0000,1.0000
2018-04-13,3.2800,3.3400,3.2600,3.3000,3.3000,1512808,0.0000,1.0000
2018-04-12,3.2000,3.2750,3.1300,3.2400,3.2400,1325512,0.0000,1.0000
2018-04-11,3.1200,3.2850,3.1200,3.2100,3.2100,1696294,0.0000,1.0000
2018-04-10,3.0400,3.1700,3.0200,3.1200,3.1200,2070744,0.0000,1.0000
2018-04-09,2.9800,3.0500,2.9250,2.9600,2.9600,1990469,0.0000,1.0000
2018-04-06,2.8900,2.9750,2.8300,2.9500,2.9500,1984134,0.0000,1.0000
2018-04-05,2.7900,2.9400,2.7600,2.9000,2.9000,1698054,0.0000,1.0000
2018-04-04,2.6500,2.8100,2.6100,2.7900,2.7900,1430207,0.0000,1.0000
2018-04-03,2.6600,2.7600,2.6100,2.7500,2.7500,1634322,0.0000,1.0000
2018-04-02,2.7400,2.7400,2.5900,2.6600,2.6600,2085741,0.0000,1.0000
2018-03-29,2.6500,2.7893,2.6500,2.7400,2.7400,1665129,0.0000,1.0000
2018-03-28,2.7600,2.7700,2.6300,2.6300,2.6300,1791863,0.0000,1.0000
2018-03-27,2.9200,2.9700,2.7700,2.7800,2.7800,1198624,0.0000,1.0000
2018-03-26,2.8600,2.9200,2.8350,2.9200,2.9200,1420893,0.0000,1.0000
2018-03-23,2.9500,3.0400,2.8010,2.8200,2.8200,2791124,0.0000,1.0000
2018-03-22,2.9300,2.9900,2.8800,2.9100,2.9100,1439636,0.0000,1.0000
2018-03-21,2.8200,3.0300,2.8100,3.0200,3.0200,3162281,0.0000,1.0000
2018-03-20,2.7700,2.8200,2.7600,2.7600,2.7600,1216430,0.0000,1.0000
2018-03-19,2.7600,2.8200,2.6900,2.7300,2.7300,1053840,0.0000,1.0000
2018-03-16,2.7400,2.8200,2.6850,2.7900,2.7900,1494545,0.0000,1.0000
2018-03-15,2.8300,2.8300,2.6900,2.7400,2.7400,1110251,0.0000,1.0000
2018-03-14,2.8600,2.8600,2.7500,2.7900,2.7900,1614118,0.0000,1.0000
2018-03-13,2.9200,2.9650,2.8000,2.8300,2.8300,2264945,0.0000,1.0000
2018-03-12,2.9200,2.9500,2.8300,2.9000,2.9000,1859494,0.0000,1.0000
