timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,149.9300,152.2200,149.7000,150.1700,150.1700,590373,0.0000,1.0000
2018-07-02,149.1400,150.0200,147.4700,149.3300,149.3300,765813,0.0000,1.0000
2018-06-29,152.4900,153.5100,150.5300,150.5300,150.5300,962855,0.0000,1.0000
2018-06-28,150.5900,152.6490,150.1900,151.9800,151.9800,737636,0.0000,1.0000
2018-06-27,152.5800,155.9800,150.5500,150.6400,150.6400,1057361,0.0000,1.0000
2018-06-26,148.9700,152.2000,148.9700,151.6000,151.6000,930272,0.0000,1.0000
2018-06-25,151.1600,151.4800,148.3700,149.2300,149.2300,848914,0.0000,1.0000
2018-06-22,152.3900,152.6400,147.9200,149.5100,149.5100,1816757,0.0000,1.0000
2018-06-21,149.9900,152.4500,149.3900,152.1900,152.1900,906903,0.0000,1.0000
2018-06-20,153.6500,153.8900,152.0600,152.4700,152.4700,1014706,0.0000,1.0000
2018-06-19,152.8400,154.0589,151.7100,153.5900,153.5900,569827,0.0000,1.0000
2018-06-18,153.5800,155.1700,152.6800,154.1000,154.1000,665109,0.0000,1.0000
2018-06-15,152.9200,154.3400,150.9800,154.2000,154.2000,2589508,0.0000,1.0000
2018-06-14,154.9200,155.6100,152.3700,154.0900,154.0900,965184,0.0000,1.0000
2018-06-13,156.8000,158.0700,153.5500,154.3500,154.3500,923793,0.0000,1.0000
2018-06-12,156.7700,157.4600,155.7600,156.4300,156.4300,649740,0.0000,1.0000
2018-06-11,156.6100,158.2300,155.6100,156.0100,156.0100,560248,0.0000,1.0000
2018-06-08,154.0800,156.8400,153.7500,156.4100,156.4100,787820,0.0000,1.0000
2018-06-07,156.6200,157.8000,154.1700,154.5900,154.5900,957783,0.0000,1.0000
2018-06-06,155.9000,156.6500,154.0200,156.3000,156.3000,796193,0.0000,1.0000
2018-06-05,152.4300,156.2800,151.8250,155.9100,155.9100,2043696,0.0000,1.0000
2018-06-04,150.7800,152.4500,149.7200,152.3500,152.3500,1559931,0.0000,1.0000
2018-06-01,147.2400,150.3300,145.5300,149.9700,149.9700,1814767,0.0000,1.0000
2018-05-31,145.2000,150.1800,144.6200,146.2500,146.2500,3431857,0.0000,1.0000
2018-05-30,136.3500,137.8500,135.0500,136.5300,136.5300,1645939,0.0000,1.0000
2018-05-29,135.3800,136.4000,134.5900,135.6200,135.6200,1196842,0.0000,1.0000
2018-05-25,135.3000,137.7700,134.6500,136.0700,136.0700,1267538,0.0000,1.0000
2018-05-24,136.1800,137.1300,134.8400,136.0100,136.0100,791208,0.0000,1.0000
2018-05-23,135.5100,137.8400,135.0800,136.2300,136.2300,845696,0.0000,1.0000
2018-05-22,138.1400,138.9790,135.6010,136.3800,136.3800,923285,0.0000,1.0000
2018-05-21,139.6000,140.1200,136.6300,136.9500,136.9500,1062546,0.0000,1.0000
2018-05-18,139.7900,139.9900,137.2800,138.6000,138.6000,1479939,0.0000,1.0000
2018-05-17,139.8600,141.6500,138.9000,140.3400,140.3400,834903,0.0000,1.0000
2018-05-16,140.6500,142.2250,139.2100,140.4900,140.4900,787220,0.0000,1.0000
2018-05-15,138.8500,140.6900,138.0100,139.8400,139.8400,842314,0.0000,1.0000
2018-05-14,138.8900,141.5000,138.3700,139.9900,139.9900,1106621,0.0000,1.0000
2018-05-11,138.5400,139.5100,137.7300,138.3600,138.3600,782929,0.0000,1.0000
2018-05-10,139.3900,139.3900,137.2250,138.7000,138.7000,640746,0.0000,1.0000
2018-05-09,138.5000,139.6450,137.1600,139.4100,139.4100,420943,0.0000,1.0000
2018-05-08,135.6200,138.8500,135.0300,137.7700,137.7700,657236,0.0000,1.0000
2018-05-07,138.9400,138.9400,134.1300,135.6100,135.6100,724928,0.0000,1.0000
2018-05-04,136.7000,139.6500,135.1950,138.6500,138.6500,653847,0.0000,1.0000
2018-05-03,135.9000,138.3799,134.8000,137.4800,137.4800,478724,0.0000,1.0000
2018-05-02,135.0500,137.0100,133.6050,136.0500,136.0500,483569,0.0000,1.0000
2018-05-01,135.1000,135.9600,133.6000,135.3700,135.3700,492442,0.0000,1.0000
2018-04-30,137.8000,139.0050,135.6600,135.8500,135.8500,543559,0.0000,1.0000
2018-04-27,135.7300,137.5900,135.6800,137.2600,137.2600,575002,0.0000,1.0000
2018-04-26,134.2300,136.5000,132.9800,135.7500,135.7500,439924,0.0000,1.0000
2018-04-25,132.5900,135.3400,132.5900,133.6000,133.6000,603373,0.0000,1.0000
2018-04-24,134.1400,135.5700,132.3500,133.4600,133.4600,1007573,0.0000,1.0000
2018-04-23,133.8300,135.8100,133.2200,133.6800,133.6800,646111,0.0000,1.0000
2018-04-20,136.3200,136.4600,132.3900,133.2600,133.2600,1007260,0.0000,1.0000
2018-04-19,137.0900,137.4400,135.1200,136.2600,136.2600,637145,0.0000,1.0000
2018-04-18,139.4100,140.3400,136.7400,137.0100,137.0100,992496,0.0000,1.0000
