timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,2.3500,2.3600,2.2800,2.2800,2.2800,342995,0.0000,1.0000
2018-07-02,2.3700,2.3900,2.3300,2.3300,2.3300,651338,0.0000,1.0000
2018-06-29,2.3700,2.4290,2.3400,2.3800,2.3800,1716470,0.0000,1.0000
2018-06-28,2.4300,2.4400,2.3500,2.3500,2.3500,633320,0.0000,1.0000
2018-06-27,2.4800,2.4900,2.4100,2.4200,2.4200,1163826,0.0000,1.0000
2018-06-26,2.3700,2.4700,2.3600,2.4700,2.4700,1120531,0.0000,1.0000
2018-06-25,2.2800,2.3800,2.2100,2.3800,2.3800,1644650,0.0000,1.0000
2018-06-22,2.3500,2.3800,2.2300,2.2800,2.2800,16874848,0.0000,1.0000
2018-06-21,2.4100,2.4200,2.3300,2.3300,2.3300,2192959,0.0000,1.0000
2018-06-20,2.3400,2.4150,2.2900,2.4100,2.4100,1763920,0.0000,1.0000
2018-06-19,2.3800,2.3900,2.3300,2.3500,2.3500,1869070,0.0000,1.0000
2018-06-18,2.4100,2.4500,2.3800,2.3900,2.3900,1909019,0.0000,1.0000
2018-06-15,2.4100,2.4300,2.3900,2.4100,2.4100,1916794,0.0000,1.0000
2018-06-14,2.4400,2.4500,2.4100,2.4100,2.4100,1719357,0.0000,1.0000
2018-06-13,2.4000,2.4700,2.3900,2.4200,2.4200,1831136,0.0000,1.0000
2018-06-12,2.4200,2.4500,2.3800,2.3900,2.3900,1245996,0.0000,1.0000
2018-06-11,2.4600,2.4600,2.3700,2.4200,2.4200,2642317,0.0000,1.0000
2018-06-08,2.4200,2.4500,2.3900,2.4500,2.4500,1321835,0.0000,1.0000
2018-06-07,2.5300,2.5500,2.4100,2.4200,2.4200,1684867,0.0000,1.0000
2018-06-06,2.5200,2.5600,2.4000,2.5500,2.5500,2152759,0.0000,1.0000
2018-06-05,2.5600,2.5900,2.5000,2.5300,2.5300,1352515,0.0000,1.0000
2018-06-04,2.5300,2.6200,2.4900,2.5800,2.5800,1558757,0.0000,1.0000
2018-06-01,2.4900,2.5650,2.4100,2.5200,2.5200,1185215,0.0000,1.0000
2018-05-31,2.5900,2.6190,2.4300,2.4700,2.4700,1878945,0.0000,1.0000
2018-05-30,2.6000,2.6900,2.5500,2.5700,2.5700,1551590,0.0000,1.0000
2018-05-29,2.6000,2.6300,2.5550,2.5900,2.5900,1974701,0.0000,1.0000
2018-05-25,2.7600,2.7900,2.6200,2.6200,2.6200,3486990,0.0000,1.0000
2018-05-24,3.0000,3.0000,2.6900,2.7700,2.7700,7075669,0.0000,1.0000
2018-05-23,2.6000,2.6000,2.5200,2.5700,2.5700,1083734,0.0000,1.0000
2018-05-22,2.6000,2.6400,2.5700,2.6200,2.6200,712980,0.0000,1.0000
2018-05-21,2.5800,2.6300,2.5350,2.5900,2.5900,864581,0.0000,1.0000
2018-05-18,2.7100,2.7600,2.5600,2.5600,2.5600,2054689,0.0000,1.0000
2018-05-17,2.8300,2.8400,2.6800,2.6900,2.6900,1642541,0.0000,1.0000
2018-05-16,2.8200,2.8500,2.7800,2.8100,2.8100,1659439,0.0000,1.0000
2018-05-15,2.8300,2.8500,2.8100,2.8400,2.8400,2419816,0.0000,1.0000
2018-05-14,2.7500,2.8900,2.7400,2.8400,2.8400,2442460,0.0000,1.0000
2018-05-11,2.6300,2.7600,2.6250,2.7400,2.7400,4890410,0.0000,1.0000
2018-05-10,2.7100,2.7400,2.6100,2.6200,2.6200,2808344,0.0000,1.0000
2018-05-09,2.3500,2.7700,2.3500,2.6900,2.6900,8557750,0.0000,1.0000
2018-05-08,2.7300,2.7500,2.5900,2.6000,2.6000,6142037,0.0000,1.0000
2018-05-07,2.6600,2.7400,2.6400,2.7100,2.7100,4141279,0.0000,1.0000
2018-05-04,2.4700,2.6900,2.4300,2.6500,2.6500,10026876,0.0000,1.0000
2018-05-03,2.4000,2.5000,2.3900,2.4900,2.4900,3832960,0.0000,1.0000
2018-05-02,2.4000,2.4800,2.3500,2.3800,2.3800,3304005,0.0000,1.0000
2018-05-01,2.2600,2.4500,2.2300,2.4000,2.4000,4040622,0.0000,1.0000
2018-04-30,2.3200,2.3500,2.1900,2.2800,2.2800,2729092,0.0000,1.0000
2018-04-27,2.3200,2.3400,2.2500,2.3200,2.3200,1311539,0.0000,1.0000
2018-04-26,2.3700,2.3700,2.2900,2.3200,2.3200,625635,0.0000,1.0000
2018-04-25,2.4800,2.4800,2.3500,2.3500,2.3500,701101,0.0000,1.0000
2018-04-24,2.4700,2.4900,2.4200,2.4600,2.4600,996217,0.0000,1.0000
2018-04-23,2.4600,2.5300,2.3300,2.4700,2.4700,1149704,0.0000,1.0000
2018-04-20,2.6000,2.6000,2.4300,2.4700,2.4700,1065243,0.0000,1.0000
2018-04-19,2.7000,2.7200,2.5800,2.5900,2.5900,1228869,0.0000,1.0000
2018-04-18,2.6900,2.8600,2.6600,2.7000,2.7000,2349731,0.0000,1.0000
2018-04-17,2.5600,2.7400,2.4600,2.6700,2.6700,3153913,0.0000,1.0000
2018-04-16,2.4900,2.5700,2.4400,2.5600,2.5600,1138260,0.0000,1.0000
2018-04-13,2.5500,2.5900,2.4300,2.4600,2.4600,2502405,0.0000,1.0000
2018-04-12,2.4001,2.5500,2.4000,2.5200,2.5200,2788022,0.0000,1.0000
2018-04-11,2.3600,2.4400,2.2050,2.3900,2.3900,8290613,0.0000,1.0000
