timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,732.4900,735.2500,728.5200,728.8100,728.8100,8683,0.0000,1.0000
2018-07-02,730.7600,731.6700,725.0000,729.1100,729.1100,24395,0.0000,1.0000
2018-06-29,740.4000,748.8000,732.0800,733.2900,733.2900,32820,0.0000,1.0000
2018-06-28,724.7300,738.6800,724.7300,738.5000,738.5000,19040,0.0000,1.0000
2018-06-27,733.0000,741.2600,724.5000,726.2500,726.2500,34980,0.0000,1.0000
2018-06-26,723.7200,736.8000,719.9900,731.8400,731.8400,27883,0.0000,1.0000
2018-06-25,732.8300,734.3900,720.5710,723.7500,723.7500,31660,0.0000,1.0000
2018-06-22,720.9000,735.1950,717.9900,731.9500,731.9500,57968,0.0000,1.0000
2018-06-21,716.7800,721.0000,713.6950,716.8100,716.8100,51048,0.0000,1.0000
2018-06-20,710.5300,721.3500,710.5300,717.5700,717.5700,29543,0.0000,1.0000
2018-06-19,706.6100,713.2000,705.1300,708.5800,708.5800,77396,0.0000,1.0000
2018-06-18,700.3000,712.5400,698.9800,711.1900,711.1900,62891,0.0000,1.0000
2018-06-15,695.0000,703.4200,693.0000,702.2300,702.2300,67224,0.0000,1.0000
2018-06-14,691.0000,701.3100,691.0000,695.8600,695.8600,69016,0.0000,1.0000
2018-06-13,689.9000,695.2000,688.5600,690.2200,690.2200,42380,0.0000,1.0000
2018-06-12,692.0000,696.0200,682.4600,690.7500,690.7500,63445,0.0000,1.0000
2018-06-11,683.9000,696.0400,680.0100,691.7500,691.7500,75532,0.0000,1.0000
2018-06-08,677.6200,687.0000,677.1000,681.6200,681.6200,58346,0.0000,1.0000
2018-06-07,663.0400,680.0000,663.0400,678.0000,678.0000,91250,0.0000,1.0000
2018-06-06,653.0900,665.1000,652.7500,662.5000,662.5000,64283,0.0000,1.0000
2018-06-05,651.8200,654.8400,645.4700,651.4600,651.4600,45666,0.0000,1.0000
2018-06-04,652.9700,659.3400,650.7600,653.8900,653.8900,49420,0.0000,1.0000
2018-06-01,652.7700,656.5950,648.0800,651.4900,651.4900,32549,0.0000,1.0000
2018-05-31,658.4100,661.0000,640.4000,649.2400,649.2400,33799,0.0000,1.0000
2018-05-30,657.0000,666.2000,655.8150,657.8900,657.8900,42682,0.0000,1.0000
2018-05-29,653.5500,658.6000,647.3000,653.3200,653.3200,57731,0.0000,1.0000
2018-05-25,657.9100,662.1000,654.8100,657.9400,657.9400,26713,0.0000,1.0000
2018-05-24,660.6000,663.3800,651.6500,660.4700,660.4700,24814,0.0000,1.0000
2018-05-23,662.3200,663.6550,655.9000,660.8000,660.8000,28934,0.0000,1.0000
2018-05-22,663.0500,670.5000,658.8350,662.8600,662.8600,64020,0.0000,1.0000
2018-05-21,660.7100,664.6900,655.7500,661.0000,661.0000,44554,1.7500,1.0000
2018-05-18,660.8300,665.0000,655.5400,658.8300,657.0904,66843,0.0000,1.0000
2018-05-17,690.9900,691.1300,657.4100,660.0100,658.2672,55870,0.0000,1.0000
2018-05-16,679.5700,694.6900,679.5700,689.0400,687.2206,55713,0.0000,1.0000
2018-05-15,684.1300,684.9950,675.0000,677.4800,675.6911,38972,0.0000,1.0000
