timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.7500,7.8000,7.7000,7.8000,7.8000,51632,0.0000,1.0000
2018-07-02,7.7500,7.8000,7.6500,7.8000,7.8000,72861,0.0000,1.0000
2018-06-29,7.7500,7.8000,7.6750,7.8000,7.8000,109318,0.0000,1.0000
2018-06-28,7.7000,7.7500,7.6500,7.7500,7.7500,69510,0.0000,1.0000
2018-06-27,7.9500,7.9500,7.7500,7.7500,7.7500,98472,0.0000,1.0000
2018-06-26,7.7000,8.0000,7.6500,7.9500,7.9500,165076,0.0000,1.0000
2018-06-25,7.9500,7.9500,7.6000,7.7000,7.7000,164612,0.0000,1.0000
2018-06-22,8.0000,8.0000,7.7000,8.0000,8.0000,744058,0.0000,1.0000
2018-06-21,7.9500,7.9750,7.8000,7.9000,7.9000,198942,0.0000,1.0000
2018-06-20,7.9000,8.0000,7.8500,8.0000,8.0000,117172,0.0000,1.0000
2018-06-19,7.9500,7.9500,7.8500,7.9000,7.9000,159929,0.0000,1.0000
2018-06-18,7.8500,8.0000,7.7500,7.9500,7.9500,152801,0.0000,1.0000
2018-06-15,7.9500,7.9500,7.8500,7.9000,7.9000,201768,0.0000,1.0000
2018-06-14,7.9000,8.0000,7.8250,8.0000,8.0000,243330,0.0000,1.0000
2018-06-13,7.8500,7.9750,7.7750,7.9000,7.9000,228225,0.0000,1.0000
2018-06-12,7.8000,7.8500,7.7500,7.8000,7.8000,88169,0.0000,1.0000
2018-06-11,7.8500,7.8500,7.7000,7.8000,7.8000,138243,0.0000,1.0000
2018-06-08,7.8000,7.8500,7.7500,7.8000,7.8000,133050,0.0000,1.0000
2018-06-07,7.9000,7.9000,7.7500,7.8500,7.8500,132344,0.0000,1.0000
2018-06-06,7.7500,7.9500,7.6500,7.9000,7.9000,272122,0.0000,1.0000
2018-06-05,7.7000,7.8000,7.5250,7.7000,7.7000,226807,0.0000,1.0000
2018-06-04,7.3000,7.7000,7.3000,7.7000,7.7000,524311,0.0000,1.0000
2018-06-01,6.8000,7.3000,6.7500,7.3000,7.3000,613560,0.0000,1.0000
2018-05-31,6.8000,6.8500,6.7250,6.8000,6.8000,168899,0.0000,1.0000
2018-05-30,6.6000,6.8000,6.6000,6.7500,6.7500,272130,0.0000,1.0000
2018-05-29,6.5500,6.6000,6.4000,6.5500,6.5500,225636,0.0000,1.0000
2018-05-25,6.7000,6.7000,6.5500,6.6000,6.6000,101604,0.0000,1.0000
2018-05-24,6.6500,6.7500,6.6000,6.6500,6.6500,201610,0.0000,1.0000
2018-05-23,6.4000,6.7500,6.4000,6.7000,6.7000,223141,0.0000,1.0000
2018-05-22,6.5500,6.5500,6.4000,6.4500,6.4500,248849,0.0000,1.0000
2018-05-21,6.6000,6.6800,6.5500,6.6000,6.6000,115397,0.0000,1.0000
2018-05-18,6.5500,6.6500,6.5001,6.6000,6.6000,134909,0.0000,1.0000
2018-05-17,6.5000,6.6000,6.4000,6.5500,6.5500,216116,0.0000,1.0000
2018-05-16,6.4000,6.5500,6.3500,6.5500,6.5500,310149,0.0000,1.0000
2018-05-15,6.2000,6.3250,6.2000,6.2500,6.2500,254755,0.0000,1.0000
2018-05-14,6.4000,6.4750,6.2500,6.2500,6.2500,163425,0.0000,1.0000
2018-05-11,6.4000,6.4500,6.3500,6.4000,6.4000,219854,0.0000,1.0000
2018-05-10,6.5000,6.6000,6.3000,6.3500,6.3500,127704,0.0000,1.0000
2018-05-09,6.0500,6.5500,6.0000,6.5000,6.5000,161128,0.0000,1.0000
2018-05-08,6.5500,6.6500,6.4500,6.5000,6.5000,260782,0.0000,1.0000
2018-05-07,6.6500,6.8000,6.5500,6.6000,6.6000,280951,0.0000,1.0000
2018-05-04,6.6500,6.8000,6.6000,6.6500,6.6500,144219,0.0000,1.0000
2018-05-03,6.7000,6.8000,6.6500,6.7000,6.7000,189120,0.0000,1.0000
2018-05-02,6.6000,6.7500,6.5500,6.7000,6.7000,187436,0.0000,1.0000
2018-05-01,6.6000,6.7000,6.5000,6.6000,6.6000,227569,0.0000,1.0000
2018-04-30,6.5000,6.7000,6.4500,6.6500,6.6500,223892,0.0000,1.0000
2018-04-27,6.7000,6.7000,6.5000,6.5000,6.5000,74836,0.0000,1.0000
2018-04-26,6.6000,6.7250,6.5000,6.6500,6.6500,163519,0.0000,1.0000
2018-04-25,6.6500,6.7500,6.5250,6.6000,6.6000,148026,0.0000,1.0000
2018-04-24,6.8000,6.8000,6.5500,6.6500,6.6500,280193,0.0000,1.0000
2018-04-23,6.9000,6.9500,6.7500,6.8000,6.8000,57714,0.0000,1.0000
2018-04-20,6.7500,6.9000,6.7000,6.8500,6.8500,153563,0.0000,1.0000
2018-04-19,6.9000,6.9000,6.7500,6.8000,6.8000,66000,0.0000,1.0000
2018-04-18,7.1000,7.1000,6.9000,6.9500,6.9500,185214,0.0000,1.0000
2018-04-17,6.9500,7.1500,6.9000,7.1000,7.1000,203411,0.0000,1.0000
2018-04-16,6.9000,7.0000,6.8000,6.9500,6.9500,143943,0.0000,1.0000
2018-04-13,6.9500,6.9500,6.8000,6.9000,6.9000,69816,0.0000,1.0000
2018-04-12,7.0000,7.0000,6.9000,6.9500,6.9500,55529,0.0000,1.0000
2018-04-11,6.8500,7.0000,6.8500,6.9500,6.9500,69327,0.0000,1.0000
2018-04-10,6.7000,6.9000,6.5900,6.9000,6.9000,153635,0.0000,1.0000
2018-04-09,6.6500,6.8000,6.6000,6.6500,6.6500,101574,0.0000,1.0000
2018-04-06,6.7500,6.9000,6.6000,6.6500,6.6500,123238,0.0000,1.0000
2018-04-05,6.8000,6.9000,6.7000,6.8000,6.8000,113178,0.0000,1.0000
2018-04-04,6.6000,6.7500,6.5500,6.7500,6.7500,113681,0.0000,1.0000
2018-04-03,6.6500,6.7162,6.6000,6.6500,6.6500,125935,0.0000,1.0000
2018-04-02,6.8000,6.8155,6.4500,6.6500,6.6500,165649,0.0000,1.0000
2018-03-29,6.8000,6.9000,6.7500,6.8500,6.8500,108377,0.0000,1.0000
2018-03-28,6.7500,6.8000,6.6500,6.7500,6.7500,143158,0.0000,1.0000
2018-03-27,6.8500,7.0000,6.7500,6.7500,6.7500,124884,0.0000,1.0000
2018-03-26,6.8000,6.8750,6.7000,6.8000,6.8000,143350,0.0000,1.0000
2018-03-23,6.8500,6.9000,6.7000,6.7000,6.7000,228835,0.0000,1.0000
2018-03-22,6.8000,6.9500,6.7848,6.8500,6.8500,109295,0.0000,1.0000
