timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,127.0600,128.5700,127.0600,127.5800,127.5800,1171209,0.0000,1.0000
2018-07-02,126.6300,127.3900,126.3000,126.8100,126.8100,1195338,0.0000,1.0000
2018-06-29,126.8800,128.6600,126.4200,127.0200,127.0200,3039364,0.0000,1.0000
2018-06-28,124.9600,127.2200,124.9600,126.6600,126.6600,2216455,0.0000,1.0000
2018-06-27,124.8100,126.1300,124.0100,125.2000,125.2000,2193119,0.0000,1.0000
2018-06-26,125.2400,125.5800,124.1600,124.5700,124.5700,1547681,0.0000,1.0000
2018-06-25,125.4000,126.2300,123.9626,125.1100,125.1100,2345683,0.0000,1.0000
2018-06-22,125.3600,126.6900,125.0100,125.3800,125.3800,2514212,0.0000,1.0000
2018-06-21,125.1900,126.4300,124.6700,124.9400,124.9400,2327566,0.7300,1.0000
2018-06-20,129.9900,130.0400,126.5800,126.7100,125.9740,2091194,0.0000,1.0000
2018-06-19,128.6700,129.8900,128.6600,129.6500,128.8969,2129982,0.0000,1.0000
2018-06-18,129.3300,129.5786,127.9500,129.4400,128.6881,1923286,0.0000,1.0000
2018-06-15,129.9600,131.2700,129.6300,130.8800,130.1197,3670309,0.0000,1.0000
2018-06-14,132.7500,132.7500,129.6300,130.1000,129.3443,2356472,0.0000,1.0000
2018-06-13,132.6100,133.6200,132.0500,132.7200,131.9490,1803302,0.0000,1.0000
2018-06-12,133.2500,134.0000,131.7700,132.3200,131.5514,1259759,0.0000,1.0000
2018-06-11,133.5200,133.7300,132.7700,133.0000,132.2274,1651785,0.0000,1.0000
2018-06-08,132.6800,133.7400,132.2700,133.5200,132.7444,1848155,0.0000,1.0000
2018-06-07,131.4700,132.5099,129.9500,132.2300,131.4619,2225472,0.0000,1.0000
2018-06-06,131.1000,131.9900,129.1400,131.3500,130.5870,1408796,0.0000,1.0000
2018-06-05,131.5400,131.5900,129.8000,130.9500,130.1893,1310890,0.0000,1.0000
2018-06-04,130.5500,132.0000,130.5500,131.7800,131.0145,994407,0.0000,1.0000
2018-06-01,131.7600,132.1000,130.4700,130.7800,130.0203,1339356,0.0000,1.0000
2018-05-31,132.7600,132.7600,130.0600,130.6900,129.9308,1972166,0.0000,1.0000
2018-05-30,130.5700,132.7700,130.4500,132.3100,131.5414,1257012,0.0000,1.0000
2018-05-29,131.9800,132.0000,129.1900,129.9200,129.1653,1844050,0.0000,1.0000
2018-05-25,132.9700,134.0650,132.8675,133.4800,132.7046,1094229,0.0000,1.0000
2018-05-24,133.7300,133.8500,132.1100,133.4400,132.6649,1149103,0.0000,1.0000
2018-05-23,134.7200,135.3300,132.9000,133.8100,133.0327,1316225,0.0000,1.0000
2018-05-22,133.8600,136.0100,133.6400,135.2200,134.4345,1509605,0.0000,1.0000
2018-05-21,134.0500,134.6093,133.3100,133.8900,133.1123,1490150,0.0000,1.0000
2018-05-18,134.2000,134.3000,133.3100,133.5400,132.7643,1976618,0.0000,1.0000
2018-05-17,134.1600,135.0500,133.9300,134.4500,133.6690,1211798,0.0000,1.0000
2018-05-16,134.4500,135.1900,133.8200,134.5700,133.7883,1077913,0.0000,1.0000
2018-05-15,134.5600,136.1300,134.0000,134.4800,133.6988,1824550,0.0000,1.0000
2018-05-14,136.2900,136.8200,134.8200,135.0500,134.2655,1295517,0.0000,1.0000
2018-05-11,135.9000,136.5700,135.2500,136.1700,135.3790,1566546,0.0000,1.0000
2018-05-10,134.4700,135.9000,133.6900,135.5400,134.7527,1246602,0.0000,1.0000
2018-05-09,133.3800,134.8600,132.8500,134.6900,133.9076,1834506,0.0000,1.0000
2018-05-08,132.0000,133.5000,132.0000,132.8400,132.0684,1555619,0.0000,1.0000
2018-05-07,132.8100,133.0700,131.8700,132.7100,131.9391,1473707,0.0000,1.0000
2018-05-04,130.7400,133.3750,129.1900,132.7500,131.9789,1919395,0.0000,1.0000
2018-05-03,131.8000,132.2950,128.8200,130.1900,129.4337,2857981,0.0000,1.0000
2018-05-02,135.4300,135.8900,131.9000,132.7200,131.9490,1977613,0.0000,1.0000
2018-05-01,135.6800,136.2050,134.4000,135.9300,135.1404,1047822,0.0000,1.0000
2018-04-30,137.5900,138.3150,135.6700,135.6700,134.8819,1255629,0.0000,1.0000
2018-04-27,136.2800,137.6600,135.5000,137.3100,136.5124,1505119,0.0000,1.0000
2018-04-26,137.1100,137.7650,136.1400,136.4000,135.6077,1809327,0.0000,1.0000
2018-04-25,137.5300,139.0100,136.6800,137.2600,136.4627,2880551,0.0000,1.0000
2018-04-24,136.3100,138.3000,135.0000,136.1000,135.3094,2451930,0.0000,1.0000
2018-04-23,137.9900,138.3700,136.8200,138.2900,137.4867,1357783,0.0000,1.0000
2018-04-20,138.2200,138.2800,136.4900,137.6800,136.8802,1957854,0.0000,1.0000
2018-04-19,136.7600,137.9600,136.1800,137.6200,136.8206,1892765,0.0000,1.0000
2018-04-18,136.4500,136.7900,135.1900,136.5100,135.7170,1944438,0.0000,1.0000
2018-04-17,136.4900,137.6800,136.0000,136.3500,135.5580,1536800,0.0000,1.0000
2018-04-16,135.0000,136.7900,134.4100,135.7900,135.0012,1272719,0.0000,1.0000
2018-04-13,135.7900,135.9100,133.3900,134.0000,133.2216,1194238,0.0000,1.0000
