timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,4.8800,5.0700,4.8600,5.0700,5.0700,278717,0.0000,1.0000
2018-07-02,4.7400,4.8400,4.6850,4.8300,4.8300,430257,0.0000,1.0000
2018-06-29,4.7300,4.7300,4.6700,4.7200,4.7200,394944,0.0000,1.0000
2018-06-28,4.7400,4.7500,4.6800,4.7200,4.7200,286799,0.0000,1.0000
2018-06-27,4.8100,4.8100,4.7300,4.7300,4.7300,174574,0.0000,1.0000
2018-06-26,4.8600,4.8900,4.7710,4.7900,4.7900,401680,0.0000,1.0000
2018-06-25,4.8500,4.9000,4.7900,4.8300,4.8300,329197,0.0000,1.0000
2018-06-22,4.7300,4.9200,4.7100,4.9100,4.9100,1397698,0.0000,1.0000
2018-06-21,4.6200,4.7200,4.6100,4.7000,4.7000,563228,0.0000,1.0000
2018-06-20,4.5000,4.6500,4.4950,4.6100,4.6100,964407,0.0000,1.0000
2018-06-19,4.3900,4.5000,4.3900,4.4900,4.4900,999688,0.0000,1.0000
2018-06-18,4.4000,4.4500,4.3750,4.4000,4.4000,587607,0.0000,1.0000
2018-06-15,4.4500,4.4800,4.3700,4.3800,4.3800,789322,0.0000,1.0000
2018-06-14,4.4500,4.4650,4.4100,4.4400,4.4400,331160,0.0000,1.0000
2018-06-13,4.6300,4.6500,4.4300,4.4500,4.4500,530622,0.0000,1.0000
2018-06-12,4.5000,4.6500,4.4700,4.5800,4.5800,1180504,0.0000,1.0000
2018-06-11,4.5500,4.5500,4.4500,4.4900,4.4900,549938,0.0000,1.0000
2018-06-08,4.5800,4.6100,4.5200,4.5300,4.5300,248536,0.0000,1.0000
2018-06-07,4.5700,4.6400,4.5500,4.6000,4.6000,358300,0.0000,1.0000
2018-06-06,4.6100,4.6500,4.5600,4.5700,4.5700,327603,0.0000,1.0000
2018-06-05,4.4900,4.6450,4.4600,4.6200,4.6200,637778,0.0000,1.0000
2018-06-04,4.4600,4.5200,4.4300,4.4900,4.4900,420309,0.0000,1.0000
2018-06-01,4.4200,4.4550,4.3300,4.4300,4.4300,530549,0.0000,1.0000
2018-05-31,4.4800,4.5200,4.3800,4.3900,4.3900,527355,0.0000,1.0000
2018-05-30,4.4400,4.5400,4.4200,4.4700,4.4700,579405,0.0000,1.0000
2018-05-29,4.3500,4.4700,4.3200,4.4500,4.4500,339333,0.0000,1.0000
2018-05-25,4.1900,4.3800,4.1700,4.3800,4.3800,606412,0.0000,1.0000
2018-05-24,4.2100,4.2500,4.1400,4.1900,4.1900,360357,0.0000,1.0000
2018-05-23,4.1200,4.2400,4.0900,4.1900,4.1900,529121,0.0000,1.0000
2018-05-22,4.1200,4.1600,4.0600,4.0900,4.0900,545421,0.0000,1.0000
2018-05-21,4.1100,4.1200,4.0300,4.1000,4.1000,403984,0.0000,1.0000
2018-05-18,3.9700,4.1200,3.9700,4.0800,4.0800,410180,0.0000,1.0000
2018-05-17,3.9800,4.0100,3.9250,3.9300,3.9300,368067,0.0000,1.0000
2018-05-16,3.8500,4.0500,3.8500,3.9800,3.9800,504114,0.0000,1.0000
2018-05-15,3.8500,3.8800,3.8200,3.8500,3.8500,475933,0.0000,1.0000
2018-05-14,3.9700,3.9800,3.8300,3.8600,3.8600,169276,0.0000,1.0000
2018-05-11,4.0500,4.0500,3.9350,3.9700,3.9700,371650,0.0000,1.0000
2018-05-10,4.1000,4.1000,4.0100,4.0500,4.0500,397849,0.0500,1.0000
2018-05-09,4.0500,4.1700,4.0200,4.1300,4.0796,677477,0.0000,1.0000
2018-05-08,3.9300,4.0300,3.9300,4.0200,3.9710,426733,0.0000,1.0000
2018-05-07,3.9900,4.0100,3.9200,3.9800,3.9315,252068,0.0000,1.0000
2018-05-04,3.8700,4.0900,3.8200,4.0000,3.9512,493402,0.0000,1.0000
