timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.1580,7.3529,7.0400,7.2055,7.2055,3508,0.0000,1.0000
2018-07-02,7.1800,7.4100,7.1800,7.3000,7.3000,7049,0.0000,1.0000
2018-06-29,7.0000,7.2634,7.0000,7.2529,7.2529,6226,0.0000,1.0000
2018-06-28,7.0400,7.1500,7.0200,7.0719,7.0719,9208,0.0000,1.0000
2018-06-27,7.5000,7.5000,7.0100,7.0600,7.0600,28657,0.0000,1.0000
2018-06-26,7.4800,7.6899,7.4800,7.5500,7.5500,5192,0.0000,1.0000
2018-06-25,7.7500,7.7655,7.1100,7.4100,7.4100,37968,0.0000,1.0000
2018-06-22,7.9800,7.9900,7.7400,7.9100,7.9100,18792,0.0000,1.0000
2018-06-21,7.6000,7.9900,7.4300,7.9600,7.9600,15013,0.0000,1.0000
2018-06-20,7.8936,7.9342,7.6050,7.6050,7.6050,9229,0.0000,1.0000
2018-06-19,7.9000,8.1200,7.7600,7.8452,7.8452,20268,0.0000,1.0000
2018-06-18,7.9500,8.1502,7.7710,7.7710,7.7710,33731,0.0000,1.0000
2018-06-15,7.7799,7.9500,7.6647,7.9500,7.9500,21937,0.0000,1.0000
2018-06-14,7.7500,7.9150,7.6300,7.7900,7.7900,18341,0.0000,1.0000
2018-06-13,8.0000,8.0050,7.5350,7.7861,7.7861,30435,0.0000,1.0000
2018-06-12,7.2000,8.5000,6.9900,7.9400,7.9400,121318,0.0000,1.0000
2018-06-11,6.8800,7.2400,6.7528,7.2000,7.2000,61646,0.0000,1.0000
2018-06-08,6.7450,6.7450,6.7450,6.7450,6.7450,289,0.0000,1.0000
2018-06-07,6.6200,7.0000,6.5000,6.8044,6.8044,35890,0.0000,1.0000
2018-06-06,6.7400,6.8800,6.6600,6.7200,6.7200,6640,0.0000,1.0000
2018-06-05,6.8900,6.8900,6.7197,6.7197,6.7197,7007,0.0000,1.0000
2018-06-04,6.8600,6.9800,6.8000,6.8000,6.8000,10056,0.0000,1.0000
2018-06-01,6.9000,6.9648,6.8012,6.8500,6.8500,6181,0.0000,1.0000
2018-05-31,6.8000,6.9000,6.8000,6.9000,6.9000,2746,0.0000,1.0000
2018-05-30,6.8650,6.8900,6.7700,6.7700,6.7700,12429,0.0000,1.0000
2018-05-29,6.7600,6.9200,6.7600,6.7700,6.7700,2986,0.0000,1.0000
