timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,8.8800,9.0000,8.8800,8.9050,8.9050,118947,0.0000,1.0000
2018-07-02,8.8700,8.9600,8.7900,8.8200,8.8200,143727,0.0000,1.0000
2018-06-29,8.8300,8.9450,8.8000,8.8900,8.8900,223428,0.0000,1.0000
2018-06-28,8.8400,8.9100,8.7100,8.7600,8.7600,266735,0.0000,1.0000
2018-06-27,8.9600,9.0000,8.8100,8.8400,8.8400,197683,0.0000,1.0000
2018-06-26,8.8200,8.9600,8.8200,8.9200,8.9200,219140,0.0000,1.0000
2018-06-25,9.0000,9.0400,8.7700,8.8000,8.8000,370110,0.0000,1.0000
2018-06-22,9.1000,9.1600,9.0000,9.0000,9.0000,328185,0.0000,1.0000
2018-06-21,9.0600,9.0600,8.9200,8.9600,8.9600,201346,0.0000,1.0000
2018-06-20,9.0400,9.0700,8.9500,9.0000,9.0000,167726,0.0000,1.0000
2018-06-19,8.9300,9.0300,8.9300,9.0100,9.0100,91945,0.0000,1.0000
2018-06-18,8.9800,9.0790,8.9300,8.9700,8.9700,291751,0.0000,1.0000
2018-06-15,9.1600,9.1800,8.9400,9.0000,9.0000,378365,0.0000,1.0000
2018-06-14,9.2600,9.2800,9.1800,9.2100,9.2100,124034,0.0000,1.0000
2018-06-13,9.3300,9.3515,9.2200,9.2400,9.2400,130929,0.0000,1.0000
2018-06-12,9.4100,9.4800,9.3500,9.3900,9.3900,138567,0.1042,1.0000
2018-06-11,9.5100,9.5400,9.4500,9.5000,9.3957,369603,0.0000,1.0000
2018-06-08,9.4600,9.4800,9.3900,9.4800,9.3760,152564,0.0000,1.0000
2018-06-07,9.4000,9.4900,9.3800,9.4400,9.3364,238503,0.0000,1.0000
2018-06-06,9.5000,9.5400,9.3600,9.3800,9.2771,170529,0.0000,1.0000
2018-06-05,9.5800,9.5800,9.4800,9.5100,9.4056,180279,0.0000,1.0000
2018-06-04,9.5300,9.5700,9.4700,9.5600,9.4551,208590,0.0000,1.0000
2018-06-01,9.3900,9.4900,9.3400,9.4500,9.3463,364595,0.0000,1.0000
2018-05-31,9.2200,9.4300,9.2200,9.3800,9.2771,140838,0.0000,1.0000
2018-05-30,9.1700,9.3000,9.1000,9.2600,9.1584,280658,0.0000,1.0000
2018-05-29,9.1400,9.2215,9.0700,9.1200,9.0199,220086,0.0000,1.0000
2018-05-25,9.1500,9.2200,8.9900,9.1500,9.0496,299697,0.0000,1.0000
2018-05-24,9.4000,9.4302,9.2300,9.3000,9.1979,276911,0.0000,1.0000
2018-05-23,9.6200,9.6200,9.3600,9.4600,9.3562,358635,0.0000,1.0000
2018-05-22,9.6300,9.6600,9.5900,9.6100,9.5045,186281,0.0000,1.0000
2018-05-21,9.6400,9.6600,9.5500,9.6300,9.5243,181266,0.0000,1.0000
2018-05-18,9.6700,9.6700,9.5200,9.5700,9.4650,139152,0.0000,1.0000
2018-05-17,9.6400,9.7200,9.5700,9.6300,9.5243,266479,0.0000,1.0000
2018-05-16,9.5000,9.5800,9.5000,9.5400,9.4353,159151,0.0000,1.0000
2018-05-15,9.4600,9.5500,9.4299,9.5000,9.3957,193500,0.1042,1.0000
2018-05-14,9.5200,9.6900,9.5000,9.5900,9.3818,374109,0.0000,1.0000
2018-05-11,9.5100,9.5699,9.4200,9.4600,9.2547,218525,0.0000,1.0000
2018-05-10,9.4500,9.5600,9.4200,9.4900,9.2840,251139,0.0000,1.0000
2018-05-09,9.3500,9.4700,9.2700,9.4200,9.2155,445448,0.0000,1.0000
2018-05-08,9.1500,9.3200,9.0950,9.3000,9.0981,179961,0.0000,1.0000
2018-05-07,9.1500,9.3300,9.1300,9.1700,8.9710,339743,0.0000,1.0000
2018-05-04,9.0100,9.1200,9.0100,9.1000,8.9025,101626,0.0000,1.0000
2018-05-03,9.0900,9.1990,9.0300,9.0600,8.8633,256582,0.0000,1.0000
2018-05-02,9.4400,9.5200,9.1500,9.1900,8.9905,309634,0.0000,1.0000
2018-05-01,9.3800,9.5511,9.3800,9.4900,9.2840,183365,0.0000,1.0000
2018-04-30,9.4600,9.5100,9.4000,9.4300,9.2253,130419,0.0000,1.0000
2018-04-27,9.4300,9.5000,9.3500,9.4200,9.2155,177217,0.0000,1.0000
2018-04-26,9.4500,9.4799,9.3200,9.4400,9.2351,218423,0.0000,1.0000
2018-04-25,9.2700,9.3400,9.1300,9.3100,9.1079,195711,0.0000,1.0000
2018-04-24,9.5700,9.5700,9.2500,9.2700,9.0688,133180,0.0000,1.0000
2018-04-23,9.2200,9.5200,9.1951,9.4700,9.2644,368683,0.0000,1.0000
2018-04-20,9.2000,9.2441,9.0300,9.2200,9.0199,284704,0.0000,1.0000
2018-04-19,9.3500,9.4500,9.1400,9.2100,9.0101,192636,0.0000,1.0000
2018-04-18,9.5500,9.5500,9.3350,9.3500,9.1471,212861,0.0000,1.0000
2018-04-17,9.3400,9.5600,9.2600,9.4400,9.2351,260002,0.1042,1.0000
2018-04-16,9.0500,9.4500,9.0000,9.3900,9.0859,292926,0.0000,1.0000
2018-04-13,9.1100,9.1100,8.8732,8.9900,8.6988,195297,0.0000,1.0000
2018-04-12,9.1500,9.2000,9.0200,9.1100,8.8150,183655,0.0000,1.0000
2018-04-11,8.9400,9.0400,8.8500,9.0000,8.7085,168005,0.0000,1.0000
2018-04-10,8.5800,8.8900,8.5600,8.8700,8.5827,246998,0.0000,1.0000
2018-04-09,8.7800,8.8400,8.4800,8.5100,8.2344,425710,0.0000,1.0000
2018-04-06,8.7000,8.8700,8.5600,8.8000,8.5150,345822,0.0000,1.0000
2018-04-05,8.6200,8.8500,8.5400,8.7900,8.5053,216233,0.0000,1.0000
2018-04-04,8.5000,8.5700,8.2900,8.5600,8.2828,218806,0.0000,1.0000
2018-04-03,8.5200,8.6000,8.2100,8.5800,8.3021,265933,0.0000,1.0000
2018-04-02,8.4900,8.6300,8.3100,8.4700,8.1957,226482,0.0000,1.0000
2018-03-29,8.2900,8.5100,8.2900,8.4700,8.1957,133784,0.0000,1.0000
2018-03-28,8.3300,8.3999,8.1600,8.2900,8.0215,288394,0.0000,1.0000
2018-03-27,8.5000,8.5100,8.2200,8.2700,8.0022,268035,0.0000,1.0000
2018-03-26,8.6400,8.6444,8.3000,8.4800,8.2054,273319,0.0000,1.0000
2018-03-23,8.6700,8.6900,8.4450,8.4700,8.1957,232602,0.0000,1.0000
2018-03-22,8.6900,8.7600,8.5200,8.5800,8.3021,432607,0.0000,1.0000
2018-03-21,8.6200,8.8100,8.5600,8.7400,8.4569,377684,0.0000,1.0000
2018-03-20,8.7200,8.7807,8.4500,8.5400,8.2634,463492,0.0000,1.0000
2018-03-19,9.0200,9.0200,8.5860,8.6800,8.3989,399102,0.0000,1.0000
2018-03-16,8.8700,9.0900,8.8200,9.0200,8.7279,637005,0.0000,1.0000
2018-03-15,9.3700,9.3800,8.1200,8.7700,8.4860,935050,0.0000,1.0000
