timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,2.3600,2.4878,2.3600,2.4100,2.4100,16319,0.0000,1.0000
2018-07-02,2.5100,2.5200,2.3500,2.3600,2.3600,83486,0.0000,1.0000
2018-06-29,2.4900,2.5800,2.4754,2.5200,2.5200,6008,0.0000,1.0000
2018-06-28,2.4800,2.4900,2.4000,2.4900,2.4900,17421,0.0000,1.0000
2018-06-27,2.4990,2.5000,2.4600,2.4600,2.4600,13414,0.0000,1.0000
2018-06-26,2.5400,2.5400,2.3950,2.4600,2.4600,19945,0.0000,1.0000
2018-06-25,2.5700,2.6300,2.4300,2.5300,2.5300,52779,0.0000,1.0000
2018-06-22,2.4840,2.5900,2.4000,2.5900,2.5900,73388,0.0000,1.0000
2018-06-21,2.4300,2.4300,2.3300,2.3700,2.3700,20822,0.0000,1.0000
2018-06-20,2.5000,2.5205,2.4161,2.4300,2.4300,17803,0.0000,1.0000
2018-06-19,2.4600,2.4800,2.4269,2.4300,2.4300,41532,0.0000,1.0000
2018-06-18,2.5400,2.5697,2.5040,2.5100,2.5100,6196,0.0000,1.0000
2018-06-15,2.5400,2.5875,2.4858,2.5600,2.5600,28958,0.0000,1.0000
2018-06-14,2.6300,2.6300,2.5100,2.5400,2.5400,20526,0.0000,1.0000
2018-06-13,2.6000,2.6000,2.5300,2.5800,2.5800,21411,0.0000,1.0000
2018-06-12,2.4900,2.5920,2.4900,2.5710,2.5710,47340,0.0000,1.0000
2018-06-11,2.4500,2.5200,2.4500,2.4893,2.4893,21209,0.0000,1.0000
2018-06-08,2.4800,2.4900,2.4118,2.4500,2.4500,17359,0.0000,1.0000
2018-06-07,2.4824,2.5476,2.4308,2.4633,2.4633,12226,0.0000,1.0000
2018-06-06,2.4500,2.5600,2.4500,2.4600,2.4600,15265,0.0000,1.0000
2018-06-05,2.5900,2.5900,2.4200,2.4500,2.4500,115561,0.0000,1.0000
2018-06-04,2.7100,2.7100,2.5200,2.6000,2.6000,13356,0.0000,1.0000
2018-06-01,2.6000,2.7300,2.6000,2.6500,2.6500,12414,0.0000,1.0000
2018-05-31,2.5700,2.6000,2.4500,2.5900,2.5900,12468,0.0000,1.0000
2018-05-30,2.5000,2.5800,2.4900,2.5400,2.5400,32774,0.0000,1.0000
2018-05-29,2.4800,2.5100,2.4134,2.4700,2.4700,15387,0.0000,1.0000
2018-05-25,2.6600,2.6700,2.4800,2.4900,2.4900,102183,0.0000,1.0000
2018-05-24,2.6600,2.7400,2.5700,2.6700,2.6700,109985,0.0000,1.0000
2018-05-23,2.7900,2.7900,2.6800,2.7600,2.7600,47471,0.0000,1.0000
2018-05-22,2.8400,2.9500,2.8199,2.8300,2.8300,61080,0.0000,1.0000
2018-05-21,2.9200,3.0200,2.5700,2.8000,2.8000,121634,0.0000,1.0000
2018-05-18,2.8500,2.9500,2.8010,2.9000,2.9000,60689,0.0000,1.0000
2018-05-17,2.8300,2.9000,2.7000,2.9000,2.9000,222999,0.0000,1.0000
2018-05-16,2.8000,3.1500,2.7900,2.9900,2.9900,301576,0.0000,1.0000
2018-05-15,2.7000,2.7401,2.6100,2.7000,2.7000,72527,0.0000,1.0000
2018-05-14,2.6000,2.8000,2.5401,2.7100,2.7100,132798,0.0000,1.0000
2018-05-11,2.4600,2.5800,2.4300,2.5000,2.5000,17538,0.0000,1.0000
2018-05-10,2.5400,2.5400,2.4250,2.4700,2.4700,22610,0.0000,1.0000
2018-05-09,2.4200,2.4900,2.4100,2.4508,2.4508,16714,0.0000,1.0000
2018-05-08,2.4379,2.4700,2.4200,2.4400,2.4400,27833,0.0000,1.0000
2018-05-07,2.4300,2.4500,2.4100,2.4400,2.4400,21148,0.0000,1.0000
2018-05-04,2.4600,2.5178,2.3801,2.3929,2.3929,34374,0.0000,1.0000
2018-05-03,2.5000,2.5200,2.3900,2.4500,2.4500,52988,0.0000,1.0000
2018-05-02,2.4000,2.6800,2.4000,2.4400,2.4400,115733,0.0000,1.0000
2018-05-01,2.4500,2.4600,2.3400,2.4047,2.4047,39718,0.0000,1.0000
2018-04-30,2.3400,2.4525,2.3226,2.4400,2.4400,17662,0.0000,1.0000
2018-04-27,2.3300,2.3400,2.2800,2.3200,2.3200,21440,0.0000,1.0000
2018-04-26,2.3400,2.3800,2.2400,2.3200,2.3200,46611,0.0000,1.0000
2018-04-25,2.2800,2.3200,2.2522,2.3200,2.3200,58811,0.0000,1.0000
2018-04-24,2.2400,2.2732,2.2380,2.2500,2.2500,19909,0.0000,1.0000
2018-04-23,2.2600,2.2790,2.1700,2.2200,2.2200,53546,0.0000,1.0000
2018-04-20,2.3000,2.3200,2.1500,2.2932,2.2932,80103,0.0000,1.0000
2018-04-19,2.2700,2.3100,2.2500,2.3000,2.3000,50605,0.0000,1.0000
2018-04-18,2.1600,2.2900,2.1600,2.2500,2.2500,67515,0.0000,1.0000
2018-04-17,2.2800,2.2800,2.1300,2.1600,2.1600,72795,0.0000,1.0000
2018-04-16,2.0800,2.1500,2.0400,2.1400,2.1400,48636,0.0000,1.0000
2018-04-13,2.1000,2.1200,2.0600,2.0600,2.0600,29844,0.0000,1.0000
2018-04-12,2.0500,2.0900,2.0202,2.0900,2.0900,32604,0.0000,1.0000
2018-04-11,2.0300,2.0650,1.9800,2.0100,2.0100,22723,0.0000,1.0000
2018-04-10,2.0200,2.0400,2.0092,2.0160,2.0160,37750,0.0000,1.0000
2018-04-09,2.0700,2.0790,1.9800,2.0200,2.0200,38930,0.0000,1.0000
2018-04-06,2.0700,2.0700,1.9900,2.0028,2.0028,33211,0.0000,1.0000
2018-04-05,2.0500,2.0660,2.0000,2.0190,2.0190,68891,0.0000,1.0000
2018-04-04,2.0000,2.0100,1.9500,2.0100,2.0100,36297,0.0000,1.0000
2018-04-03,2.0700,2.1100,1.9600,1.9800,1.9800,186087,0.0000,1.0000
2018-04-02,2.3200,2.3644,2.0750,2.1000,2.1000,162262,0.0000,1.0000
2018-03-29,2.0000,2.3000,1.9900,2.2900,2.2900,126353,0.0000,1.0000
2018-03-28,2.1500,2.2000,2.0000,2.0800,2.0800,131751,0.0000,1.0000
2018-03-27,1.9400,2.0500,1.9400,1.9556,1.9556,81950,0.0000,1.0000
2018-03-26,2.0000,2.0000,1.8800,1.9200,1.9200,59262,0.0000,1.0000
2018-03-23,2.0000,2.0000,1.8900,1.9500,1.9500,46221,0.0000,1.0000
