timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,29.1000,29.5700,29.0800,29.5600,29.5600,76040,0.0000,1.0000
2018-07-02,28.5100,29.3500,28.5100,29.1000,29.1000,206275,0.0000,1.0000
2018-06-29,29.9700,30.2000,29.5900,29.8700,29.8700,129469,0.0000,1.0000
2018-06-28,29.4700,29.9000,29.4700,29.8500,29.8500,99640,0.0000,1.0000
2018-06-27,29.8100,29.9100,29.5000,29.5400,29.5400,85709,0.0000,1.0000
2018-06-26,29.4500,29.8100,29.3100,29.7100,29.7100,132729,0.0000,1.0000
2018-06-25,29.4100,29.5100,29.2200,29.3900,29.3900,91611,0.0000,1.0000
2018-06-22,29.1500,29.4200,29.1000,29.3900,29.3900,196929,0.0000,1.0000
2018-06-21,29.1500,29.3100,28.8200,29.1900,29.1900,122610,0.0000,1.0000
2018-06-20,28.2700,29.1900,28.2700,29.1000,29.1000,162292,0.0000,1.0000
2018-06-19,27.9100,28.4100,27.9100,28.2500,28.2500,122309,0.0000,1.0000
2018-06-18,27.9000,28.1988,27.7100,27.9600,27.9600,127799,0.0000,1.0000
2018-06-15,27.7600,28.1300,27.7600,27.9300,27.9300,157543,0.0000,1.0000
2018-06-14,27.7000,27.8400,27.5000,27.7400,27.7400,50614,0.0000,1.0000
2018-06-13,27.8400,28.1400,27.6200,27.6200,27.6200,81125,0.0000,1.0000
2018-06-12,27.6300,28.2500,27.5000,27.8200,27.8200,151652,0.0000,1.0000
2018-06-11,27.6100,27.7900,27.4400,27.6500,27.6500,51689,0.0000,1.0000
2018-06-08,27.5400,27.8700,27.5400,27.6400,27.6400,56398,0.0000,1.0000
2018-06-07,27.7200,27.8450,27.4300,27.5100,27.5100,77266,0.0000,1.0000
2018-06-06,27.7000,27.8100,27.4550,27.6700,27.6700,69692,0.0000,1.0000
2018-06-05,28.0300,28.1000,27.7000,27.7000,27.7000,138903,0.0000,1.0000
2018-06-04,27.7200,28.0600,27.6000,28.0300,28.0300,142899,0.0000,1.0000
2018-06-01,27.8200,27.9500,27.5100,27.5500,27.5500,168078,0.0000,1.0000
2018-05-31,28.1700,28.2900,27.6700,27.7000,27.7000,221019,0.0000,1.0000
2018-05-30,28.0000,28.3000,27.8500,28.0800,28.0800,126660,0.0000,1.0000
2018-05-29,27.5500,27.9700,27.5100,27.9600,27.9600,88077,0.0000,1.0000
2018-05-25,27.4500,27.8600,27.4100,27.5900,27.5900,97313,0.0000,1.0000
2018-05-24,27.0000,27.4700,26.9400,27.4500,27.4500,113029,0.0000,1.0000
2018-05-23,26.2900,27.0600,26.2000,27.0300,27.0300,267543,0.0000,1.0000
2018-05-22,26.2100,26.6000,26.1300,26.2300,26.2300,222453,0.0000,1.0000
2018-05-21,25.6400,26.3200,25.4800,26.2800,26.2800,148200,0.0000,1.0000
2018-05-18,25.8200,25.8600,25.3350,25.6500,25.6500,512786,0.0000,1.0000
2018-05-17,25.5600,25.9500,25.4900,25.7200,25.7200,176448,0.4000,1.0000
2018-05-16,25.9400,26.1700,25.7500,25.9600,25.5625,156115,0.0000,1.0000
2018-05-15,26.3000,26.3100,25.7300,25.9600,25.5625,236415,0.0000,1.0000
2018-05-14,26.7700,26.7700,26.3100,26.3700,25.9662,184088,0.0000,1.0000
2018-05-11,27.0000,27.1400,26.6100,26.7000,26.2911,108498,0.0000,1.0000
2018-05-10,27.0400,27.4800,26.9200,26.9600,26.5471,95072,0.0000,1.0000
2018-05-09,27.1100,27.4200,26.7300,26.9700,26.5570,124567,0.0000,1.0000
2018-05-08,26.9800,27.4600,26.6500,27.1300,26.7145,244586,0.0000,1.0000
