timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,169.2900,170.3700,168.8600,170.2500,170.2500,941539,0.0000,1.0000
2018-07-02,169.4700,169.4700,166.8800,169.0300,169.0300,1396902,0.0000,1.0000
2018-06-29,170.4000,171.0600,169.9000,169.9500,169.9500,1914149,0.0000,1.0000
2018-06-28,169.9800,170.0000,163.9700,169.7600,169.7600,4021724,0.0000,1.0000
2018-06-27,172.1200,174.9800,172.0000,172.8100,172.8100,1823635,0.0000,1.0000
2018-06-26,173.6900,174.2300,172.8000,172.9500,172.9500,1505958,0.0000,1.0000
2018-06-25,174.0600,175.9900,172.3500,173.8500,173.8500,1813861,0.0000,1.0000
2018-06-22,175.4500,176.0600,173.9200,174.0800,174.0800,2526428,0.0000,1.0000
2018-06-21,175.2800,176.0900,172.6400,175.0000,175.0000,1976592,0.0000,1.0000
2018-06-20,173.7900,176.0400,173.7900,175.7200,175.7200,1420502,0.0000,1.0000
2018-06-19,173.1000,174.3997,172.9200,173.3600,173.3600,2344161,0.0000,1.0000
2018-06-18,174.5400,175.3400,173.1400,173.9300,173.9300,1585547,0.0000,1.0000
2018-06-15,175.6600,177.0000,174.8000,175.0500,175.0500,3593546,0.0000,1.0000
2018-06-14,176.9300,177.4500,174.5500,175.3300,175.3300,2237090,0.0000,1.0000
2018-06-13,179.5000,179.5000,174.6300,176.1800,176.1800,3729592,0.0000,1.0000
2018-06-12,180.5800,181.6150,178.5200,178.8200,178.8200,1500312,0.0000,1.0000
2018-06-11,178.4100,182.1000,177.9850,180.9500,180.9500,1912902,0.0000,1.0000
2018-06-08,177.0500,178.0400,176.0910,177.8100,177.8100,1667152,0.0000,1.0000
2018-06-07,175.2300,177.8900,175.0450,177.1100,177.1100,1460788,0.0000,1.0000
2018-06-06,174.0000,175.8100,172.5000,174.9300,174.9300,2680488,0.0000,1.0000
2018-06-05,171.2400,172.6700,170.0050,170.8300,170.8300,1308673,0.0000,1.0000
2018-06-04,171.2400,171.6400,170.4600,171.0000,171.0000,1011600,0.0000,1.0000
2018-06-01,170.2100,171.0900,169.4000,170.8200,170.8200,1162154,0.0000,1.0000
2018-05-31,173.6900,173.6900,169.1100,169.3700,169.3700,2019506,0.0000,1.0000
2018-05-30,172.6000,173.9650,171.3350,173.3200,173.3200,1390334,0.0000,1.0000
2018-05-29,174.8100,175.0000,171.7100,172.5800,172.5800,1448524,0.0000,1.0000
2018-05-25,175.9800,176.9800,175.0400,175.9000,175.9000,1292202,0.0000,1.0000
2018-05-24,177.3500,177.3800,174.7800,175.8500,175.8500,1433097,0.0000,1.0000
2018-05-23,176.7000,177.3800,175.1500,177.0900,177.0900,1103588,0.0000,1.0000
2018-05-22,177.6600,178.3500,177.0500,177.2400,177.2400,1262365,0.0000,1.0000
2018-05-21,179.0000,179.2890,176.8500,177.4500,177.4500,1357085,0.0000,1.0000
2018-05-18,178.8600,179.5800,177.9800,178.0700,178.0700,1064574,0.0000,1.0000
2018-05-17,177.6500,179.9900,176.6900,178.9100,178.9100,1592731,0.0000,1.0000
2018-05-16,176.1600,177.3500,174.8800,177.1500,177.1500,1489395,0.0000,1.0000
2018-05-15,177.1800,177.4300,175.1400,176.0600,176.0600,1374352,0.0000,1.0000
