timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.8900,7.9900,7.7800,7.8900,7.8900,36049,0.0000,1.0000
2018-07-02,7.8000,7.9600,7.7200,7.8400,7.8400,40646,0.0000,1.0000
2018-06-29,7.7600,7.9100,7.6500,7.7900,7.7900,122138,0.0000,1.0000
2018-06-28,7.8300,7.8700,7.6600,7.7400,7.7400,37820,0.0000,1.0000
2018-06-27,7.8900,8.0200,7.8600,7.8700,7.8700,55610,0.0000,1.0000
2018-06-26,7.7300,8.0700,7.6200,7.9200,7.9200,71298,0.0000,1.0000
2018-06-25,7.7200,7.7800,7.5900,7.7200,7.7200,51735,0.0000,1.0000
2018-06-22,7.7100,7.7800,7.6000,7.7000,7.7000,354725,0.0000,1.0000
2018-06-21,7.7200,7.7800,7.6500,7.6900,7.6900,51687,0.0000,1.0000
2018-06-20,8.0400,8.1100,7.6800,7.6800,7.6800,54615,0.0000,1.0000
2018-06-19,8.0500,8.1600,8.0500,8.0800,8.0800,103341,0.0000,1.0000
2018-06-18,8.0300,8.1500,8.0100,8.1300,8.1300,75903,0.0000,1.0000
2018-06-15,7.8800,8.1600,7.8800,8.1000,8.1000,175155,0.0000,1.0000
2018-06-14,7.9400,7.9800,7.8500,7.9700,7.9700,53310,0.0000,1.0000
2018-06-13,7.8800,7.9500,7.8500,7.8900,7.8900,53360,0.0000,1.0000
2018-06-12,7.8400,7.9400,7.8100,7.9200,7.9200,43893,0.0000,1.0000
2018-06-11,7.6000,7.9100,7.6000,7.8700,7.8700,67996,0.0000,1.0000
2018-06-08,7.7200,7.8100,7.6100,7.6300,7.6300,52893,0.0000,1.0000
2018-06-07,7.8100,7.8500,7.7200,7.7500,7.7500,24044,0.0000,1.0000
2018-06-06,7.9000,7.9700,7.7800,7.8000,7.8000,88064,0.0000,1.0000
2018-06-05,7.7300,7.9900,7.7200,7.9700,7.9700,76411,0.0000,1.0000
2018-06-04,7.5700,7.7800,7.5227,7.7400,7.7400,57245,0.0000,1.0000
2018-06-01,7.4600,7.6500,7.4600,7.5500,7.5500,51994,0.0000,1.0000
2018-05-31,7.6500,7.8100,7.4000,7.4100,7.4100,139644,0.0000,1.0000
2018-05-30,7.8200,7.9900,7.8000,7.8800,7.8800,116929,0.0000,1.0000
2018-05-29,7.6600,7.8800,7.5900,7.7600,7.7600,55909,0.0000,1.0000
2018-05-25,7.8500,7.9500,7.6500,7.7700,7.7700,37149,0.0000,1.0000
2018-05-24,7.8500,7.9400,7.6500,7.9000,7.9000,34656,0.0000,1.0000
2018-05-23,7.6900,7.9200,7.6900,7.8900,7.8900,54385,0.0000,1.0000
2018-05-22,7.7000,7.8500,7.5500,7.7500,7.7500,80679,0.0000,1.0000
2018-05-21,7.5100,7.8000,7.4200,7.7700,7.7700,104805,0.0000,1.0000
2018-05-18,7.5900,7.5900,7.4200,7.5000,7.5000,55850,0.0000,1.0000
2018-05-17,7.5500,7.6700,7.4800,7.5100,7.5100,49167,0.0000,1.0000
2018-05-16,7.5200,7.6200,7.5000,7.6000,7.6000,64835,0.0000,1.0000
2018-05-15,7.4700,7.6600,7.4700,7.5000,7.5000,55803,0.0000,1.0000
2018-05-14,7.4800,7.5500,7.4500,7.4600,7.4600,49900,0.0000,1.0000
