timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,2.5200,2.5200,2.4900,2.5000,2.5000,32981,0.0000,1.0000
2018-07-02,2.5200,2.5300,2.5000,2.5300,2.5300,73494,0.0000,1.0000
2018-06-29,2.5100,2.5200,2.4962,2.5200,2.5200,47642,0.0000,1.0000
2018-06-28,2.4700,2.5000,2.4700,2.5000,2.5000,40737,0.0000,1.0000
2018-06-27,2.5000,2.5000,2.4700,2.4700,2.4700,181000,0.0000,1.0000
2018-06-26,2.5000,2.5100,2.4800,2.4900,2.4900,98233,0.0000,1.0000
2018-06-25,2.4900,2.5000,2.4600,2.5000,2.5000,152897,0.0000,1.0000
2018-06-22,2.5000,2.5200,2.4810,2.4900,2.4900,201030,0.0000,1.0000
2018-06-21,2.5100,2.5200,2.5100,2.5100,2.5100,76007,0.0000,1.0000
2018-06-20,2.5300,2.5400,2.5100,2.5200,2.5200,112287,0.0000,1.0000
2018-06-19,2.5300,2.5448,2.5300,2.5300,2.5300,27183,0.0000,1.0000
2018-06-18,2.5400,2.5500,2.5400,2.5400,2.5400,37255,0.0000,1.0000
2018-06-15,2.5400,2.5600,2.5400,2.5400,2.5400,95404,0.0000,1.0000
2018-06-14,2.5300,2.5700,2.5300,2.5500,2.5500,34895,0.0000,1.0000
2018-06-13,2.5500,2.5700,2.5200,2.5400,2.5400,147868,0.0000,1.0000
2018-06-12,2.5800,2.5800,2.5000,2.5600,2.5600,249996,0.0207,1.0000
2018-06-11,2.5900,2.6000,2.5899,2.5911,2.5703,57361,0.0000,1.0000
2018-06-08,2.5700,2.5990,2.5700,2.5800,2.5593,76143,0.0000,1.0000
2018-06-07,2.5700,2.6000,2.5699,2.5900,2.5692,149137,0.0000,1.0000
2018-06-06,2.5800,2.6000,2.5100,2.5700,2.5494,231982,0.0000,1.0000
2018-06-05,2.6100,2.6100,2.5700,2.6000,2.5792,128804,0.0000,1.0000
2018-06-04,2.6100,2.6299,2.6000,2.6200,2.5990,41441,0.0000,1.0000
2018-06-01,2.6300,2.6344,2.5900,2.6200,2.5990,94261,0.0000,1.0000
2018-05-31,2.6300,2.6400,2.5900,2.6100,2.5891,91608,0.0000,1.0000
2018-05-30,2.6100,2.6400,2.6100,2.6153,2.5943,42485,0.0000,1.0000
2018-05-29,2.6000,2.6400,2.6000,2.6100,2.5891,94692,0.0000,1.0000
2018-05-25,2.6400,2.6400,2.6100,2.6200,2.5990,53276,0.0000,1.0000
2018-05-24,2.5900,2.6300,2.5900,2.6200,2.5990,76749,0.0000,1.0000
2018-05-23,2.5800,2.6300,2.5800,2.6300,2.6089,117475,0.0000,1.0000
2018-05-22,2.6000,2.6300,2.5550,2.5800,2.5593,177397,0.0000,1.0000
2018-05-21,2.6200,2.6213,2.5600,2.5900,2.5692,253826,0.0000,1.0000
2018-05-18,2.6200,2.6500,2.6000,2.6300,2.6089,146099,0.0000,1.0000
2018-05-17,2.6100,2.6487,2.6100,2.6400,2.6188,102242,0.0000,1.0000
2018-05-16,2.6400,2.6700,2.6000,2.6092,2.5883,176618,0.0000,1.0000
2018-05-15,2.6500,2.6700,2.6000,2.6400,2.6188,110182,0.0210,1.0000
2018-05-14,2.6900,2.7060,2.6400,2.6500,2.6080,197986,0.0000,1.0000
2018-05-11,2.6800,2.7100,2.6800,2.6800,2.6376,76978,0.0000,1.0000
2018-05-10,2.6900,2.7000,2.6850,2.6900,2.6474,59075,0.0000,1.0000
2018-05-09,2.7300,2.7300,2.6700,2.7000,2.6572,148759,0.0000,1.0000
2018-05-08,2.7000,2.7345,2.7000,2.7000,2.6572,30799,0.0000,1.0000
2018-05-07,2.7100,2.7100,2.6900,2.6900,2.6474,49592,0.0000,1.0000
2018-05-04,2.7200,2.7200,2.7000,2.7000,2.6572,68338,0.0000,1.0000
2018-05-03,2.7100,2.7280,2.7100,2.7114,2.6685,30974,0.0000,1.0000
2018-05-02,2.7000,2.7200,2.7000,2.7000,2.6572,34381,0.0000,1.0000
2018-05-01,2.7300,2.7300,2.7000,2.7000,2.6572,36790,0.0000,1.0000
2018-04-30,2.7200,2.7400,2.7100,2.7200,2.6769,47313,0.0000,1.0000
2018-04-27,2.7200,2.7221,2.7000,2.7092,2.6663,31803,0.0000,1.0000
2018-04-26,2.7100,2.7300,2.6900,2.6900,2.6474,84290,0.0000,1.0000
2018-04-25,2.7100,2.7300,2.7100,2.7200,2.6769,42443,0.0000,1.0000
2018-04-24,2.7100,2.7300,2.7001,2.7200,2.6769,49451,0.0000,1.0000
2018-04-23,2.7500,2.7600,2.7200,2.7200,2.6769,60483,0.0000,1.0000
2018-04-20,2.7500,2.7600,2.7300,2.7400,2.6966,29266,0.0000,1.0000
2018-04-19,2.7700,2.7700,2.7500,2.7500,2.7065,20490,0.0000,1.0000
2018-04-18,2.7600,2.7800,2.7505,2.7600,2.7163,78737,0.0000,1.0000
2018-04-17,2.7800,2.7800,2.7600,2.7656,2.7218,53785,0.0210,1.0000
2018-04-16,2.7800,2.8000,2.7500,2.8000,2.7349,58829,0.0000,1.0000
2018-04-13,2.7600,2.7800,2.7500,2.7700,2.7056,57449,0.0000,1.0000
2018-04-12,2.7600,2.7900,2.7500,2.7600,2.6958,79278,0.0000,1.0000
2018-04-11,2.7600,2.7800,2.7500,2.7500,2.6860,41440,0.0000,1.0000
2018-04-10,2.7500,2.7800,2.7500,2.7600,2.6958,53227,0.0000,1.0000
