timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,8.5010,8.8499,8.5010,8.7000,8.7000,6480,0.0000,1.0000
2018-07-02,8.5100,8.6500,8.4900,8.5300,8.5300,15231,0.0000,1.0000
2018-06-29,8.6200,8.7399,8.5300,8.5400,8.5400,17052,0.0000,1.0000
2018-06-28,8.5000,8.6900,8.5000,8.6600,8.6600,13362,0.0000,1.0000
2018-06-27,8.6100,8.6900,8.5300,8.5700,8.5700,18277,0.0000,1.0000
2018-06-26,8.7400,8.7500,8.5200,8.5700,8.5700,38804,0.0000,1.0000
2018-06-25,8.6900,8.9500,8.6100,8.6700,8.6700,30906,0.0000,1.0000
2018-06-22,8.5200,8.8500,8.5200,8.6500,8.6500,321526,0.0000,1.0000
2018-06-21,8.5800,8.6100,8.4700,8.5500,8.5500,83374,0.0000,1.0000
2018-06-20,9.2200,9.2800,8.4700,8.5800,8.5800,59204,0.0000,1.0000
2018-06-19,9.4000,9.4600,9.1200,9.1700,9.1700,30040,0.0000,1.0000
2018-06-18,9.4600,9.5399,9.3400,9.4000,9.4000,33820,0.0000,1.0000
2018-06-15,9.9400,9.9400,9.4650,9.5300,9.5300,46124,0.0000,1.0000
2018-06-14,9.7600,10.1400,9.7400,9.9300,9.9300,89179,0.0000,1.0000
2018-06-13,10.0000,10.0800,9.5339,9.6600,9.6600,83920,0.0000,1.0000
2018-06-12,9.8500,10.0500,9.8000,10.0400,10.0400,41551,0.0000,1.0000
2018-06-11,9.4500,10.0000,9.4500,9.8600,9.8600,108027,0.0000,1.0000
2018-06-08,9.1600,9.5100,9.1600,9.4200,9.4200,20643,0.0000,1.0000
2018-06-07,8.8200,9.2500,8.8010,9.1100,9.1100,18425,0.0000,1.0000
2018-06-06,8.7000,8.8000,8.6700,8.7700,8.7700,18662,0.0000,1.0000
2018-06-05,8.9100,8.9100,8.6200,8.6900,8.6900,20360,0.0000,1.0000
2018-06-04,8.9000,9.0000,8.8200,8.8700,8.8700,20782,0.0000,1.0000
2018-06-01,8.9500,8.9900,8.8700,8.9400,8.9400,16594,0.0000,1.0000
2018-05-31,8.8200,8.9900,8.8200,8.9300,8.9300,18276,0.0000,1.0000
2018-05-30,8.6600,8.8700,8.6600,8.8200,8.8200,24878,0.0000,1.0000
2018-05-29,8.5000,8.6200,8.5000,8.6200,8.6200,21937,0.0000,1.0000
2018-05-25,8.7200,8.7200,8.4001,8.4900,8.4900,21124,0.0000,1.0000
2018-05-24,8.7200,8.7200,8.6300,8.6900,8.6900,17298,0.0000,1.0000
2018-05-23,8.8600,8.9500,8.7478,8.7900,8.7900,14156,0.0000,1.0000
2018-05-22,9.1400,9.1400,8.8000,8.8500,8.8500,11805,0.0000,1.0000
2018-05-21,9.1200,9.3000,9.0700,9.1900,9.1900,23595,0.0950,1.0000
2018-05-18,9.0300,9.2000,8.9855,9.1800,9.0861,48361,0.0000,1.0000
2018-05-17,8.7500,9.1000,8.7500,8.9900,8.8980,20336,0.0000,1.0000
2018-05-16,8.5500,8.8000,8.5025,8.7800,8.6902,14604,0.0000,1.0000
2018-05-15,8.4400,8.6000,8.4400,8.5500,8.4625,31835,0.0000,1.0000
2018-05-14,8.6400,8.6400,8.4500,8.4800,8.3932,12266,0.0000,1.0000
2018-05-11,8.2900,8.5400,8.2900,8.5000,8.4130,12178,0.0000,1.0000
2018-05-10,8.5000,8.5900,8.4000,8.4500,8.3635,17795,0.0000,1.0000
2018-05-09,8.4100,8.5200,8.4000,8.4800,8.3932,15634,0.0000,1.0000
2018-05-08,8.4800,8.5200,8.3000,8.4400,8.3536,23076,0.0000,1.0000
2018-05-07,8.3400,8.5000,8.3400,8.4700,8.3833,8700,0.0000,1.0000
2018-05-04,8.3000,8.5650,8.2800,8.3400,8.2547,20532,0.0000,1.0000
2018-05-03,8.1500,8.3700,8.1200,8.2900,8.2052,102701,0.0000,1.0000
2018-05-02,7.9880,8.2890,7.9880,8.1900,8.1062,19740,0.0000,1.0000
2018-05-01,8.1900,8.1900,7.9400,8.0500,7.9676,14098,0.0000,1.0000
2018-04-30,8.0000,8.2000,7.9500,8.1900,8.1062,23284,0.0000,1.0000
2018-04-27,7.7900,8.0700,7.7900,8.0000,7.9181,33535,0.0000,1.0000
2018-04-26,7.8000,7.9700,7.7400,7.8000,7.7202,33429,0.0000,1.0000
2018-04-25,7.9800,7.9800,7.7000,7.7200,7.6410,15228,0.0000,1.0000
2018-04-24,7.7500,7.8500,7.7100,7.7800,7.7004,23967,0.0000,1.0000
2018-04-23,7.8600,7.8600,7.7200,7.7600,7.6806,19468,0.0000,1.0000
2018-04-20,7.9800,7.9800,7.6200,7.7600,7.6806,45089,0.0000,1.0000
2018-04-19,8.2500,8.2500,7.9700,7.9900,7.9082,40785,0.0000,1.0000
