timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,87.0000,87.3300,86.7100,87.0500,87.0500,166710,0.0000,1.0000
2018-07-02,86.5700,86.8100,85.9500,86.6100,86.6100,268177,0.0000,1.0000
2018-06-29,86.7000,87.0700,86.4710,86.9200,86.9200,266545,0.0000,1.0000
2018-06-28,85.7700,86.0900,85.5600,85.9900,85.9900,187188,0.0000,1.0000
2018-06-27,86.1300,86.6300,85.4700,85.6400,85.6400,308508,0.9990,1.0000
2018-06-26,87.3300,87.9200,87.0000,87.4000,86.3922,354303,0.0000,1.0000
2018-06-25,88.3500,88.3600,86.9100,87.1600,86.1550,315834,0.0000,1.0000
2018-06-22,87.9000,88.6599,87.9000,88.5800,87.5586,242024,0.0000,1.0000
2018-06-21,87.7100,88.0600,87.5300,87.8600,86.8469,197568,0.0000,1.0000
2018-06-20,87.0700,87.8000,87.0700,87.6000,86.5899,187716,0.0000,1.0000
2018-06-19,86.8600,87.3100,86.6700,86.9600,85.9573,253350,0.0000,1.0000
2018-06-18,87.0800,87.5600,87.0000,87.4800,86.4713,208921,0.0000,1.0000
2018-06-15,87.6100,87.6900,87.1700,87.2900,86.2835,296901,0.0000,1.0000
2018-06-14,89.3400,89.3400,87.9700,88.0000,86.9853,242672,0.0000,1.0000
2018-06-13,88.6100,89.3100,88.6100,89.1300,88.1023,327958,0.0000,1.0000
2018-06-12,88.5400,88.7900,88.3400,88.5300,87.5092,201259,0.0000,1.0000
2018-06-11,88.3800,89.1000,88.3700,88.5500,87.5290,436880,0.0000,1.0000
2018-06-08,88.5000,89.1000,88.3200,89.0700,88.0430,281867,0.0000,1.0000
2018-06-07,88.6800,89.0566,88.2200,88.4100,87.3906,200194,0.0000,1.0000
2018-06-06,88.2200,88.8400,88.0000,88.4500,87.4301,312968,0.0000,1.0000
2018-06-05,87.2400,87.3900,86.8000,87.2300,86.2242,179527,0.0000,1.0000
2018-06-04,87.6800,88.0100,87.0350,87.2700,86.2637,230040,0.0000,1.0000
2018-06-01,87.7000,87.7000,86.7100,87.2600,86.2538,199382,0.0000,1.0000
2018-05-31,87.6500,87.6500,86.8300,87.3100,86.3033,363230,0.0000,1.0000
2018-05-30,87.5000,87.8999,86.9800,87.7200,86.7085,238183,0.0000,1.0000
2018-05-29,87.6000,87.7300,86.2400,86.6800,85.6805,494939,0.0000,1.0000
2018-05-25,88.7200,89.0400,88.3500,88.5500,87.5290,210131,0.0000,1.0000
2018-05-24,89.5700,89.5700,88.6200,89.3000,88.2703,357630,0.0000,1.0000
2018-05-23,90.5700,91.2100,88.4600,89.5600,88.5273,777315,0.0000,1.0000
2018-05-22,91.2300,91.8200,91.1900,91.2800,90.2275,363986,0.0000,1.0000
2018-05-21,90.7500,91.1500,90.3700,90.9500,89.9013,139844,0.0000,1.0000
2018-05-18,90.6500,90.6600,90.0000,90.3200,89.2786,199139,0.0000,1.0000
2018-05-17,91.1400,91.5100,90.8000,91.1100,90.0594,160976,0.0000,1.0000
2018-05-16,90.7200,91.3800,90.6421,91.2000,90.1484,195162,0.0000,1.0000
2018-05-15,90.0800,90.8350,89.9100,90.5500,89.5059,219048,0.0000,1.0000
2018-05-14,90.1900,91.0000,90.1900,90.7300,89.6838,198662,0.0000,1.0000
2018-05-11,90.0500,90.1900,89.8100,90.0200,88.9820,269288,0.0000,1.0000
2018-05-10,89.3700,90.0975,89.2800,89.9300,88.8931,243847,0.0000,1.0000
2018-05-09,88.2700,88.8200,87.7100,88.7400,87.7168,359682,0.0000,1.0000
2018-05-08,87.7100,87.8400,87.2500,87.8400,86.8272,200499,0.0000,1.0000
2018-05-07,87.6400,88.1100,87.4600,87.9400,86.9260,169034,0.0000,1.0000
2018-05-04,86.7200,87.7000,86.6900,87.5000,86.4911,202777,0.0000,1.0000
2018-05-03,86.9900,87.2800,86.2700,87.1800,86.1748,249692,0.0000,1.0000
2018-05-02,87.1600,87.5200,86.8700,86.9900,85.9870,201931,0.0000,1.0000
2018-05-01,86.9400,87.2500,86.4600,87.1500,86.1451,325479,0.0000,1.0000
2018-04-30,87.4500,87.6800,87.0400,87.0500,86.0463,260753,0.0000,1.0000
2018-04-27,86.9700,87.4100,86.9600,87.2500,86.2440,185954,0.0000,1.0000
2018-04-26,86.5200,87.6700,86.5100,86.9500,85.9474,294928,0.0000,1.0000
2018-04-25,85.6600,86.4100,85.5500,86.3000,85.3049,274681,0.0000,1.0000
2018-04-24,86.5300,86.6000,85.7700,85.9800,84.9886,321951,0.0000,1.0000
2018-04-23,86.3300,86.4600,85.9376,86.1800,85.1863,345044,0.0000,1.0000
2018-04-20,87.0500,87.2300,86.4400,86.5400,85.5421,318419,0.0000,1.0000
2018-04-19,87.9100,88.0700,87.0864,87.2500,86.2440,227011,0.0000,1.0000
2018-04-18,88.2600,88.6651,87.5700,87.7800,86.7678,223039,0.0000,1.0000
2018-04-17,88.1800,88.6600,88.0600,88.1000,87.0842,277682,0.0000,1.0000
2018-04-16,87.9300,87.9950,87.4800,87.8200,86.8074,238417,0.0000,1.0000
2018-04-13,88.5400,88.5400,87.2100,87.3700,86.3626,329186,0.0000,1.0000
2018-04-12,88.2300,88.4100,87.8400,87.9600,86.9458,306985,0.0000,1.0000
2018-04-11,88.6300,88.7300,88.1500,88.3300,87.3115,249256,0.0000,1.0000
2018-04-10,89.0500,89.2389,88.6469,88.7800,87.7563,274741,0.0000,1.0000
2018-04-09,87.5600,88.7836,87.3300,88.1100,87.0940,313944,0.0000,1.0000
2018-04-06,88.0100,88.4600,86.9300,87.2700,86.2637,366667,0.0000,1.0000
2018-04-05,87.9600,88.6900,87.5500,88.5700,87.5487,453001,0.0000,1.0000
2018-04-04,86.8000,87.7500,86.1700,87.5400,86.5306,420144,0.0000,1.0000
2018-04-03,87.8600,88.2700,87.3800,87.7900,86.7777,400942,0.0000,1.0000
2018-04-02,88.2800,88.2800,86.6400,87.3300,86.3230,407234,0.0000,1.0000
2018-03-29,87.8000,88.3700,87.4400,88.2800,87.2621,414367,0.0000,1.0000
2018-03-28,87.5000,88.3300,86.9300,87.3600,86.3527,513233,0.0000,1.0000
2018-03-27,88.1200,88.4400,87.2900,87.6500,86.6393,675714,1.0360,1.0000
2018-03-26,89.3200,89.3200,88.2800,88.9800,86.9266,491340,0.0000,1.0000
2018-03-23,90.4000,90.7300,88.4600,88.5900,86.5456,568080,0.0000,1.0000
