timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.0400,9.2000,9.0100,9.1700,9.1700,278789,0.0000,1.0000
2018-07-02,8.9300,9.0200,8.9250,9.0100,9.0100,576059,0.0000,1.0000
2018-06-29,8.9400,9.0000,8.8600,8.9500,8.9500,502519,0.0000,1.0000
2018-06-28,8.7600,8.9700,8.7600,8.9500,8.9500,651232,0.1400,1.0000
2018-06-27,9.1600,9.1600,8.9100,8.9100,8.7728,663180,0.0000,1.0000
2018-06-26,9.1400,9.2300,9.1300,9.1500,9.0091,662015,0.0000,1.0000
2018-06-25,9.2000,9.2400,9.1500,9.1600,9.0189,477474,0.0000,1.0000
2018-06-22,9.2000,9.2500,9.1400,9.2000,9.0583,898763,0.0000,1.0000
2018-06-21,9.2400,9.2401,9.1800,9.1900,9.0485,563400,0.0000,1.0000
2018-06-20,9.2900,9.2950,9.2100,9.2500,9.1075,613051,0.0000,1.0000
2018-06-19,9.2200,9.2950,9.2000,9.2900,9.1469,499140,0.0000,1.0000
2018-06-18,9.0900,9.2300,9.0600,9.2300,9.0878,404680,0.0000,1.0000
2018-06-15,9.0400,9.1250,9.0200,9.0800,8.9402,1233369,0.0000,1.0000
2018-06-14,9.0900,9.0900,8.9900,9.0700,8.9303,826562,0.0000,1.0000
2018-06-13,9.1700,9.1700,9.0500,9.0900,8.9500,563231,0.0000,1.0000
2018-06-12,9.1700,9.1700,9.1000,9.1600,9.0189,434479,0.0000,1.0000
2018-06-11,9.1000,9.1700,9.0850,9.1700,9.0288,310570,0.0000,1.0000
2018-06-08,9.0500,9.1300,9.0500,9.1000,8.9598,383416,0.0000,1.0000
2018-06-07,9.0900,9.1300,9.0599,9.0700,8.9303,394333,0.0000,1.0000
2018-06-06,9.0800,9.0900,9.0300,9.0600,8.9205,433204,0.0000,1.0000
2018-06-05,9.2500,9.3000,9.0700,9.0900,8.9500,714685,0.0000,1.0000
2018-06-04,9.2000,9.2500,9.1100,9.2400,9.0977,852930,0.0000,1.0000
2018-06-01,9.1800,9.1800,9.1000,9.1700,9.0288,579638,0.0000,1.0000
2018-05-31,9.3500,9.3500,9.1350,9.1500,9.0091,828712,0.0000,1.0000
2018-05-30,9.3300,9.3700,9.2900,9.3500,9.2060,432264,0.0000,1.0000
2018-05-29,9.2400,9.3300,9.2200,9.3100,9.1666,753420,0.0000,1.0000
2018-05-25,9.2200,9.2800,9.1900,9.2700,9.1272,479846,0.0000,1.0000
2018-05-24,9.2300,9.2300,9.1300,9.2100,9.0682,486287,0.0000,1.0000
2018-05-23,9.2200,9.2400,9.1500,9.2300,9.0878,515708,0.0000,1.0000
2018-05-22,9.1600,9.2200,9.1101,9.2000,9.0583,447272,0.0000,1.0000
2018-05-21,9.1000,9.1700,9.0700,9.1600,9.0189,465430,0.0000,1.0000
2018-05-18,9.0300,9.1000,8.9700,9.1000,8.9598,633821,0.0000,1.0000
2018-05-17,8.9500,9.0100,8.9500,9.0000,8.8614,487231,0.0000,1.0000
2018-05-16,8.9600,8.9900,8.9200,8.9800,8.8417,516470,0.0000,1.0000
2018-05-15,8.8400,8.9500,8.8200,8.9200,8.7826,521557,0.0000,1.0000
2018-05-14,8.9000,8.9100,8.8600,8.8600,8.7235,294409,0.0000,1.0000
2018-05-11,8.9400,8.9600,8.8800,8.8900,8.7531,315467,0.0000,1.0000
2018-05-10,8.9000,8.9400,8.8400,8.9300,8.7925,527143,0.0000,1.0000
2018-05-09,8.8200,8.8700,8.7300,8.8600,8.7235,513100,0.0000,1.0000
2018-05-08,8.9200,8.9200,8.8250,8.8400,8.7039,471674,0.0000,1.0000
2018-05-07,8.9100,8.9800,8.8550,8.9300,8.7925,474143,0.0000,1.0000
2018-05-04,8.7800,8.9350,8.7500,8.8800,8.7432,557968,0.0000,1.0000
2018-05-03,8.7200,9.0200,8.6500,8.7900,8.6546,572978,0.0000,1.0000
2018-05-02,8.7700,8.8000,8.7000,8.7000,8.5660,513850,0.0000,1.0000
2018-05-01,8.8000,8.8200,8.7300,8.7700,8.6349,382238,0.0000,1.0000
2018-04-30,8.8300,8.8900,8.8000,8.8000,8.6645,526394,0.0000,1.0000
2018-04-27,8.9500,8.9700,8.8400,8.8500,8.7137,384907,0.0000,1.0000
2018-04-26,8.8000,9.0000,8.7500,8.9300,8.7925,721189,0.0000,1.0000
2018-04-25,8.8000,8.9250,8.7800,8.9100,8.7728,420566,0.0000,1.0000
2018-04-24,8.7400,8.8400,8.7400,8.8200,8.6842,266277,0.0000,1.0000
2018-04-23,8.7800,8.7900,8.7300,8.7300,8.5955,323100,0.0000,1.0000
2018-04-20,8.7800,8.7800,8.7100,8.7500,8.6152,345888,0.0000,1.0000
2018-04-19,8.8100,8.8700,8.7300,8.7600,8.6251,399133,0.0000,1.0000
2018-04-18,8.8400,8.8900,8.8200,8.8400,8.7039,516648,0.0000,1.0000
2018-04-17,8.7200,8.8200,8.6600,8.8200,8.6842,690307,0.0000,1.0000
2018-04-16,8.6400,8.7000,8.5900,8.6800,8.5463,426969,0.0000,1.0000
2018-04-13,8.7000,8.7100,8.5700,8.6200,8.4872,388921,0.0000,1.0000
2018-04-12,8.7300,8.7300,8.6400,8.6700,8.5365,364669,0.0000,1.0000
2018-04-11,8.7300,8.7300,8.6539,8.7200,8.5857,343489,0.0000,1.0000
2018-04-10,8.7300,8.7500,8.6700,8.7200,8.5857,544630,0.0000,1.0000
2018-04-09,8.7300,8.7500,8.6250,8.7000,8.5660,614763,0.0000,1.0000
2018-04-06,8.6800,8.7200,8.6400,8.7000,8.5660,810242,0.0000,1.0000
2018-04-05,8.7000,8.7200,8.6200,8.6800,8.5463,578920,0.0000,1.0000
2018-04-04,8.6000,8.7300,8.5900,8.6900,8.5562,567673,0.0000,1.0000
2018-04-03,8.5400,8.6800,8.5350,8.6300,8.4971,492486,0.0000,1.0000
2018-04-02,8.6200,8.6700,8.4800,8.5400,8.4085,728143,0.0000,1.0000
2018-03-29,8.6600,8.7200,8.6000,8.6500,8.5168,1141037,0.0000,1.0000
2018-03-28,8.4700,8.6800,8.4700,8.6600,8.5266,993164,0.1600,1.0000
2018-03-27,8.6000,8.6900,8.5500,8.6200,8.3333,779234,0.0000,1.0000
2018-03-26,8.6000,8.6400,8.5750,8.6000,8.3139,432434,0.0000,1.0000
2018-03-23,8.6400,8.7100,8.5500,8.5500,8.2656,730095,0.0000,1.0000
2018-03-22,8.6000,8.7000,8.6000,8.6000,8.3139,572169,0.0000,1.0000
2018-03-21,8.6600,8.7200,8.6200,8.6300,8.3429,625842,0.0000,1.0000
2018-03-20,8.7200,8.7900,8.6300,8.6500,8.3623,470790,0.0000,1.0000
2018-03-19,8.8300,8.8500,8.6450,8.7300,8.4396,540266,0.0000,1.0000
2018-03-16,8.7600,8.8500,8.6800,8.8500,8.5556,1308750,0.0000,1.0000
2018-03-15,8.8100,8.8100,8.6000,8.7300,8.4396,761751,0.0000,1.0000
2018-03-14,8.8300,8.8700,8.7800,8.8100,8.5170,849328,0.0000,1.0000
2018-03-13,8.8600,8.8800,8.8100,8.8300,8.5363,443506,0.0000,1.0000
2018-03-12,8.7100,8.8600,8.7100,8.8400,8.5460,645005,0.0000,1.0000
2018-03-09,8.7200,8.7200,8.5900,8.6900,8.4009,654093,0.0000,1.0000
2018-03-08,8.7400,8.7400,8.6450,8.7000,8.4106,412952,0.0000,1.0000
2018-03-07,8.6500,8.7500,8.6400,8.7100,8.4203,703799,0.0000,1.0000
