timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,65.5000,65.5000,64.4500,65.0500,65.0500,86098,0.0000,1.0000
2018-07-02,65.1500,65.5500,64.2000,64.6500,64.6500,224145,0.0000,1.0000
2018-06-29,65.7000,66.3000,65.5500,65.7500,65.7500,172453,0.0000,1.0000
2018-06-28,64.3000,65.6000,64.0500,65.4500,65.4500,147609,0.0000,1.0000
2018-06-27,65.2500,65.7250,64.3000,64.4500,64.4500,201828,0.0000,1.0000
2018-06-26,65.3000,65.7500,65.1500,65.2500,65.2500,175989,0.0000,1.0000
2018-06-25,65.6000,65.9000,65.0500,65.6000,65.6000,229170,0.0000,1.0000
2018-06-22,66.1000,66.6500,65.8500,66.0000,66.0000,277232,0.0000,1.0000
2018-06-21,65.2500,65.6500,65.1000,65.3500,65.3500,164285,0.0000,1.0000
2018-06-20,65.9000,66.2000,65.2500,65.5000,65.5000,172849,0.0000,1.0000
2018-06-19,66.8500,66.8500,65.3000,65.5500,65.5500,258156,0.0000,1.0000
2018-06-18,66.6500,67.5500,66.6250,67.5500,67.5500,288524,0.0000,1.0000
2018-06-15,68.9000,69.0498,66.5000,67.0000,67.0000,549985,0.0000,1.0000
2018-06-14,67.5500,69.5000,67.5000,69.4500,69.4500,265031,0.0000,1.0000
2018-06-13,69.2000,69.3000,67.0145,67.4000,67.4000,236723,0.0000,1.0000
2018-06-12,69.4000,70.2500,68.9500,69.3000,69.3000,358762,0.0000,1.0000
2018-06-11,68.2500,69.5500,68.1250,69.5000,69.5000,1079629,0.0000,1.0000
2018-06-08,68.0000,69.1000,67.9500,68.3500,68.3500,603369,0.0000,1.0000
2018-06-07,68.3000,69.0000,67.6000,67.9500,67.9500,244371,0.0000,1.0000
2018-06-06,66.2500,68.3000,66.2500,68.3000,68.3000,258646,0.0000,1.0000
2018-06-05,65.3500,66.5000,65.3500,66.0500,66.0500,215848,0.0000,1.0000
2018-06-04,65.8000,65.8000,65.1500,65.3500,65.3500,216749,0.0000,1.0000
2018-06-01,65.5000,66.2000,65.2500,65.3500,65.3500,171020,0.0000,1.0000
2018-05-31,65.5500,66.5500,65.1500,65.4000,65.4000,388462,0.7200,1.0000
2018-05-30,65.7500,66.7000,65.6500,66.2500,65.5286,366085,0.0000,1.0000
2018-05-29,65.2000,66.2500,65.2000,65.5500,64.8362,227260,0.0000,1.0000
2018-05-25,65.8000,66.1000,65.5000,65.7000,64.9846,162097,0.0000,1.0000
2018-05-24,66.0000,66.4000,65.7000,66.1000,65.3802,209484,0.0000,1.0000
2018-05-23,66.8500,66.8500,65.7050,66.0000,65.2813,307014,0.0000,1.0000
2018-05-22,69.1000,69.2500,67.0500,67.1000,66.3693,289802,0.0000,1.0000
2018-05-21,68.8000,69.1500,68.6500,68.9500,68.1992,324683,0.0000,1.0000
2018-05-18,69.2500,69.4500,68.4500,68.7000,67.9519,264204,0.0000,1.0000
2018-05-17,69.1000,69.9500,69.1000,69.2000,68.4465,211481,0.0000,1.0000
2018-05-16,69.6000,70.1000,69.1000,69.2500,68.4959,303049,0.0000,1.0000
2018-05-15,68.4000,69.4500,68.1500,69.4000,68.6443,266456,0.0000,1.0000
2018-05-14,69.1000,69.6000,68.6500,68.8000,68.0508,189912,0.0000,1.0000
2018-05-11,69.1500,69.5000,68.5500,69.0000,68.2486,216647,0.0000,1.0000
2018-05-10,69.0000,70.3000,68.9500,69.0000,68.2486,221112,0.0000,1.0000
2018-05-09,69.3000,69.6500,67.6550,69.0000,68.2486,222552,0.0000,1.0000
2018-05-08,68.7500,69.5000,68.4000,69.0500,68.2981,286289,0.0000,1.0000
2018-05-07,69.5000,69.7750,68.7750,68.9000,68.1497,293072,0.0000,1.0000
2018-05-04,66.0500,70.3500,66.0000,69.4500,68.6937,431003,0.0000,1.0000
2018-05-03,69.4000,69.4000,65.6000,66.3000,65.5780,597868,0.0000,1.0000
2018-05-02,66.0500,71.2500,66.0500,69.4000,68.6443,1002930,0.0000,1.0000
2018-05-01,67.2000,67.4000,66.4000,66.6500,65.9242,346611,0.0000,1.0000
2018-04-30,67.4500,67.8000,66.7000,67.3000,66.5672,591883,0.0000,1.0000
2018-04-27,67.6500,68.4000,67.0500,67.2500,66.5177,315924,0.0000,1.0000
2018-04-26,67.7500,68.2000,67.2500,67.7500,67.0123,175610,0.0000,1.0000
2018-04-25,67.2000,68.4000,66.7500,67.4000,66.6661,313683,0.0000,1.0000
2018-04-24,68.2500,69.0000,67.0500,67.3500,66.6166,348935,0.0000,1.0000
2018-04-23,67.4500,68.1500,67.0000,67.8500,67.1112,227403,0.0000,1.0000
