timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,7.9400,8.1500,7.9400,8.1000,8.1000,263216,0.0000,1.0000
2018-07-02,7.9800,7.9800,7.7600,7.8900,7.8900,429485,0.0000,1.0000
2018-06-29,7.9000,7.9900,7.8100,7.9800,7.9800,448154,0.0000,1.0000
2018-06-28,7.9700,7.9700,7.8500,7.9000,7.9000,259743,0.0000,1.0000
2018-06-27,8.0000,8.0400,7.8800,7.9800,7.9800,326297,0.0000,1.0000
2018-06-26,7.8500,7.9350,7.8100,7.9100,7.9100,289402,0.0000,1.0000
2018-06-25,8.0500,8.0500,7.7100,7.8400,7.8400,459228,0.0000,1.0000
2018-06-22,7.8500,8.1200,7.8400,8.0500,8.0500,759375,0.0000,1.0000
2018-06-21,7.7600,7.8400,7.7300,7.8100,7.8100,450245,0.0000,1.0000
2018-06-20,7.7300,7.8000,7.6400,7.7800,7.7800,384587,0.0000,1.0000
2018-06-19,7.6800,7.6800,7.5100,7.6700,7.6700,335823,0.0000,1.0000
2018-06-18,7.5800,7.7136,7.5600,7.6900,7.6900,290114,0.0000,1.0000
2018-06-15,7.8800,7.9200,7.5600,7.5800,7.5800,504077,0.0000,1.0000
2018-06-14,7.9800,8.0000,7.8200,7.9100,7.9100,580615,0.0000,1.0000
2018-06-13,7.6400,7.9300,7.6300,7.9100,7.9100,533352,0.0000,1.0000
2018-06-12,7.7100,7.7400,7.6200,7.6300,7.6300,783498,0.0000,1.0000
2018-06-11,7.6800,7.7400,7.6200,7.7300,7.7300,406409,0.0000,1.0000
2018-06-08,7.7300,7.7400,7.5600,7.6400,7.6400,326332,0.0000,1.0000
2018-06-07,7.6200,7.7500,7.5400,7.6900,7.6900,476724,0.0000,1.0000
2018-06-06,7.6600,7.6800,7.2800,7.5400,7.5400,799145,0.0000,1.0000
2018-06-05,7.7000,7.7490,7.5800,7.6500,7.6500,362169,0.0000,1.0000
2018-06-04,7.4100,7.7200,7.4000,7.7000,7.7000,550108,0.0000,1.0000
2018-06-01,7.3600,7.4900,7.3400,7.4000,7.4000,355589,0.0000,1.0000
2018-05-31,7.4100,7.4250,7.2200,7.2900,7.2900,491734,0.0000,1.0000
2018-05-30,7.3600,7.4400,7.3400,7.4100,7.4100,520172,0.0000,1.0000
2018-05-29,7.2800,7.3800,7.2600,7.3500,7.3500,304486,0.0000,1.0000
2018-05-25,7.4300,7.4300,7.2900,7.3100,7.3100,229646,0.0000,1.0000
2018-05-24,7.4600,7.5500,7.4100,7.4400,7.4400,219612,0.0000,1.0000
2018-05-23,7.5300,7.5700,7.4500,7.5000,7.5000,198856,0.0000,1.0000
2018-05-22,7.5600,7.7200,7.5400,7.5600,7.5600,286892,0.0000,1.0000
2018-05-21,7.4800,7.5600,7.4200,7.5500,7.5500,258205,0.0000,1.0000
2018-05-18,7.4900,7.5399,7.3900,7.4200,7.4200,355367,0.0000,1.0000
2018-05-17,7.4900,7.5500,7.4300,7.4400,7.4400,281246,0.0000,1.0000
2018-05-16,7.5600,7.5900,7.4500,7.4600,7.4600,372098,0.0000,1.0000
2018-05-15,7.6500,7.6800,7.5300,7.5400,7.5400,406842,0.0000,1.0000
2018-05-14,7.7600,7.7800,7.6400,7.6500,7.6500,553137,0.0000,1.0000
2018-05-11,7.7700,7.7800,7.6700,7.7100,7.7100,354327,0.0000,1.0000
2018-05-10,7.5600,7.7250,7.5200,7.7100,7.7100,617588,0.0000,1.0000
2018-05-09,7.5500,7.5900,7.4300,7.5400,7.5400,748202,0.0000,1.0000
2018-05-08,7.4200,7.5100,7.3000,7.4700,7.4700,785165,0.0000,1.0000
2018-05-07,7.3000,7.4800,7.2100,7.4000,7.4000,793926,0.0000,1.0000
2018-05-04,7.1800,7.2800,7.1400,7.2400,7.2400,630835,0.0000,1.0000
2018-05-03,6.9900,7.2000,6.9100,7.1800,7.1800,698145,0.0000,1.0000
2018-05-02,6.4500,7.0200,6.2500,6.9900,6.9900,776876,0.0000,1.0000
2018-05-01,6.7900,6.8600,6.6200,6.7700,6.7700,269246,0.0000,1.0000
2018-04-30,6.7900,6.8300,6.7300,6.7900,6.7900,262786,0.0000,1.0000
2018-04-27,6.7300,6.8300,6.6800,6.7700,6.7700,191947,0.0000,1.0000
2018-04-26,6.9000,6.9200,6.7400,6.7500,6.7500,301123,0.0000,1.0000
2018-04-25,6.8000,6.8600,6.7600,6.8000,6.8000,323756,0.0000,1.0000
2018-04-24,7.0100,7.0800,6.7300,6.8300,6.8300,570023,0.0000,1.0000
2018-04-23,7.0100,7.0200,6.8452,7.0000,7.0000,457376,0.0000,1.0000
2018-04-20,6.8300,7.0600,6.8300,7.0100,7.0100,859139,0.0000,1.0000
2018-04-19,6.6800,6.8450,6.6800,6.8200,6.8200,499012,0.1000,1.0000
2018-04-18,6.7500,6.8200,6.6950,6.7700,6.6722,564374,0.0000,1.0000
2018-04-17,6.7500,6.7800,6.6400,6.7200,6.6229,812781,0.0000,1.0000
2018-04-16,6.6400,6.7600,6.5900,6.7300,6.6327,412429,0.0000,1.0000
2018-04-13,6.6600,6.6900,6.5600,6.6100,6.5145,461058,0.0000,1.0000
2018-04-12,6.7000,6.7400,6.6300,6.6700,6.5736,364104,0.0000,1.0000
2018-04-11,6.6700,6.8100,6.6700,6.7200,6.6229,488103,0.0000,1.0000
2018-04-10,6.7100,6.7100,6.5600,6.6600,6.5638,537788,0.0000,1.0000
2018-04-09,6.7100,6.7200,6.5900,6.6200,6.5243,327526,0.0000,1.0000
2018-04-06,6.7600,6.8400,6.5750,6.6400,6.5440,478514,0.0000,1.0000
2018-04-05,6.5300,6.8500,6.5000,6.8400,6.7412,810529,0.0000,1.0000
2018-04-04,6.4500,6.5000,6.3900,6.4500,6.3568,388545,0.0000,1.0000
2018-04-03,6.4700,6.6200,6.3900,6.5700,6.4751,856196,0.0000,1.0000
2018-04-02,6.2000,6.4400,6.1700,6.4100,6.3174,594367,0.0000,1.0000
2018-03-29,6.1700,6.2800,6.1700,6.2400,6.1498,467612,0.0000,1.0000
2018-03-28,6.1900,6.2300,6.1200,6.1400,6.0513,377237,0.0000,1.0000
2018-03-27,6.2400,6.3200,6.1500,6.1800,6.0907,450111,0.0000,1.0000
2018-03-26,6.3000,6.3600,6.0800,6.2100,6.1203,527063,0.0000,1.0000
2018-03-23,6.3800,6.4600,6.2000,6.2000,6.1104,536232,0.0000,1.0000
2018-03-22,6.5100,6.5100,6.3700,6.3800,6.2878,356018,0.0000,1.0000
2018-03-21,6.4000,6.6100,6.4000,6.5600,6.4652,379833,0.0000,1.0000
2018-03-20,6.4800,6.5500,6.3700,6.3800,6.2878,478697,0.0000,1.0000
2018-03-19,6.5500,6.5760,6.3707,6.4700,6.3765,448622,0.0000,1.0000
2018-03-16,6.4600,6.6200,6.4500,6.5800,6.4849,615843,0.0000,1.0000
2018-03-15,6.5100,6.5700,6.4100,6.4400,6.3469,322445,0.0000,1.0000
2018-03-14,6.4600,6.5310,6.4300,6.4900,6.3962,426564,0.0000,1.0000
2018-03-13,6.4400,6.5200,6.4000,6.4300,6.3371,535578,0.0000,1.0000
2018-03-12,6.3200,6.4300,6.3200,6.4300,6.3371,370544,0.0000,1.0000
2018-03-09,6.3200,6.3750,6.2800,6.3200,6.2287,461382,0.0000,1.0000
2018-03-08,6.1100,6.3000,6.1000,6.2900,6.1991,505621,0.0000,1.0000
2018-03-07,6.0000,6.1200,5.9800,6.1000,6.0118,581771,0.0000,1.0000
2018-03-06,6.1400,6.1766,6.0100,6.0800,5.9921,368285,0.0000,1.0000
2018-03-05,6.0400,6.1300,5.9600,6.1200,6.0316,600762,0.0000,1.0000
2018-03-02,5.8700,6.0650,5.8200,6.0500,5.9626,832444,0.0000,1.0000
2018-03-01,5.8200,6.0700,5.8000,5.9200,5.8345,1051002,0.0000,1.0000
2018-02-28,6.1900,6.1900,5.7900,5.7900,5.7063,1191119,0.0000,1.0000
2018-02-27,6.3600,6.4400,6.2900,6.3000,6.2090,399764,0.0000,1.0000
2018-02-26,6.2600,6.3600,6.1500,6.3600,6.2681,434794,0.0000,1.0000
2018-02-23,6.2900,6.2900,6.1900,6.2500,6.1597,315083,0.0000,1.0000
2018-02-22,6.2500,6.3000,6.2050,6.2300,6.1400,437587,0.0000,1.0000
2018-02-21,6.3200,6.3400,6.2300,6.2300,6.1400,422268,0.0000,1.0000
2018-02-20,6.3900,6.4800,6.2700,6.3200,6.2287,374595,0.0000,1.0000
2018-02-16,6.3400,6.5500,6.3100,6.4300,6.3371,606847,0.0000,1.0000
2018-02-15,6.3800,6.3800,6.2000,6.3700,6.2779,639095,0.0000,1.0000
2018-02-14,6.2000,6.3500,6.1800,6.3500,6.2582,265303,0.0000,1.0000
2018-02-13,6.2300,6.3000,6.1600,6.2600,6.1695,310279,0.0000,1.0000
2018-02-12,6.2000,6.3100,6.1400,6.2500,6.1597,440556,0.0000,1.0000
2018-02-09,6.2000,6.2178,6.0000,6.1700,6.0808,619925,0.0000,1.0000
2018-02-08,6.4000,6.4154,6.1600,6.1600,6.0710,509187,0.0000,1.0000
2018-02-07,6.3400,6.4400,6.2800,6.3600,6.2681,955021,0.0000,1.0000
2018-02-06,6.0600,6.4400,6.0500,6.3900,6.2977,990305,0.0000,1.0000
2018-02-05,6.3400,6.4100,6.1200,6.1400,6.0513,863406,0.0000,1.0000
2018-02-02,6.5900,6.6000,6.3800,6.3900,6.2977,636444,0.0000,1.0000
2018-02-01,6.5200,6.6100,6.4750,6.6100,6.5145,863588,0.0000,1.0000
2018-01-31,6.6900,6.7500,6.4750,6.5200,6.4258,663543,0.0000,1.0000
2018-01-30,6.8000,6.8000,6.6300,6.7000,6.6032,702625,0.0000,1.0000
2018-01-29,6.7800,6.8800,6.7500,6.8300,6.7313,940675,0.0000,1.0000
2018-01-26,6.7000,6.7800,6.5500,6.7700,6.6722,947798,0.0000,1.0000
2018-01-25,6.4400,6.7300,6.4400,6.7000,6.6032,945234,0.0000,1.0000
2018-01-24,6.1400,6.7000,6.1400,6.4400,6.3469,1121836,0.0000,1.0000
2018-01-23,6.2300,6.3100,6.1150,6.1600,6.0710,662872,0.0000,1.0000
2018-01-22,6.2100,6.3800,6.2100,6.2800,6.1892,616108,0.1000,1.0000
2018-01-19,6.1400,6.4250,6.0800,6.3300,6.1407,1376426,0.0000,1.0000
2018-01-18,6.1900,6.3600,6.1000,6.1100,5.9273,1015955,0.0000,1.0000
2018-01-17,6.2900,6.3100,6.1700,6.2200,6.0340,693836,0.0000,1.0000
2018-01-16,6.3600,6.3800,6.2610,6.3200,6.1310,632860,0.0000,1.0000
2018-01-12,6.3800,6.3800,6.2900,6.3600,6.1698,440985,0.0000,1.0000
2018-01-11,6.2000,6.3900,6.1800,6.3500,6.1601,531744,0.0000,1.0000
2018-01-10,6.0900,6.2400,6.0500,6.2200,6.0340,633886,0.0000,1.0000
2018-01-09,6.1500,6.2300,6.1127,6.1500,5.9661,332259,0.0000,1.0000
2018-01-08,6.1200,6.1900,6.0700,6.1600,5.9758,645617,0.0000,1.0000
2018-01-05,6.1500,6.2400,6.0950,6.1400,5.9564,432930,0.0000,1.0000
2018-01-04,6.0800,6.2000,6.0550,6.1400,5.9564,422856,0.0000,1.0000
2018-01-03,6.0000,6.1300,6.0000,6.0600,5.8788,570168,0.0000,1.0000
2018-01-02,5.8000,6.0200,5.7900,6.0200,5.8400,449701,0.0000,1.0000
2017-12-29,5.8300,5.8800,5.7500,5.7700,5.5975,573963,0.0000,1.0000
2017-12-28,5.8300,5.8400,5.7600,5.8400,5.6654,489955,0.0000,1.0000
2017-12-27,5.8500,5.8700,5.7600,5.8000,5.6266,627997,0.0000,1.0000
2017-12-26,5.9200,5.9301,5.8200,5.8500,5.6751,472795,0.0000,1.0000
2017-12-22,5.9800,6.0800,5.8500,5.8600,5.6848,1102340,0.0000,1.0000
2017-12-21,5.9500,6.1950,5.9300,6.1100,5.9273,751396,0.0000,1.0000
2017-12-20,5.9200,5.9550,5.8600,5.9500,5.7721,532309,0.0000,1.0000
2017-12-19,6.0000,6.0500,5.8650,5.8800,5.7042,642003,0.0000,1.0000
2017-12-18,5.8900,5.9750,5.8450,5.9300,5.7527,886613,0.0000,1.0000
2017-12-15,5.7200,5.8800,5.6600,5.8600,5.6848,623619,0.0000,1.0000
2017-12-14,5.7200,5.7600,5.6410,5.6900,5.5199,376664,0.0000,1.0000
2017-12-13,5.6400,5.7300,5.6200,5.6800,5.5102,436851,0.0000,1.0000
2017-12-12,5.6500,5.7100,5.6200,5.6600,5.4908,444580,0.0000,1.0000
2017-12-11,5.6700,5.8100,5.6300,5.6400,5.4714,581899,0.0000,1.0000
2017-12-08,5.7000,5.7000,5.6150,5.6600,5.4908,421648,0.0000,1.0000
2017-12-07,5.5800,5.6800,5.5600,5.6400,5.4714,351324,0.0000,1.0000
2017-12-06,5.6700,5.7100,5.5800,5.6000,5.4326,524423,0.0000,1.0000
2017-12-05,5.8600,5.8800,5.6700,5.6700,5.5005,647739,0.0000,1.0000
2017-12-04,5.9100,6.0150,5.8700,5.8800,5.7042,850078,0.0000,1.0000
2017-12-01,5.7900,5.9800,5.7800,5.9100,5.7333,705422,0.0000,1.0000
2017-11-30,5.7000,5.8400,5.6900,5.7500,5.5781,618255,0.0000,1.0000
2017-11-29,5.6900,5.7500,5.6450,5.6700,5.5005,767399,0.0000,1.0000
2017-11-28,5.6400,5.7300,5.5900,5.7000,5.5296,674002,0.0000,1.0000
2017-11-27,5.7100,5.8000,5.6100,5.6200,5.4520,688478,0.0000,1.0000
2017-11-24,5.8100,5.8300,5.6700,5.7100,5.5393,357813,0.0000,1.0000
2017-11-22,5.6600,5.8100,5.6326,5.7900,5.6169,407907,0.0000,1.0000
2017-11-21,5.7900,5.8599,5.6400,5.6400,5.4714,567606,0.0000,1.0000
2017-11-20,5.6500,5.7800,5.5900,5.7800,5.6072,478887,0.0000,1.0000
2017-11-17,5.5900,5.6800,5.5700,5.6500,5.4811,562742,0.0000,1.0000
2017-11-16,5.5200,5.6750,5.5000,5.6000,5.4326,566448,0.0000,1.0000
2017-11-15,5.5600,5.5600,5.4500,5.4900,5.3259,703439,0.0000,1.0000
2017-11-14,5.7900,5.8000,5.5700,5.6000,5.4326,923471,0.0000,1.0000
2017-11-13,5.8900,5.8976,5.7600,5.7900,5.6169,939180,0.0000,1.0000
2017-11-10,6.0300,6.0388,5.8600,5.9000,5.7236,733022,0.0000,1.0000
2017-11-09,6.0100,6.1200,5.9900,6.0400,5.8594,702513,0.0000,1.0000
2017-11-08,6.0700,6.0700,6.0100,6.0500,5.8691,481017,0.0000,1.0000
2017-11-07,6.1500,6.2300,6.0400,6.0900,5.9079,552868,0.0000,1.0000
2017-11-06,6.0500,6.2000,6.0100,6.1400,5.9564,686705,0.0000,1.0000
2017-11-03,6.0000,6.0800,5.8900,6.0500,5.8691,581775,0.0000,1.0000
2017-11-02,6.0300,6.0653,5.8800,5.9300,5.7527,767229,0.0000,1.0000
2017-11-01,6.2100,6.3000,6.0000,6.0000,5.8206,985177,0.0000,1.0000
2017-10-31,6.3000,6.3750,6.1700,6.2100,6.0243,820825,0.0000,1.0000
2017-10-30,6.3200,6.4300,6.2300,6.3000,6.1116,960546,0.0000,1.0000
2017-10-27,6.1300,6.3300,6.1000,6.3100,6.1213,1311455,0.0000,1.0000
2017-10-26,6.1000,6.2300,6.0700,6.1200,5.9370,857708,0.0000,1.0000
2017-10-25,6.0100,6.1500,5.9500,6.0600,5.8788,1221168,0.0000,1.0000
2017-10-24,6.0500,6.1200,5.9800,6.0000,5.8206,600906,0.0000,1.0000
2017-10-23,6.1500,6.1850,6.0150,6.0400,5.8594,511976,0.0000,1.0000
2017-10-20,6.1800,6.2200,6.0550,6.1600,5.9758,490810,0.1000,1.0000
2017-10-19,6.1800,6.2600,6.1200,6.2400,5.9567,578832,0.0000,1.0000
2017-10-18,6.2900,6.3800,6.1550,6.2100,5.9281,586591,0.0000,1.0000
2017-10-17,6.1500,6.4300,6.1500,6.2400,5.9567,766192,0.0000,1.0000
2017-10-16,6.0800,6.1900,6.0700,6.1400,5.8613,697486,0.0000,1.0000
2017-10-13,6.3000,6.3000,6.0800,6.0800,5.8040,553223,0.0000,1.0000
2017-10-12,6.1600,6.3550,6.1450,6.2800,5.9949,964155,0.0000,1.0000
2017-10-11,6.2000,6.2000,6.1000,6.1500,5.8708,847619,0.0000,1.0000
2017-10-10,6.1500,6.2000,6.1400,6.1600,5.8804,660600,0.0000,1.0000
2017-10-09,6.0200,6.1400,6.0200,6.1000,5.8231,381295,0.0000,1.0000
2017-10-06,6.0900,6.1120,6.0000,6.0100,5.7372,499912,0.0000,1.0000
2017-10-05,6.1300,6.1800,6.0800,6.0800,5.8040,318204,0.0000,1.0000
2017-10-04,6.2200,6.2850,6.0700,6.1300,5.8517,497155,0.0000,1.0000
2017-10-03,6.2600,6.3400,6.1800,6.2400,5.9567,447049,0.0000,1.0000
2017-10-02,6.2000,6.3100,6.1200,6.2700,5.9854,560643,0.0000,1.0000
2017-09-29,6.2500,6.2900,6.1600,6.1800,5.8995,415354,0.0000,1.0000
2017-09-28,6.2800,6.2800,6.1700,6.2600,5.9758,466186,0.0000,1.0000
2017-09-27,6.1800,6.3600,6.1500,6.2900,6.0045,731265,0.0000,1.0000
2017-09-26,6.0500,6.2100,6.0000,6.1200,5.8422,960855,0.0000,1.0000
2017-09-25,6.0200,6.0930,6.0000,6.0700,5.7945,480491,0.0000,1.0000
2017-09-22,6.1600,6.1800,6.0000,6.0000,5.7276,516741,0.0000,1.0000
2017-09-21,6.1700,6.3500,6.1200,6.1500,5.8708,574230,0.0000,1.0000
2017-09-20,6.0500,6.2500,6.0200,6.1300,5.8517,682089,0.0000,1.0000
2017-09-19,6.2000,6.2000,6.0000,6.0600,5.7849,479140,0.0000,1.0000
2017-09-18,6.0000,6.2100,6.0000,6.1800,5.8995,501182,0.0000,1.0000
