timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,111.1500,112.0000,110.4600,110.8800,110.8800,156593,0.0000,1.0000
2018-07-02,110.7800,111.6900,110.2100,111.0000,111.0000,295369,0.0000,1.0000
2018-06-29,110.3600,112.0600,109.0200,110.8200,110.8200,320552,0.0000,1.0000
2018-06-28,108.9800,111.2000,108.7900,110.5500,110.5500,265497,1.0300,1.0000
2018-06-27,109.4100,110.6800,108.7732,109.9700,108.9549,304580,0.0000,1.0000
2018-06-26,108.1400,110.1000,107.9400,109.0700,108.0632,216115,0.0000,1.0000
2018-06-25,109.3000,109.3000,107.9000,108.1200,107.1219,284062,0.0000,1.0000
2018-06-22,110.8400,110.8400,108.2100,109.1200,108.1127,369512,0.0000,1.0000
2018-06-21,109.6500,110.8700,109.1800,110.5000,109.4800,269489,0.0000,1.0000
2018-06-20,107.9600,110.0700,107.9000,109.8400,108.8261,217808,0.0000,1.0000
2018-06-19,108.3400,109.1900,107.5800,107.6100,106.6166,226404,0.0000,1.0000
2018-06-18,107.9500,109.3300,107.7400,108.8200,107.8155,235718,0.0000,1.0000
2018-06-15,108.1500,109.0000,107.4050,108.4200,107.4192,547605,0.0000,1.0000
2018-06-14,105.5200,107.9400,105.5200,107.7900,106.7950,318933,0.0000,1.0000
2018-06-13,107.8700,108.3000,104.5950,105.0600,104.0902,285920,0.0000,1.0000
2018-06-12,106.7300,108.3700,106.4600,107.8600,106.8643,223608,0.0000,1.0000
2018-06-11,107.6000,108.0100,106.8900,107.0000,106.0123,284821,0.0000,1.0000
2018-06-08,107.6100,108.6790,107.2900,107.3700,106.3789,425086,0.0000,1.0000
2018-06-07,106.6700,107.8600,105.7700,107.7500,106.7554,203613,0.0000,1.0000
2018-06-06,108.0000,108.5900,105.8400,106.7800,105.7943,278380,0.0000,1.0000
2018-06-05,109.0100,109.5900,108.0700,108.2900,107.2904,328632,0.0000,1.0000
2018-06-04,107.7300,108.8000,107.0301,108.3800,107.3795,448195,0.0000,1.0000
2018-06-01,106.6400,107.8450,106.0200,107.2700,106.2798,316195,0.0000,1.0000
2018-05-31,107.8500,107.8500,106.0000,106.1600,105.1800,393676,0.0000,1.0000
2018-05-30,106.7500,109.0500,106.4400,107.8900,106.8941,381628,0.0000,1.0000
2018-05-29,104.3100,107.1850,104.1600,106.7100,105.7250,188477,0.0000,1.0000
2018-05-25,104.3700,105.7100,104.1550,104.7400,103.7731,103129,0.0000,1.0000
2018-05-24,103.6500,105.5300,103.6100,104.3800,103.4165,213302,0.0000,1.0000
2018-05-23,102.1300,104.2300,102.1300,103.4100,102.4554,226856,0.0000,1.0000
2018-05-22,103.1600,103.2300,102.0800,102.1700,101.2269,312667,0.0000,1.0000
2018-05-21,103.3200,103.5900,102.6800,103.2400,102.2870,280836,0.0000,1.0000
2018-05-18,102.6600,103.4100,102.0700,102.6600,101.7123,385531,0.0000,1.0000
2018-05-17,104.8900,105.1600,102.5300,102.6500,101.7024,190180,0.0000,1.0000
2018-05-16,105.6700,106.0600,104.7100,104.9600,103.9911,257521,0.0000,1.0000
2018-05-15,105.8400,106.0800,104.0000,105.3700,104.3973,292341,0.0000,1.0000
2018-05-14,107.4500,107.6700,106.0000,106.5300,105.5466,396456,0.0000,1.0000
2018-05-11,107.3500,108.4350,106.9050,107.4900,106.4978,216074,0.0000,1.0000
2018-05-10,105.0200,107.7500,105.0200,106.8800,105.8934,258470,0.0000,1.0000
2018-05-09,103.3100,104.7000,102.4800,104.4900,103.5254,186969,0.0000,1.0000
2018-05-08,103.3400,104.2000,102.5000,103.1100,102.1582,252528,0.0000,1.0000
2018-05-07,105.1300,105.3100,104.0100,104.4600,103.4957,207367,0.0000,1.0000
2018-05-04,103.7000,104.8700,103.6500,104.7300,103.7632,448202,0.0000,1.0000
2018-05-03,104.5600,104.5700,102.4600,103.7100,102.7526,294745,0.0000,1.0000
2018-05-02,105.4300,106.3500,103.8400,104.5600,103.5948,325898,0.0000,1.0000
2018-05-01,103.9100,105.8700,103.6450,105.4400,104.4667,352159,0.0000,1.0000
2018-04-30,106.0000,106.6700,103.7600,104.1000,103.1390,513237,0.0000,1.0000
2018-04-27,102.6700,106.1250,102.6700,106.0000,105.0215,405360,0.0000,1.0000
