timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,9.2300,9.2300,9.1450,9.1500,9.1500,6468,0.0000,1.0000
2018-07-02,9.1800,9.2007,9.1500,9.1600,9.1600,22083,0.0000,1.0000
2018-06-29,9.1500,9.2116,9.1486,9.1700,9.1700,37202,0.0000,1.0000
2018-06-28,9.1500,9.1800,9.1386,9.1650,9.1650,31769,0.0000,1.0000
2018-06-27,9.1500,9.1900,9.0800,9.1400,9.1400,36155,0.0000,1.0000
2018-06-26,9.1600,9.1890,9.1000,9.1000,9.1000,41290,0.0000,1.0000
2018-06-25,9.1800,9.2000,9.1300,9.1500,9.1500,40874,0.0000,1.0000
2018-06-22,9.2359,9.2500,9.1600,9.1700,9.1700,40777,0.0000,1.0000
2018-06-21,9.2344,9.2500,9.2262,9.2400,9.2400,13768,0.0000,1.0000
2018-06-20,9.2490,9.2500,9.1800,9.2400,9.2400,34105,0.0000,1.0000
2018-06-19,9.1910,9.2500,9.1700,9.2400,9.2400,37850,0.0000,1.0000
2018-06-18,9.2399,9.2500,9.2000,9.2100,9.2100,30678,0.0000,1.0000
2018-06-15,9.2300,9.2400,9.2300,9.2366,9.2366,12407,0.0000,1.0000
2018-06-14,9.2233,9.2400,9.1700,9.2100,9.2100,28228,0.0000,1.0000
2018-06-13,9.1800,9.2499,9.1800,9.2200,9.2200,29543,0.0000,1.0000
2018-06-12,9.2000,9.2200,9.1300,9.1700,9.1700,35906,0.0540,1.0000
2018-06-11,9.2600,9.2890,9.2400,9.2400,9.1859,14388,0.0000,1.0000
2018-06-08,9.2172,9.2890,9.2172,9.2401,9.1860,21124,0.0000,1.0000
2018-06-07,9.2700,9.3000,9.2100,9.2100,9.1561,31505,0.0000,1.0000
2018-06-06,9.2700,9.3200,9.2700,9.3200,9.2654,21930,0.0000,1.0000
2018-06-05,9.2800,9.2800,9.2300,9.2500,9.1958,21539,0.0000,1.0000
2018-06-04,9.2300,9.2700,9.2300,9.2700,9.2157,11721,0.0000,1.0000
2018-06-01,9.1700,9.2400,9.1700,9.2400,9.1859,27766,0.0000,1.0000
2018-05-31,9.2500,9.2500,9.1100,9.1500,9.0964,102946,0.0000,1.0000
2018-05-30,9.2200,9.2400,9.2101,9.2200,9.1660,14754,0.0000,1.0000
2018-05-29,9.2400,9.2410,9.2100,9.2100,9.1561,18981,0.0000,1.0000
2018-05-25,9.3000,9.3000,9.2500,9.2900,9.2356,18631,0.0000,1.0000
2018-05-24,9.2800,9.2800,9.2500,9.2600,9.2058,17214,0.0000,1.0000
