timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,65.8600,66.9500,65.7100,66.2000,66.2000,167828,0.0000,1.0000
2018-07-02,66.5900,66.8400,64.8800,65.7000,65.7000,495674,0.0000,1.0000
2018-06-29,65.9500,67.2400,65.5000,66.7300,66.7300,676001,0.0000,1.0000
2018-06-28,65.4000,66.2100,65.4000,66.1200,66.1200,364410,0.3600,1.0000
2018-06-27,65.2500,66.0500,65.1100,65.6900,65.3343,693182,0.0000,1.0000
2018-06-26,65.5900,65.6700,65.2300,65.2500,64.8967,992686,0.0000,1.0000
2018-06-25,65.7100,65.9300,64.9000,65.4000,65.0458,677339,0.0000,1.0000
2018-06-22,65.3500,65.9900,65.0000,65.7400,65.3840,485368,0.0000,1.0000
2018-06-21,65.3000,65.7692,64.9000,65.2600,64.9066,321595,0.0000,1.0000
2018-06-20,64.7500,65.6900,64.7500,65.3400,64.9862,294173,0.0000,1.0000
2018-06-19,65.2700,65.5600,64.6700,64.7800,64.4292,670863,0.0000,1.0000
2018-06-18,65.1500,65.6000,64.6100,65.4500,65.0956,1296601,0.0000,1.0000
2018-06-15,65.6500,65.8000,65.1500,65.3200,64.9663,783208,0.0000,1.0000
2018-06-14,65.6900,66.0500,65.5200,65.6500,65.2945,654647,0.0000,1.0000
2018-06-13,66.4900,66.9300,65.1800,65.3900,65.0359,600323,0.0000,1.0000
2018-06-12,66.2100,66.8500,66.0600,66.3500,65.9907,458623,0.0000,1.0000
2018-06-11,66.7600,66.8500,66.1800,66.3500,65.9907,417204,0.0000,1.0000
2018-06-08,66.8200,66.9700,66.3700,66.7400,66.3786,431283,0.0000,1.0000
2018-06-07,66.8700,67.1200,66.3500,66.7700,66.4084,752090,0.0000,1.0000
2018-06-06,66.7100,67.2600,66.3950,66.7600,66.3985,750340,0.0000,1.0000
2018-06-05,67.1200,67.1400,66.6000,66.8300,66.4681,797688,0.0000,1.0000
2018-06-04,66.0000,67.1500,65.4300,67.0700,66.7068,1008422,0.0000,1.0000
2018-06-01,65.4000,66.0100,64.7600,65.7900,65.4337,609699,0.0000,1.0000
2018-05-31,65.6300,65.7400,64.9000,65.1300,64.7773,1011363,0.0000,1.0000
2018-05-30,65.2700,66.2300,64.9800,65.8100,65.4536,921784,0.0000,1.0000
2018-05-29,64.8600,65.3500,64.5900,65.1000,64.7475,641225,0.0000,1.0000
2018-05-25,65.2400,65.5200,64.9300,65.0400,64.6878,516105,0.0000,1.0000
2018-05-24,65.2600,65.5800,64.6800,65.1300,64.7773,491126,0.0000,1.0000
2018-05-23,64.3400,65.4500,64.2900,65.3400,64.9862,545381,0.0000,1.0000
2018-05-22,64.2600,64.5900,64.1300,64.2600,63.9120,1017440,0.0000,1.0000
2018-05-21,64.0000,64.6400,63.3200,64.4000,64.0513,752013,0.0000,1.0000
2018-05-18,63.9100,64.1900,63.4700,63.7800,63.4346,703748,0.0000,1.0000
2018-05-17,64.2200,64.2900,63.7100,63.9000,63.5540,682714,0.0000,1.0000
2018-05-16,64.9600,65.0000,63.8300,64.1000,63.7529,1437285,0.0000,1.0000
2018-05-15,65.5500,65.5500,64.5200,64.8200,64.4690,1383149,0.0000,1.0000
2018-05-14,65.8900,66.1500,65.3200,65.7200,65.3641,1099926,0.0000,1.0000
2018-05-11,66.1900,66.3200,65.8400,65.8400,65.4835,860350,0.0000,1.0000
2018-05-10,65.9000,66.2200,65.8200,66.0800,65.7222,1549525,0.0000,1.0000
2018-05-09,65.7600,66.0600,65.5400,65.7500,65.3940,1339195,0.0000,1.0000
2018-05-08,66.1900,66.4400,65.8100,65.8400,65.4835,1343108,0.0000,1.0000
2018-05-07,66.2100,66.4100,66.0400,66.3400,65.9808,850141,0.0000,1.0000
2018-05-04,65.5200,66.3000,65.4200,66.0600,65.7023,919763,0.0000,1.0000
2018-05-03,65.5200,65.8800,65.1500,65.6000,65.2448,1107938,0.0000,1.0000
2018-05-02,66.0200,66.4600,65.4600,65.5200,65.1652,1925466,0.0000,1.0000
2018-05-01,65.8100,66.4901,65.4200,66.2500,65.8912,2127786,0.0000,1.0000
2018-04-30,64.2300,66.5300,63.2500,65.5700,65.2149,7732101,0.0000,1.0000
2018-04-27,58.2100,59.0800,58.0400,58.7500,58.4319,354484,0.0000,1.0000
2018-04-26,57.6800,58.6600,57.4750,58.2700,57.9545,564031,0.0000,1.0000
2018-04-25,57.1800,57.6400,56.6750,57.4000,57.0892,612480,0.0000,1.0000
2018-04-24,56.9100,57.5100,56.6700,57.3600,57.0494,701532,0.0000,1.0000
2018-04-23,56.9800,57.0700,56.3900,56.7800,56.4725,653073,0.0000,1.0000
2018-04-20,57.0300,57.2400,56.6200,56.8900,56.5819,663845,0.0000,1.0000
2018-04-19,57.6200,57.6200,56.4900,57.0300,56.7212,325502,0.0000,1.0000
2018-04-18,57.5800,57.7700,57.2800,57.6400,57.3279,469669,0.0000,1.0000
2018-04-17,56.3800,58.1200,56.2600,57.4500,57.1389,881657,0.0000,1.0000
2018-04-16,55.7800,56.2800,55.3800,56.1500,55.8459,469245,0.0000,1.0000
2018-04-13,55.1200,55.7300,54.7900,55.6700,55.3685,305367,0.0000,1.0000
2018-04-12,55.7400,55.9000,54.9900,55.0100,54.7121,522047,0.0000,1.0000
2018-04-11,55.4600,56.3500,55.2850,55.6600,55.3586,344353,0.0000,1.0000
2018-04-10,55.9800,56.2000,55.4500,55.8200,55.5177,678444,0.0000,1.0000
2018-04-09,55.6300,55.9600,55.3000,55.4400,55.1398,377136,0.0000,1.0000
2018-04-06,55.6500,56.3200,55.2000,55.4700,55.1696,321237,0.0000,1.0000
2018-04-05,56.0400,56.0800,55.3200,55.8500,55.5476,368206,0.0000,1.0000
2018-04-04,55.3900,56.1000,55.2150,55.8900,55.5873,366502,0.0000,1.0000
2018-04-03,55.4600,56.1900,54.9900,55.8300,55.5277,601963,0.0000,1.0000
2018-04-02,56.2500,56.3100,54.7100,55.1900,54.8911,805918,0.0000,1.0000
2018-03-29,56.5200,56.8600,56.0000,56.3400,56.0349,496360,0.0000,1.0000
2018-03-28,55.8300,56.6000,55.8300,56.4700,56.1642,462175,0.3600,1.0000
2018-03-27,55.6800,56.8500,55.1400,55.9300,55.2747,400341,0.0000,1.0000
2018-03-26,55.4300,55.6800,54.8000,55.4600,54.8103,414625,0.0000,1.0000
2018-03-23,56.0800,56.3400,54.7900,54.9000,54.2568,419739,0.0000,1.0000
2018-03-22,56.6900,57.3400,56.1200,56.1400,55.4823,397707,0.0000,1.0000
2018-03-21,57.2700,57.5090,56.6000,56.9200,56.2532,508755,0.0000,1.0000
2018-03-20,57.1400,57.5600,56.9100,57.3400,56.6682,372682,0.0000,1.0000
2018-03-19,57.2800,57.3500,56.7700,57.0000,56.3322,406496,0.0000,1.0000
2018-03-16,57.4700,57.8400,57.1700,57.5000,56.8264,892302,0.0000,1.0000
2018-03-15,57.9000,58.1600,57.1400,57.3800,56.7078,612796,0.0000,1.0000
2018-03-14,57.5200,57.9000,57.3700,57.8400,57.1624,401227,0.0000,1.0000
2018-03-13,57.5800,58.0000,57.2600,57.4400,56.7671,356864,0.0000,1.0000
2018-03-12,57.1700,57.9300,57.0000,57.5400,56.8659,613786,0.0000,1.0000
2018-03-09,56.9100,57.3200,56.4700,57.2000,56.5299,565025,0.0000,1.0000
2018-03-08,56.7200,56.7800,56.2000,56.7000,56.0357,260368,0.0000,1.0000
2018-03-07,56.0300,56.5800,55.8300,56.4500,55.7887,520015,0.0000,1.0000
2018-03-06,55.8300,56.3800,55.2300,56.2200,55.5614,518769,0.0000,1.0000
2018-03-05,54.8600,55.9000,54.7300,55.6300,54.9783,728600,0.0000,1.0000
2018-03-02,55.2600,55.3050,54.5600,55.2100,54.5632,473473,0.0000,1.0000
2018-03-01,55.2200,56.1700,54.9400,55.4100,54.7608,541004,0.0000,1.0000
2018-02-28,55.1700,55.9900,54.9200,55.3500,54.7015,817339,0.0000,1.0000
2018-02-27,56.0900,56.0900,54.6700,54.9100,54.2667,407694,0.0000,1.0000
2018-02-26,56.4200,56.4700,55.5300,56.0200,55.3637,447914,0.0000,1.0000
2018-02-23,55.4000,56.2300,55.1400,56.2200,55.5614,373108,0.0000,1.0000
2018-02-22,54.6600,55.2200,54.5300,55.0700,54.4248,443515,0.0000,1.0000
