timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,10.5500,10.6350,10.4600,10.5100,10.5100,627162,0.0000,1.0000
2018-07-02,10.5000,10.8900,10.3000,10.5200,10.5200,939827,0.0000,1.0000
2018-06-29,10.6900,10.7700,10.5100,10.5100,10.5100,879296,0.0000,1.0000
2018-06-28,10.8400,10.8700,10.6550,10.6700,10.6700,1029124,0.0000,1.0000
2018-06-27,10.7200,10.9400,10.7132,10.7400,10.7400,940144,0.0000,1.0000
2018-06-26,10.7700,10.8800,10.6243,10.7500,10.7500,1028491,0.0000,1.0000
2018-06-25,10.6100,10.8200,10.5100,10.7600,10.7600,1598848,0.0000,1.0000
2018-06-22,10.2700,10.5900,10.1300,10.5900,10.5900,2242778,0.0000,1.0000
2018-06-21,10.3300,10.3800,10.1700,10.3000,10.3000,1052646,0.0000,1.0000
2018-06-20,10.1000,10.3050,9.9300,10.2900,10.2900,946416,0.0000,1.0000
2018-06-19,10.0700,10.2200,10.0100,10.1100,10.1100,842684,0.0000,1.0000
2018-06-18,9.9600,10.1000,9.8450,10.0900,10.0900,844471,0.0000,1.0000
2018-06-15,9.8700,10.0500,9.7700,10.0100,10.0100,1730226,0.0000,1.0000
2018-06-14,9.8900,9.8900,9.6700,9.8100,9.8100,2016118,0.0000,1.0000
2018-06-13,9.9000,9.9500,9.7800,9.8800,9.8800,807092,0.0000,1.0000
2018-06-12,9.9500,10.0700,9.7350,9.8900,9.8900,938098,0.0000,1.0000
2018-06-11,9.7200,9.9900,9.6900,9.9200,9.9200,650626,0.0000,1.0000
2018-06-08,9.6500,9.8400,9.6200,9.7100,9.7100,729713,0.0000,1.0000
2018-06-07,9.4800,9.9400,9.4300,9.6200,9.6200,900347,0.0000,1.0000
2018-06-06,9.5800,9.6051,9.3600,9.5800,9.5800,945984,0.0000,1.0000
2018-06-05,9.7000,9.7100,9.3700,9.5400,9.5400,1307194,0.0000,1.0000
2018-06-04,9.5900,9.7600,9.5900,9.7000,9.7000,752404,0.0000,1.0000
2018-06-01,9.5800,9.6000,9.3900,9.5800,9.5800,1166533,0.0000,1.0000
2018-05-31,10.0000,10.0000,9.4700,9.5700,9.5700,1235432,0.0000,1.0000
2018-05-30,9.8000,10.0300,9.6950,10.0000,10.0000,752908,0.0000,1.0000
2018-05-29,9.6500,9.8850,9.6300,9.7300,9.7300,1192685,0.0000,1.0000
2018-05-25,9.5400,9.7200,9.5400,9.7000,9.7000,982512,0.0000,1.0000
2018-05-24,9.4800,9.5800,9.3200,9.5300,9.5300,872688,0.0000,1.0000
2018-05-23,9.8700,9.8700,9.4900,9.5100,9.5100,1167923,0.0000,1.0000
2018-05-22,9.9100,10.2150,9.8400,9.8900,9.8900,2091365,0.0000,1.0000
2018-05-21,10.0700,10.0800,9.7700,9.7900,9.7900,1405890,0.0000,1.0000
2018-05-18,10.1100,10.1400,9.9550,10.0600,10.0600,1017210,0.0900,1.0000
2018-05-17,10.2000,10.2950,10.1400,10.2200,10.1294,1042044,0.0000,1.0000
2018-05-16,10.0800,10.2100,10.0200,10.1300,10.0402,1241573,0.0000,1.0000
2018-05-15,10.0700,10.2300,9.9400,10.0800,9.9906,1279495,0.0000,1.0000
2018-05-14,10.1200,10.1700,9.7800,10.0300,9.9411,2637276,0.0000,1.0000
2018-05-11,10.3100,10.5342,10.2700,10.4700,10.3772,1736425,0.0000,1.0000
2018-05-10,10.2500,10.3100,10.0800,10.2600,10.1690,1346886,0.0000,1.0000
2018-05-09,9.8300,10.2050,9.7900,10.2000,10.1096,2666375,0.0000,1.0000
2018-05-08,8.9000,9.8200,8.8600,9.7500,9.6635,4465773,0.0000,1.0000
2018-05-07,8.4300,8.5000,8.2400,8.3400,8.2660,1356944,0.0000,1.0000
2018-05-04,8.1900,8.5200,8.1500,8.4000,8.3255,1043091,0.0000,1.0000
2018-05-03,8.3300,8.3300,8.1400,8.1700,8.0976,1278150,0.0000,1.0000
2018-05-02,8.5300,8.5300,8.2500,8.2800,8.2066,952215,0.0000,1.0000
2018-05-01,8.6100,8.6300,8.4050,8.4900,8.4147,847129,0.0000,1.0000
2018-04-30,8.7800,8.8700,8.5300,8.6100,8.5337,1542450,0.0000,1.0000
2018-04-27,8.8500,8.9850,8.7600,8.7700,8.6922,891863,0.0000,1.0000
2018-04-26,8.7100,8.8900,8.5360,8.8300,8.7517,1463783,0.0000,1.0000
2018-04-25,8.4000,8.7500,8.4000,8.7400,8.6625,735669,0.0000,1.0000
2018-04-24,8.5200,8.5900,8.4600,8.5600,8.4841,850497,0.0000,1.0000
2018-04-23,8.5000,8.5100,8.3700,8.5100,8.4345,885016,0.0000,1.0000
2018-04-20,8.5200,8.5900,8.3800,8.4500,8.3751,973004,0.0000,1.0000
2018-04-19,8.5900,8.6700,8.4300,8.5300,8.4544,690992,0.0000,1.0000
2018-04-18,8.4800,8.8000,8.4600,8.6500,8.5733,1404294,0.0000,1.0000
2018-04-17,8.2000,8.5100,8.2000,8.4700,8.3949,2051472,0.0000,1.0000
2018-04-16,8.6200,8.7000,8.1500,8.1600,8.0876,3509977,0.0000,1.0000
2018-04-13,8.8400,8.9800,8.8200,8.9500,8.8706,708835,0.0000,1.0000
2018-04-12,8.8800,8.9400,8.8000,8.8200,8.7418,890266,0.0000,1.0000
2018-04-11,8.9000,8.9900,8.7900,8.8800,8.8013,794439,0.0000,1.0000
2018-04-10,9.0200,9.0550,8.9000,8.9300,8.8508,950891,0.0000,1.0000
2018-04-09,8.9200,9.0100,8.7450,8.9300,8.8508,895458,0.0000,1.0000
2018-04-06,8.7600,9.1000,8.7600,8.9200,8.8409,1072011,0.0000,1.0000
2018-04-05,8.7800,8.8400,8.6100,8.8100,8.7319,956853,0.0000,1.0000
2018-04-04,8.3500,8.7800,8.2600,8.6900,8.6129,1399153,0.0000,1.0000
2018-04-03,8.3500,8.4200,8.1800,8.3900,8.3156,2397259,0.0000,1.0000
2018-04-02,8.5900,8.6100,8.2800,8.3400,8.2660,1645130,0.0000,1.0000
2018-03-29,8.7100,8.7200,8.5400,8.6200,8.5436,2352945,0.0000,1.0000
2018-03-28,8.4600,8.7300,8.4000,8.6300,8.5535,1426782,0.0000,1.0000
2018-03-27,8.4600,8.6400,8.4100,8.4500,8.3751,1516056,0.0000,1.0000
2018-03-26,8.3900,8.4250,8.2200,8.4000,8.3255,1508440,0.0000,1.0000
2018-03-23,8.3300,8.4800,8.2800,8.3100,8.2363,1279319,0.0000,1.0000
2018-03-22,8.3200,8.4700,8.2500,8.2900,8.2165,1520368,0.0000,1.0000
2018-03-21,8.3700,8.4600,8.1800,8.3300,8.2561,2580552,0.0000,1.0000
2018-03-20,8.8000,8.8600,8.4100,8.4200,8.3453,1902311,0.0000,1.0000
2018-03-19,8.8100,8.8900,8.6150,8.8200,8.7418,2586464,0.0000,1.0000
2018-03-16,8.7800,8.9400,8.7100,8.8500,8.7715,11006908,0.0900,1.0000
2018-03-15,9.2500,9.2800,8.8100,8.8400,8.6734,2105732,0.0000,1.0000
2018-03-14,9.3100,9.4200,9.1800,9.2100,9.0364,1177050,0.0000,1.0000
2018-03-13,9.2700,9.4700,9.2600,9.2900,9.1149,1251686,0.0000,1.0000
2018-03-12,9.0600,9.3300,9.0600,9.2600,9.0855,1229538,0.0000,1.0000
2018-03-09,9.2700,9.2700,9.0500,9.1000,8.9285,1334250,0.0000,1.0000
2018-03-08,9.1900,9.3400,9.1500,9.2100,9.0364,1465838,0.0000,1.0000
2018-03-07,9.3200,9.3700,9.0900,9.1500,8.9776,1694228,0.0000,1.0000
2018-03-06,9.2900,9.4900,9.2300,9.4300,9.2523,1905924,0.0000,1.0000
2018-03-05,8.9500,9.3600,8.8900,9.2400,9.0659,2154781,0.0000,1.0000
2018-03-02,8.7100,9.0400,8.7100,8.9700,8.8010,2116626,0.0000,1.0000
2018-03-01,8.6600,8.9950,8.6300,8.7800,8.6145,1982162,0.0000,1.0000
2018-02-28,8.9300,9.0200,8.6400,8.6700,8.5066,3245276,0.0000,1.0000
2018-02-27,8.7600,9.2300,8.7534,8.9000,8.7323,4525907,0.0000,1.0000
2018-02-26,8.5700,8.9600,8.3200,8.8100,8.6440,13884153,0.0000,1.0000
2018-02-23,10.0400,10.1650,9.8000,10.1300,9.9391,2512897,0.0000,1.0000
2018-02-22,9.7700,10.1100,9.6400,9.9500,9.7625,2442461,0.0000,1.0000
2018-02-21,9.7100,10.1200,9.7000,9.7000,9.5172,1238088,0.0000,1.0000
2018-02-20,9.8700,10.0400,9.6800,9.7000,9.5172,1401230,0.0000,1.0000
