timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,98.6600,99.3300,98.2100,98.4700,98.4700,1244026,0.0000,1.0000
2018-07-02,98.1800,98.2600,97.4000,98.1300,98.1300,2158822,0.0000,1.0000
2018-06-29,98.8300,99.6500,98.6400,98.6800,98.6800,2351976,0.0000,1.0000
2018-06-28,97.9700,98.9400,97.0900,98.6200,98.6200,2013759,0.1600,1.0000
2018-06-27,99.5100,100.8000,98.1500,98.1500,97.9910,2745486,0.0000,1.0000
2018-06-26,99.0900,99.5500,98.5950,99.1200,98.9594,2336909,0.0000,1.0000
2018-06-25,99.0800,99.0800,98.0250,98.8600,98.6999,2856219,0.0000,1.0000
2018-06-22,98.7600,99.9500,98.2300,99.3000,99.1392,2923973,0.0000,1.0000
2018-06-21,99.2000,99.4250,97.6800,97.9100,97.7514,2809305,0.0000,1.0000
2018-06-20,100.2700,100.6200,98.9200,99.1400,98.9794,2386770,0.0000,1.0000
2018-06-19,100.4400,100.8100,99.6100,100.0300,99.8680,2738274,0.0000,1.0000
2018-06-18,101.5700,101.8500,100.7000,101.2700,101.1060,1645322,0.0000,1.0000
2018-06-15,102.0500,103.0700,100.6300,102.3100,102.1443,4509475,0.0000,1.0000
2018-06-14,103.0000,103.4050,102.3100,102.6400,102.4737,2631750,0.0000,1.0000
2018-06-13,103.2300,103.5800,102.5400,102.6200,102.4538,2068158,0.0000,1.0000
2018-06-12,103.4400,104.1300,102.9300,103.1600,102.9929,2768012,0.0000,1.0000
2018-06-11,103.0300,104.0000,102.8800,103.2400,103.0728,2062225,0.0000,1.0000
2018-06-08,102.7600,103.2000,102.4900,103.0000,102.8332,1890722,0.0000,1.0000
2018-06-07,103.0300,103.3179,102.1200,102.5000,102.3340,2229514,0.0000,1.0000
2018-06-06,102.2000,102.8800,101.6900,102.8000,102.6335,2751377,0.0000,1.0000
2018-06-05,102.0200,102.7000,101.6500,102.0900,101.9246,1962696,0.0000,1.0000
2018-06-04,100.9900,102.2700,100.8420,101.8700,101.7050,2218048,0.0000,1.0000
