timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,111.9400,113.3300,111.0700,112.4900,112.4900,941918,0.0000,1.0000
2018-07-02,111.8100,112.8500,110.8000,111.9300,111.9300,1356271,0.0000,1.0000
2018-06-29,109.6200,112.0700,109.0100,111.5800,111.5800,1722023,0.0000,1.0000
2018-06-28,109.4300,110.5050,108.6500,110.3900,110.3900,877377,0.0000,1.0000
2018-06-27,109.4500,110.1700,109.1701,109.6400,109.6400,852841,0.0000,1.0000
2018-06-26,108.4100,110.1100,107.7900,109.2300,109.2300,1169118,0.0000,1.0000
2018-06-25,108.1700,108.8600,107.4500,108.0500,108.0500,1124460,0.0000,1.0000
2018-06-22,107.4700,108.2400,106.6500,107.8900,107.8900,3020176,0.0000,1.0000
2018-06-21,106.9400,108.2900,106.6000,107.2600,107.2600,664543,0.0000,1.0000
2018-06-20,106.2400,108.4300,106.2400,106.8200,106.8200,1011503,0.0000,1.0000
2018-06-19,105.5100,107.2300,105.4600,106.2600,106.2600,1014922,0.0000,1.0000
2018-06-18,105.8100,106.3900,105.1300,105.9400,105.9400,701833,0.0000,1.0000
2018-06-15,106.6500,107.7800,106.1000,106.2300,106.2300,1776232,0.0000,1.0000
2018-06-14,105.1400,106.9000,105.1000,106.6300,106.6300,1147430,1.0100,1.0000
2018-06-13,108.9700,109.2800,105.6800,105.8100,104.8172,1521396,0.0000,1.0000
2018-06-12,109.0100,110.0100,108.1200,108.7600,107.7395,1824495,0.0000,1.0000
2018-06-11,109.3000,110.1300,109.1200,109.2900,108.2645,1751076,0.0000,1.0000
2018-06-08,108.2400,109.9400,107.9200,109.5700,108.5419,1958604,0.0000,1.0000
2018-06-07,108.3900,108.7300,106.8500,108.1000,107.0857,910605,0.0000,1.0000
2018-06-06,108.2500,108.5400,107.1100,108.3600,107.3432,673491,0.0000,1.0000
2018-06-05,109.0000,109.6800,107.8800,108.2100,107.1947,883173,0.0000,1.0000
2018-06-04,108.9600,108.9800,107.8100,108.8600,107.8386,757207,0.0000,1.0000
2018-06-01,107.5100,108.7500,107.1600,108.5100,107.4918,827528,0.0000,1.0000
2018-05-31,107.6600,108.0300,106.5600,107.4800,106.4715,1277074,0.0000,1.0000
2018-05-30,107.0100,108.6500,106.4600,108.0200,107.0064,982869,0.0000,1.0000
2018-05-29,106.4600,107.4500,105.6400,107.0200,106.0158,897979,0.0000,1.0000
2018-05-25,106.9100,107.3500,106.2900,106.5600,105.5601,587087,0.0000,1.0000
2018-05-24,106.8800,107.1900,105.3950,106.2900,105.2927,816164,0.0000,1.0000
2018-05-23,106.4500,107.2900,105.8900,106.6100,105.6097,982217,0.0000,1.0000
2018-05-22,106.4600,106.7400,105.7300,106.3400,105.3422,949602,0.0000,1.0000
2018-05-21,105.6000,106.9200,104.8800,106.5900,105.5899,837418,0.0000,1.0000
2018-05-18,105.5000,106.9700,104.4900,105.2400,104.2525,1467022,0.0000,1.0000
2018-05-17,106.8900,106.9200,105.0200,105.5000,104.5101,1742544,0.0000,1.0000
2018-05-16,107.4800,107.4800,106.2200,106.9000,105.8969,1043417,0.0000,1.0000
2018-05-15,107.5800,107.5800,106.2600,107.2300,106.2238,1523260,0.0000,1.0000
2018-05-14,108.4800,109.2600,107.5100,108.2300,107.2145,1394340,0.0000,1.0000
2018-05-11,108.6400,109.7800,108.4800,108.7900,107.7692,1325199,0.0000,1.0000
2018-05-10,106.5900,108.9100,106.1000,108.3500,107.3333,1401927,0.0000,1.0000
2018-05-09,104.4900,106.0500,104.2000,105.9200,104.9261,938343,0.0000,1.0000
2018-05-08,106.5000,106.5000,103.7421,104.5400,103.5591,1868306,0.0000,1.0000
2018-05-07,106.3200,106.9100,105.6100,106.6600,105.6592,918394,0.0000,1.0000
2018-05-04,104.7400,106.6340,104.4750,106.3900,105.3917,921460,0.0000,1.0000
2018-05-03,105.2800,105.7400,103.6700,104.9700,103.9851,1222532,0.0000,1.0000
2018-05-02,104.7300,105.9200,104.3200,105.3400,104.3516,1180795,0.0000,1.0000
2018-05-01,105.3200,105.8900,104.5700,105.0100,104.0247,1463257,0.0000,1.0000
2018-04-30,107.9200,108.3900,105.1650,105.6900,104.6983,1502211,0.0000,1.0000
