timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-03,12.3200,12.3311,12.2200,12.2200,12.2200,42654,0.0000,1.0000
2018-07-02,12.2500,12.2800,12.2001,12.2700,12.2700,27047,0.0000,1.0000
2018-06-29,12.3300,12.3600,12.3001,12.3300,12.3300,22408,0.0000,1.0000
2018-06-28,12.2600,12.2816,12.2100,12.2800,12.2800,26855,0.0000,1.0000
2018-06-27,12.3600,12.4456,12.2600,12.2600,12.2600,66980,0.0000,1.0000
2018-06-26,12.3300,12.4000,12.3000,12.3600,12.3600,53867,0.0000,1.0000
2018-06-25,12.3900,12.3900,12.1800,12.2900,12.2900,62078,0.0000,1.0000
2018-06-22,12.4700,12.4900,12.4349,12.4499,12.4499,54768,0.0000,1.0000
2018-06-21,12.5000,12.5000,12.4100,12.4100,12.4100,21775,0.0000,1.0000
2018-06-20,12.4900,12.4900,12.4600,12.4800,12.4800,44433,0.0000,1.0000
2018-06-19,12.4000,12.4600,12.3500,12.4410,12.4410,44216,0.0000,1.0000
2018-06-18,12.4700,12.5100,12.4200,12.4900,12.4900,57335,0.0000,1.0000
2018-06-15,12.4700,12.5100,12.4300,12.5100,12.5100,37129,0.0000,1.0000
2018-06-14,12.5000,12.5388,12.4700,12.4700,12.4700,33210,0.1500,1.0000
2018-06-13,12.6500,12.6800,12.6160,12.6210,12.4710,39348,0.0000,1.0000
2018-06-12,12.5900,12.6300,12.5600,12.6000,12.4502,74672,0.0000,1.0000
2018-06-11,12.5500,12.6000,12.5400,12.5900,12.4404,20008,0.0000,1.0000
2018-06-08,12.4700,12.5500,12.4573,12.5400,12.3910,32853,0.0000,1.0000
2018-06-07,12.5000,12.5400,12.4700,12.4900,12.3415,34256,0.0000,1.0000
2018-06-06,12.4200,12.5000,12.4200,12.4950,12.3465,11393,0.0000,1.0000
2018-06-05,12.3700,12.4201,12.3700,12.4100,12.2625,40753,0.0000,1.0000
2018-06-04,12.4000,12.4230,12.3598,12.4100,12.2625,68714,0.0000,1.0000
2018-06-01,12.3300,12.4400,12.3300,12.3610,12.2141,35996,0.0000,1.0000
2018-05-31,12.4000,12.4000,12.2700,12.2700,12.1242,25047,0.0000,1.0000
2018-05-30,12.2900,12.4000,12.2800,12.3600,12.2131,20234,0.0000,1.0000
2018-05-29,12.3100,12.3100,12.2200,12.2700,12.1242,12815,0.0000,1.0000
2018-05-25,12.4300,12.4400,12.3700,12.3700,12.2230,21510,0.0000,1.0000
2018-05-24,12.3900,12.4500,12.3700,12.4100,12.2625,34155,0.0000,1.0000
2018-05-23,12.4000,12.4700,12.3300,12.4700,12.3218,52424,0.0000,1.0000
2018-05-22,12.5300,12.5300,12.4300,12.4500,12.3020,40667,0.0000,1.0000
2018-05-21,12.4900,12.5100,12.4400,12.4800,12.3317,71723,0.0000,1.0000
2018-05-18,12.4300,12.4600,12.3779,12.4200,12.2724,13740,0.0000,1.0000
2018-05-17,12.4200,12.4900,12.4000,12.4399,12.2920,43708,0.0000,1.0000
2018-05-16,12.3500,12.4300,12.3405,12.3800,12.2329,58045,0.0000,1.0000
2018-05-15,12.3400,12.3400,12.2983,12.3300,12.1834,51809,0.0000,1.0000
2018-05-14,12.3900,12.4499,12.3600,12.3800,12.2329,71925,0.0000,1.0000
2018-05-11,12.3800,12.4200,12.3563,12.3600,12.2131,50290,0.0000,1.0000
2018-05-10,12.3500,12.3800,12.3390,12.3500,12.2032,52293,0.0000,1.0000
2018-05-09,12.2500,12.3300,12.2250,12.3100,12.1637,37853,0.0000,1.0000
2018-05-08,12.3100,12.3136,12.2000,12.2400,12.0945,42945,0.0000,1.0000
2018-05-07,12.3600,12.3900,12.3247,12.3300,12.1834,7876,0.0000,1.0000
2018-05-04,12.1400,12.3496,12.1300,12.3411,12.1944,31665,0.0000,1.0000
2018-05-03,12.2400,12.2592,12.1300,12.2400,12.0945,34076,0.0000,1.0000
2018-05-02,12.3700,12.3800,12.3000,12.3000,12.1538,23622,0.0000,1.0000
2018-05-01,12.4100,12.4100,12.2701,12.4000,12.2526,26940,0.0000,1.0000
2018-04-30,12.4500,12.5400,12.3800,12.4000,12.2526,41614,0.0000,1.0000
2018-04-27,12.4600,12.5000,12.4203,12.4800,12.3317,36554,0.0000,1.0000
2018-04-26,12.3700,12.4800,12.3700,12.4500,12.3020,45905,0.0000,1.0000
2018-04-25,12.3100,12.3400,12.2400,12.3300,12.1834,31397,0.0000,1.0000
2018-04-24,12.4000,12.4300,12.2400,12.2600,12.1143,103447,0.0000,1.0000
2018-04-23,12.3600,12.4299,12.3550,12.3600,12.2131,23314,0.0000,1.0000
2018-04-20,12.5600,12.5600,12.3600,12.3900,12.2427,37315,0.0000,1.0000
2018-04-19,12.6000,12.6000,12.5000,12.5300,12.3811,50811,0.0000,1.0000
2018-04-18,12.6300,12.6800,12.5989,12.6300,12.4799,76517,0.0000,1.0000
2018-04-17,12.6400,12.7000,12.6200,12.6700,12.5194,89449,0.0000,1.0000
2018-04-16,12.5300,12.6300,12.5000,12.5800,12.4305,47244,0.0000,1.0000
2018-04-13,12.5900,12.6110,12.4604,12.5474,12.3983,20846,0.0000,1.0000
2018-04-12,12.6100,12.6401,12.5700,12.5992,12.4494,57720,0.0000,1.0000
2018-04-11,12.5400,12.6300,12.5377,12.5600,12.4107,16817,0.0000,1.0000
2018-04-10,12.6400,12.6600,12.5600,12.6100,12.4601,66802,0.0000,1.0000
2018-04-09,12.5400,12.6042,12.4800,12.4800,12.3317,40153,0.0000,1.0000
2018-04-06,12.6500,12.6752,12.4200,12.5100,12.3613,20931,0.0000,1.0000
